META; english/league-2/portsmouth-v-cambridge-united; 2017-04-22 06:20:55 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; ; 4/5; ; 5/6; ; ; 4/5; ; 4/5; ; 5/6; 4/5; ; ; 5/6; 4/5; 4/5; 8/11; ; 17/20; 9/11; 11/14; ; 11/14; ; ; ; 5/6
Draw; ; ; 12/5; ; 5/2; ; ; 5/2; ; 5/2; ; 23/10; 51/20; ; ; 13/5; 28/11; 5/2; 5/2; ; 27/10; 13/5; 28/11; ; 28/11; ; ; ; 13/5
Cambridge United; ; ; 10/3; ; 10/3; ; ; 10/3; ; 10/3; ; 7/2; 10/3; ; ; 10/3; 17/5; 10/3; 7/2; ; 18/5; 31/10; 7/2; ; 7/2; ; ; ; 7/2
META; english/league-2/portsmouth-v-cambridge-united; 2017-04-22 10:20:49 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; ; 3/4; ; 3/4; ; 4/5; 4/5; ; 3/4; ; 4/5; 4/5; ; ; 5/6; 4/5; 4/5; 8/11; 4/5; 17/20; 9/11; 11/14; ; 11/14; ; ; ; 4/5
Draw; ; ; 49/20; ; 13/5; ; ; 5/2; ; 13/5; ; 12/5; 51/20; ; ; 13/5; 28/11; 5/2; 5/2; 28/11; 27/10; 13/5; 28/11; ; 28/11; ; ; ; 27/10
Cambridge United; ; ; 18/5; ; 7/2; ; 18/5; 10/3; ; 7/2; ; 7/2; 15/4; ; ; 7/2; 7/2; 10/3; 7/2; 7/2; 18/5; 31/10; 7/2; ; 7/2; ; ; ; 7/2
META; english/league-2/portsmouth-v-cambridge-united; 2017-04-22 14:21:00 GMT+3; 2017-04-22 15:00; Nothing; Xlenovo
Portsmouth; ; ; 3/4; ; 4/5; ; 4/5; 4/5; ; 4/5; ; 4/5; 4/5; ; ; 5/6; 5/6; 4/5; 5/6; 5/6; 17/20; 4/5; 16/19; ; 16/19; ; ; ; 5/6
Draw; ; ; 12/5; ; 5/2; ; ; 5/2; ; 5/2; ; 12/5; 51/20; ; ; 5/2; 5/2; 5/2; 5/2; 5/2; 27/10; 13/5; 28/11; ; 28/11; ; ; ; 5/2
Cambridge United; ; ; 7/2; ; 7/2; ; 18/5; 10/3; ; 7/2; ; 7/2; 15/4; ; ; 7/2; 17/5; 10/3; 3; 17/5; 18/5; 16/5; 16/5; ; 16/5; ; ; ; 7/2
META; english/league-2/portsmouth-v-cambridge-united; 2017-04-22 18:20:55 GMT+3; 2017-04-22 15:00; In Play; Xlenovo
Portsmouth; ; ; ; ; ; ; 1/40; 1/80; ; 1/40; ; 7/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50
Draw; ; ; ; ; ; ; 12; 22; ; 20; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Cambridge United; ; ; ; ; ; ; 75; 125; ; 90; ; 7/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 26/5
