META; english/league-2/notts-county-v-exeter; 2017-02-11 18:22:30 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Exeter; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Notts County; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/league-2/notts-county-v-exeter; 2017-02-11 22:26:27 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Exeter; 6/5; 11/10; ; 13/10; 5/4; ; 6/5; ; ; ; 6/5; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; 4/6; ; 
META; english/league-2/notts-county-v-exeter; 2017-02-14 02:23:04 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Exeter; 6/5; 11/10; 11/10; 6/5; 23/20; 11/10; 23/20; 11/10; 11/10; 11/10; 23/20; 23/20; 23/20; 6/5; 23/20; 11/10; 11/10; 15/13; 1; 11/10; 113/100; 11/10; 42/41; 23/20; ; 10/9; 10/9; 
Draw; 5/2; 5/2; 9/4; 23/10; 5/2; 9/4; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 49/20; 13/5; 12/5; 12/5; 12/5; 11/5; 12/5; 12/5; 5/2; 27/11; 27/11; 12/5; ; 23/10; 23/10; 
Notts County; 5/2; 12/5; 23/10; 23/10; 12/5; 43/20; 5/2; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 5/2; 23/10; 12/5; 12/5; 12/5; 5/2; 12/5; 27/10; 23/10; 28/11; 12/5; ; 5/2; 5/2; 
META; english/league-2/notts-county-v-exeter; 2017-02-14 06:22:05 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Exeter; 6/5; 11/10; 23/20; 6/5; 6/5; 11/10; 6/5; 11/10; 11/10; 11/10; 23/20; 23/20; 23/20; 6/5; 23/20; 15/13; 11/10; 15/13; 1; 11/10; 113/100; 11/10; 42/41; 23/20; ; 23/20; 23/20; 
Draw; 5/2; 5/2; 9/4; 23/10; 12/5; 9/4; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 49/20; 5/2; 12/5; 12/5; 12/5; 11/5; 12/5; 12/5; 5/2; 27/11; 27/11; 12/5; ; 23/10; 23/10; 
Notts County; 5/2; 12/5; 9/4; 23/10; 12/5; 43/20; 12/5; 12/5; 12/5; 23/10; 23/10; 23/10; 12/5; 5/2; 23/10; 23/10; 12/5; 12/5; 5/2; 12/5; 27/10; 23/10; 28/11; 12/5; ; 12/5; 12/5; 
META; english/league-2/notts-county-v-exeter; 2017-02-14 10:22:13 GMT+2; 2017-02-14 19:45; Nothing; Xlenovo
Exeter; 6/5; 23/20; 23/20; 6/5; 6/5; 11/10; 6/5; 11/10; 11/10; 23/20; 23/20; 6/5; 23/20; 5/4; 23/20; 15/13; 11/10; 15/13; 10/9; 11/10; 113/100; 11/10; 19/17; 23/20; ; 23/20; 23/20; 
