META; english/fa-cup/arsenal-v-lincoln; 2017-02-21 02:23:07 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; ; ; ; 1/12; ; 1/18; ; ; ; ; ; ; 1/20; ; 1/12; ; ; ; ; ; ; ; ; ; 1/14; ; 
Draw; 9; ; ; ; 12; ; 12; ; ; ; ; ; ; 10; ; 12; ; ; ; ; ; ; ; ; ; 17/2; ; 
Lincoln; 25; ; ; ; 33; ; 28; ; ; ; ; ; ; 25; ; 33; ; ; ; ; ; ; ; ; ; 21; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-21 06:22:35 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; ; ; ; 1/12; ; 1/18; ; ; ; ; ; ; 1/20; ; 1/12; ; ; ; ; ; ; ; ; ; 1/12; ; 
Draw; 9; ; ; ; 12; ; 12; ; ; ; ; ; ; 10; ; 12; ; ; ; ; ; ; ; ; ; 19/2; ; 
Lincoln; 25; ; ; ; 33; ; 28; ; ; ; ; ; ; 25; ; 33; ; ; ; ; ; ; ; ; ; 27; ; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-21 10:23:11 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; ; ; ; 1/12; ; 1/18; ; ; ; ; ; 1/12; 1/20; 1/10; 1/12; 1/12; ; 1/14; 1/12; 9/100; ; 1/14; ; ; 1/12; ; 
Lincoln; 25; 25; 28; 22; 28; 33; 33; 40; 28; 33; 22; 28; 22; 28; 28; 33; 53/2; 22; 35; 53/2; 33; 25; 35; ; ; 25; 20; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-27 06:22:18 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; 1/12; 1/12; 1/11; 1/12; 1/18; 1/18; 1/12; 1/12; 1/10; 1/14; 1/14; 1/12; 1/12; 1/11; 1/14; 1/12; 1/14; 1/14; 9/100; 1/12; 1/14; ; ; 1/10; 1/14; 
Draw; 9; 9; 9; 10; 11; 10; 11; 9; 10; 11; 11; 10; 9; 17/2; 10; 11; 8; 9; 9; 8; 12; 11; 9; ; ; 62/5; 39/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 33; 40; 28; 33; 22; 28; 22; 28; 28; 33; 53/2; 22; 35; 53/2; 33; 25; 35; ; ; 25; 20; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-27 10:22:56 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; 1/12; 1/12; 1/11; 1/12; 1/18; 1/18; 1/12; 1/12; 1/10; 1/14; 1/14; 1/12; 1/12; 1/11; 1/14; 1/12; 1/14; 1/14; 9/100; 1/12; 1/14; ; ; 1/10; 1/14; 
Draw; 9; 9; 9; 10; 11; 10; 11; 9; 10; 11; 11; 10; 9; 17/2; 10; 11; 33/4; 9; 9; 8; 12; 11; 9; ; ; 62/5; 39/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 33; 40; 28; 33; 22; 25; 22; 28; 28; 33; 26; 22; 35; 26; 33; 25; 35; ; ; 26; 21; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-27 14:24:23 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; 1/12; 1/12; 1/11; 1/12; 1/18; 1/18; 1/12; 1/12; 1/10; 1/14; 1/14; 1/12; 1/12; 1/11; 1/14; 1/12; 1/16; 1/14; 9/100; 1/12; 1/16; ; ; 1/10; 1/12; 
Draw; 9; 9; 9; 10; 11; 10; 11; 9; 10; 11; 11; 10; 9; 17/2; 10; 11; 8; 9; 19/2; 8; 12; 11; 19/2; ; ; 62/5; 41/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 33; 40; 28; 33; 22; 25; 22; 28; 28; 33; 53/2; 22; 45; 53/2; 33; 25; 45; ; ; 29; 27; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-27 18:25:00 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; 1/12; 1/12; 1/11; 1/14; 1/18; 1/14; 1/12; 1/12; 1/10; 1/14; 1/14; 1/12; 1/12; 1/12; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; ; ; 1/10; 1/12; 
Draw; 9; 9; 9; 10; 11; 11; 11; 11; 10; 11; 11; 10; 9; 17/2; 10; 12; 43/4; 9; 19/2; 43/4; 12; 11; 19/2; ; ; 62/5; 41/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 33; 28; 28; 33; 22; 28; 22; 28; 28; 33; 25; 22; 38; 25; 33; 26; 38; ; ; 31; 29; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-27 22:22:48 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; 1/12; 1/12; 1/11; 1/14; 1/18; 1/14; 1/12; 1/12; 1/10; 1/14; 1/14; 1/12; 1/12; 1/12; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; ; ; 1/10; 1/12; 
Draw; 9; 9; 9; 10; 11; 11; 11; 11; 10; 11; 11; 10; 9; 17/2; 10; 12; 43/4; 9; 19/2; 43/4; 12; 11; 19/2; ; ; 57/5; 17/2; 
Lincoln; 25; 25; 28; 22; 28; 33; 33; 28; 28; 33; 22; 28; 22; 28; 28; 33; 25; 22; 38; 25; 33; 26; 38; ; ; 31; 30; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-28 02:22:24 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; 1/12; 1/12; 1/11; 1/14; 1/18; 1/14; 1/12; 1/12; 1/10; 1/14; 1/14; 1/12; 1/12; 1/12; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; ; ; 1/10; 1/12; 
Draw; 9; 9; 9; 10; 11; 11; 11; 11; 10; 11; 11; 10; 9; 17/2; 10; 12; 43/4; 9; 19/2; 43/4; 12; 11; 19/2; ; ; 59/5; 39/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 33; 28; 28; 33; 22; 28; 22; 28; 28; 33; 25; 22; 38; 25; 33; 26; 38; ; ; 31; 30; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-28 06:22:32 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/12; 1/12; 1/12; 1/12; 1/11; 1/14; 1/18; 1/14; 1/12; 1/12; 1/10; 1/14; 1/14; 1/12; 1/12; 1/12; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; ; ; 1/10; 1/12; 
Draw; 9; 9; 9; 10; 11; 11; 11; 11; 10; 11; 11; 10; 9; 17/2; 10; 12; 43/4; 9; 19/2; 43/4; 12; 11; 19/2; ; ; 59/5; 39/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 33; 28; 28; 33; 22; 28; 22; 28; 28; 33; 25; 22; 38; 25; 33; 26; 38; ; ; 31; 30; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-28 10:22:58 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/12; 1/12; 1/12; 1/14; 1/14; 1/18; 1/14; 1/12; 1/12; 1/10; 1/14; 1/14; 1/12; 1/12; 1/12; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; ; ; 1/10; 1/12; 
Draw; 10; 9; 9; 10; 11; 11; 11; 11; 10; 11; 11; 10; 9; 17/2; 10; 12; 11; 9; 19/2; 11; 12; 11; 19/2; ; ; 59/5; 17/2; 
Lincoln; 25; 25; 28; 22; 28; 33; 33; 28; 28; 33; 22; 28; 22; 28; 28; 33; 99/4; 22; 38; 99/4; 33; 26; 38; ; ; 31; 30; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-28 14:24:21 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/14; 1/14; 1/18; 1/14; 1/12; 1/12; 1/10; 1/14; 1/14; 1/12; 1/12; 1/11; 1/14; 1/12; 1/16; 1/14; 9/100; 1/14; 1/16; ; ; 1/10; 1/12; 
Draw; 10; 9; 9; 10; 11; 11; 11; 11; 10; 11; 11; 10; 9; 17/2; 10; 11; 17/2; 9; 19/2; 17/2; 13; 11; 19/2; ; ; 59/5; 17/2; 
Lincoln; 25; 25; 28; 22; 28; 33; 33; 28; 28; 33; 22; 28; 22; 25; 28; 33; 49/2; 22; 38; 49/2; 33; 26; 38; ; ; 31; 30; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-28 18:25:01 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/14; 1/14; 1/18; 1/14; 1/12; 1/12; 1/10; 1/14; 1/14; 1/12; 1/12; 1/11; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; ; ; 1/10; 1/12; 
Draw; 10; 9; 9; 10; 11; 11; 11; 11; 10; 11; 11; 10; 9; 17/2; 10; 12; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; ; ; 59/5; 17/2; 
Lincoln; 25; 25; 28; 22; 28; 33; 33; 28; 28; 33; 22; 28; 22; 25; 28; 28; 26; 22; 38; 26; 33; 26; 38; ; ; 31; 30; 
META; english/fa-cup/arsenal-v-lincoln; 2017-02-28 22:26:30 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/14; 1/14; 1/18; 1/14; 1/12; 1/12; 1/10; 1/14; 1/14; 1/12; 1/12; 1/11; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; ; ; 1/10; 1/12; 
Draw; 10; 9; 9; 10; 11; 11; 11; 11; 10; 11; 11; 10; 9; 17/2; 10; 12; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; ; ; 57/5; 17/2; 
Lincoln; 25; 25; 28; 22; 28; 33; 33; 28; 28; 33; 22; 28; 22; 25; 28; 28; 105/4; 22; 38; 105/4; 33; 26; 38; ; ; 31; 30; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-01 02:22:03 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/14; 1/14; 1/18; 1/14; 1/12; 1/12; 1/10; 1/14; 1/14; 1/12; 1/12; 1/11; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; ; ; 1/10; 1/14; 
Draw; 10; 9; 9; 10; 11; 11; 11; 11; 10; 11; 11; 10; 9; 17/2; 10; 12; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; ; ; 57/5; 39/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 33; 28; 28; 33; 22; 28; 22; 25; 28; 28; 26; 22; 38; 26; 33; 26; 38; ; ; 31; 29; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-01 06:21:22 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/14; 1/14; 1/18; 1/14; 1/12; 1/12; 1/10; 1/14; 1/14; 1/12; 1/12; 1/11; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; ; ; 1/10; 1/14; 
Draw; 10; 9; 9; 10; 11; 11; 11; 11; 10; 11; 11; 10; 9; 17/2; 10; 12; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; ; ; 57/5; 39/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 33; 28; 28; 33; 22; 28; 22; 25; 28; 28; 26; 22; 38; 26; 33; 26; 38; ; ; 31; 29; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-01 10:21:57 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/14; 1/14; 1/18; 1/14; 1/12; 1/12; 1/10; 1/14; 1/14; 1/12; 1/12; 1/11; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; ; ; 1/10; 1/14; 
Draw; 10; 9; 9; 10; 11; 11; 11; 11; 10; 11; 11; 10; 9; 17/2; 10; 12; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; ; ; 52/5; 39/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 33; 28; 28; 33; 22; 28; 22; 25; 28; 28; 26; 22; 38; 26; 33; 26; 38; ; ; 31; 29; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-01 14:24:35 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/14; 1/14; 1/18; 1/14; 1/12; 1/12; 1/10; 1/14; 1/14; 1/12; 1/12; 1/11; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; ; ; 1/10; 1/12; 
Draw; 10; 9; 9; 10; 11; 11; 11; 11; 10; 11; 11; 10; 9; 17/2; 10; 12; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; ; ; 52/5; 15/2; 
Lincoln; 25; 25; 28; 22; 28; 33; 33; 28; 28; 33; 22; 28; 22; 25; 28; 28; 105/4; 22; 38; 105/4; 33; 26; 38; ; ; 31; 28; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-01 18:22:02 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/14; 1/14; 1/18; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/11; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/12; 
Draw; 10; 9; 9; 10; 11; 11; 11; 11; 10; 11; 9; 10; 15/2; 17/2; 10; 11; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; 17/2; ; 52/5; 15/2; 
Lincoln; 25; 25; 28; 22; 28; 33; 28; 28; 28; 33; 28; 28; 22; 25; 28; 33; 105/4; 22; 38; 105/4; 33; 26; 38; 25; ; 31; 28; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-01 22:21:58 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/14; 1/14; 1/18; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/11; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/12; 
Draw; 10; 9; 9; 10; 11; 11; 11; 11; 10; 11; 9; 10; 15/2; 17/2; 10; 11; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; 17/2; ; 52/5; 15/2; 
Lincoln; 25; 25; 28; 22; 28; 33; 28; 28; 28; 33; 28; 25; 22; 25; 28; 33; 26; 22; 38; 26; 33; 26; 38; 25; ; 33; 30; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-02 02:22:53 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/14; 1/14; 1/18; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/19; 1/12; 1/16; 1/19; ; 1/14; 1/16; 1/12; ; 1/10; 1/14; 
Draw; 10; 9; 9; 10; 11; 11; 11; 11; 10; 11; 8; 10; 15/2; 17/2; 10; 10; 43/4; 9; 19/2; 43/4; ; 11; 19/2; 17/2; ; 52/5; 34/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 28; 28; 28; 33; 40; 25; 22; 25; 28; 33; 26; 22; 38; 26; ; 26; 38; 25; ; 33; 28; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-02 06:21:23 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/14; 1/14; 1/18; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/14; 
Draw; 10; 9; 9; 10; 11; 11; 11; 11; 10; 11; 8; 10; 15/2; 17/2; 10; 10; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; 17/2; ; 52/5; 34/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 28; 28; 28; 33; 40; 25; 22; 25; 28; 33; 26; 22; 38; 26; 33; 26; 38; 25; ; 33; 28; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-02 10:21:51 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/14; 1/14; 1/18; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/14; 
Draw; 10; 9; 9; 10; 11; 11; 11; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; 17/2; ; 54/5; 43/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 28; 28; 28; 33; 22; 28; 22; 25; 28; 28; 26; 22; 38; 26; 33; 26; 38; 25; ; 33; 28; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-02 14:22:17 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/14; 1/14; 1/18; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/12; 
Draw; 10; 9; 9; 10; 11; 11; 11; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; 17/2; ; 54/5; 48/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 28; 28; 28; 33; 22; 25; 22; 25; 28; 28; 26; 22; 38; 26; 33; 26; 38; 25; ; 33; 31; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-02 18:21:51 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/14; 1/14; 1/18; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/12; 
Draw; 10; 9; 9; 10; 11; 11; 11; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; 17/2; ; 54/5; 48/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 28; 28; 28; 33; 22; 25; 22; 25; 28; 28; 26; 22; 38; 26; 33; 26; 38; 25; ; 33; 31; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-02 22:21:56 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/14; 1/14; 1/18; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/12; 
Draw; 10; 9; 9; 10; 11; 11; 11; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; 17/2; ; 59/5; 53/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 28; 28; 28; 33; 22; 25; 22; 25; 28; 28; 26; 22; 38; 26; 33; 26; 38; 25; ; 33; 31; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-03 02:24:57 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/14; 1/14; 1/18; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/12; 
Draw; 10; 9; 9; 10; 11; 11; 11; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; 17/2; ; 59/5; 53/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 28; 28; 28; 33; 22; 25; 22; 25; 28; 28; 26; 22; 38; 26; 33; 26; 38; 25; ; 33; 31; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-03 06:21:51 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/14; 1/14; 1/18; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/12; 
Draw; 10; 9; 9; 10; 11; 11; 11; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; 17/2; ; 59/5; 53/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 28; 28; 28; 33; 22; 25; 22; 25; 28; 28; 26; 22; 38; 26; 33; 26; 38; 25; ; 33; 31; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-03 10:23:52 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/14; 1/14; 1/18; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/12; 
Draw; 10; 9; 9; 10; 11; 11; 11; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; 17/2; ; 59/5; 53/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 28; 28; 28; 33; 22; 25; 22; 25; 28; 28; 26; 22; 38; 26; 33; 26; 38; 25; ; 33; 31; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-03 14:25:41 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/14; 1/14; 1/18; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/16; 1/12; 1/16; 1/16; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/12; 
Draw; 10; 9; 9; 10; 11; 11; 11; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; 35/4; 9; 19/2; 35/4; 13; 11; 19/2; 17/2; ; 59/5; 53/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 28; 28; 28; 33; 22; 25; 22; 25; 28; 28; 55/2; 22; 38; 55/2; 33; 26; 38; 25; ; 33; 31; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-03 18:25:40 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/12; 1/14; 1/14; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/12; 
Draw; 10; 9; 9; 10; 10; 11; 21/2; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; 17/2; ; 59/5; 53/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 25; 28; 28; 33; 22; 25; 22; 25; 28; 28; 26; 22; 38; 26; 33; 26; 38; 25; ; 33; 31; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-03 22:24:26 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/12; 1/14; 1/14; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/12; 
Draw; 10; 9; 9; 10; 10; 11; 21/2; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; 17/2; ; 57/5; 53/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 25; 28; 28; 33; 22; 28; 22; 25; 28; 28; 26; 22; 38; 26; 33; 26; 38; 25; ; 33; 31; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-04 02:24:23 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/12; 1/14; 1/14; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/14; 
Draw; 10; 9; 9; 10; 10; 11; 21/2; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; 17/2; ; 57/5; 48/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 25; 28; 28; 33; 22; 28; 22; 25; 28; 28; 26; 22; 38; 26; 33; 26; 38; 25; ; 33; 28; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-04 06:22:32 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/12; 1/14; 1/14; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/14; 
Draw; 10; 9; 9; 10; 10; 11; 21/2; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; 17/2; ; 57/5; 48/5; 
Lincoln; 25; 25; 28; 22; 28; 33; 25; 28; 28; 33; 22; 28; 22; 25; 28; 28; 26; 22; 38; 26; 33; 26; 38; 25; ; 33; 28; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-04 10:23:15 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/12; 1/14; 1/14; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/14; 
Draw; 10; 9; 9; 10; 10; 11; 21/2; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; 17/2; ; 57/5; 48/5; 
Lincoln; 25; 25; 25; 22; 28; 33; 25; 28; 28; 33; 22; 28; 22; 25; 28; 28; 26; 22; 38; 26; 33; 26; 38; 25; ; 33; 28; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-04 14:26:43 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
Arsenal; 1/11; 1/11; 1/12; 1/12; 1/12; 1/14; 1/14; 1/14; 1/14; 1/12; 1/10; 1/14; 1/16; 1/12; 1/12; 1/12; 1/19; 1/12; 1/16; 1/19; 9/100; 1/14; 1/16; 1/12; ; 1/10; 1/12; 
Draw; 10; 9; 9; 10; 10; 11; 21/2; 11; 10; 11; 11; 10; 15/2; 17/2; 10; 11; 43/4; 9; 19/2; 43/4; 13; 11; 19/2; 17/2; ; 57/5; 48/5; 
Lincoln; 25; 25; 25; 22; 28; 33; 25; 28; 28; 33; 22; 28; 22; 25; 28; 28; 26; 22; 38; 26; 33; 26; 38; 25; ; 33; 30; 
META; english/fa-cup/arsenal-v-lincoln; 2017-03-04 18:23:56 GMT+2; 2017-03-11 15:00; Nothing; Xlenovo
