META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-16 22:22:07 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 21/20; 21/20; 21/20; 1; 9/10; 19/20; 21/20; ; 1; 21/20; 21/20; 1; ; 21/20; 11/10; 1; 9/10; 21/20; 113/ 100; 10/9; 1; 21/20; 21/20; 21/20; 21/20; ; 1; 1; 
Draw; 12/5; 23/10; 9/4; 23/10; 23/10; 9/4; 23/10; ; 9/4; 9/4; 23/10; 11/5; ; 9/4; 23/10; 9/4; 23/10; 23/10; 5/2; 12/5; 9/4; 12/5; 12/5; 47/20; 40/17; ; 21/10; 21/10; 
Solihull Moors; 5/2; 5/2; 5/2; 5/2; 13/5; 13/5; 5/2; ; 13/5; 5/2; 5/2; 12/5; ; 5/2; 12/5; 12/5; 13/5; 5/2; 27/10; 23/10; 13/5; 13/5; 13/5; 13/5; 5/2; ; 23/10; 12/5; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-22 10:24:36 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 21/20; 21/20; 21/20; 1; 9/10; 19/20; 21/20; ; 1; 21/20; 1; 1; ; 21/20; 11/10; 1; 9/10; 21/20; 113/ 100; 10/9; 1; 21/20; 21/20; 21/20; 21/20; ; 1; 1; 
Draw; 12/5; 23/10; 9/4; 23/10; 23/10; 9/4; 23/10; ; 9/4; 9/4; 9/4; 11/5; ; 9/4; 23/10; 11/5; 23/10; 23/10; 5/2; 12/5; 9/4; 12/5; 12/5; 47/20; 40/17; ; 23/10; 21/10; 
Solihull Moors; 5/2; 13/5; 5/2; 5/2; 13/5; 13/5; 5/2; ; 13/5; 5/2; 13/5; 12/5; ; 5/2; 12/5; 5/2; 13/5; 5/2; 27/10; 23/10; 13/5; 13/5; 13/5; 13/5; 5/2; ; 5/2; 12/5; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-22 14:24:48 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 21/20; 21/20; 21/20; 11/10; 9/10; 19/20; 21/20; ; 1; 21/20; 1; 1; ; 21/20; 11/10; 1; 9/10; 21/20; 113/ 100; 10/9; 1; 21/20; 21/20; 21/20; 21/20; ; 1; 1; 
Draw; 12/5; 23/10; 9/4; 12/5; 23/10; 9/4; 23/10; ; 9/4; 9/4; 9/4; 11/5; ; 9/4; 23/10; 9/4; 23/10; 23/10; 5/2; 12/5; 9/4; 12/5; 12/5; 47/20; 40/17; ; 23/10; 21/10; 
Solihull Moors; 5/2; 13/5; 5/2; 12/5; 13/5; 13/5; 5/2; ; 13/5; 5/2; 13/5; 12/5; ; 5/2; 12/5; 12/5; 13/5; 5/2; 27/10; 23/10; 13/5; 13/5; 13/5; 13/5; 5/2; ; 5/2; 12/5; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-22 18:25:00 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 21/20; 21/20; 21/20; 11/10; 28/25; 19/20; 21/20; ; 24/23; 21/20; 21/20; 1; ; 21/20; 11/10; 1; 9/10; 21/20; 9/10; 10/9; 24/23; 21/20; 21/20; 21/20; 21/20; ; 1; 1; 
Draw; 12/5; 23/10; 9/4; 12/5; 62/25; 9/4; 23/10; ; 11/5; 9/4; 23/10; 11/5; ; 9/4; 23/10; 9/4; 23/10; 23/10; 23/10; 12/5; 11/5; 12/5; 12/5; 47/20; 40/17; ; 23/10; 21/10; 
Solihull Moors; 5/2; 13/5; 5/2; 12/5; 137/ 50; 13/5; 5/2; ; 5/2; 5/2; 5/2; 12/5; ; 5/2; 12/5; 12/5; 13/5; 5/2; 13/5; 23/10; 5/2; 13/5; 13/5; 13/5; 5/2; ; 5/2; 12/5; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-22 22:24:47 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 21/20; 21/20; 11/10; 11/10; 119/ 100; 1; 11/10; ; 24/23; 11/10; 11/10; 21/20; ; 21/20; 11/10; 21/20; 9/10; 21/20; 9/10; 10/9; 24/23; 11/10; 11/10; 11/10; 21/20; ; 11/10; 21/20; 
Draw; 12/5; 23/10; 11/5; 12/5; 62/25; 11/5; 23/10; ; 11/5; 11/5; 9/4; 9/4; ; 11/5; 23/10; 9/4; 23/10; 23/10; 23/10; 12/5; 11/5; 23/10; 12/5; 47/20; 40/17; ; 23/10; 21/10; 
Solihull Moors; 5/2; 13/5; 23/10; 12/5; 127/ 50; 5/2; 12/5; ; 5/2; 23/10; 12/5; 11/5; ; 12/5; 12/5; 23/10; 13/5; 5/2; 13/5; 23/10; 5/2; 12/5; 5/2; 12/5; 5/2; ; 12/5; 23/10; 
META; english/non-league/national-league/solihull-moors-v-boreham-wood; 2017-12-23 02:24:17 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Boreham Wood; 21/20; 21/20; 11/10; 11/10; 6/5; 1; 11/10; ; 11/10; 11/10; 11/10; 21/20; ; 21/20; 11/10; 21/20; 11/10; 11/10; 11/10; 10/9; 11/10; 11/10; 11/10; 11/10; 11/10; ; 11/10; 21/20; 
Draw; 12/5; 23/10; 11/5; 12/5; 123/ 50; 11/5; 23/10; ; 11/5; 11/5; 9/4; 9/4; ; 11/5; 23/10; 9/4; 23/10; 23/10; 23/10; 12/5; 11/5; 23/10; 12/5; 47/20; 23/10; ; 9/4; 21/10; 
