META; english/non-league/national-league/macclesfield-v-dover; 2017-08-20 02:21:41 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dover; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-20 10:21:45 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Dover; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-20 14:21:53 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 11/10; 11/10; ; ; 21/20; 19/20; 11/10; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; 
Dover; 21/10; 2; 37/20; 2; 19/10; 11/5; 15/8; 21/10; 2; 9/5; 9/5; 9/5; 2; 15/8; 15/8; 19/10; 11/5; 2; 19/10; 2; 35/19; 2; ; 2; 2; ; 19/10; 19/10; 
Draw; 23/10; 9/4; 43/20; 11/5; 11/5; 21/10; 23/10; 11/5; 11/5; 11/5; 11/5; 21/10; 9/4; 23/10; 9/4; 11/5; 21/10; ; 9/4; 61/25; 40/17; 11/5; ; 23/10; 9/4; ; 9/4; 2; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-24 22:24:49 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 13/10; 13/10; 7/5; 13/10; 7/5; 11/10; 29/20; 13/10; 23/18; 26/19; 11/8; 13/10; 27/20; 7/5; 7/5; 13/10; 11/10; 5/4; 23/17; 36/25; 7/5; 23/18; ; 13/10; 11/8; ; 11/8; 7/5; 
Dover; 21/10; 2; 37/20; 2; 19/10; 11/5; 19/10; 15/8; 2; 28/15; 15/8; 9/5; 2; 15/8; 15/8; 19/10; 11/5; 2; 19/10; 52/25; 35/19; 2; ; 2; 2; ; 2; 19/10; 
Draw; 23/10; 9/4; 43/20; 11/5; 11/5; 21/10; 23/10; 21/10; 11/5; 11/5; 11/5; 21/10; 9/4; 23/10; 9/4; 11/5; 21/10; ; 9/4; 61/25; 40/17; 11/5; ; 23/10; 9/4; ; 9/4; 2; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-25 02:22:28 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 13/10; 13/10; 7/5; 13/10; 7/5; 11/10; 29/20; 13/10; 23/18; 26/19; 11/8; 13/10; 27/20; 7/5; 7/5; 13/10; 11/10; 5/4; 23/17; 36/25; 7/5; 23/18; ; 13/10; 11/8; ; 11/8; 7/5; 
Dover; 21/10; 2; 37/20; 2; 19/10; 11/5; 19/10; 15/8; 2; 28/15; 15/8; 9/5; 2; 15/8; 15/8; 19/10; 11/5; 2; 19/10; 52/25; 35/19; 2; ; 2; 2; ; 2; 9/5; 
Draw; 23/10; 9/4; 43/20; 11/5; 11/5; 21/10; 23/10; 21/10; 11/5; 11/5; 11/5; 21/10; 9/4; 23/10; 9/4; 11/5; 21/10; ; 9/4; 61/25; 40/17; 11/5; ; 23/10; 9/4; ; 9/4; 2; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-25 10:23:37 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 13/10; 7/5; 7/5; 13/10; 7/5; 6/5; 29/20; 13/10; 23/18; 26/19; 11/8; 13/10; 27/20; 7/5; 7/5; 11/8; 6/5; 5/4; 23/17; 36/25; 7/5; 23/18; ; 13/10; 11/8; ; 7/5; 7/5; 
Dover; 21/10; 15/8; 37/20; 2; 19/10; 2; 19/10; 15/8; 2; 28/15; 15/8; 9/5; 2; 15/8; 15/8; 19/10; 2; 2; 19/10; 52/25; 35/19; 2; ; 2; 2; ; 19/10; 2; 
Draw; 23/10; 11/5; 43/20; 11/5; 11/5; 21/10; 23/10; 21/10; 11/5; 21/10; 21/10; 21/10; 9/4; 9/4; 9/4; 28/13; 21/10; ; 9/4; 61/25; 40/17; 11/5; ; 23/10; 9/4; ; 9/4; 21/10; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-25 14:23:56 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 13/8; 7/5; 29/20; 13/10; 29/20; 5/4; 6/4; 7/5; 31/21; 16/11; 29/20; 29/20; 31/20; 6/4; 6/4; 16/11; 5/4; 7/5; 17/11; 159/100; 23/15; 31/21; ; 6/4; 6/4; ; 6/4; 7/5; 
Dover; 13/8; 9/5; 7/4; 2; 9/5; 19/10; 9/5; 9/5; 17/10; 7/4; 7/4; 17/10; 7/4; 7/4; 7/4; 7/4; 19/10; 17/10; 17/10; 19/10; 17/10; 17/10; ; 7/4; 7/4; ; 15/8; 15/8; 
Draw; 9/4; 9/4; 43/20; 11/5; 11/5; 21/10; 23/10; 21/10; 11/5; 21/10; 21/10; 21/10; 9/4; 23/10; 9/4; 28/13; 21/10; ; 11/5; 12/5; 23/10; 11/5; ; 9/4; 9/4; ; 11/5; 11/5; 
META; english/non-league/national-league/macclesfield-v-dover; 2017-08-25 18:23:39 GMT+3; 2017-08-25 19:45; Nothing; Xlenovo
Macclesfield; 13/8; 7/5; 8/5; 8/5; 8/5; 5/4; 13/8; 7/5; 31/21; 8/5; 8/5; 31/20; 8/5; 13/8; 6/4; 17/11; 7/5; 7/5; 17/11; 171/100; 29/18; 31/21; ; 8/5; 6/4; ; 13/8; 6/4; 
Dover; 13/8; 9/5; 13/8; 8/5; 17/10; 19/10; 13/8; 9/5; 17/10; 8/5; 8/5; 31/20; 17/10; 8/5; 17/10; 8/5; 7/4; 17/10; 17/10; 7/4; 19/12; 17/10; ; 13/8; 7/4; ; 13/8; 17/10; 
