META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-24 02:24:30 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-28 14:23:21 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 1/2; 8/15; 8/15; 8/15; 1/2; 1/2; 1/2; 4/9; 1/2; 8/15; 1/2; 8/15; ; 4/9; ; 1/2; 1/2; 1/2; 17/35; 11/20; 17/35; 1/2; 8/15; 1/2; 8/15; ; 1/2; ; 
Draw; 7/2; 16/5; 3; 16/5; 16/5; 3; 33/10; 3; 31/10; 3; 14/5; 29/10; ; 16/5; ; 3; 31/10; 31/10; 13/4; 67/20; 31/10; 31/10; 3; 16/5; 10/3; ; 14/5; ; 
Solihull Moors; 9/2; 19/4; 19/4; 4; 9/2; 4; 5; 9/2; 22/5; 19/4; 9/2; 19/4; ; 9/2; ; 9/2; 4; 22/5; 5; 28/5; 22/5; 22/5; 19/4; 9/2; 5; ; 24/5; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-28 18:23:26 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 1/2; 8/15; 8/15; 8/15; 1/2; 1/2; 8/15; 4/9; 1/2; 8/15; 1/2; 8/15; ; 4/9; 8/15; 1/2; 1/2; 1/2; 1/2; 11/20; 17/35; 1/2; 8/15; 1/2; 8/15; ; 1/2; ; 
Draw; 7/2; 16/5; 3; 16/5; 16/5; 3; 16/5; 3; 31/10; 3; 14/5; 29/10; ; 16/5; 3; 3; 31/10; 31/10; 16/5; 67/20; 31/10; 31/10; 3; 16/5; 10/3; ; 14/5; ; 
Solihull Moors; 9/2; 19/4; 19/4; 4; 9/2; 4; 5; 9/2; 22/5; 19/4; 9/2; 9/2; ; 9/2; 5; 9/2; 4; 22/5; 94/19; 28/5; 22/5; 22/5; 19/4; 9/2; 5; ; 24/5; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-28 22:22:40 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 1/2; 8/15; 8/15; 8/15; 1/2; 1/2; 1/2; 4/9; 1/2; 8/15; 1/2; 8/15; ; 4/9; 8/15; 1/2; 1/2; 1/2; 1/2; 11/20; 11/21; 1/2; 8/15; 1/2; 8/15; ; 1/2; ; 
Draw; 7/2; 16/5; 3; 16/5; 16/5; 3; 33/10; 3; 31/10; 3; 14/5; 29/10; ; 16/5; 3; 3; 31/10; 31/10; 16/5; 67/20; 17/5; 31/10; 3; 16/5; 10/3; ; 14/5; ; 
Solihull Moors; 9/2; 19/4; 19/4; 4; 9/2; 4; 5; 9/2; 22/5; 19/4; 9/2; 9/2; ; 9/2; 5; 9/2; 4; 22/5; 49/10; 28/5; 22/5; 22/5; 19/4; 9/2; 5; ; 24/5; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-29 02:21:59 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 1/2; 8/15; 8/15; 8/15; 9/20; 1/2; 1/2; 4/9; 1/2; 8/15; 1/2; 8/15; ; 4/9; 8/15; 1/2; 1/2; 1/2; 1/2; 27/50; 11/21; 1/2; 8/15; 1/2; 8/15; ; 1/2; ; 
Draw; 7/2; 16/5; 3; 16/5; 10/3; 3; 33/10; 3; 31/10; 3; 14/5; 29/10; ; 16/5; 3; 3; 31/10; 31/10; 16/5; 67/20; 17/5; 31/10; 3; 16/5; 10/3; ; 14/5; ; 
Solihull Moors; 9/2; 19/4; 19/4; 4; 5; 4; 5; 9/2; 22/5; 19/4; 9/2; 9/2; ; 9/2; 5; 9/2; 4; 22/5; 49/10; 29/5; 22/5; 22/5; 19/4; 9/2; 5; ; 24/5; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-29 10:22:02 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 1/2; 8/15; 8/15; 8/15; 9/20; 1/2; 1/2; 4/9; 1/2; 8/15; 1/2; 8/15; ; 4/9; 8/15; 1/2; 1/2; 1/2; 1/2; 27/50; 11/21; 1/2; 8/15; 1/2; 8/15; ; 1/2; ; 
Draw; 10/3; 16/5; 3; 16/5; 10/3; 3; 33/10; 3; 31/10; 3; 14/5; 29/10; ; 16/5; 3; 3; 31/10; 31/10; 16/5; 67/20; 17/5; 31/10; 3; 16/5; 10/3; ; 14/5; ; 
Solihull Moors; 5; 19/4; 19/4; 4; 5; 4; 5; 9/2; 22/5; 19/4; 9/2; 9/2; ; 9/2; 5; 9/2; 4; 22/5; 94/19; 29/5; 22/5; 22/5; 19/4; 5; 5; ; 24/5; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-29 14:22:20 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 1/2; 8/15; 8/15; 8/15; 1/2; 1/2; 1/2; 4/9; 1/2; 8/15; 1/2; 8/15; ; 4/9; 8/15; 1/2; 1/2; 1/2; 1/2; 11/20; 11/21; 1/2; 8/15; 1/2; 8/15; ; 1/2; ; 
Draw; 10/3; 16/5; 3; 11/4; 16/5; 3; 33/10; 3; 31/10; 3; 14/5; 29/10; ; 16/5; 3; 3; 31/10; 31/10; 16/5; 67/20; 17/5; 31/10; 3; 16/5; 10/3; ; 14/5; ; 
Solihull Moors; 5; 19/4; 19/4; 6; 5; 4; 5; 9/2; 22/5; 19/4; 9/2; 9/2; ; 9/2; 5; 5; 4; 22/5; 94/19; 28/5; 22/5; 22/5; 19/4; 5; 5; ; 24/5; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-29 18:22:17 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 1/2; 8/15; 8/15; 8/15; 1/2; 1/2; 1/2; 4/9; 1/2; 8/15; 1/2; 8/15; ; 4/9; 8/15; 1/2; 1/2; 1/2; 8/15; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; ; 1/2; ; 
Draw; 10/3; 16/5; 3; 11/4; 16/5; 3; 33/10; 3; 31/10; 3; 14/5; 29/10; ; 16/5; 3; 3; 31/10; 31/10; 58/19; 67/20; 17/5; 31/10; 3; 16/5; 10/3; ; 14/5; ; 
Solihull Moors; 5; 19/4; 19/4; 6; 5; 4; 5; 9/2; 22/5; 19/4; 9/2; 9/2; ; 9/2; 5; 5; 4; 22/5; 9/2; 28/5; 22/5; 22/5; 19/4; 5; 5; ; 5; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-29 22:23:39 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 1/2; 8/15; 8/15; 8/15; 1/2; 1/2; 1/2; 4/9; 1/2; 8/15; 1/2; 8/15; ; 4/9; 8/15; 1/2; 1/2; 1/2; 1/2; 11/20; 8/15; 1/2; 8/15; 8/15; 8/15; ; 1/2; ; 
Draw; 10/3; 16/5; 3; 3; 16/5; 3; 33/10; 3; 31/10; 3; 14/5; 29/10; ; 16/5; 3; 3; 31/10; 31/10; 41/13; 67/20; 17/5; 31/10; 3; 16/5; 10/3; ; 3; ; 
Solihull Moors; 5; 19/4; 19/4; 9/2; 9/2; 4; 5; 9/2; 22/5; 19/4; 9/2; 9/2; ; 9/2; 5; 5; 4; 22/5; 94/19; 28/5; 22/5; 22/5; 19/4; 5; 5; ; 26/5; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-30 02:23:08 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 1/2; 8/15; 8/15; 8/15; 1/2; 1/2; 1/2; 4/9; 1/2; 8/15; 1/2; 8/15; ; 4/9; 8/15; 1/2; 1/2; 1/2; 1/2; 27/50; 8/15; 1/2; 8/15; 8/15; 8/15; ; 8/15; ; 
Draw; 10/3; 16/5; 3; 3; 16/5; 3; 33/10; 3; 31/10; 3; 14/5; 29/10; ; 16/5; 3; 3; 31/10; 31/10; 41/13; 67/20; 17/5; 31/10; 3; 16/5; 10/3; ; 3; ; 
Solihull Moors; 5; 19/4; 19/4; 9/2; 9/2; 4; 5; 9/2; 22/5; 19/4; 9/2; 9/2; ; 9/2; 5; 5; 4; 22/5; 94/19; 29/5; 22/5; 22/5; 19/4; 5; 5; ; 26/5; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-30 10:23:14 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 1/2; 8/15; 8/15; 8/15; 1/2; 1/2; 1/2; 4/9; 1/2; 8/15; 1/2; 8/15; ; 4/9; 8/15; 1/2; 1/2; 1/2; 1/2; 11/20; 11/21; 1/2; 8/15; 8/15; 8/15; ; 8/15; ; 
Draw; 10/3; 16/5; 3; 3; 31/10; 3; 33/10; 3; 31/10; 3; 14/5; 29/10; ; 16/5; 3; 3; 31/10; 31/10; 16/5; 67/20; 17/5; 31/10; 3; 16/5; 10/3; ; 3; ; 
Solihull Moors; 5; 19/4; 19/4; 9/2; 5; 4; 5; 9/2; 22/5; 19/4; 9/2; 9/2; ; 9/2; 5; 5; 4; 22/5; 94/19; 28/5; 22/5; 22/5; 19/4; 5; 5; ; 26/5; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-30 14:23:20 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 1/2; 8/15; 8/15; 8/15; 1/2; 1/2; 1/2; 4/9; 1/2; 8/15; 1/2; 8/15; ; 4/9; 8/15; 1/2; 1/2; 1/2; 17/35; 27/50; 11/21; 1/2; 8/15; 8/15; 8/15; ; 8/15; ; 
Draw; 10/3; 16/5; 3; 3; 31/10; 3; 10/3; 3; 31/10; 3; 14/5; 3; ; 16/5; 3; 3; 31/10; 31/10; 16/5; 17/5; 17/5; 31/10; 3; 16/5; 10/3; ; 3; ; 
Solihull Moors; 5; 19/4; 19/4; 9/2; 5; 4; 5; 9/2; 22/5; 19/4; 9/2; 9/2; ; 9/2; 5; 5; 4; 22/5; 5; 57/10; 22/5; 22/5; 19/4; 5; 5; ; 24/5; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-30 18:23:13 GMT+3; 2017-09-30 15:00; In Play; Xlenovo
Dover; 20/21; 1; 8/15; 13/10; 4/5; ; 21/20; 6/5; ; 1; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; 21/20; ; ; ; 
Draw; 6/4; 5/4; 3; 21/20; 15/8; ; 13/10; 1; ; 13/10; ; ; ; ; 27/20; ; ; ; ; ; ; ; ; ; 7/5; ; ; ; 
Solihull Moors; 11/2; 5; 19/4; 24/5; 5; ; 21/4; 11/2; ; 11/2; ; ; ; ; 19/4; ; ; ; ; ; ; ; ; ; 11/2; ; ; ; 
