AFC Fylde; 8/11; 3/4; ; ; ; ; ; ; 13/18; ; 4/6; ; ; ; ; 7/10; 7/10; 5/7; 7/10; ; 13/18; ; 8/11; 7/10; 5/7; ; ; ; 
Draw; 13/5; 11/4; ; ; ; ; ; ; 5/2; ; 11/4; ; ; ; ; 5/2; 12/5; 28/11; 12/5; ; 5/2; ; 27/10; 27/10; 28/11; ; ; ; 
Guiseley; 15/4; 10/3; ; ; ; ; ; ; 7/2; ; 18/5; ; ; ; ; 7/2; 15/4; 18/5; 15/4; ; 7/2; ; 15/4; 15/4; 62/17; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2018-01-09 10:22:59 GMT+2; 2018-01-13 15:00; Nothing; Xlenovo
AFC Fylde; 8/11; 3/4; ; ; ; ; ; ; 13/18; ; 4/6; ; ; ; ; 7/10; 7/10; 5/7; 7/10; ; 13/18; ; 8/11; 7/10; 5/7; ; ; ; 
Draw; 13/5; 11/4; ; ; ; ; ; ; 5/2; ; 11/4; ; ; ; ; 5/2; 12/5; 28/11; 12/5; ; 5/2; ; 27/10; 27/10; 13/5; ; ; ; 
Guiseley; 15/4; 10/3; ; ; ; ; ; ; 7/2; ; 18/5; ; ; ; ; 7/2; 15/4; 18/5; 15/4; ; 7/2; ; 15/4; 15/4; 62/17; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2018-01-09 14:22:50 GMT+2; 2018-01-13 15:00; Nothing; Xlenovo
AFC Fylde; 8/11; 3/4; ; ; ; ; ; ; 13/18; ; 8/11; 7/10; ; ; ; 7/10; 7/10; 5/7; 7/10; ; 13/18; ; 8/11; 7/10; 5/7; ; ; ; 
Draw; 13/5; 11/4; ; ; ; ; ; ; 5/2; ; 13/5; 23/10; ; ; ; 5/2; 12/5; 5/2; 12/5; ; 5/2; ; 27/10; 27/10; 28/11; ; ; ; 
Guiseley; 15/4; 10/3; ; ; ; ; ; ; 7/2; ; 18/5; 7/2; ; ; ; 7/2; 15/4; 18/5; 15/4; ; 7/2; ; 15/4; 15/4; 62/17; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2018-01-09 18:22:40 GMT+2; 2018-01-13 15:00; Nothing; Xlenovo
AFC Fylde; 8/11; 3/4; ; 7/10; ; 8/13; ; ; 13/18; ; 8/11; 7/10; ; ; ; 7/10; 7/10; 5/7; 7/10; ; 13/18; ; 8/11; 7/10; 5/7; ; ; ; 
Draw; 13/5; 11/4; ; 5/2; ; 27/10; ; ; 5/2; ; 13/5; 23/10; ; ; ; 5/2; 12/5; 5/2; 12/5; ; 5/2; ; 27/10; 27/10; 28/11; ; ; ; 
Guiseley; 15/4; 10/3; ; 7/2; ; 18/5; ; ; 7/2; ; 18/5; 7/2; ; ; ; 7/2; 15/4; 18/5; 15/4; ; 7/2; ; 15/4; 15/4; 62/17; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2018-01-09 22:22:33 GMT+2; 2018-01-13 15:00; Nothing; Xlenovo
AFC Fylde; 8/11; 3/4; ; 7/10; 79/100; 8/13; ; ; 13/18; ; 8/11; 7/10; ; 7/10; ; 7/10; 7/10; 5/7; 7/10; ; 13/18; ; 8/11; 7/10; 5/7; ; ; ; 
Draw; 13/5; 11/4; ; 5/2; 139/50; 27/10; ; ; 5/2; ; 13/5; 23/10; ; 13/5; ; 5/2; 12/5; 5/2; 12/5; ; 5/2; ; 27/10; 27/10; 28/11; ; ; ; 
Guiseley; 15/4; 10/3; ; 7/2; 79/20; 18/5; ; ; 7/2; ; 18/5; 7/2; ; 7/2; ; 7/2; 15/4; 18/5; 15/4; ; 7/2; ; 15/4; 15/4; 62/17; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2018-01-10 02:22:15 GMT+2; ; Nothing; Xlenovo
AFC Fylde; 8/11; 3/4; ; 7/10; 79/100; 8/13; ; ; 13/18; ; 8/11; 7/10; ; 7/10; ; 7/10; 7/10; 5/7; 7/10; ; 13/18; ; 7/10; 7/10; 5/7; ; ; ; 
Draw; 13/5; 11/4; ; 5/2; 139/50; 27/10; ; ; 5/2; ; 13/5; 23/10; ; 13/5; ; 5/2; 12/5; 5/2; 12/5; ; 5/2; ; 11/4; 27/10; 28/11; ; ; ; 
Guiseley; 15/4; 10/3; ; 7/2; 79/20; 18/5; ; ; 7/2; ; 18/5; 7/2; ; 7/2; ; 7/2; 15/4; 18/5; 15/4; ; 7/2; ; 19/5; 15/4; 62/17; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2018-01-10 10:22:14 GMT+2; ; Nothing; Xlenovo
AFC Fylde; 8/11; 3/4; ; 7/10; 79/100; 4/6; ; ; 13/18; ; 8/11; 7/10; ; 7/10; ; 7/10; 7/10; 5/7; 7/10; ; 13/18; ; 7/10; 7/10; 5/7; ; 8/15; ; 
Draw; 13/5; 11/4; ; 5/2; 139/50; 13/5; ; ; 5/2; ; 13/5; 23/10; ; 13/5; ; 5/2; 12/5; 28/11; 12/5; ; 5/2; ; 11/4; 27/10; 28/11; ; 2; ; 
Guiseley; 15/4; 10/3; ; 7/2; 79/20; 18/5; ; ; 7/2; ; 18/5; 7/2; ; 7/2; ; 7/2; 15/4; 18/5; 15/4; ; 7/2; ; 19/5; 15/4; 62/17; ; 14/5; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2018-01-10 14:22:19 GMT+2; 2018-01-13 15:00; Nothing; Xlenovo
AFC Fylde; 8/13; 4/6; ; 7/10; 4/6; 6/10; ; ; 8/13; ; 4/6; 8/13; ; 13/20; ; 7/10; 11/17; 8/13; 11/17; 7/11; 8/13; ; 13/20; 4/6; 8/13; ; 4/7; ; 
Draw; 11/4; 14/5; ; 5/2; 59/20; 11/4; ; ; 45/17; ; 11/4; 13/5; ; 11/4; ; 5/2; 12/5; 27/10; 12/5; 29/10; 45/17; ; 29/10; 57/20; 11/4; ; 23/10; ; 
Guiseley; 9/2; 19/5; ; 7/2; 24/5; 15/4; ; ; 4; ; 19/5; 7/2; ; 15/4; ; 7/2; 17/4; 75/19; 17/4; 19/5; 4; ; 4; 15/4; 4; ; 3; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2018-01-10 18:22:38 GMT+2; 2018-01-13 15:00; Nothing; Xlenovo
AFC Fylde; 8/13; 4/6; ; 7/10; 4/6; 6/10; ; ; 8/13; ; 8/13; 6/10; ; 8/13; ; 7/10; 11/17; 11/17; 11/17; 8/13; 8/13; ; 8/13; 13/20; 11/17; 4/9; ; 
Draw; 11/4; 14/5; ; 5/2; 59/20; 11/4; ; ; 45/17; ; 11/4; 13/5; ; 11/4; ; 5/2; 12/5; 11/4; 12/5; 31/10; 45/17; ; 3; 57/20; 14/5; 12/5; ; 
Guiseley; 9/2; 19/5; ; 7/2; 24/5; 15/4; ; ; 4; ; 4; 4; ; 19/5; ; 7/2; 17/4; 77/19; 17/4; 19/5; 4; ; 21/5; 4; 41/10; 3; ; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2018-01-10 22:22:22 GMT+2; 2018-01-13 15:00; Nothing; Xlenovo
AFC Fylde; 8/13; 4/6; ; 7/10; 16/25; 6/10; ; ; 8/13; ; 8/13; 6/10; ; 8/13; 8/13; 7/10; 11/17; 11/17; 11/17; 8/13; 8/13; ; 8/13; 13/20; 11/17; 4/9; ; 
