META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-15 02:24:59 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Draw; 5/2; 5/2; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 40/17; 23/10; 9/4; ; ; ; 23/10; 12/5; 23/10; 27/11; 53/20; 5/2; 40/17; 5/2; 5/2; 5/2; 27/11; ; ; 11/5; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-19 10:23:44 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 1; 23/20; 11/10; 21/20; 21/20; 41/40; 11/10; 10/11; 24/23; 11/10; 21/20; ; ; ; 11/10; 21/20; 1; 11/10; 117/100; 10/9; 24/23; 11/10; 11/10; 21/20; 15/13; ; ; ; 
Solihull Moors; 13/5; 9/4; 11/5; 9/4; 23/10; 9/4; 23/10; 23/10; 23/10; 11/5; 11/5; ; ; ; 12/5; 9/4; 9/4; 9/4; 61/25; 9/4; 23/10; 23/10; 23/10; 47/20; 23/10; ; ; 9/4; 
Draw; 5/2; 5/2; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 40/17; 23/10; 9/4; ; ; ; 23/10; 12/5; 23/10; 27/11; 53/20; 5/2; 40/17; 5/2; 5/2; 5/2; 27/11; ; ; 11/5; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-19 14:24:46 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 1; 23/20; 11/10; 21/20; 41/40; ; 11/10; 10/11; 24/23; 11/10; 21/20; 21/20; ; 11/10; 11/10; 21/20; 1; 21/20; 117/100; 10/9; 24/23; 11/10; 11/10; 21/20; 11/10; ; ; 10/9; 
Solihull Moors; 13/5; 9/4; 11/5; 9/4; 9/4; ; 23/10; 23/10; 23/10; 11/5; 23/10; 11/5; ; 9/4; 12/5; 9/4; 9/4; 23/10; 61/25; 9/4; 23/10; 23/10; 23/10; 47/20; 23/10; ; ; 9/4; 
Draw; 5/2; 5/2; 23/10; 12/5; 23/10; ; 12/5; 23/10; 40/17; 23/10; 12/5; 9/4; ; 23/10; 23/10; 12/5; 23/10; 27/11; 53/20; 5/2; 40/17; 5/2; 5/2; 5/2; 27/11; ; ; 11/5; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-19 18:24:35 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 1; 23/20; 11/10; 21/20; 41/40; 1; 11/10; 10/11; 24/23; 11/10; 21/20; 21/20; ; 11/10; 11/10; 21/20; 1; 11/10; 119/100; 10/9; ; 11/10; 11/10; 21/20; 11/10; ; ; 10/9; 
Draw; 5/2; 5/2; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 40/17; 23/10; 12/5; 9/4; ; 23/10; 23/10; 12/5; 23/10; 12/5; 129/50; 5/2; ; 5/2; 5/2; 5/2; 27/11; ; ; 21/10; 
Solihull Moors; 13/5; 9/4; 9/4; 9/4; 9/4; 23/10; 23/10; 23/10; 23/10; 9/4; 12/5; 11/5; ; 9/4; 12/5; 9/4; 9/4; 23/10; 49/20; 9/4; ; 23/10; 12/5; 47/20; 40/17; ; ; 23/10; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-19 22:23:40 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 1; 23/20; 11/10; 21/20; 41/40; 1; 11/10; 10/11; 24/23; 11/10; 21/20; 21/20; ; 11/10; 11/10; 21/20; 1; 21/20; 119/100; 10/9; 24/23; 11/10; 11/10; 21/20; 11/10; ; 1; 10/9; 
Draw; 5/2; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 40/17; 23/10; 12/5; 9/4; ; 23/10; 23/10; 23/10; 23/10; 23/10; 129/50; 5/2; 40/17; 5/2; 5/2; 5/2; 12/5; ; 9/4; 21/10; 
Solihull Moors; 13/5; 23/10; 9/4; 9/4; 9/4; 23/10; 23/10; 23/10; 23/10; 9/4; 12/5; 11/5; ; 9/4; 12/5; 23/10; 9/4; 40/17; 49/20; 9/4; 23/10; 23/10; 12/5; 47/20; 40/17; ; 9/4; 23/10; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-20 02:23:42 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 1; 23/20; 11/10; 21/20; 41/40; 1; 11/10; 10/11; 24/23; 11/10; 21/20; 21/20; ; 11/10; 11/10; 21/20; 1; 21/20; 119/100; 10/9; 24/23; 11/10; 11/10; 21/20; 11/10; ; 1; 10/9; 
Draw; 5/2; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 40/17; 23/10; 12/5; 9/4; ; 23/10; 23/10; 23/10; 23/10; 23/10; 129/50; 5/2; 40/17; 5/2; 5/2; 5/2; 12/5; ; 9/4; 21/10; 
Solihull Moors; 13/5; 23/10; 9/4; 9/4; 9/4; 23/10; 23/10; 23/10; 23/10; 9/4; 12/5; 11/5; ; 9/4; 12/5; 23/10; 9/4; 23/10; 49/20; 9/4; 23/10; 23/10; 12/5; 47/20; 40/17; ; 9/4; 23/10; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-20 10:24:46 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 1; 23/20; 11/10; 6/5; 41/40; 1; 11/10; 10/11; 24/23; 11/10; 21/20; 21/20; ; 11/10; 11/10; 11/10; 1; 21/20; 59/50; 10/9; 24/23; 11/10; 11/10; 21/20; 11/10; ; 21/20; 21/20; 
Draw; 5/2; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 40/17; 23/10; 12/5; 9/4; ; 23/10; 23/10; 23/10; 23/10; 23/10; 129/50; 5/2; 40/17; 5/2; 5/2; 5/2; 12/5; ; 9/4; 21/10; 
Solihull Moors; 13/5; 23/10; 9/4; 23/10; 9/4; 23/10; 23/10; 23/10; 23/10; 9/4; 12/5; 11/5; ; 9/4; 12/5; 9/4; 9/4; 23/10; 62/25; 9/4; 23/10; 23/10; 12/5; 47/20; 40/17; ; 9/4; 23/10; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-20 14:25:09 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 1; 23/20; 11/10; 6/5; 41/40; 1; 11/10; 10/11; 24/23; 11/10; 21/20; 21/20; ; 11/10; 11/10; 11/10; 1; 21/20; 59/50; 10/9; 24/23; 11/10; 11/10; 21/20; 11/10; ; 21/20; 10/9; 
Draw; 5/2; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 40/17; 23/10; 12/5; 9/4; ; 23/10; 23/10; 23/10; 23/10; 23/10; 129/50; 5/2; 40/17; 5/2; 5/2; 5/2; 12/5; ; 9/4; 21/10; 
Solihull Moors; 13/5; 23/10; 9/4; 23/10; 9/4; 23/10; 23/10; 23/10; 23/10; 9/4; 12/5; 11/5; ; 9/4; 12/5; 9/4; 9/4; 23/10; 62/25; 9/4; 23/10; 23/10; 12/5; 47/20; 40/17; ; 23/10; 23/10; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-20 18:24:47 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 1; 23/20; 11/10; 6/5; 41/40; 1; 11/10; 10/11; 24/23; 11/10; 21/20; 21/20; ; 11/10; 11/10; 11/10; 1; 21/20; 59/50; 10/9; 24/23; 11/10; 11/10; 21/20; 11/10; ; 21/20; 10/9; 
Draw; 5/2; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 40/17; 23/10; 12/5; 9/4; ; 23/10; 23/10; 23/10; 23/10; 23/10; 129/50; 12/5; 40/17; 5/2; 5/2; 5/2; 12/5; ; 9/4; 21/10; 
Solihull Moors; 13/5; 23/10; 9/4; 23/10; 9/4; 23/10; 23/10; 23/10; 23/10; 9/4; 12/5; 11/5; ; 9/4; 12/5; 9/4; 9/4; 23/10; 62/25; 23/10; 23/10; 23/10; 12/5; 47/20; 40/17; ; 23/10; 23/10; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-20 22:25:51 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 1; 23/20; 11/10; 6/5; 41/40; 1; 11/10; 10/11; 24/23; 11/10; 21/20; 21/20; ; 11/10; 11/10; 11/10; 1; 21/20; 59/50; 10/9; 24/23; 11/10; 11/10; 21/20; 11/10; ; 21/20; 10/9; 
Draw; 5/2; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 40/17; 23/10; 12/5; 9/4; ; 23/10; 23/10; 23/10; 23/10; 23/10; 129/50; 12/5; 40/17; 5/2; 5/2; 5/2; 12/5; ; 12/5; 21/10; 
Solihull Moors; 13/5; 23/10; 9/4; 23/10; 9/4; 23/10; 23/10; 23/10; 23/10; 9/4; 12/5; 11/5; ; 9/4; 12/5; 9/4; 9/4; 23/10; 62/25; 23/10; 23/10; 23/10; 12/5; 47/20; 40/17; ; 9/4; 23/10; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-21 02:25:18 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 1; 23/20; 11/10; 6/5; 41/40; 1; 11/10; 10/11; 24/23; 11/10; 21/20; 21/20; ; 11/10; 11/10; 11/10; 1; 21/20; 59/50; 10/9; 24/23; 11/10; 11/10; 21/20; 11/10; ; 21/20; 10/9; 
Draw; 5/2; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 40/17; 23/10; 12/5; 9/4; ; 23/10; 23/10; 23/10; 23/10; 23/10; 129/50; 12/5; 40/17; 5/2; 12/5; 5/2; 12/5; ; 9/4; 21/10; 
Solihull Moors; 13/5; 23/10; 9/4; 23/10; 9/4; 23/10; 23/10; 23/10; 23/10; 9/4; 12/5; 11/5; ; 9/4; 12/5; 9/4; 9/4; 23/10; 62/25; 23/10; 23/10; 23/10; 12/5; 47/20; 40/17; ; 23/10; 23/10; 
