META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-18 14:23:00 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-22 10:21:32 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/8; 11/8; 23/17; 29/20; 147/100; 13/10; 7/5; ; 4/3; ; 7/5; 11/8; ; 27/20; 11/8; 11/8; 23/17; 23/17; 23/17; 4/3; 7/5; 11/8; 27/20; ; ; 5/4; 27/20; 
Hartlepool; 9/5; 2; 28/15; 19/10; 101/50; 9/5; 9/5; ; 24/13; ; 15/8; 15/8; ; 19/10; 15/8; 9/5; 19/10; 7/4; 15/8; 24/13; 2; 2; 39/20; 19/10; ; 9/5; 13/8; 
Draw; 5/2; 23/10; 11/5; 9/4; 61/25; 9/4; 9/4; ; 9/4; ; 9/4; 2; ; 43/20; 23/10; 21/10; 23/10; 23/10; 40/17; 9/4; 23/10; 23/10; 23/10; 23/10; ; 19/10; 2; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-22 14:22:04 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/8; 11/8; 23/17; 29/20; 147/100; 13/10; 7/5; ; 4/3; ; 7/5; 11/8; ; 27/20; 11/8; 11/8; 23/17; 23/17; 23/17; 4/3; 7/5; 11/8; 27/20; ; ; 5/4; 27/20; 
Hartlepool; 9/5; 2; 28/15; 19/10; 101/50; 9/5; 9/5; ; 24/13; ; 15/8; 15/8; ; 19/10; 15/8; 9/5; 19/10; 7/4; 15/8; 24/13; 2; 2; 39/20; 19/10; ; 9/5; 13/8; 
Draw; 5/2; 23/10; 11/5; 9/4; 61/25; 9/4; 9/4; ; 9/4; ; 9/4; 2; ; 43/20; 23/10; 21/10; 23/10; 23/10; 40/17; 9/4; 23/10; 23/10; 23/10; 23/10; ; 19/10; 2; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-22 18:21:54 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/8; 11/8; 23/17; 29/20; 147/100; ; 7/5; ; 4/3; ; ; 11/8; ; 27/20; 11/8; 11/8; 23/17; 23/17; 13/10; 4/3; 7/5; 11/8; 27/20; ; ; 5/4; 11/8; 
Hartlepool; 9/5; 2; 19/10; 19/10; 101/50; ; 9/5; ; 24/13; 19/10; 15/8; 15/8; ; 19/10; 15/8; 9/5; 19/10; 7/4; 2; 24/13; 2; 2; 39/20; 19/10; ; 9/5; 19/10; 
Draw; 5/2; 23/10; 11/5; 9/4; 61/25; ; 9/4; ; 9/4; ; 9/4; 2; ; 43/20; 23/10; 21/10; 23/10; 23/10; 23/10; 9/4; 23/10; 23/10; 23/10; 23/10; ; 19/10; 21/10; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-22 22:21:26 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/8; 11/8; 23/17; 29/20; 147/100; ; 7/5; ; 4/3; ; 7/5; 11/8; ; 27/20; 11/8; 11/8; 23/17; 23/17; 13/10; 4/3; 7/5; 11/8; 27/20; ; ; 13/10; 11/8; 
Hartlepool; 9/5; 2; 19/10; 19/10; 101/50; ; 9/5; ; 24/13; 19/10; 15/8; 15/8; ; 19/10; 15/8; 9/5; 19/10; 7/4; 2; 24/13; 2; 2; 39/20; 19/10; ; 9/5; 19/10; 
Draw; 5/2; 23/10; 11/5; 9/4; 61/25; ; 9/4; ; 9/4; ; 9/4; 2; ; 43/20; 23/10; 21/10; 23/10; 23/10; 23/10; 9/4; 23/10; 23/10; 23/10; 23/10; ; 19/10; 21/10; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-23 02:21:08 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/8; 11/8; 23/17; 29/20; 147/100; ; 7/5; ; 4/3; ; 7/5; 11/8; ; 27/20; 11/8; 11/8; 23/17; 23/17; 13/10; 4/3; 7/5; 11/8; 27/20; ; ; 13/10; 11/8; 
