FC Copenhagen; 13/2; 5; 11/2; 5; 6; 7; 11/2; 11/2; 11/2; 6; 11/2; 5; 5; 11/2; 11/2; 11/2; ; 6; 11/2; 6; 11/2; 6; 22/5; ; ; ; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-30 04:15:37 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 1/2; 8/15; 11/20; 11/20; 1/2; 1/2; 1/2; 8/15; 8/15; 11/21; 8/15; 1/2; 1/2; 8/15; 8/15; 11/20; ; 11/21; 10/21; 1/2; 1/2; 6/11; 7/12; ; ; ; ; 
Draw; 11/4; 3; 29/10; 3; 3; 3; 3; 11/4; 3; 16/5; 3; 14/5; 14/5; 3; 14/5; 3; ; 16/5; 16/5; 3; 3; 33/10; 37/13; ; ; ; ; 
FC Copenhagen; 13/2; 5; 11/2; 5; 6; 7; 11/2; 11/2; 11/2; 6; 11/2; 5; 5; 11/2; 11/2; 11/2; ; 6; 11/2; 6; 57/10; 6; 22/5; ; ; ; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-30 08:15:35 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 1/2; 8/15; 11/20; 11/20; 1/2; 1/2; 1/2; 8/15; 8/15; 11/21; 8/15; 1/2; 1/2; 8/15; 8/15; 11/20; ; 11/21; 10/21; 1/2; 1/2; ; 7/12; ; ; 1/2; ; 
Draw; 11/4; 3; 29/10; 3; 3; 3; 3; 11/4; 3; 16/5; 3; 14/5; 14/5; 3; 14/5; 3; ; 16/5; 16/5; 3; 3; ; 37/13; ; ; 3; ; 
FC Copenhagen; 13/2; 11/2; 11/2; 5; 6; 7; 11/2; 11/2; 11/2; 6; 11/2; 5; 5; 11/2; 11/2; 11/2; ; 6; 11/2; 6; 57/10; ; 22/5; ; ; 29/5; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-30 12:15:40 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 1/2; 8/15; 11/20; 11/20; 1/2; 1/2; 1/2; 8/15; 8/15; 11/21; 8/15; 1/2; 1/2; 8/15; 8/15; 11/20; ; 11/21; 10/21; 1/2; 1/2; ; 7/12; ; ; ; ; 
Draw; 11/4; 3; 29/10; 3; 3; 3; 3; 11/4; 3; 16/5; 3; 14/5; 14/5; 3; 14/5; 3; ; 16/5; 16/5; 3; 3; ; 37/13; ; ; ; ; 
FC Copenhagen; 13/2; 11/2; 11/2; 5; 6; 7; 11/2; 11/2; 11/2; 6; 11/2; 5; 5; 11/2; 11/2; 11/2; ; 6; 11/2; 6; 57/10; ; 22/5; ; ; ; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-30 16:15:36 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 1/2; 8/15; 11/20; 11/20; 1/2; 1/2; 1/2; 8/15; 8/15; 11/21; 8/15; 1/2; 1/2; 8/15; 8/15; 11/20; ; 11/21; 10/21; 1/2; 1/2; 6/11; 7/12; ; ; ; ; 
Draw; 11/4; 3; 29/10; 3; 3; 3; 3; 11/4; 3; 16/5; 3; 14/5; 14/5; 3; 14/5; 3; ; 16/5; 16/5; 3; 3; 33/10; 37/13; ; ; ; ; 
FC Copenhagen; 13/2; 11/2; 11/2; 5; 6; 7; 11/2; 11/2; 11/2; 6; 11/2; 5; 5; 11/2; 11/2; 11/2; ; 6; 11/2; 6; 57/10; 6; 22/5; ; ; ; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-30 20:15:34 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 1/2; 8/15; 11/20; 11/20; 1/2; 1/2; 1/2; 8/15; 8/15; 11/21; 8/15; 1/2; 1/2; 8/15; 8/15; 11/20; ; 11/21; 10/21; 1/2; 1/2; 6/11; 7/12; ; ; 1/2; ; 
Draw; 11/4; 3; 29/10; 3; 3; 3; 3; 11/4; 3; 16/5; 3; 14/5; 14/5; 3; 14/5; 3; ; 16/5; 16/5; 3; 3; 33/10; 37/13; ; ; 3; ; 
FC Copenhagen; 13/2; 11/2; 11/2; 5; 6; 7; 11/2; 11/2; 11/2; 6; 11/2; 5; 5; 11/2; 11/2; 11/2; ; 6; 11/2; 6; 57/10; 6; 22/5; ; ; 29/5; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-31 00:15:33 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 1/2; 8/15; 11/20; 11/20; 1/2; 1/2; 1/2; 8/15; 8/15; 11/21; 8/15; 1/2; 1/2; 8/15; 8/15; 11/20; ; 11/21; 10/21; 1/2; 1/2; 6/11; 7/12; ; ; ; ; 
Draw; 11/4; 3; 29/10; 3; 3; 3; 3; 11/4; 3; 16/5; 3; 14/5; 14/5; 3; 14/5; 3; ; 16/5; 16/5; 3; 3; 33/10; 37/13; ; ; ; ; 
FC Copenhagen; 13/2; 11/2; 11/2; 5; 6; 7; 11/2; 11/2; 11/2; 6; 11/2; 5; 5; 11/2; 11/2; 11/2; ; 6; 11/2; 6; 57/10; 6; 22/5; ; ; ; ; 
META; champions-league/porto-v-fc-copenhagen; 2016-08-31 04:15:37 GMT+3; 2016-09-14 19:45; e70300-dr003
Porto; 1/2; 8/15; 11/20; 11/20; 1/2; 1/2; 1/2; 8/15; 8/15; 11/21; 8/15; 1/2; 1/2; 8/15; 8/15; 11/20; ; 11/21; 10/21; 1/2; 1/2; 6/11; ; ; ; ; ; 
Draw; 11/4; 3; 29/10; 3; 3; 3; 3; 11/4; 3; 16/5; 3; 14/5; 14/5; 3; 14/5; 3; ; 16/5; 16/5; 3; 3; 33/10; ; ; ; ; ; 
