Roma; 11/5; 85/40; 21/10; 21/10; 21/10; 41/20; 21/10; 2; 85/40; 12/5; 21/10; 11/5; 2; 11/5; 21/10; 21/10; 11/5; 12/5; 11/5; 12/5; 39/19; 44/19; 21/10; ; ; ; 
Draw; 12/5; 21/10; 41/20; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 11/5; 21/10; 9/4; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 28/13; 40/17; 12/5; ; ; ; 
META; champions-league/porto-v-roma; 2016-08-09 04:15:30 GMT+3; 2016-08-17 19:45; e70300-dr003
Porto; 6/5; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 1; 13/10; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 23/17; 5/4; ; 5/4; ; 
Roma; 11/5; 85/40; 21/10; 21/10; 21/10; 41/20; 21/10; 2; 85/40; 12/5; 21/10; 11/5; 2; 11/5; 21/10; 21/10; 11/5; 12/5; 11/5; 12/5; 39/19; 44/19; 21/10; ; 19/10; ; 
Draw; 12/5; 21/10; 41/20; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 11/5; 21/10; 9/4; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 28/13; 40/17; 12/5; ; 11/5; ; 
META; champions-league/porto-v-roma; 2016-08-09 08:15:29 GMT+3; 2016-08-17 19:45; e70300-dr003
Porto; 6/5; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 1; 13/10; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 23/17; 5/4; ; ; ; 
Roma; 11/5; 85/40; 21/10; 21/10; 21/10; 41/20; 21/10; 2; 85/40; 12/5; 21/10; 11/5; 2; 11/5; 21/10; 21/10; 11/5; 12/5; 11/5; 12/5; 39/19; 44/19; 21/10; ; ; ; 
Draw; 12/5; 21/10; 41/20; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 11/5; 21/10; 9/4; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 28/13; 40/17; 12/5; ; ; ; 
META; champions-league/porto-v-roma; 2016-08-09 12:15:32 GMT+3; 2016-08-17 19:45; e70300-dr003
Porto; 6/5; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 1; 13/10; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 23/17; 5/4; ; 5/4; ; 
Roma; 11/5; 85/40; 21/10; 21/10; 21/10; 41/20; 21/10; 2; 85/40; 12/5; 21/10; 11/5; 2; 11/5; 21/10; 21/10; 11/5; 12/5; 11/5; 12/5; 39/19; 44/19; 21/10; ; 19/10; ; 
Draw; 12/5; 21/10; 41/20; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 11/5; 21/10; 9/4; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 28/13; 40/17; 12/5; ; 11/5; ; 
META; champions-league/porto-v-roma; 2016-08-09 16:15:31 GMT+3; 2016-08-17 19:45; e70300-dr003
Porto; 6/5; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 1; 13/10; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 23/17; 5/4; ; ; ; 
Roma; 11/5; 85/40; 21/10; 21/10; 21/10; 41/20; 21/10; 2; 85/40; 12/5; 21/10; 11/5; 2; 11/5; 21/10; 21/10; 11/5; 12/5; 11/5; 12/5; 39/19; 44/19; 21/10; ; ; ; 
Draw; 12/5; 21/10; 41/20; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 11/5; 21/10; 9/4; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 28/13; 40/17; 12/5; ; ; ; 
META; champions-league/porto-v-roma; 2016-08-09 20:15:30 GMT+3; 2016-08-17 19:45; e70300-dr003
Porto; 6/5; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 1; 13/10; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 23/17; 5/4; ; ; ; 
Roma; 11/5; 11/5; 21/10; 21/10; 21/10; 41/20; 21/10; 2; 85/40; 12/5; 21/10; 11/5; 2; 11/5; 21/10; 21/10; 11/5; 12/5; 11/5; 12/5; 39/19; 44/19; 21/10; ; ; ; 
Draw; 12/5; 85/40; 41/20; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 11/5; 21/10; 9/4; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 28/13; 40/17; 12/5; ; ; ; 
META; champions-league/porto-v-roma; 2016-08-10 00:15:30 GMT+3; 2016-08-17 19:45; e70300-dr003
Porto; 6/5; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 1; 13/10; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 23/17; 5/4; ; 5/4; ; 
Roma; 11/5; 11/5; 21/10; 21/10; 21/10; 41/20; 21/10; 2; 85/40; 12/5; 21/10; 11/5; 2; 11/5; 21/10; 21/10; 11/5; 12/5; 11/5; 12/5; 39/19; 44/19; 21/10; ; 19/10; ; 
Draw; 12/5; 85/40; 41/20; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 11/5; 21/10; 9/4; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 28/13; 40/17; 12/5; ; 11/5; ; 
META; champions-league/porto-v-roma; 2016-08-10 04:15:31 GMT+3; 2016-08-17 19:45; e70300-dr003
Porto; 6/5; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 1; 13/10; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 23/17; 5/4; ; 6/5; ; 
Roma; 11/5; 11/5; 21/10; 21/10; 21/10; 41/20; 21/10; 2; 85/40; 12/5; 21/10; 11/5; 2; 11/5; 21/10; 21/10; 11/5; 12/5; 11/5; 12/5; 39/19; 44/19; 21/10; ; 2; ; 
Draw; 12/5; 85/40; 41/20; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 11/5; 21/10; 9/4; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 28/13; 40/17; 12/5; ; 11/5; ; 
META; champions-league/porto-v-roma; 2016-08-10 08:15:30 GMT+3; 2016-08-17 19:45; e70300-dr003
Porto; 6/5; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 1; 13/10; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 23/17; 5/4; ; 6/5; ; 
Roma; 11/5; 11/5; 21/10; 21/10; 21/10; 41/20; 21/10; 2; 85/40; 12/5; 21/10; 11/5; 2; 11/5; 21/10; 21/10; 11/5; 12/5; 11/5; 12/5; 39/19; 44/19; 21/10; ; 21/10; ; 
Draw; 12/5; 21/10; 41/20; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 11/5; 21/10; 9/4; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 28/13; 40/17; 12/5; ; 11/5; ; 
META; champions-league/porto-v-roma; 2016-08-10 12:15:32 GMT+3; 2016-08-17 19:45; e70300-dr003
Porto; 6/5; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 5/4; 13/10; 1; 13/10; 13/10; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 23/17; 5/4; ; 6/5; ; 
Roma; 11/5; 85/40; 21/10; 21/10; 21/10; 41/20; 21/10; 2; 85/40; 12/5; 21/10; 11/5; 2; 11/5; 21/10; 21/10; 11/5; 12/5; 11/5; 12/5; 39/19; 44/19; 21/10; ; 21/10; ; 
Draw; 12/5; 21/10; 41/20; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 11/5; 21/10; 9/4; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 21/10; 40/17; 12/5; ; 11/5; ; 
META; champions-league/porto-v-roma; 2016-08-10 16:15:32 GMT+3; 2016-08-17 19:45; e70300-dr003
Porto; 6/5; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 23/17; 13/10; 1; 13/10; 27/20; 13/10; 13/10; 5/4; 23/17; 5/4; 27/20; 5/4; 23/17; 5/4; ; 5/4; ; 
Roma; 11/5; 85/40; 21/10; 21/10; 21/10; 41/20; 21/10; 2; 85/40; 11/5; 21/10; 11/5; 2; 21/10; 21/10; 21/10; 11/5; 11/5; 11/5; 11/5; 39/19; 44/19; 21/10; ; 19/10; ; 
Draw; 12/5; 21/10; 41/20; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 11/5; 21/10; 9/4; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 28/13; 40/17; 12/5; ; 11/5; ; 
META; champions-league/porto-v-roma; 2016-08-10 20:15:32 GMT+3; 2016-08-17 19:45; e70300-dr003
Porto; 6/5; 13/10; 13/10; 11/8; 13/10; 5/4; 13/10; 13/10; 13/10; 23/17; 13/10; 1; 13/10; 27/20; 13/10; 13/10; 5/4; 23/17; 5/4; 27/20; 5/4; 23/17; 5/4; ; 5/4; ; 
Roma; 11/5; 85/40; 21/10; 11/5; 21/10; 21/10; 21/10; 2; 85/40; 11/5; 21/10; 11/5; 2; 21/10; 21/10; 21/10; 11/5; 11/5; 11/5; 11/5; 39/19; 44/19; 21/10; ; 19/10; ; 
Draw; 12/5; 21/10; 41/20; 21/10; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; 11/5; 21/10; 9/4; 21/10; 11/5; 9/4; 11/5; 11/5; 11/5; 28/13; 40/17; 12/5; ; 9/4; ; 
META; champions-league/porto-v-roma; 2016-08-11 00:15:30 GMT+3; 2016-08-17 19:45; e70300-dr003
