Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 11; 12; 17/2; 10; 11; 43/4; 9; 11; 43/4; 23/2; 10; 11; 9; 11; ; 1/14; 39/5; 57/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-20 04:15:06 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 2/7; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 3/10; 3/10; 3/10; 3/10; ; 2/7; 1/4; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 7/2; 17/4; 4; 9/2; 4; 4; 9/2; 17/4; 9/2; 21/5; 4; 21/5; 21/5; 23/5; 43/10; 21/5; 4; 21/5; ; 21/5; 7/2; 21/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 10; 12; 17/2; 10; 11; 43/4; 9; 11; 43/4; 23/2; 10; 11; 9; 11; ; 37/5; 39/5; 57/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-20 08:15:06 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 2/7; 3/10; 30/100; 3/10; 3/10; 3/10; 3/10; 2/7; 8/25; 3/10; 3/10; 3/10; 3/10; ; 2/7; 1/4; 1/3
Draw; 4; 4; 4; 4; 9/2; 4; 17/4; 7/2; 17/4; 4; 9/2; 4; 4; 9/2; 17/4; 9/2; 54/13; 4; 21/5; 21/5; 23/5; 43/10; 21/5; 4; 21/5; ; 21/5; 7/2; 21/5
Leicester; 10; 10; 11; 10; 10; 10; 11; 8; 10; 11; 11; 10; 12; 17/2; 10; 11; 10; 9; 11; 43/4; 23/2; 143/15; 11; 9; 11; ; 37/5; 39/5; 57/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-20 12:15:06 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 1/3; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 2/7; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 3/10; 3/10; ; 3/10; 3/10; 1/3
Draw; 4; 19/5; 4; 4; 9/2; 4; 17/4; 7/2; 17/4; 4; 9/2; 4; 4; 9/2; 17/4; 9/2; 54/13; 4; 21/5; 54/13; 23/5; 43/10; 21/5; 4; 21/5; ; 21/5; 4; 21/5
Leicester; 10; 9; 11; 10; 10; 10; 11; 8; 10; 10; 11; 10; 12; 9; 10; 11; 43/4; 9; 11; 43/4; 23/2; 9; 11; 9; 11; ; 37/5; 17/2; 57/5
META; champions-league/atletico-madrid-v-leicester; 2017-03-20 16:15:07 GMT+2; 2017-04-12 18:45; e70300-dr003
Atletico Madrid; 2/7; 1/3; 3/10; 3/10; 3/10; 3/10; 2/7; 1/3; 3/10; 3/10; 1/4; 3/10; 2/7; 3/10; 30/100; 3/10; 2/7; 3/10; 3/10; 2/7; 8/25; 4/13; 3/10; 2/7; 3/10; ; 3/10; 3/10; 1/3
