META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-03 00:15:02 GMT+3; 2016-07-05 16:00; e70300-dr003
FC Santa Coloma; 7; 6; 11/2; 11/2; 11/2; 5; 13/2; 5; ; 13/2; 11/2; ; ; 6; ; 6; 6; 6; 13/2; 13/2; 13/2; 6; ; ; ; 34/5; 31/5; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-05 11:45:06 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 2/5; 4/9; 4/9; 2/5; 4/9; 17/40; 1/2; 4/9; ; 2/5; 10/21; ; ; 21/50; 1/2; 9/20; 1/2; 7/19; 2/5; 4/9; 2/5; 7/19; ; ; ; 4/9; 4/9; 
Draw; 3; 3; 11/4; 14/5; 11/4; 14/5; 16/5; 16/5; ; 16/5; 3; ; ; 57/20; 29/10; 16/5; 3; 56/19; 16/5; 31/10; 3; 56/19; ; ; ; 3; 3; 
FC Santa Coloma; 6; 13/2; 6; 6; 6; 11/2; 13/2; 5; ; 73/10; 13/2; ; ; 13/2; 7; 6; 13/2; 27/4; 73/10; 13/2; 36/5; 27/4; ; ; ; 36/5; 36/5; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-05 12:15:08 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 2/5; 1/2; 4/9; 4/9; 4/9; 4/9; 1/2; 4/9; ; 2/5; 1/2; ; ; 9/20; 1/2; 1/2; 1/2; 2/5; 2/5; 4/9; 2/5; 2/5; ; ; ; 4/9; 4/9; 
Draw; 3; 14/5; 11/4; 11/4; 11/4; 11/4; 16/5; 11/4; ; 16/5; 14/5; ; ; 14/5; 14/5; 14/5; 3; 29/10; 16/5; 31/10; 3; 29/10; ; ; ; 3; 3; 
FC Santa Coloma; 6; 6; 6; 6; 6; 5; 13/2; 11/2; ; 73/10; 6; ; ; 6; 13/2; 6; 13/2; 6; 73/10; 13/2; 36/5; 6; ; ; ; 36/5; 7; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-05 12:26:47 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 2/5; 1/2; 4/9; 4/9; 4/9; 4/9; 1/2; 4/9; ; 2/5; 1/2; ; ; 9/20; 1/2; 1/2; 1/2; 2/5; 2/5; 4/9; 2/5; 2/5; ; ; ; 4/9; 4/9; 
Draw; 3; 14/5; 11/4; 11/4; 11/4; 11/4; 31/10; 11/4; ; 16/5; 14/5; ; ; 14/5; 14/5; 14/5; 3; 29/10; 16/5; 31/10; 3; 29/10; ; ; ; 3; 3; 
FC Santa Coloma; 6; 6; 6; 6; 6; 5; 13/2; 11/2; ; 73/10; 13/2; ; ; 6; 7; 6; 13/2; 6; 73/10; 13/2; 36/5; 6; ; ; ; 7; 34/5; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-05 13:45:03 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 1/3; 4/11; 4/11; 4/11; 4/11; 4/11; 2/5; 2/5; ; 2/5; 2/5; ; ; 4/11; 2/5; 4/11; 2/5; 1/3; 2/5; 2/5; 2/5; 1/3; ; ; ; 2/5; 4/9; 
Draw; 3; 16/5; 3; 3; 3; 14/5; 17/5; 3; ; 16/5; 16/5; ; ; 3; 16/5; 10/3; 10/3; 41/13; 16/5; 10/3; 3; 41/13; ; ; ; 3; 10/3; 
FC Santa Coloma; 7; 15/2; 7; 7; 7; 13/2; 9; 7; ; 73/10; 8; ; ; 15/2; 9; 8; 8; 29/4; 73/10; 27/4; 36/5; 29/4; ; ; ; 17/2; 38/5; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-05 15:45:03 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 3/10; 4/11; 1/3; 1/3; 1/3; 1/3; 4/11; 3/10; ; 6/17; 4/11; ; ; 1/3; 7/20; 4/11; 4/11; 6/17; 6/17; 4/11; 1/3; 6/17; ; ; ; 2/5; 2/5; 
Draw; 16/5; 16/5; 16/5; 3; 16/5; 3; 18/5; 10/3; ; 7/2; 10/3; ; ; 3; 17/5; 10/3; 10/3; 33/10; 7/2; 18/5; 7/2; 33/10; ; ; ; 10/3; 10/3; 
FC Santa Coloma; 8; 17/2; 8; 8; 8; 7; 10; 9; ; 8; 17/2; ; ; 17/2; 17/2; 17/2; 9; 31/4; 8; 29/4; 8; 31/4; ; ; ; 10; 48/5; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-05 16:15:08 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 4/11; 2/5; 4/11; 4/11; 4/11; 4/11; 2/5; 1/3; ; 6/17; 2/5; ; ; 4/11; 2/5; 2/5; 2/5; 4/11; 6/17; 2/5; 1/3; 4/11; ; ; ; 2/5; 2/5; 
Draw; 14/5; 3; 3; 14/5; 3; 14/5; 7/2; 16/5; ; 7/2; 16/5; ; ; 3; 3; 16/5; 10/3; 13/4; 7/2; 13/4; 7/2; 13/4; ; ; ; 3; 3; 
FC Santa Coloma; 13/2; 8; 15/2; 7; 15/2; 13/2; 8; 17/2; ; 8; 15/2; ; ; 15/2; 8; 15/2; 8; 15/2; 8; 15/2; 8; 15/2; ; ; ; 9; 43/5; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-05 17:45:03 GMT+3; 2016-07-05 16:00; e70300-dr003
Alashkert; 4/9; 2/5; 4/11; 2/5; 4/11; 2/5; 9/20; 1/3; ; 2/5; 4/9; ; ; 2/5; 4/9; 4/9; 4/9; 2/5; 2/5; 4/11; 2/5; 2/5; ; ; ; 4/9; 4/9; 
Draw; 11/4; 14/5; 3; 11/4; 3; 13/5; 31/10; 16/5; ; 13/4; 14/5; ; ; 11/4; 29/10; 14/5; 3; 56/19; 13/4; 16/5; 3; 56/19; ; ; ; 3; 3; 
FC Santa Coloma; 7; 8; 7; 7; 7; 13/2; 8; 17/2; ; 7; 15/2; ; ; 15/2; 15/2; 8; 8; 29/4; 7; 19/2; 7; 29/4; ; ; ; 17/2; 43/5; 
META; champions-league/alashkert-v-fc-santa-coloma; 2016-07-05 19:45:03 GMT+3; 2016-07-05 16:00; In Play; e70300-dr003
Alashkert; ; 1/10000; 4/11; 1/50; 4/11; ; ; ; ; ; 1/10000; ; ; ; 1/40; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 200; 3; 150; 3; ; ; 500; ; ; ; ; ; ; 18; ; ; ; ; ; ; ; ; ; ; ; ; 
FC Santa Coloma; ; 500; 7; 100; 7; ; ; 500; ; ; ; ; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
