META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-03 00:15:13 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 29/20; 6/4; 31/20; 6/4; 27/20; 31/20; ; 6/4; 17/11; 6/4; 6/4; 11/8; 7/5; 6/4; 7/5; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 13/8; 13/10; ; 8/5; 6/4; 
Lincoln Red Imps FC; 15/8; 7/4; 13/8; 7/4; 13/8; 13/8; 7/4; ; 9/5; 8/5; 7/4; 17/10; 9/5; 33/20; 7/4; 37/20; 7/4; 17/11; 8/5; 7/4; 8/5; 17/11; 9/5; 8/5; ; 13/8; 6/4; 
Draw; 23/10; 9/4; 11/5; 23/10; 11/5; 43/20; 5/2; ; 23/10; 23/10; 23/10; 9/4; 11/5; 9/4; 12/5; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 23/10; 23/10; ; 11/5; 2; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 07:45:24 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 29/20; 6/4; 31/20; 6/4; 27/20; 31/20; ; 6/4; 17/11; 6/4; 6/4; 11/8; 7/5; 6/4; 7/5; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 13/8; 13/10; ; ; 6/4; 
Lincoln Red Imps FC; 15/8; 7/4; 13/8; 7/4; 13/8; 13/8; 7/4; ; 9/5; 8/5; 7/4; 17/10; 9/5; 33/20; 7/4; 37/20; 7/4; 17/11; 8/5; 7/4; 8/5; 17/11; 9/5; 8/5; ; ; 6/4; 
Draw; 23/10; 9/4; 11/5; 23/10; 11/5; 43/20; 5/2; ; 23/10; 23/10; 23/10; 9/4; 11/5; 9/4; 12/5; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 23/10; 23/10; ; ; 2; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 08:15:09 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 29/20; 6/4; 31/20; 6/4; 27/20; 31/20; ; 6/4; 17/11; 6/4; 6/4; 11/8; 7/5; 6/4; 7/5; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 13/8; 13/10; ; 8/5; 6/4; 
Lincoln Red Imps FC; 15/8; 7/4; 13/8; 7/4; 13/8; 13/8; 7/4; ; 9/5; 8/5; 7/4; 17/10; 9/5; 33/20; 7/4; 37/20; 7/4; 17/11; 8/5; 7/4; 8/5; 17/11; 9/5; 8/5; ; 13/8; 6/4; 
Draw; 23/10; 9/4; 11/5; 23/10; 11/5; 43/20; 5/2; ; 23/10; 23/10; 23/10; 9/4; 11/5; 9/4; 12/5; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 23/10; 23/10; ; 11/5; 2; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 09:45:20 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 29/20; 6/4; 31/20; 6/4; 7/5; 8/5; ; 6/4; 17/11; 6/4; 6/4; 11/8; 29/20; 8/5; 6/4; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 13/8; 13/10; ; 8/5; 6/4; 
Lincoln Red Imps FC; 15/8; 7/4; 13/8; 7/4; 13/8; 31/20; 7/4; ; 7/4; 8/5; 17/10; 17/10; 9/5; 13/8; 17/10; 17/10; 7/4; 17/11; 8/5; 7/4; 8/5; 17/11; 9/5; 8/5; ; 17/10; 6/4; 
Draw; 23/10; 9/4; 11/5; 23/10; 11/5; 43/20; 12/5; ; 23/10; 23/10; 23/10; 9/4; 11/5; 11/5; 9/4; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 23/10; 23/10; ; 11/5; 2; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 11:45:29 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 6/4; 6/4; 31/20; 6/4; 7/5; 8/5; ; 6/4; 17/11; 6/4; 6/4; 29/20; 29/20; 8/5; 6/4; 17/11; 7/5; 17/11; 7/5; 6/4; 7/5; 13/8; 13/10; ; 8/5; 6/4; 
Lincoln Red Imps FC; 15/8; 17/10; 13/8; 17/10; 13/8; 31/20; 7/4; ; 7/4; 8/5; 17/10; 13/8; 17/10; 13/8; 17/10; 17/10; 8/5; 17/11; 8/5; 7/4; 8/5; 17/11; 9/5; 8/5; ; 13/8; 6/4; 
Draw; 23/10; 9/4; 11/5; 12/5; 11/5; 43/20; 12/5; ; 23/10; 23/10; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 23/10; 23/10; ; 23/10; 21/10; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 12:15:15 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 6/4; 6/4; 31/20; 6/4; 7/5; 8/5; ; 6/4; 17/11; 6/4; 6/4; 29/20; 29/20; 8/5; 6/4; 17/11; 7/5; 17/11; 7/5; 6/4; 7/5; 13/8; 13/10; ; ; 6/4; 
Lincoln Red Imps FC; 15/8; 17/10; 13/8; 17/10; 13/8; 31/20; 7/4; ; 7/4; 8/5; 17/10; 13/8; 17/10; 13/8; 17/10; 17/10; 8/5; 17/11; 8/5; 7/4; 8/5; 17/11; 9/5; 8/5; ; ; 6/4; 
Draw; 23/10; 9/4; 11/5; 12/5; 11/5; 43/20; 12/5; ; 23/10; 23/10; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 23/10; 23/10; ; ; 21/10; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 12:27:09 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 6/4; 6/4; 31/20; 6/4; 7/5; 8/5; ; 6/4; 17/11; 6/4; 6/4; 29/20; 29/20; 8/5; 6/4; 17/11; 7/5; 17/11; 7/5; 6/4; 7/5; 13/8; 13/10; ; 8/5; 6/4; 
Lincoln Red Imps FC; 15/8; 17/10; 13/8; 17/10; 13/8; 31/20; 7/4; ; 7/4; 8/5; 17/10; 13/8; 17/10; 13/8; 17/10; 17/10; 8/5; 17/11; 8/5; 7/4; 8/5; 17/11; 9/5; 8/5; ; 13/8; 6/4; 
Draw; 23/10; 9/4; 11/5; 12/5; 11/5; 43/20; 12/5; ; 23/10; 23/10; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 23/10; 23/10; ; 23/10; 21/10; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 13:45:23 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 6/4; 6/4; 31/20; 6/4; 7/5; 8/5; ; 6/4; 17/11; 6/4; 6/4; 29/20; 29/20; 8/5; 6/4; 17/11; 7/5; 17/11; 7/5; 6/4; 7/5; 13/8; 13/10; ; 8/5; 6/4; 
Lincoln Red Imps FC; 15/8; 17/10; 13/8; 17/10; 13/8; 31/20; 7/4; ; 7/4; 8/5; 17/10; 13/8; 17/10; 13/8; 17/10; 17/10; 8/5; 17/11; 8/5; 7/4; 8/5; 17/11; 9/5; 8/5; ; 13/8; 6/4; 
Draw; 23/10; 9/4; 11/5; 12/5; 11/5; 43/20; 12/5; ; 23/10; 23/10; 23/10; 23/10; 11/5; 11/5; 9/4; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 23/10; 23/10; ; 23/10; 21/10; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 15:45:31 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 29/20; 6/4; 31/20; 6/4; 11/8; 8/5; ; 6/4; 17/11; 6/4; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 28/17; 13/10; ; 8/5; 6/4; 
Lincoln Red Imps FC; 15/8; 7/4; 13/8; 17/10; 13/8; 8/5; 7/4; ; 7/4; 8/5; 7/4; 17/10; 17/10; 33/20; 7/4; 17/10; 7/4; 17/11; 8/5; 7/4; 8/5; 17/11; 23/13; 8/5; ; 13/8; 13/8; 
Draw; 23/10; 9/4; 11/5; 12/5; 11/5; 43/20; 12/5; ; 23/10; 23/10; 23/10; 9/4; 11/5; 11/5; 23/10; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 23/10; 23/10; ; 23/10; 11/5; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 16:15:15 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 29/20; 6/4; 31/20; 6/4; 11/8; 8/5; ; 6/4; 17/11; 6/4; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 28/17; 13/10; ; 8/5; 6/4; 
Lincoln Red Imps FC; 15/8; 7/4; 13/8; 17/10; 13/8; 8/5; 7/4; ; 7/4; 8/5; 7/4; 17/10; 17/10; 33/20; 7/4; 17/10; 7/4; 17/11; 8/5; 7/4; 8/5; 17/11; 23/13; 8/5; ; 13/8; 13/8; 
Draw; 23/10; 9/4; 11/5; 12/5; 11/5; 43/20; 12/5; ; 23/10; 23/10; 23/10; 9/4; 11/5; 11/5; 23/10; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 23/10; 23/10; ; 23/10; 11/5; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 17:45:19 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 6/4; 6/4; 6/4; 6/4; 11/8; 8/5; ; 6/4; 17/11; 6/4; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 28/17; 13/10; ; 13/8; 6/4; 
Lincoln Red Imps FC; 15/8; 7/4; 13/8; 17/10; 13/8; 8/5; 7/4; ; 7/4; 8/5; 7/4; 17/10; 17/10; 33/20; 7/4; 17/10; 7/4; 8/5; 8/5; 7/4; 8/5; 8/5; 23/13; 8/5; ; 13/8; 13/8; 
Draw; 23/10; 11/5; 11/5; 12/5; 11/5; 43/20; 12/5; ; 23/10; 23/10; 23/10; 9/4; 11/5; 11/5; 23/10; 23/10; 12/5; 21/10; 23/10; 5/2; 23/10; 21/10; 23/10; 23/10; ; 11/5; 11/5; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 18:18:33 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 6/4; 6/4; 8/5; 6/4; 11/8; 8/5; ; 6/4; 17/11; 6/4; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 28/17; 13/10; ; 13/8; 6/4; 
Lincoln Red Imps FC; 15/8; 17/10; 13/8; 17/10; 13/8; 8/5; 7/4; ; 7/4; 8/5; 7/4; 17/10; 17/10; 33/20; 7/4; 17/10; 7/4; 8/5; 8/5; 7/4; 8/5; 8/5; 23/13; 8/5; ; 13/8; 6/4; 
Draw; 23/10; 9/4; 11/5; 23/10; 11/5; 43/20; 12/5; ; 23/10; 23/10; 23/10; 9/4; 11/5; 11/5; 23/10; 23/10; 12/5; 21/10; 23/10; 5/2; 23/10; 21/10; 23/10; 23/10; ; 11/5; 21/10; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 19:45:27 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 6/4; 6/4; 8/5; 6/4; 11/8; 8/5; ; 6/4; 17/11; 6/4; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 28/17; 13/10; ; 13/8; 6/4; 
Lincoln Red Imps FC; 15/8; 7/4; 13/8; 17/10; 13/8; 8/5; 7/4; ; 7/4; 8/5; 7/4; 17/10; 17/10; 33/20; 7/4; 17/10; 7/4; 8/5; 8/5; 7/4; 8/5; 8/5; 23/13; 8/5; ; 13/8; 6/4; 
Draw; 23/10; 11/5; 11/5; 23/10; 11/5; 43/20; 12/5; ; 23/10; 23/10; 23/10; 9/4; 11/5; 11/5; 23/10; 23/10; 12/5; 21/10; 23/10; 5/2; 23/10; 21/10; 23/10; 23/10; ; 11/5; 21/10; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 20:15:08 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 6/4; 6/4; 8/5; 6/4; 11/8; 8/5; ; 6/4; 17/11; 6/4; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 16/11; 17/11; 7/5; 6/4; 16/11; 28/17; 13/10; ; ; 6/4; 
Lincoln Red Imps FC; 15/8; 17/10; 13/8; 9/5; 13/8; 8/5; 7/4; ; 7/4; 8/5; 7/4; 17/10; 17/10; 33/20; 7/4; 17/10; 7/4; 8/5; 8/5; 7/4; 8/5; 8/5; 23/13; 8/5; ; ; 13/8; 
Draw; 23/10; 9/4; 11/5; 11/5; 11/5; 43/20; 12/5; ; 23/10; 23/10; 23/10; 9/4; 11/5; 11/5; 23/10; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 23/10; 23/10; ; ; 11/5; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 21:45:19 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 6/4; 6/4; 8/5; 6/4; 11/8; 8/5; ; 6/4; 17/11; 6/4; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 16/11; 17/11; 7/5; 6/4; 16/11; 29/18; 13/10; ; 13/8; 6/4; 
Lincoln Red Imps FC; 15/8; 7/4; 13/8; 9/5; 13/8; 8/5; 7/4; ; 7/4; 8/5; 7/4; 17/10; 17/10; 33/20; 7/4; 17/10; 7/4; 8/5; 8/5; 7/4; 8/5; 8/5; 23/13; 8/5; ; 13/8; 13/8; 
Draw; 23/10; 11/5; 11/5; 11/5; 11/5; 43/20; 12/5; ; 23/10; 23/10; 23/10; 9/4; 11/5; 11/5; 23/10; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 26/11; 23/10; ; 11/5; 11/5; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-05 23:45:05 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 6/4; 6/4; 8/5; 6/4; 11/8; 8/5; ; 6/4; 17/11; 6/4; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 16/11; 17/11; 7/5; 6/4; 16/11; 29/18; 13/10; ; 13/8; 6/4; 
Lincoln Red Imps FC; 15/8; 17/10; 13/8; 9/5; 13/8; 8/5; 7/4; ; 7/4; 8/5; 7/4; 17/10; 17/10; 33/20; 7/4; 17/10; 7/4; 8/5; 8/5; 7/4; 8/5; 8/5; 23/13; 8/5; ; 13/8; 13/8; 
Draw; 23/10; 9/4; 11/5; 11/5; 11/5; 43/20; 12/5; ; 23/10; 23/10; 23/10; 9/4; 11/5; 11/5; 23/10; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 26/11; 23/10; ; 23/10; 11/5; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-06 00:15:03 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 6/4; 6/4; 8/5; 6/4; 11/8; 8/5; ; 6/4; 17/11; 6/4; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 16/11; 17/11; 7/5; 6/4; 16/11; 8/5; 13/10; ; 13/8; 6/4; 
Lincoln Red Imps FC; 15/8; 17/10; 13/8; 9/5; 13/8; 8/5; 7/4; ; 7/4; 8/5; 7/4; 17/10; 17/10; 33/20; 7/4; 17/10; 7/4; 8/5; 8/5; 7/4; 8/5; 8/5; 16/9; 8/5; ; 13/8; 17/10; 
Draw; 23/10; 9/4; 11/5; 11/5; 11/5; 43/20; 12/5; ; 23/10; 23/10; 23/10; 9/4; 11/5; 11/5; 23/10; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 26/11; 23/10; ; 23/10; 9/4; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-06 00:25:57 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 6/4; 6/4; 8/5; 6/4; 11/8; 8/5; ; 6/4; 17/11; 6/4; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 16/11; 17/11; 7/5; 6/4; 16/11; 8/5; 13/10; ; 13/8; 6/4; 
Lincoln Red Imps FC; 15/8; 17/10; 13/8; 9/5; 13/8; 8/5; 7/4; ; 7/4; 8/5; 7/4; 17/10; 17/10; 33/20; 7/4; 17/10; 7/4; 8/5; 8/5; 7/4; 8/5; 8/5; 16/9; 8/5; ; 13/8; 17/10; 
Draw; 23/10; 9/4; 11/5; 11/5; 11/5; 43/20; 12/5; ; 23/10; 23/10; 23/10; 9/4; 11/5; 11/5; 23/10; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 26/11; 23/10; ; 23/10; 9/4; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-06 01:45:11 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 6/4; 6/4; 8/5; 6/4; 11/8; 8/5; ; 6/4; 17/11; 6/4; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 16/11; 17/11; 7/5; 6/4; 16/11; 6/4; 13/10; ; ; 6/4; 
Lincoln Red Imps FC; 15/8; 17/10; 13/8; 9/5; 13/8; 8/5; 7/4; ; 7/4; 8/5; 7/4; 17/10; 17/10; 33/20; 7/4; 17/10; 7/4; 8/5; 8/5; 7/4; 8/5; 8/5; 15/8; 8/5; ; 7/4; 17/10; 
Draw; 23/10; 9/4; 11/5; 11/5; 11/5; 43/20; 12/5; ; 23/10; 23/10; 23/10; 9/4; 11/5; 11/5; 23/10; 23/10; 12/5; 28/13; 23/10; 5/2; 23/10; 28/13; 12/5; 23/10; ; ; 9/4; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-06 03:45:11 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 6/4; 6/4; 8/5; 6/4; 11/8; 13/8; ; 6/4; 17/11; 6/4; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 16/11; 17/11; 7/5; 6/4; ; 6/4; 13/10; ; 13/8; 6/4; 
Lincoln Red Imps FC; 15/8; 17/10; 13/8; 9/5; 13/8; 8/5; 7/4; ; 7/4; 8/5; 9/5; 17/10; 17/10; 33/20; 7/4; 17/10; 7/4; 8/5; 8/5; 9/5; 8/5; ; 15/8; 8/5; ; 7/4; 17/10; 
Draw; 23/10; 9/4; 11/5; 11/5; 11/5; 43/20; 12/5; ; 23/10; 23/10; 11/5; 9/4; 11/5; 11/5; 23/10; 23/10; 12/5; 28/13; 23/10; 12/5; 23/10; ; 12/5; 23/10; ; 23/10; 11/5; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-06 04:15:09 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 6/4; 6/4; 8/5; 6/4; 11/8; 13/8; ; 6/4; 17/11; 6/4; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 6/4; 13/10; ; 13/8; 6/4; 
Lincoln Red Imps FC; 15/8; 17/10; 13/8; 9/5; 13/8; 8/5; 7/4; ; 7/4; 8/5; 9/5; 17/10; 17/10; 33/20; 7/4; 17/10; 7/4; 28/17; 8/5; 9/5; 8/5; 28/17; 15/8; 8/5; ; 7/4; 17/10; 
Draw; 23/10; 9/4; 11/5; 11/5; 11/5; 43/20; 12/5; ; 23/10; 23/10; 11/5; 11/5; 11/5; 11/5; 23/10; 23/10; 12/5; 21/10; 23/10; 12/5; 23/10; 21/10; 12/5; 23/10; ; 23/10; 21/10; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-06 05:45:11 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 29/20; 6/4; 8/5; 6/4; 11/8; 13/8; ; 6/4; 17/11; 6/4; 6/4; 29/20; 29/20; 8/5; 6/4; 6/4; 16/11; 17/11; 7/5; 6/4; 16/11; 6/4; 13/10; ; 13/8; ; 
Lincoln Red Imps FC; 15/8; 7/4; 13/8; 17/10; 13/8; 8/5; 7/4; ; 9/5; 8/5; 7/4; 17/10; 17/10; 33/20; 17/10; 17/10; 7/4; 28/17; 8/5; 9/5; 8/5; 28/17; 15/8; 8/5; ; 7/4; ; 
Draw; 23/10; 9/4; 11/5; 23/10; 11/5; 43/20; 12/5; ; 9/4; 23/10; 9/4; 9/4; 11/5; 11/5; 9/4; 23/10; 12/5; 21/10; 23/10; 12/5; 23/10; 21/10; 12/5; 23/10; ; 23/10; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-06 06:17:18 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 29/20; 6/4; 8/5; 6/4; 11/8; 13/8; ; 6/4; 17/11; 6/4; 6/4; 29/20; 29/20; 8/5; 6/4; 6/4; 16/11; 17/11; 7/5; 6/4; 16/11; ; 13/10; ; ; ; 
Lincoln Red Imps FC; 15/8; 7/4; 13/8; 17/10; 13/8; 8/5; 7/4; ; 9/5; 8/5; 7/4; 17/10; 17/10; 33/20; 17/10; 17/10; 7/4; 28/17; 8/5; 9/5; 8/5; 28/17; ; 8/5; ; ; ; 
Draw; 23/10; 9/4; 11/5; 23/10; 11/5; 43/20; 12/5; ; 9/4; 23/10; 9/4; 9/4; 11/5; 11/5; 9/4; 23/10; 12/5; 21/10; 23/10; 12/5; 23/10; 21/10; ; 23/10; ; ; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-06 07:45:11 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 29/20; 7/5; 8/5; 7/5; 7/5; 13/8; ; 6/4; 17/11; 6/4; 29/20; 29/20; 29/20; 8/5; 6/4; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 6/4; 23/17; ; 13/8; ; 
Lincoln Red Imps FC; 15/8; 9/5; 7/4; 7/4; 7/4; 13/8; 7/4; ; 9/5; 8/5; 9/5; 9/5; 9/5; 33/20; 7/4; 7/4; 9/5; 28/17; 8/5; 9/5; 8/5; 28/17; 15/8; 17/11; ; 9/5; ; 
Draw; 23/10; 11/5; 21/10; 9/4; 21/10; 21/10; 12/5; ; 9/4; 23/10; 11/5; 11/5; 21/10; 11/5; 11/5; 9/4; 9/4; 21/10; 23/10; 12/5; 23/10; 21/10; 12/5; 23/10; ; 9/4; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-06 08:15:03 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 7/5; 29/20; 7/5; 8/5; 7/5; 7/5; 13/8; ; 6/4; 17/11; 6/4; 29/20; 29/20; 29/20; 8/5; 6/4; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 6/4; 23/17; ; 13/8; ; 
Lincoln Red Imps FC; 15/8; 9/5; 7/4; 7/4; 7/4; 13/8; 7/4; ; 9/5; 8/5; 9/5; 9/5; 9/5; 17/10; 7/4; 7/4; 9/5; 28/17; 8/5; 9/5; 8/5; 28/17; 15/8; 17/11; ; 9/5; ; 
Draw; 23/10; 11/5; 21/10; 9/4; 21/10; 21/10; 12/5; ; 9/4; 23/10; 11/5; 11/5; 21/10; 21/10; 11/5; 9/4; 9/4; 21/10; 23/10; 12/5; 23/10; 21/10; 12/5; 23/10; ; 9/4; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-06 09:45:11 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 6/4; 6/4; 6/4; 8/5; 6/4; 7/5; 13/8; ; 6/4; 17/11; 6/4; 6/4; 29/20; 6/4; 6/4; 6/4; 17/11; 7/5; 17/11; 7/5; 6/4; 7/5; 6/4; 23/17; ; 6/4; ; 
Lincoln Red Imps FC; 8/5; 7/4; 13/8; 7/4; 13/8; 13/8; 7/4; ; 9/5; 8/5; 9/5; 7/4; 9/5; 17/10; 9/5; 7/4; 9/5; 28/17; 8/5; 9/5; 8/5; 28/17; 15/8; 17/11; ; 9/5; ; 
Draw; 11/5; 85/40; 21/10; 9/4; 21/10; 21/10; 12/5; ; 9/4; 23/10; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 21/10; 23/10; 12/5; 23/10; 21/10; 12/5; 23/10; ; 23/10; ; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-06 11:45:11 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 6/4; 29/20; 7/5; 31/20; 7/5; 27/20; 31/20; ; 6/4; 17/11; 6/4; 6/4; 29/20; 29/20; 29/20; 6/4; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 6/4; 5/4; ; ; 7/5; 
Lincoln Red Imps FC; 8/5; 9/5; 7/4; 9/5; 7/4; 5/3; 9/5; ; 9/5; 8/5; 9/5; 7/4; 9/5; 7/4; 15/8; 7/4; 9/5; 28/17; 8/5; 9/5; 8/5; 28/17; 15/8; 28/17; ; ; 9/5; 
Draw; 11/5; 11/5; 21/10; 11/5; 21/10; 21/10; 12/5; ; 9/4; 23/10; 9/4; 21/10; 21/10; 9/4; 23/10; 9/4; 9/4; 21/10; 23/10; 12/5; 23/10; 21/10; 12/5; 23/10; ; ; 21/10; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-06 12:15:03 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 6/4; 7/5; 7/5; 31/20; 7/5; 27/20; 31/20; ; 6/4; 17/11; 6/4; 29/20; 29/20; 29/20; 29/20; 6/4; 6/4; 7/5; 17/11; 7/5; 6/4; 7/5; 19/13; 5/4; ; 6/4; 6/4; 
Lincoln Red Imps FC; 8/5; 9/5; 7/4; 9/5; 7/4; 5/3; 9/5; ; 9/5; 8/5; 9/5; 7/4; 9/5; 7/4; 15/8; 7/4; 9/5; 28/17; 8/5; 9/5; 8/5; 28/17; 21/11; 28/17; ; 19/10; 19/10; 
Draw; 11/5; 9/4; 21/10; 11/5; 21/10; 21/10; 12/5; ; 9/4; 23/10; 9/4; 11/5; 21/10; 9/4; 23/10; 9/4; 9/4; 21/10; 23/10; 12/5; 23/10; 21/10; 22/9; 23/10; ; 23/10; 23/10; 
META; champions-league/lincoln-red-imps-fc-v-flora-tallinn; 2016-07-06 12:28:32 GMT+3; 2016-07-06 18:00; e70300-dr003
Flora Tallinn; 6/4; 7/5; 7/5; 31/20; 7/5; 27/20; 31/20; ; 6/4; 16/11; 6/4; 29/20; 29/20; 29/20; 29/20; 6/4; 6/4; 7/5; 16/11; 7/5; 7/5; 7/5; 19/13; 5/4; ; ; 6/4; 
Lincoln Red Imps FC; 8/5; 9/5; 7/4; 9/5; 7/4; 5/3; 9/5; ; 9/5; 7/4; 9/5; 7/4; 9/5; 7/4; 15/8; 7/4; 9/5; 28/17; 7/4; 9/5; 7/4; 28/17; 21/11; 28/17; ; ; 19/10; 
