Draw; 7; 7; 15/2; 15/2; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; ; 15/2; 17/2; 8; 15/2; 29/4; 15/2; ; 9; 41/5; 15/2; 13/2; ; 1/7; ; 
Din Zagreb; 18; 18; 28; 25; 20; 33; 25; 12; 25; 28; 33; 22; 28; ; 22; 25; 47/2; 27/2; 22; 27/2; ; 25; 19; 27/2; 22; ; 1/7; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-26 20:15:44 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/8; 1/9; 1/10; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; ; 2/15; 2/17; 1/10; 2/13; 1/9; 2/13; 1/10; 2/15; 1/12; 2/13; 1/8; ; 1/8; ; 
Draw; 7; 7; 15/2; 15/2; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; ; 15/2; 17/2; 8; 15/2; 29/4; 15/2; 8; 9; 41/5; 15/2; 13/2; ; 23/5; ; 
Din Zagreb; 18; 18; 28; 25; 20; 33; 25; 12; 25; 28; 33; 22; 28; ; 22; 25; 47/2; 27/2; 22; 27/2; 47/2; 25; 19; 27/2; 22; ; 23/5; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-27 00:15:33 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/8; 1/9; 1/10; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; ; 1/8; 2/17; 1/10; 2/13; 1/9; 2/13; 1/10; 2/15; 1/12; 2/13; 1/8; ; 1/8; ; 
Draw; 7; 7; 15/2; 15/2; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; ; 8; 17/2; 8; 15/2; 29/4; 15/2; 8; 9; 41/5; 15/2; 13/2; ; 23/5; ; 
Din Zagreb; 18; 18; 28; 25; 20; 33; 25; 12; 25; 28; 33; 22; 28; ; 22; 25; 47/2; 27/2; 22; 27/2; 47/2; 25; 19; 27/2; 22; ; 23/5; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-27 04:15:30 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/8; 1/9; 1/10; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; ; 1/8; 2/17; 1/10; 2/13; 1/9; 2/13; 1/10; 2/15; 1/12; 2/13; 1/8; ; 1/8; ; 
Draw; 7; 7; 15/2; 15/2; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; ; 8; 17/2; 8; 15/2; 29/4; 15/2; 8; 9; 41/5; 15/2; 13/2; ; 23/5; ; 
Din Zagreb; 18; 18; 28; 25; 20; 33; 25; 12; 25; 28; 33; 22; 28; ; 22; 25; 47/2; 27/2; 22; 27/2; 47/2; 25; 19; 27/2; 22; ; 23/5; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-27 08:15:29 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/8; 1/9; 1/10; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; ; 1/8; 2/17; 1/10; 2/13; 1/9; 2/13; 1/10; 2/15; 1/12; 2/13; 1/8; ; 1/8; ; 
Draw; 7; 7; 15/2; 15/2; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; ; 8; 17/2; 31/4; 15/2; 29/4; 15/2; 31/4; 9; 41/5; 15/2; 13/2; ; 23/5; ; 
Din Zagreb; 18; 18; 28; 25; 20; 33; 25; 12; 25; 28; 33; 22; 28; ; 20; 25; 47/2; 27/2; 22; 27/2; 47/2; 25; 19; 27/2; 22; ; 23/5; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-27 12:15:33 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/8; 1/9; 1/10; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; ; 1/8; 2/17; 1/10; 2/13; 1/9; 2/13; 1/10; 2/15; 1/12; 2/13; 1/8; ; 1/8; ; 
Draw; 7; 7; 15/2; 15/2; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; ; 8; 17/2; 8; 15/2; 29/4; 15/2; 8; 9; 41/5; 15/2; 13/2; ; 33/5; ; 
Din Zagreb; 18; 18; 28; 25; 20; 33; 25; 12; 25; 28; 33; 22; 28; ; 20; 25; 47/2; 27/2; 22; 27/2; 47/2; 25; 19; 27/2; 22; ; 23; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-27 16:15:33 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/9; 1/9; 1/10; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; ; 1/8; 2/17; 1/10; 2/13; 1/9; 2/13; 1/10; 2/15; ; 2/13; 1/8; ; 1/8; ; 
Draw; 7; 15/2; 15/2; 15/2; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; ; 8; 17/2; 31/4; 15/2; 29/4; 15/2; 31/4; 9; ; 15/2; 13/2; ; 23/5; ; 
Din Zagreb; 18; 22; 28; 25; 20; 33; 25; 12; 25; 28; 33; 22; 28; ; 20; 28; 47/2; 27/2; 22; 27/2; 47/2; 25; ; 27/2; 22; ; 23/5; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-27 20:15:39 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/9; 1/9; 1/10; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; 1/10; 1/8; 2/17; 1/10; 2/13; 1/9; 2/13; 1/10; 2/15; 1/12; 2/13; 1/8; ; 2/15; ; 
Draw; 7; 15/2; 15/2; 15/2; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; 17/2; 8; 17/2; 31/4; 15/2; 29/4; 15/2; 31/4; 9; 41/5; 15/2; 13/2; ; 38/5; ; 
Din Zagreb; 18; 22; 25; 25; 20; 33; 25; 12; 25; 28; 33; 22; 28; 40; 20; 28; 93/4; 27/2; 22; 27/2; 93/4; 25; 19; 27/2; 22; ; 33; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-28 00:15:30 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/9; 1/9; 1/10; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; 1/10; 1/8; 2/17; 1/10; 2/13; 1/9; 2/13; 1/10; 2/15; 1/12; 2/13; 1/8; ; 2/15; ; 
Draw; 7; 15/2; 15/2; 15/2; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; 17/2; 8; 17/2; 31/4; 15/2; 29/4; 15/2; 31/4; 9; 41/5; 15/2; 13/2; ; 38/5; ; 
Din Zagreb; 18; 22; 25; 25; 20; 33; 25; 12; 25; 28; 33; 22; 28; 40; 20; 28; 93/4; 27/2; 22; 27/2; 93/4; 25; 19; 27/2; 22; ; 33; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-28 04:15:31 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/9; 1/9; 1/10; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; 1/10; 1/8; 2/17; 1/10; 2/13; 1/9; 2/13; 1/10; 2/15; 1/12; 2/13; 1/8; ; 2/15; ; 
Draw; 7; 15/2; 15/2; 15/2; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; 17/2; 8; 17/2; 31/4; 15/2; 29/4; 15/2; 31/4; 9; 41/5; 15/2; 13/2; ; 38/5; ; 
Din Zagreb; 18; 22; 25; 25; 20; 33; 25; 12; 25; 28; 33; 22; 28; 40; 20; 28; 93/4; 27/2; 22; 27/2; 93/4; 25; 19; 27/2; 22; ; 33; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-28 08:15:28 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/9; 1/9; 1/10; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; 1/10; 1/8; 2/17; 1/10; 2/13; 1/9; 2/13; 1/10; 2/15; 1/12; 2/13; 1/8; ; 2/15; ; 
Draw; 7; 15/2; 15/2; 15/2; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; 17/2; 8; 17/2; 31/4; 15/2; 29/4; 15/2; 31/4; 9; 41/5; 15/2; 13/2; ; 38/5; ; 
Din Zagreb; 18; 22; 25; 25; 20; 33; 25; 12; 25; 28; 33; 22; 28; 40; 20; 28; 93/4; 27/2; 22; 27/2; 93/4; 25; 19; 27/2; 22; ; 33; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-28 12:15:29 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/9; 1/9; 1/10; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; 1/10; 1/8; 2/17; 1/10; 2/13; 1/9; 2/13; 1/10; 2/15; 1/12; 2/13; 1/8; ; 2/15; ; 
Draw; 7; 15/2; 15/2; 15/2; 13/2; 9; 17/2; 11/2; 8; 17/2; 8; 15/2; 15/2; 17/2; 8; 17/2; 31/4; 15/2; 29/4; 15/2; 31/4; 9; 41/5; 15/2; 13/2; ; 38/5; ; 
Din Zagreb; 18; 22; 25; 25; 20; 33; 25; 12; 25; 28; 33; 22; 28; 40; 20; 28; 93/4; 27/2; 22; 27/2; 93/4; 25; 19; 27/2; 22; ; 35; ; 
META; champions-league/juventus-v-din-zagreb; 2016-11-28 16:15:29 GMT+2; 2016-12-07 19:45; e70300-dr003
Juventus; 1/8; 1/9; 1/9; 1/10; 1/8; 1/9; 1/12; 1/7; 1/9; 1/9; 1/10; 1/9; 1/10; 1/10; 1/8; 2/17; 1/10; 1/8; 1/9; 2/15; 1/10; 2/15; 1/12; 1/8; 1/8; ; 1/8; ; 
