Legia Warsaw; 20; 20; 22; 20; ; 18; 22; 18; 22; ; 28; 20; 25; 33; 25; ; 81/4; 18; 19; 18; 81/4; 25; 18; 18; ; ; 20; ; 21
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-08 20:15:04 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/9; 1/10; 1/10; ; 1/8; 1/14; 1/10; 1/10; ; 1/11; 1/10; 1/11; 1/10; 1/9; 1/9; 1/11; 1/8; 1/10; 2/15; 1/11; 2/17; 1/11; 1/8; ; ; 1/9; ; 2/15
Draw; 8; 17/2; 17/2; 17/2; ; 13/2; 19/2; 15/2; 9; ; 17/2; 17/2; 17/2; 9; 8; 10; 9; 31/4; 8; 38/5; 9; 21/2; 9; 31/4; ; ; 17/2; ; 49/5
Legia Warsaw; 20; 18; 22; 20; ; 18; 22; 18; 22; ; 28; 20; 25; 33; 25; 28; 81/4; 18; 19; 18; 81/4; 25; 18; 18; ; ; 20; ; 21
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-09 00:15:04 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/9; 1/10; 1/10; 1/9; 1/8; 1/14; 1/10; 1/10; ; 1/11; 1/10; 1/11; 1/10; 1/9; 1/9; 1/11; 2/17; 1/10; 1/8; 1/11; 2/17; 1/11; 2/17; ; ; 1/9; ; 2/15
Draw; 8; 17/2; 17/2; 17/2; 9; 13/2; 19/2; 15/2; 9; ; 17/2; 17/2; 17/2; 9; 8; 10; 9; 17/2; 8; 17/2; 9; 21/2; 9; 17/2; ; ; 17/2; ; 49/5
Legia Warsaw; 20; 18; 22; 20; 22; 18; 22; 18; 22; ; 28; 20; 25; 33; 25; 28; 81/4; 18; 19; 18; 81/4; 25; 18; 18; ; ; 28; ; 21
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-09 04:15:04 GMT+2; 2016-11-22 19:45; e70300-dr003
Borussia Dortmund; 1/10; 1/9; 1/10; 1/10; 1/9; 1/8; 1/14; 1/10; 1/10; 1/9; 1/11; 1/10; 1/11; 1/10; 1/9; 1/9; 1/11; 2/17; 1/10; 1/8; 1/11; 2/17; 1/11; 2/17; ; ; 1/9; ; 2/15
Draw; 8; 17/2; 17/2; 17/2; 9; 13/2; 19/2; 15/2; 9; 9; 17/2; 17/2; 17/2; 9; 8; 10; 35/4; 17/2; 8; 17/2; 35/4; 21/2; 9; 17/2; ; ; 17/2; ; 49/5
Legia Warsaw; 20; 18; 22; 20; 22; 18; 22; 18; 22; 25; 28; 20; 25; 33; 25; 28; 41/2; 18; 19; 18; 41/2; 25; 18; 18; ; ; 28; ; 21
META; champions-league/borussia-dortmund-v-legia-warsaw; 2016-11-09 08:15:07 GMT+2; 2016-11-22 19:45; e70300-dr003
