Draw; 15/4; 16/5; 16/5; 7/2; 19/5; 7/2; 18/5; 7/2; 7/2; 15/4; 7/2; 16/5; 17/5; 7/2; 17/5; 18/5; 7/2; 15/4; 15/4; 7/2; 50/13; 50/13; 62/17; ; ; 7/2; 7/2
Dundalk; 15/2; 15/2; 7; 7; 15/2; 13/2; 15/2; 15/2; 7; 7; 8; 7; 15/2; 15/2; 7; 15/2; 8; 7; 7; 7; 9; 67/10; 13/2; ; ; 38/5; 44/5
META; champions-league/legia-warsaw-v-dundalk; 2016-08-22 00:15:03 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 2/5; 1/3; 2/5; 2/5; 4/11; 4/11; 2/5; 2/5; 2/5; 2/5; 4/11; 2/5; 4/11; 2/5; 10/29; 5/11; 2/5; ; 2/5; 4/11; 2/5
Draw; 15/4; 10/3; 16/5; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 7/2; 16/5; 17/5; 7/2; 17/5; 18/5; 7/2; 15/4; 15/4; 7/2; 50/13; 50/13; 62/17; ; 7/2; 7/2; 7/2
Dundalk; 15/2; 15/2; 7; 7; 15/2; 13/2; 8; 15/2; 7; 7; 8; 7; 15/2; 15/2; 7; 15/2; 8; 7; 7; 7; 35/4; 67/10; 13/2; ; 39/5; 38/5; 44/5
META; champions-league/legia-warsaw-v-dundalk; 2016-08-22 01:45:12 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 2/5; 1/3; 2/5; 2/5; 4/11; 4/11; 2/5; 4/11; 2/5; 2/5; 4/11; 2/5; 4/11; 2/5; 10/29; 5/11; 2/5; ; ; 4/11; 2/5
Draw; 15/4; 10/3; 16/5; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 7/2; 16/5; 17/5; 15/4; 17/5; 18/5; 7/2; 15/4; 15/4; 7/2; 50/13; 50/13; 62/17; ; ; 10/3; 7/2
Dundalk; 15/2; 15/2; 7; 7; 15/2; 13/2; 8; 15/2; 7; 7; 8; 7; 15/2; 8; 15/2; 15/2; 8; 7; 7; 7; 35/4; 67/10; 13/2; ; ; 39/5; 44/5
META; champions-league/legia-warsaw-v-dundalk; 2016-08-22 03:45:12 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 2/5; 1/3; 2/5; 2/5; 4/11; 4/11; 2/5; 4/11; 2/5; 2/5; 4/11; 2/5; 4/11; 2/5; 10/29; 5/11; 2/5; ; 4/11; 4/11; 2/5
Draw; 15/4; 10/3; 16/5; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 7/2; 16/5; 17/5; 15/4; 17/5; 18/5; 7/2; 15/4; 15/4; 7/2; 50/13; 50/13; 62/17; ; 7/2; 7/2; 7/2
Dundalk; 15/2; 15/2; 7; 7; 15/2; 13/2; 8; 15/2; 7; 7; 8; 7; 15/2; 8; 15/2; 15/2; 8; 7; 7; 7; 35/4; 67/10; 13/2; ; 39/5; 39/5; 44/5
META; champions-league/legia-warsaw-v-dundalk; 2016-08-22 04:15:03 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 2/5; 1/3; 2/5; 2/5; 4/11; 4/11; 2/5; 4/11; 2/5; 2/5; 4/11; 2/5; 4/11; 2/5; 10/29; 5/11; 2/5; ; 4/11; 4/11; 2/5
Draw; 15/4; 10/3; 16/5; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 7/2; 16/5; 17/5; 15/4; 17/5; 18/5; 7/2; 15/4; 15/4; 7/2; 50/13; 50/13; 62/17; ; 7/2; 7/2; 7/2
Dundalk; 15/2; 15/2; 7; 7; 15/2; 13/2; 8; 15/2; 7; 7; 8; 7; 15/2; 8; 15/2; 15/2; 8; 7; 7; 7; 35/4; 67/10; 13/2; ; 39/5; 39/5; 44/5
META; champions-league/legia-warsaw-v-dundalk; 2016-08-22 05:45:13 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 2/5; 1/3; 2/5; 2/5; 4/11; 4/11; 2/5; 4/11; 2/5; 2/5; 4/11; 2/5; 4/11; 2/5; 10/29; 5/11; 2/5; ; 4/11; 4/11; 2/5
Draw; 15/4; 10/3; 16/5; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 7/2; 16/5; 17/5; 15/4; 17/5; 18/5; 7/2; 15/4; 15/4; 7/2; 50/13; 50/13; 62/17; ; 7/2; 7/2; 7/2
Dundalk; 15/2; 15/2; 7; 7; 15/2; 13/2; 8; 15/2; 7; 7; 8; 7; 15/2; 8; 15/2; 15/2; 8; 7; 7; 7; 35/4; 67/10; 13/2; ; 41/5; 39/5; 44/5
META; champions-league/legia-warsaw-v-dundalk; 2016-08-22 06:26:08 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 4/11; 4/11; 4/11; 2/5; 2/5; 4/11; 2/5; 1/3; 2/5; 2/5; 4/11; 4/11; 2/5; 4/11; 2/5; 2/5; 4/11; 2/5; 4/11; 2/5; 10/29; ; 2/5; ; 4/11; 4/11; 2/5
Draw; 15/4; 10/3; 16/5; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 7/2; 16/5; 17/5; 15/4; 17/5; 18/5; 7/2; 15/4; 15/4; 7/2; 50/13; ; 62/17; ; 7/2; 7/2; 7/2
Dundalk; 15/2; 15/2; 7; 7; 15/2; 13/2; 8; 15/2; 7; 7; 8; 7; 15/2; 8; 15/2; 15/2; 8; 7; 7; 7; 35/4; ; 13/2; ; 41/5; 39/5; 44/5
META; champions-league/legia-warsaw-v-dundalk; 2016-08-22 07:45:10 GMT+3; 2016-08-23 19:45; e70300-dr003
Legia Warsaw; 2/5; 4/11; 4/11; 2/5; 2/5; 4/11; 2/5; 1/3; 2/5; 2/5; 4/11; 4/11; 2/5; 4/11; 2/5; 2/5; 4/11; 2/5; 4/11; 2/5; 10/29; ; 2/5; ; 4/11; 4/11; 2/5
Draw; 4; 10/3; 16/5; 7/2; 19/5; 7/2; 15/4; 7/2; 7/2; 15/4; 7/2; 16/5; 17/5; 15/4; 17/5; 18/5; 7/2; 15/4; 15/4; 7/2; 50/13; ; 62/17; ; 7/2; 7/2; 7/2
