META; champions-league/fc-copenhagen-v-crusaders; 2016-07-15 12:15:11 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/7; 1/7; 2/13; 1/7; 1/9; 1/8; 1/9; 2/13; 2/13; 2/13; 1/7; 2/11; 2/15; 1/8; 1/7; ; 2/13; 1/8; 2/13; 2/17; ; 2/11; ; ; 2/15; 1/7
Draw; 6; 6; 13/2; 13/2; 13/2; 5; 7; 13/2; 13/2; 7; 13/2; 13/2; 5; 11/2; 13/2; 13/2; ; 7; 7; 7; 25/4; ; 33/5; ; ; 6; 28/5
Crusaders; 14; 16; 16; 16; 16; 12; 17; 16; 14; 16; 18; 16; 12; 14; 18; 16; ; 16; 29/2; 16; 57/4; ; 15; ; ; 12; 52/5
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-19 07:45:17 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/7; 1/7; 2/13; 1/7; 1/9; 1/8; 1/9; 2/13; 2/13; 1/6; 1/7; 2/11; 1/7; 1/8; 1/7; ; 2/13; 1/8; 2/13; 2/17; 2/13; 2/11; ; ; 2/15; 1/7
Draw; 7; 6; 13/2; 13/2; 13/2; 5; 7; 13/2; 13/2; 7; 13/2; 13/2; 5; 21/4; 13/2; 13/2; ; 7; 7; 7; 25/4; 81/10; 33/5; ; ; 27/5; 29/5
Crusaders; 18; 16; 16; 16; 16; 12; 17; 16; 14; 16; 18; 16; 12; 14; 20; 16; ; 16; 29/2; 16; 29/2; 29/2; 15; ; ; 58/5; 54/5
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-19 08:15:20 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/8; 1/7; 2/13; 1/7; 1/9; 1/8; 1/9; 1/7; 2/13; 2/13; 1/7; 1/8; 2/15; 1/8; 1/7; ; 2/13; 1/8; 2/13; 2/17; 2/13; 2/11; ; ; 2/15; 1/7
Draw; 7; 13/2; 13/2; 13/2; 13/2; 5; 7; 13/2; 13/2; 7; 7; 13/2; 6; 11/2; 13/2; 13/2; ; 7; 7; 7; 13/2; 81/10; 33/5; ; ; 29/5; 29/5
Crusaders; 18; 16; 16; 16; 16; 12; 17; 16; 16; 16; 18; 16; 16; 14; 20; 16; ; 16; 29/2; 16; 29/2; 29/2; 15; ; ; 58/5; 54/5
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-19 09:45:18 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/8; 1/8; 2/13; 1/8; 1/9; 2/17; 1/10; 1/7; 2/13; 2/13; 1/8; 1/8; 2/15; 1/8; 1/7; ; 2/13; 1/8; 2/13; 2/17; 2/13; 2/11; ; ; 1/9; 1/8
Draw; 7; 13/2; 7; 13/2; 7; 11/2; 7; 7; 13/2; 7; 13/2; 7; 6; 11/2; 13/2; 13/2; ; 7; 7; 7; 13/2; 81/10; 33/5; ; ; 29/5; 31/5
Crusaders; 18; 16; 16; 16; 16; 14; 19; 17; 16; 16; 18; 16; 16; 14; 20; 16; ; 16; 29/2; 16; 15; 15; 15; ; ; 12; 54/5
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-19 11:45:15 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/8; 1/8; 1/8; 1/8; 1/11; 1/10; 1/10; 2/15; 2/13; 2/15; 1/8; 1/8; 1/9; 1/8; 1/9; ; 2/13; 1/8; 2/13; 1/8; 2/13; 1/7; ; ; 1/9; 1/6
Draw; 7; 13/2; 7; 7; 7; 11/2; 15/2; 7; 13/2; 7; 15/2; 7; 6; 6; 13/2; 13/2; ; 7; 7; 7; 27/4; 81/10; 37/5; ; 38/5; 33/5; 34/5
Crusaders; 18; 18; 18; 18; 18; 16; 22; 17; 16; 16; 22; 18; 16; 18; 20; 25; ; 16; 29/2; 16; 57/4; 15; 18; ; ; 14; 54/5
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-19 12:15:18 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/8; 1/8; 1/8; 1/8; 1/11; 1/9; 1/10; 1/9; 2/13; 2/15; 1/8; 1/8; 1/9; 1/8; 1/9; ; 2/13; 1/8; 2/13; 1/8; 2/13; 1/7; ; ; 1/6; 1/6
Draw; 7; 13/2; 7; 7; 7; 11/2; 15/2; 15/2; 7; 7; 15/2; 7; 6; 6; 13/2; 13/2; ; 7; 7; 7; 27/4; 81/10; 37/5; ; ; 38/5; 31/5
Crusaders; 18; 18; 18; 18; 18; 16; 19; 19; 18; 16; 22; 18; 16; 18; 20; 25; ; 16; 29/2; 16; 29/2; 15; 18; ; ; 21; 54/5
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-19 12:38:00 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/8; 1/8; 1/7; 1/8; 1/11; 1/10; 1/10; 2/15; 2/13; 2/15; 1/8; 1/8; 1/9; 1/8; 1/9; ; 2/13; 1/8; 2/13; 1/7; 2/13; 1/7; ; ; 1/6; 1/6
Draw; 7; 13/2; 7; 13/2; 7; 11/2; 15/2; 15/2; 7; 7; 15/2; 7; 6; 6; 13/2; 13/2; ; 7; 7; 7; 13/2; 81/10; 77/10; ; ; 39/5; 31/5
Crusaders; 18; 18; 18; 20; 18; 16; 20; 19; 18; 16; 22; 18; 16; 18; 20; 25; ; 16; 29/2; 16; 57/4; 15; 18; ; ; 21; 54/5
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-19 13:45:18 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/9; 1/8; 1/8; 1/8; 1/11; 1/10; 1/10; 2/15; 2/13; 2/15; 1/8; 1/8; 1/9; 1/10; 1/9; ; 2/13; 1/8; 2/13; 1/8; 2/13; 1/7; ; 2/13; 2/13; 1/6
Draw; 7; 7; 7; 7; 7; 11/2; 15/2; 15/2; 7; 7; 15/2; 7; 6; 6; 7; 7; ; 7; 7; 7; 27/4; 81/10; 39/5; ; 41/5; 41/5; 33/5
Crusaders; 18; 18; 18; 20; 18; 16; 22; 19; 18; 16; 22; 18; 16; 18; 18; 22; ; 16; 29/2; 16; 29/2; 15; 88/5; ; 22; 22; 54/5
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-19 15:45:21 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/8; 1/9; 1/8; 1/8; 1/8; 1/11; 1/9; 1/10; 1/9; 2/13; 2/15; 1/8; 1/8; 1/9; 1/8; 1/9; ; 2/13; 1/8; 2/13; 1/10; 2/13; 1/7; ; 1/7; 2/13; 2/15
Draw; 7; 7; 7; 7; 7; 11/2; 15/2; 15/2; 7; 7; 15/2; 7; 6; 13/2; 13/2; 7; ; 7; 7; 7; 29/4; 81/10; 8; ; 41/5; 41/5; 43/5
Crusaders; 18; 18; 18; 20; 18; 16; 19; 19; 18; 16; 22; 18; 16; 20; 12; 22; ; 16; 29/2; 16; 37/2; 15; 17; ; 24; 24; 23
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-19 16:15:14 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/10; 1/10; 1/10; 1/9; 1/10; 1/12; 1/11; 1/10; 1/9; 2/13; 1/8; 1/9; 1/8; 1/10; 1/10; 1/9; ; 2/13; 1/8; 2/13; 1/10; 1/8; 1/7; ; 1/7; 2/13; 2/15
Draw; 8; 7; 15/2; 15/2; 15/2; 6; 8; 15/2; 7; 7; 8; 15/2; 6; 7; 15/2; 7; ; 7; 7; 7; 15/2; 43/5; 8; ; 17/2; 41/5; 43/5
Crusaders; 22; 20; 20; 22; 20; 18; 22; 19; 18; 16; 25; 20; 16; 22; 16; 22; ; 16; 29/2; 16; 19; 18; 17; ; 23; 24; 23
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-19 17:45:13 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/10; 1/10; 1/10; 1/9; 1/10; 1/12; 1/11; 1/10; 1/9; 1/10; 1/8; 1/9; 1/8; 1/11; 1/9; 1/9; ; 1/10; 1/8; 1/10; 1/11; 1/8; 1/7; ; ; 2/13; 2/13
Draw; 8; 7; 15/2; 15/2; 15/2; 6; 8; 15/2; 15/2; 8; 8; 15/2; 6; 7; 15/2; 7; ; 8; 7; 8; 31/4; 43/5; 8; ; ; 17/2; 43/5
Crusaders; 22; 20; 20; 22; 20; 18; 22; 19; 22; 23; 22; 22; 16; 25; 14; 22; ; 23; 29/2; 23; 79/4; 18; 17; ; ; 24; 25
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-19 18:24:53 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/10; 1/10; 1/10; 1/9; 1/10; 1/12; 1/12; 1/10; 1/9; 1/10; 1/8; 1/9; 1/8; 1/11; 1/10; 1/9; ; 1/10; 2/17; 1/10; 1/11; 1/8; 1/7; ; 2/15; 1/7; 1/7
Draw; 8; 7; 15/2; 15/2; 15/2; 6; 17/2; 15/2; 15/2; 8; 8; 15/2; 6; 7; 15/2; 7; ; 8; 15/2; 8; 31/4; 43/5; 8; ; 9; 46/5; 46/5
Crusaders; 22; 20; 20; 22; 20; 18; 22; 19; 22; 23; 25; 25; 16; 25; 16; 22; ; 23; 16; 23; 79/4; 18; 17; ; 26; 25; 26
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-19 19:45:19 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/12; 1/10; 1/10; 1/8; 1/10; 1/12; 1/11; 1/14; 1/10; 1/10; 1/8; 1/10; 1/10; 1/11; 1/10; 1/11; ; 1/10; 2/17; 1/10; 1/11; 2/17; 1/9; ; ; 1/7; 1/7
Draw; 17/2; 7; 8; 7; 8; 6; 8; 17/2; 15/2; 8; 8; 8; 7; 7; 15/2; 8; ; 8; 15/2; 8; 31/4; 89/10; 9; ; ; 43/5; 46/5
Crusaders; 24; 20; 20; 22; 20; 16; 22; 22; 22; 23; 25; 22; 16; 25; 18; 22; ; 23; 16; 23; 43/2; 20; 23; ; 28; 26; 28
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-19 20:15:21 GMT+3; 2016-07-19 18:15; e70300-dr003
FC Copenhagen; 1/12; ; ; ; ; 1/11; ; ; ; 1/9; ; ; ; ; ; ; ; 1/9; 2/17; 1/9; 1/12; ; ; ; ; ; 
Draw; 17/2; ; ; ; ; 11/2; ; ; ; 17/2; ; ; ; ; ; ; ; 17/2; 7; 17/2; 15/2; ; ; ; ; ; 
Crusaders; 24; ; ; ; ; 16; ; ; ; 21; ; ; ; ; ; ; ; 21; 31/2; 21; 79/4; ; ; ; ; ; 
META; champions-league/fc-copenhagen-v-crusaders; 2016-07-19 21:45:13 GMT+3; 2016-07-19 18:15; In Play; e70300-dr003
FC Copenhagen; ; 1/50000; ; 1/1000; ; ; ; ; ; ; 1/10000; 1/1000; 1/25000; ; 1/1200; ; ; ; ; ; ; ; ; ; ; ; 
Crusaders; ; 500; 250; 50; 250; ; ; 125; ; ; ; 200; 80; ; ; ; ; ; ; ; ; ; ; ; 94; 586; 
Draw; ; 500; 250; 80; 250; ; ; 500; ; ; ; 200; 80; ; ; ; ; ; ; ; ; ; ; ; 94; ; 
