Newcastle; 7/10; 8/11; 3/4; 3/4; 3/4; 8/11; 7/10; 4/6; 8/11; 8/11; 8/11; 3/4; 3/4; 7/10; 3/4; 8/11; 14/19; 13/18; 8/11; 14/19; 39/50; 14/19; 13/17; 7/10; 11/14; ; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 14/5; 11/4; 14/5; 13/5; 11/4; 5/2; 27/10; 11/4; 11/4; 14/5; 11/4; 13/5; 13/5; 11/4; 14/5; 14/5; 45/17; 11/4; 27/10; ; 5/2; 13/5; 13/5
Birmingham; 15/4; 4; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 15/4; 15/4; 4; 4; 15/4; 15/4; 4; 19/5; 15/4; 7/2; 19/5; 4; 37/10; 7/2; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/birmingham-v-newcastle; 2017-03-16 16:20:13 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 8/11; 3/4; 3/4; 8/11; 8/11; 7/10; 4/6; 8/11; 8/11; 8/11; 3/4; 3/4; 7/10; 3/4; 8/11; 14/19; 13/18; 8/11; 14/19; 39/50; 14/19; 13/17; 7/10; 11/14; ; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 11/4; 14/5; 14/5; 11/4; 14/5; 13/5; 11/4; 5/2; 27/10; 11/4; 11/4; 14/5; 11/4; 13/5; 13/5; 11/4; 14/5; 14/5; 45/17; 11/4; 27/10; ; 13/5; 13/5; 13/5
Birmingham; 15/4; 4; 4; 15/4; 4; 19/5; 4; 7/2; 19/5; 15/4; 15/4; 4; 4; 15/4; 15/4; 4; 19/5; 15/4; 7/2; 19/5; 4; 37/10; 7/2; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/birmingham-v-newcastle; 2017-03-16 20:20:47 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 8/11; 3/4; 3/4; 3/4; 8/11; 3/4; 4/6; 8/11; 8/11; 8/11; 3/4; 3/4; 8/11; 3/4; 8/11; 14/19; 13/18; 8/11; 14/19; 39/50; 14/19; 13/17; 7/10; 11/14; ; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 27/10; 13/5; 11/4; 14/5; 14/5; 11/4; 14/5; 13/5; 11/4; 5/2; 27/10; 29/10; 11/4; 14/5; 11/4; 13/5; 13/5; 11/4; 14/5; 14/5; 45/17; 11/4; 27/10; ; 11/4; 11/4; 27/10
Birmingham; 15/4; 4; 17/4; 15/4; 4; 19/5; 17/4; 7/2; 19/5; 15/4; 15/4; 4; 4; 4; 15/4; 4; 19/5; 15/4; 7/2; 19/5; 4; 37/10; 7/2; 15/4; 18/5; ; 7/2; 7/2; 7/2
META; english/championship/birmingham-v-newcastle; 2017-03-17 00:20:05 GMT+2; 2017-03-18 15:00; e70300-dr003
Newcastle; 7/10; 8/11; 3/4; 3/4; 3/4; 8/11; 3/4; 4/6; 8/11; 8/11; 8/11; 3/4; 3/4; 8/11; 3/4; 8/11; 14/19; 13/18; 8/11; 14/19; 39/50; 14/19; 13/17; 8/11; 11/14; ; 8/11; 8/11; 8/11
Draw; 14/5; 13/5; 27/10; 13/5; 11/4; 14/5; 14/5; 11/4; 14/5; 13/5; 11/4; 5/2; 27/10; 29/10; 11/4; 14/5; 11/4; 13/5; 13/5; 11/4; 14/5; 14/5; 45/17; 14/5; 27/10; ; 11/4; 13/5; 27/10
