META; english/championship/burton-v-birmingham; 2016-10-16 00:23:13 GMT+3; 2016-10-21 19:45; e70300-dr003
Birmingham; 15/8; 9/5; 37/20; 9/5; 15/8; 7/4; 19/10; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; ; 9/5; ; 8/5; ; 9/5; ; ; 7/4; 9/5; ; 9/5; 7/4; 
Draw; 9/4; 9/4; 43/20; 11/5; 9/4; 11/5; 9/4; 11/5; 9/4; 21/10; 2; 11/5; 11/5; 9/4; 9/4; ; 28/13; ; 11/5; ; 28/13; ; ; 11/5; 21/10; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 12:20:38 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 13/8; 8/5; 31/20; 8/5; 17/10; 13/8; 8/5; 13/8; 6/4; 6/4; 13/8; 31/20; 6/4; 13/8; ; 17/11; ; 8/5; ; 17/11; ; ; 8/5; 6/4; ; 13/8; 8/5; 
Birmingham; 2; 9/5; 37/20; 9/5; 15/8; 7/4; 19/10; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; ; 9/5; ; 8/5; ; 9/5; ; ; 7/4; 9/5; ; 9/5; 7/4; 
Draw; 9/4; 9/4; 43/20; 11/5; 9/4; 11/5; 9/4; 11/5; 9/4; 21/10; 2; 11/5; 11/5; 9/4; 9/4; ; 28/13; ; 11/5; ; 28/13; ; ; 11/5; 21/10; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 12:56:31 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 8/5; 13/8; 8/5; 31/20; 8/5; 17/10; 13/8; 8/5; 13/8; 8/5; 6/4; 13/8; 31/20; 6/4; 13/8; ; 17/11; ; 8/5; ; ; ; ; 8/5; 8/5; ; 13/8; 8/5; 
Birmingham; 2; 9/5; 37/20; 9/5; 15/8; 7/4; 19/10; 9/5; 9/5; 9/5; 7/4; 7/4; 9/5; 9/5; 7/4; ; 9/5; ; 8/5; ; ; ; ; 7/4; 9/5; ; 9/5; 7/4; 
Draw; 9/4; 9/4; 43/20; 11/5; 9/4; 11/5; 9/4; 11/5; 9/4; 21/10; 2; 11/5; 11/5; 9/4; 9/4; ; 28/13; ; 11/5; ; ; ; ; 11/5; 21/10; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 13:46:09 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 7/4; 13/8; 33/20; 13/8; 8/5; 17/10; 17/10; 8/5; 13/8; 13/8; 8/5; 13/8; 31/20; 13/8; 13/8; ; 8/5; ; 8/5; ; ; ; ; 8/5; 13/8; ; 17/10; 8/5; 
Birmingham; 9/5; 9/5; 7/4; 17/10; 15/8; 7/4; 9/5; 9/5; 9/5; 7/4; 33/20; 7/4; 9/5; 17/10; 7/4; ; 7/4; ; 8/5; ; ; ; ; 7/4; 17/10; ; 9/5; 7/4; 
Draw; 9/4; 9/4; 43/20; 21/10; 9/4; 11/5; 9/4; 11/5; 9/4; 21/10; 2; 11/5; 11/5; 9/4; 9/4; ; 28/13; ; 11/5; ; ; ; ; 11/5; 21/10; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 15:46:09 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 7/4; 9/5; 7/4; 9/5; 8/5; 17/10; 17/10; 17/10; 7/4; 7/4; 17/10; 8/5; 17/10; 17/10; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 8/5; 17/10; ; 7/4; 13/8; 
Birmingham; 9/5; 13/8; 33/20; 17/10; 15/8; 7/4; 9/5; 17/10; 13/8; 17/10; 8/5; 15/8; 33/20; 8/5; 17/10; ; 28/17; ; 8/5; ; 28/17; ; ; 7/4; 13/8; ; 17/10; 7/4; 
Draw; 9/4; 23/10; 43/20; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; 2; 2; 9/4; 11/5; 9/4; 11/5; ; 28/13; ; 11/5; ; 28/13; ; ; 11/5; 21/10; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 16:20:32 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 7/4; 9/5; 7/4; 9/5; 8/5; 17/10; 17/10; 17/10; 7/4; 7/4; 13/8; 8/5; 17/10; 17/10; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 8/5; 17/10; ; 7/4; 13/8; 
Birmingham; 9/5; 13/8; 33/20; 17/10; 15/8; 7/4; 9/5; 17/10; 13/8; 17/10; 9/5; 15/8; 33/20; 8/5; 17/10; ; 28/17; ; 8/5; ; 28/17; ; ; 7/4; 13/8; ; 17/10; 7/4; 
Draw; 9/4; 23/10; 43/20; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; 2; 9/4; 9/4; 11/5; 9/4; 11/5; ; 28/13; ; 11/5; ; 28/13; ; ; 11/5; 21/10; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 17:46:14 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 7/4; 9/5; 7/4; 9/5; 8/5; 17/10; 9/5; 17/10; 7/4; 7/4; 13/8; 8/5; 17/10; 17/10; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 8/5; 17/10; ; 9/5; 7/4; 
Birmingham; 9/5; 13/8; 33/20; 17/10; 15/8; 7/4; 7/4; 17/10; 13/8; 17/10; 9/5; 15/8; 33/20; 8/5; 17/10; ; 28/17; ; 8/5; ; 28/17; ; ; 7/4; 13/8; ; 17/10; 13/8; 
Draw; 9/4; 23/10; 43/20; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; 2; 9/4; 9/4; 11/5; 9/4; 11/5; ; 28/13; ; 11/5; ; 28/13; ; ; 11/5; 21/10; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 18:30:43 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 7/4; 9/5; 7/4; 9/5; 8/5; 17/10; 9/5; 17/10; 7/4; 7/4; 13/8; 8/5; 17/10; 17/10; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 8/5; 17/10; ; 9/5; 7/4; 
Birmingham; 9/5; 13/8; 33/20; 17/10; 15/8; 7/4; 7/4; 17/10; 13/8; 17/10; 9/5; 15/8; 33/20; 8/5; 17/10; ; 28/17; ; 8/5; ; 28/17; ; ; 7/4; 13/8; ; 17/10; 13/8; 
Draw; 9/4; 9/4; 43/20; 11/5; 9/4; 11/5; 23/10; 11/5; 9/4; 2; 9/4; 9/4; 11/5; 9/4; 11/5; ; 28/13; ; 11/5; ; 28/13; ; ; 11/5; 21/10; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 19:46:10 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 7/4; 9/5; 7/4; 17/10; 8/5; 17/10; 9/5; 17/10; 7/4; 17/10; 13/8; 8/5; 17/10; 17/10; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 8/5; 17/10; ; 7/4; 7/4; 
Birmingham; 9/5; 13/8; 33/20; 13/8; 15/8; 7/4; 7/4; 17/10; 13/8; 13/8; 9/5; 15/8; 33/20; 8/5; 17/10; ; 28/17; ; 8/5; ; 28/17; ; ; 7/4; 13/8; ; 17/10; 13/8; 
Draw; 9/4; 9/4; 43/20; 9/4; 9/4; 11/5; 23/10; 11/5; 9/4; 21/10; 9/4; 9/4; 11/5; 9/4; 11/5; ; 28/13; ; 11/5; ; 28/13; ; ; 11/5; 11/5; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 20:21:15 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 7/4; 9/5; 7/4; 17/10; 8/5; 17/10; 9/5; 17/10; 7/4; 17/10; 13/8; 8/5; 17/10; 17/10; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 8/5; 17/10; ; 7/4; 7/4; 
Birmingham; 9/5; 13/8; 33/20; 13/8; 15/8; 7/4; 7/4; 17/10; 13/8; 13/8; 9/5; 15/8; 33/20; 13/8; 17/10; ; 28/17; ; 8/5; ; 28/17; ; ; 7/4; 17/10; ; 17/10; 13/8; 
Draw; 9/4; 9/4; 43/20; 9/4; 9/4; 11/5; 23/10; 11/5; 9/4; 21/10; 9/4; 9/4; 11/5; 9/4; 11/5; ; 28/13; ; 11/5; ; 28/13; ; ; 11/5; 21/10; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 21:46:12 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 7/4; 17/10; 7/4; 17/10; 8/5; 17/10; 9/5; 17/10; 7/4; 17/10; 13/8; 8/5; 17/10; 17/10; 17/10; ; 28/17; ; 8/5; ; 28/17; ; ; 7/4; 17/10; ; 7/4; 7/4; 
Birmingham; 9/5; 7/4; 33/20; 13/8; 15/8; 7/4; 9/5; 17/10; 13/8; 13/8; 9/5; 15/8; 33/20; 13/8; 17/10; ; 28/17; ; 8/5; ; 28/17; ; ; 7/4; 17/10; ; 17/10; 13/8; 
Draw; 9/4; 23/10; 43/20; 9/4; 9/4; 11/5; 9/4; 21/10; 9/4; 21/10; 9/4; 9/4; 11/5; 9/4; 11/5; ; 28/13; ; 11/5; ; 28/13; ; ; 11/5; 21/10; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-20 23:45:42 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 7/4; 7/4; 17/10; 17/10; 8/5; 17/10; 9/5; 17/10; 7/4; 17/10; 13/8; 8/5; 17/10; 13/8; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 7/4; 17/10; ; 7/4; 13/8; 
Birmingham; 9/5; 7/4; 17/10; 13/8; 15/8; 7/4; 9/5; 17/10; 13/8; 17/10; 9/5; 15/8; 33/20; 17/10; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 7/4; 17/10; ; 7/4; 13/8; 
Draw; 9/4; 11/5; 43/20; 9/4; 9/4; 11/5; 9/4; 21/10; 9/4; 21/10; 9/4; 9/4; 11/5; 9/4; 11/5; ; 11/5; ; 11/5; ; 11/5; ; ; 11/5; 11/5; ; 21/10; 11/5; 
META; english/championship/burton-v-birmingham; 2016-10-21 00:20:50 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 7/4; 7/4; 17/10; 17/10; 8/5; 17/10; 9/5; 17/10; 7/4; 17/10; 13/8; 8/5; 17/10; 13/8; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 7/4; 17/10; ; 7/4; 13/8; 
Birmingham; 9/5; 7/4; 17/10; 13/8; 15/8; 7/4; 9/5; 17/10; 13/8; 17/10; 9/5; 15/8; 33/20; 17/10; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 7/4; 17/10; ; 13/8; 13/8; 
Draw; 9/4; 11/5; 43/20; 9/4; 9/4; 11/5; 9/4; 21/10; 9/4; 21/10; 9/4; 9/4; 11/5; 9/4; 11/5; ; 11/5; ; 11/5; ; 11/5; ; ; 11/5; 11/5; ; 21/10; 11/5; 
META; english/championship/burton-v-birmingham; 2016-10-21 00:54:00 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 7/4; 7/4; 17/10; 17/10; 8/5; 17/10; 9/5; 17/10; 7/4; 17/10; 13/8; 8/5; ; 13/8; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 7/4; 17/10; ; 7/4; 13/8; 
Birmingham; 9/5; 7/4; 17/10; 13/8; 15/8; 7/4; 9/5; 17/10; 13/8; 17/10; 9/5; 15/8; ; 17/10; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 7/4; 17/10; ; 7/4; 13/8; 
Draw; 9/4; 11/5; 43/20; 9/4; 9/4; 11/5; 9/4; 21/10; 9/4; 21/10; 9/4; 9/4; ; 9/4; 11/5; ; 11/5; ; 11/5; ; 11/5; ; ; 11/5; 11/5; ; 21/10; 11/5; 
META; english/championship/burton-v-birmingham; 2016-10-21 01:45:14 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 7/4; 7/4; 17/10; 17/10; 8/5; 17/10; 9/5; 17/10; 7/4; 17/10; 13/8; 8/5; 17/10; 13/8; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 7/4; 17/10; ; 7/4; 13/8; 
Birmingham; 9/5; 7/4; 17/10; 13/8; 15/8; 7/4; 9/5; 17/10; 13/8; 17/10; 9/5; 15/8; 33/20; 17/10; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 7/4; 17/10; ; 7/4; 13/8; 
Draw; 9/4; 11/5; 43/20; 9/4; 9/4; 11/5; 9/4; 21/10; 9/4; 21/10; 9/4; 9/4; 11/5; 9/4; 11/5; ; 11/5; ; 11/5; ; 11/5; ; ; 11/5; 11/5; ; 21/10; 11/5; 
META; english/championship/burton-v-birmingham; 2016-10-21 03:45:14 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 7/4; 17/10; 17/10; 17/10; 8/5; 17/10; 9/5; 17/10; 7/4; 17/10; 13/8; 8/5; 17/10; 13/8; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 7/4; 17/10; ; 7/4; 13/8; 
Birmingham; 9/5; 7/4; 17/10; 13/8; 15/8; 7/4; 7/4; 17/10; 13/8; 17/10; 9/5; 15/8; 33/20; 17/10; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 7/4; 17/10; ; 7/4; 13/8; 
Draw; 9/4; 23/10; 43/20; 9/4; 9/4; 11/5; 23/10; 21/10; 9/4; 21/10; 9/4; 9/4; 11/5; 9/4; 11/5; ; 11/5; ; 11/5; ; 11/5; ; ; 11/5; 11/5; ; 21/10; 11/5; 
META; english/championship/burton-v-birmingham; 2016-10-21 04:20:12 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 7/4; 17/10; 17/10; 13/8; 8/5; 17/10; 9/5; 17/10; 7/4; 17/10; 13/8; 8/5; 17/10; 13/8; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 7/4; 17/10; ; 7/4; 13/8; 
Birmingham; 9/5; 7/4; 17/10; 13/8; 15/8; 7/4; 7/4; 17/10; 13/8; 17/10; 9/5; 15/8; 17/10; 17/10; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 7/4; 17/10; ; 7/4; 13/8; 
Draw; 9/4; 23/10; 43/20; 23/10; 9/4; 11/5; 23/10; 21/10; 9/4; 21/10; 9/4; 9/4; 11/5; 9/4; 11/5; ; 11/5; ; 11/5; ; 11/5; ; ; 11/5; 11/5; ; 21/10; 11/5; 
META; english/championship/burton-v-birmingham; 2016-10-21 05:45:14 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 7/4; 17/10; 17/10; 13/8; 8/5; 17/10; 7/4; 17/10; 7/4; 17/10; 13/8; 8/5; 33/20; 13/8; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 7/4; 17/10; ; 7/4; 13/8; 
Birmingham; 9/5; 7/4; 17/10; 13/8; 15/8; 7/4; 9/5; 17/10; 13/8; 7/4; 9/5; 15/8; 17/10; 17/10; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 7/4; 7/4; ; 7/4; 13/8; 
Draw; 9/4; 23/10; 43/20; 23/10; 9/4; 11/5; 23/10; 21/10; 9/4; 21/10; 9/4; 9/4; 11/5; 9/4; 11/5; ; 11/5; ; 11/5; ; 11/5; ; ; 11/5; 11/5; ; 21/10; 11/5; 
META; english/championship/burton-v-birmingham; 2016-10-21 06:30:07 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 7/4; 17/10; 17/10; 13/8; 8/5; 17/10; 7/4; 17/10; 7/4; 17/10; 13/8; 8/5; 33/20; 13/8; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 7/4; 7/4; ; 7/4; 13/8; 
Birmingham; 9/5; 7/4; 17/10; 13/8; 15/8; 7/4; 9/5; 17/10; 13/8; 17/10; 9/5; 15/8; 17/10; 17/10; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 7/4; 7/4; ; 7/4; 13/8; 
Draw; 9/4; 23/10; 43/20; 23/10; 9/4; 11/5; 23/10; 21/10; 9/4; 21/10; 9/4; 9/4; 11/5; 9/4; 11/5; ; 11/5; ; 11/5; ; 11/5; ; ; 11/5; 11/5; ; 21/10; 11/5; 
META; english/championship/burton-v-birmingham; 2016-10-21 07:45:14 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 7/4; 17/10; 17/10; 13/8; 8/5; 17/10; 7/4; 17/10; 7/4; 17/10; 13/8; 8/5; 33/20; 13/8; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 7/4; 7/4; ; 7/4; 17/10; 
Birmingham; 9/5; 7/4; 7/4; 17/10; 15/8; 7/4; 9/5; 17/10; 13/8; 17/10; 9/5; 15/8; 17/10; 17/10; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 7/4; 7/4; ; 7/4; 7/4; 
Draw; 9/4; 23/10; 43/20; 9/4; 9/4; 11/5; 23/10; 21/10; 9/4; 21/10; 9/4; 9/4; 11/5; 9/4; 11/5; ; 11/5; ; 11/5; ; 11/5; ; ; 11/5; 11/5; ; 21/10; 11/5; 
META; english/championship/burton-v-birmingham; 2016-10-21 08:19:53 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 7/4; 17/10; 17/10; 13/8; 8/5; 17/10; 7/4; 17/10; 7/4; 17/10; 13/8; 8/5; 33/20; 13/8; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 7/4; 7/4; ; 7/4; 17/10; 
Birmingham; 9/5; 7/4; 7/4; 17/10; 15/8; 7/4; 9/5; 17/10; 13/8; 17/10; 9/5; 15/8; 17/10; 17/10; 17/10; ; 17/10; ; 8/5; ; 17/10; ; ; 7/4; 7/4; ; 7/4; 7/4; 
Draw; 9/4; 23/10; 43/20; 9/4; 9/4; 11/5; 23/10; 21/10; 9/4; 21/10; 9/4; 9/4; 11/5; 9/4; 11/5; ; 11/5; ; 11/5; ; 11/5; ; ; 11/5; 11/5; ; 21/10; 11/5; 
META; english/championship/burton-v-birmingham; 2016-10-21 09:45:14 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 7/4; 17/10; 17/10; 13/8; 8/5; 17/10; 7/4; 17/10; 7/4; 17/10; 13/8; 8/5; 33/20; 13/8; 17/10; ; 7/4; ; 7/4; ; 7/4; ; ; 7/4; 17/10; ; 7/4; 17/10; 
Birmingham; 9/5; 7/4; 7/4; 13/8; 15/8; 7/4; 9/5; 17/10; 13/8; 17/10; 9/5; 15/8; 17/10; 17/10; 17/10; ; 17/10; ; 7/4; ; 17/10; ; ; 7/4; 17/10; ; 7/4; 7/4; 
Draw; 9/4; 23/10; 43/20; 23/10; 9/4; 11/5; 23/10; 21/10; 9/4; 21/10; 9/4; 9/4; 11/5; 9/4; 11/5; ; 28/13; ; 11/5; ; 28/13; ; ; 11/5; 11/5; ; 21/10; 11/5; 
META; english/championship/burton-v-birmingham; 2016-10-21 11:45:14 GMT+3; 2016-10-21 19:45; e70300-dr003
Burton; 7/4; 7/4; 17/10; 7/4; 8/5; 17/10; 9/5; 17/10; 7/4; 9/5; 13/8; 9/5; 17/10; 9/5; 17/10; ; 17/10; ; 7/4; ; 17/10; ; ; 7/4; 7/4; ; 7/4; 17/10; 
Birmingham; 9/5; 7/4; 17/10; 7/4; 15/8; 7/4; 9/5; 17/10; 13/8; 7/4; 9/5; 9/5; 7/4; 7/4; 17/10; ; 17/10; ; 7/4; ; 17/10; ; ; 7/4; 7/4; ; 17/10; 7/4; 
Draw; 9/4; 11/5; 43/20; 11/5; 9/4; 11/5; 9/4; 21/10; 9/4; 11/5; 9/4; 21/10; 9/4; 11/5; 11/5; ; 28/13; ; 11/5; ; 28/13; ; ; 11/5; 11/5; ; 21/10; 11/5; 
META; english/championship/burton-v-birmingham; 2016-10-21 12:20:53 GMT+3; 2016-10-21 19:45; e70300-dr003
Birmingham; 7/4; 7/4; 13/8; 17/10; 15/8; 7/4; 17/10; 17/10; 13/8; 7/4; 9/5; 15/8; 7/4; 7/4; 17/10; ; 17/10; ; 7/4; ; 17/10; ; ; 7/4; 13/8; ; 13/8; 7/4; 
Burton; 9/5; 7/4; 9/5; 9/5; 8/5; 17/10; 15/8; 17/10; 7/4; 9/5; 13/8; 8/5; 17/10; 9/5; 17/10; ; 7/4; ; 7/4; ; 7/4; ; ; 7/4; 9/5; ; 9/5; 7/4; 
Draw; 9/4; 11/5; 43/20; 21/10; 9/4; 11/5; 9/4; 21/10; 9/4; 11/5; 9/4; 9/4; 9/4; 11/5; 11/5; ; 21/10; ; 11/5; ; 21/10; ; ; 11/5; 11/5; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-21 12:58:11 GMT+3; 2016-10-21 19:45; e70300-dr003
Birmingham; 7/4; 7/4; 13/8; 13/8; 7/4; 7/4; 13/8; 17/10; 13/8; 7/4; 9/5; 8/5; 33/20; 7/4; 17/10; ; 17/10; ; 7/4; ; 17/10; ; ; 7/4; 13/8; ; 13/8; 7/4; 
Burton; 9/5; 7/4; 9/5; 9/5; 17/10; 17/10; 19/10; 17/10; 9/5; 9/5; 13/8; 15/8; 9/5; 9/5; 17/10; ; 7/4; ; 7/4; ; 7/4; ; ; 7/4; 9/5; ; 9/5; 7/4; 
Draw; 9/4; 11/5; 43/20; 21/10; 9/4; 11/5; 9/4; 21/10; 11/5; 11/5; 9/4; 9/4; 9/4; 11/5; 11/5; ; 21/10; ; 11/5; ; 21/10; ; ; 11/5; 11/5; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-21 13:45:15 GMT+3; 2016-10-21 19:45; e70300-dr003
Birmingham; 7/4; 7/4; 8/5; 13/8; 7/4; 7/4; 13/8; 17/10; 13/8; 7/4; 9/5; 8/5; 33/20; 7/4; 17/10; ; 28/17; ; 7/4; ; 28/17; ; ; 7/4; 13/8; ; 13/8; 7/4; 
Burton; 9/5; 7/4; 37/20; 9/5; 17/10; 17/10; 19/10; 17/10; 9/5; 9/5; 13/8; 15/8; 9/5; 9/5; 9/5; ; 9/5; ; 7/4; ; 9/5; ; ; 7/4; 9/5; ; 19/10; 7/4; 
Draw; 9/4; 11/5; 43/20; 11/5; 9/4; 11/5; 9/4; 21/10; 11/5; 11/5; 9/4; 9/4; 9/4; 11/5; 21/10; ; 21/10; ; 11/5; ; 21/10; ; ; 11/5; 11/5; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-21 15:45:15 GMT+3; 2016-10-21 19:45; e70300-dr003
Birmingham; 7/4; 13/8; 33/20; 13/8; 7/4; 17/10; 13/8; 17/10; 13/8; 17/10; 9/5; 8/5; 33/20; 17/10; 17/10; ; 28/17; ; 8/5; ; 28/17; ; ; 7/4; 13/8; ; 13/8; 17/10; 
Burton; 9/5; 19/10; 39/20; 15/8; 17/10; 7/4; 19/10; 17/10; 9/5; 15/8; 13/8; 15/8; 9/5; 19/10; 9/5; ; 9/5; ; 19/10; ; 9/5; ; ; 7/4; 15/8; ; 19/10; 15/8; 
Draw; 9/4; 11/5; 9/4; 11/5; 9/4; 9/4; 9/4; 21/10; 11/5; 11/5; 9/4; 9/4; 9/4; 11/5; 21/10; ; 28/13; ; 11/5; ; 28/13; ; ; 11/5; 11/5; ; 21/10; 11/5; 
META; english/championship/burton-v-birmingham; 2016-10-21 16:22:51 GMT+3; 2016-10-21 19:45; e70300-dr003
Birmingham; 7/4; 13/8; 13/8; 13/8; 7/4; 17/10; 13/8; 17/10; 13/8; 17/10; 7/4; 8/5; 33/20; 17/10; 17/10; ; 28/17; ; 8/5; ; 28/17; ; ; 7/4; 13/8; ; 13/8; 17/10; 
Burton; 9/5; 19/10; 39/20; 15/8; 17/10; 7/4; 19/10; 17/10; 9/5; 15/8; 7/4; 15/8; 9/5; 19/10; 9/5; ; 9/5; ; 19/10; ; 9/5; ; ; 7/4; 15/8; ; 19/10; 15/8; 
Draw; 9/4; 11/5; 9/4; 11/5; 9/4; 9/4; 9/4; 21/10; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 21/10; ; 28/13; ; 11/5; ; 28/13; ; ; 11/5; 11/5; ; 21/10; 11/5; 
META; english/championship/burton-v-birmingham; 2016-10-21 17:45:16 GMT+3; 2016-10-21 19:45; e70300-dr003
Birmingham; 33/20; 13/8; 13/8; 8/5; 17/10; 17/10; 13/8; 17/10; ; 17/10; 17/10; 8/5; 13/8; 17/10; 17/10; ; 28/17; ; 8/5; ; 28/17; ; ; 17/10; 8/5; ; 13/8; 13/8; 
Burton; 19/10; 19/10; 39/20; 19/10; 15/8; 7/4; 19/10; 17/10; ; 15/8; 15/8; 15/8; 37/20; 19/10; 9/5; ; 9/5; ; 19/10; ; 9/5; ; ; 9/5; 2; ; 19/10; 9/5; 
Draw; 9/4; 11/5; 9/4; 21/10; 11/5; 9/4; 9/4; 21/10; ; 11/5; 21/10; 9/4; 9/4; 11/5; 21/10; ; 28/13; ; 11/5; ; 28/13; ; ; 11/5; 11/5; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-21 18:32:06 GMT+3; 2016-10-21 19:45; e70300-dr003
Birmingham; 33/20; 13/8; 8/5; 8/5; 17/10; 17/10; 13/8; 17/10; ; 13/8; 13/8; 8/5; 13/8; 8/5; 17/10; ; 28/17; ; 8/5; ; 8/5; ; ; 8/5; 6/4; ; 6/4; 8/5; 
Burton; 19/10; 19/10; 2; 19/10; 15/8; 7/4; 19/10; 17/10; ; 19/10; 15/8; 15/8; 37/20; 2; 9/5; ; 9/5; ; 19/10; ; 24/13; ; ; 2; 2; ; 19/10; 19/10; 
Draw; 9/4; 11/5; 11/5; 21/10; 11/5; 9/4; 9/4; 21/10; ; 11/5; 11/5; 9/4; 9/4; 11/5; 21/10; ; 28/13; ; 11/5; ; 28/13; ; ; 28/13; 11/5; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-21 19:45:16 GMT+3; 2016-10-21 19:45; e70300-dr003
Birmingham; 6/4; 6/4; 31/20; 6/4; 13/8; 17/10; 31/20; 17/10; 6/4; 13/8; 13/8; 8/5; 8/5; 8/5; 17/10; ; 6/4; ; 8/5; ; 6/4; ; ; 17/11; 6/4; ; 6/4; 6/4; 
Burton; 21/10; 19/10; 41/20; 19/10; 2; 7/4; 2; 17/10; 2; 19/10; 19/10; 15/8; 19/10; 2; 9/5; ; 37/19; ; 19/10; ; 37/19; ; ; 29/14; 2; ; 2; 2; 
Draw; 23/10; 11/5; 9/4; 21/10; 11/5; 9/4; 23/10; 21/10; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 21/10; ; 28/13; ; 11/5; ; 28/13; ; ; 28/13; 11/5; ; 21/10; 21/10; 
META; english/championship/burton-v-birmingham; 2016-10-21 20:22:40 GMT+3; 2016-10-21 19:45; e70300-dr003
Birmingham; 6/4; 7/5; 31/20; 6/4; 8/5; 6/4; 31/20; 6/4; 6/4; 13/8; 13/8; 8/5; 6/4; 8/5; 7/5; ; 16/11; ; 8/5; ; 16/11; ; ; 17/11; 6/4; ; 6/4; 6/4; 
Burton; 21/10; 11/5; 21/10; 21/10; 21/10; 39/20; 2; 2; 2; 19/10; 19/10; 15/8; 2; 2; 21/10; ; 39/19; ; 19/10; ; 39/19; ; ; 29/14; 2; ; 2; 2; 
Draw; 23/10; 11/5; 11/5; 21/10; 11/5; 9/4; 23/10; 21/10; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 11/5; ; 28/13; ; 11/5; ; 28/13; ; ; 28/13; 11/5; ; 21/10; 21/10; 
