META; english/championship/derby-v-burton; 2017-02-18 12:21:38 GMT+2; 2017-05-06 12:00; e70300-dr003
Derby; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; ; 
Burton; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; ; ; ; 
Draw; 14/5; 5/2; 5/2; 5/2; 11/4; 11/4; 14/5; 13/5; 13/5; 5/2; 12/5; 13/5; 53/20; 11/4; 11/4; 11/4; 13/5; 5/2; 5/2; 13/5; 11/4; 13/5; 28/11; 11/4; ; 13/5; 13/5; 27/10
Burton; 9/2; 17/4; 17/4; 9/2; 9/2; 17/4; 9/2; 7/2; 17/4; 17/4; 10/3; 4; 17/4; 24/5; 4; 9/2; 43/10; 17/4; 4; 43/10; 9/2; 21/5; 41/10; 4; ; 21/5; 21/5; 23/5
META; english/championship/derby-v-burton; 2017-02-20 16:21:13 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 8/11; 8/11; 8/11; 3/4; 7/10; 8/11; 8/11; 4/6; 4/6; 7/10; 7/10; 7/10; 8/11; 7/10; 7/10; 8/11; 9/13; 4/6; 4/6; 9/13; 3/4; 8/11; 13/18; 7/10; ; 8/11; 4/6; 4/6
Draw; 14/5; 5/2; 5/2; 5/2; 11/4; 11/4; 14/5; 13/5; 13/5; 5/2; 5/2; 13/5; 53/20; 11/4; 11/4; 11/4; 13/5; 5/2; 5/2; 13/5; 11/4; 13/5; 28/11; 11/4; ; 13/5; 13/5; 27/10
Burton; 9/2; 17/4; 17/4; 9/2; 9/2; 17/4; 9/2; 7/2; 17/4; 17/4; 17/4; 4; 17/4; 24/5; 4; 9/2; 43/10; 17/4; 4; 43/10; 9/2; 21/5; 41/10; 4; ; 21/5; 21/5; 23/5
META; english/championship/derby-v-burton; 2017-02-20 17:45:27 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 8/11; 8/11; 8/11; 3/4; 7/10; 7/10; 8/11; 4/6; 4/6; 7/10; 7/10; 7/10; 8/11; 7/10; 7/10; 8/11; 9/13; 4/6; 4/6; 9/13; 3/4; 8/11; 13/18; 7/10; ; 4/6; 4/6; 4/6
Draw; 14/5; 5/2; 5/2; 5/2; 11/4; 11/4; 14/5; 13/5; 13/5; 5/2; 5/2; 13/5; 53/20; 11/4; 11/4; 27/10; 13/5; 5/2; 5/2; 13/5; 11/4; 13/5; 28/11; 11/4; ; 13/5; 13/5; 27/10
Burton; 9/2; 17/4; 17/4; 9/2; 9/2; 17/4; 9/2; 7/2; 17/4; 17/4; 17/4; 4; 17/4; 24/5; 4; 9/2; 43/10; 17/4; 4; 43/10; 9/2; 21/5; 41/10; 4; ; 22/5; 21/5; 23/5
META; english/championship/derby-v-burton; 2017-02-20 18:29:38 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 8/11; 8/11; 8/11; 3/4; 7/10; 7/10; 8/11; 4/6; 4/6; 7/10; 7/10; 7/10; 8/11; 7/10; 7/10; 8/11; 9/13; 4/6; 4/6; 9/13; 3/4; 8/11; 13/18; 7/10; ; 4/6; 4/6; 4/6
Draw; 14/5; 5/2; 5/2; 5/2; 11/4; 11/4; 14/5; 13/5; 13/5; 5/2; 5/2; 13/5; 53/20; 11/4; 11/4; 27/10; 13/5; 5/2; 5/2; 13/5; 11/4; 13/5; 28/11; 11/4; ; 13/5; 13/5; 27/10
Burton; 9/2; 17/4; 17/4; 9/2; 9/2; 17/4; 9/2; 4; 17/4; 17/4; 17/4; 4; 17/4; 24/5; 4; 9/2; 43/10; 17/4; 4; 43/10; 9/2; 21/5; 41/10; 4; ; 22/5; 4; 23/5
META; english/championship/derby-v-burton; 2017-02-20 19:45:35 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 8/11; 8/11; 4/6; 7/10; 7/10; 4/6; 7/10; 8/11; 4/6; 13/20; 4/6; 4/6; 13/20; 7/10; 4/6; 8/11; 4/6; 4/6; 4/6; 4/6; 8/11; 4/6; 13/18; 4/6; ; 4/6; 4/6; 4/6
Draw; 14/5; 5/2; 13/5; 11/4; 11/4; 14/5; 14/5; 13/5; 14/5; 13/5; 27/10; 13/5; 11/4; 29/10; 11/4; 11/4; 27/10; 5/2; 5/2; 27/10; 14/5; 27/10; 28/11; 14/5; ; 27/10; 27/10; 14/5
Burton; 9/2; 17/4; 9/2; 9/2; 9/2; 9/2; 19/4; 9/2; 9/2; 19/4; 17/4; 9/2; 19/4; 24/5; 9/2; 9/2; 50/11; 17/4; 4; 50/11; 23/5; 9/2; 41/10; 17/4; ; 23/5; 9/2; 5
META; english/championship/derby-v-burton; 2017-02-20 20:22:14 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 8/11; 4/6; 4/6; 7/10; 7/10; 4/6; 7/10; 8/11; 4/6; 13/20; 4/6; 4/6; 13/20; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; ; 8/11; 4/6; 13/18; 4/6; ; 4/6; 4/6; 4/6
Draw; 14/5; 13/5; 13/5; 11/4; 11/4; 14/5; 14/5; 13/5; 14/5; 13/5; 27/10; 13/5; 11/4; 29/10; 11/4; 11/4; 27/10; 5/2; 5/2; ; 14/5; 27/10; 28/11; 14/5; ; 11/4; 27/10; 14/5
Burton; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 19/4; 9/2; 9/2; 19/4; 17/4; 9/2; 19/4; 24/5; 9/2; 9/2; 50/11; 17/4; 4; ; 23/5; 9/2; 41/10; 17/4; ; 23/5; 9/2; 5
META; english/championship/derby-v-burton; 2017-02-20 21:45:31 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 8/11; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; 8/11; 4/6; 13/20; 4/6; 4/6; 13/20; 7/10; 4/6; 7/10; 4/6; 4/6; 4/6; 4/6; 8/11; 4/6; 13/18; 4/6; ; 4/6; 4/6; 4/6
Draw; 14/5; 13/5; 27/10; 11/4; 11/4; 14/5; 29/10; 13/5; 14/5; 13/5; 11/4; 13/5; 11/4; 29/10; 11/4; 14/5; 27/10; 5/2; 5/2; 27/10; 14/5; 27/10; 28/11; 14/5; ; 27/10; 11/4; 14/5
Burton; 9/2; 9/2; 9/2; 9/2; 5; 9/2; 19/4; 9/2; 9/2; 19/4; 9/2; 9/2; 19/4; 24/5; 9/2; 9/2; 50/11; 17/4; 4; 50/11; 23/5; 9/2; 41/10; 17/4; ; 23/5; 9/2; 5
META; english/championship/derby-v-burton; 2017-02-20 23:45:35 GMT+2; 2017-02-21 19:45; e70300-dr003
Derby; 7/10; 4/6; 4/6; 7/10; 4/6; 4/6; 4/6; 8/11; 4/6; 13/20; 8/13; 8/13; 13/20; 7/10; 4/6; 7/10; 11/17; 4/6; 4/7; 11/17; 7/10; 13/19; 8/13; 4/6; ; 4/6; 4/6; 8/13
