Wigan; 14/5; 13/5; 27/10; 14/5; 5/2; 27/10; 27/10; 12/5; 11/4; 13/5; 13/5; 5/2; 13/5; 27/10; 5/2; 13/5; 11/4; 28/11; 13/5; 13/5; 13/5; 28/11; 56/19; 45/17; 5/2; ; 11/4; 5/2; 
META; english/championship/brentford-v-wigan; 2016-09-28 20:21:38 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 1; 21/20; 21/20; 1; 11/10; 1; 1; 1; 21/20; 21/20; 1; 1; 21/20; ; 1; 21/20; 11/10; 21/20; 21/20; 1; 21/20; 21/20; 15/14; 1; 1; ; 21/20; 1; 
Draw; 23/10; 12/5; 49/20; 12/5; 23/10; 13/5; 13/5; 23/10; 5/2; 12/5; 5/2; 23/10; 12/5; ; 13/5; 5/2; 5/2; 27/11; 12/5; 23/10; 12/5; 27/11; 5/2; 13/5; 12/5; ; 5/2; 12/5; 
Wigan; 14/5; 13/5; 27/10; 14/5; 5/2; 11/4; 27/10; 12/5; 11/4; 13/5; 13/5; 5/2; 13/5; ; 5/2; 13/5; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; 56/19; 45/17; 13/5; ; 13/5; 5/2; 
META; english/championship/brentford-v-wigan; 2016-09-29 00:20:41 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 1; 21/20; 21/20; 1; 11/10; 1; 1; 1; 21/20; 1; 1; 1; 21/20; 19/20; 1; 21/20; 21/20; 21/20; 1; 1; 1; 21/20; 15/14; 1; 21/20; ; 1; 1; 
Draw; 23/10; 12/5; 49/20; 12/5; 23/10; 13/5; 13/5; 5/2; 5/2; 12/5; 5/2; 23/10; 12/5; 5/2; 13/5; 5/2; 13/5; 27/11; 12/5; 23/10; 12/5; 27/11; 5/2; 13/5; 12/5; ; 12/5; 12/5; 
Wigan; 14/5; 13/5; 27/10; 14/5; 5/2; 11/4; 27/10; 13/5; 11/4; 14/5; 13/5; 5/2; 13/5; 11/4; 5/2; 13/5; 14/5; 45/17; 14/5; 13/5; 14/5; 45/17; 56/19; 45/17; 5/2; ; 13/5; 5/2; 
META; english/championship/brentford-v-wigan; 2016-09-29 04:20:27 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 1; 21/20; 21/20; 1; 11/10; 21/20; 21/20; 1; 21/20; 1; 1; 1; 21/20; 1; 21/20; 21/20; 21/20; 21/20; 1; 1; 1; 21/20; 15/14; 30/29; 21/20; ; 1; 1; 
Draw; 23/10; 12/5; 49/20; 12/5; 23/10; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 23/10; 12/5; 5/2; 13/5; 5/2; 13/5; 27/11; 12/5; 23/10; 12/5; 27/11; 5/2; 28/11; 12/5; ; 12/5; 12/5; 
Wigan; 14/5; 13/5; 13/5; 11/4; 5/2; 27/10; 13/5; 13/5; 11/4; 14/5; 5/2; 12/5; 13/5; 53/20; 12/5; 13/5; 11/4; 13/5; 14/5; 13/5; 14/5; 13/5; 56/19; 45/17; 5/2; ; 13/5; 5/2; 
META; english/championship/brentford-v-wigan; 2016-09-29 12:20:48 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 1; 21/20; 21/20; 1; 11/10; 1; 21/20; 1; 21/20; 1; 1; 11/10; 21/20; ; 21/20; 21/20; 21/20; 1; 1; 1; 1; 1; 15/14; 1; 1; ; 1; 1; 
Draw; 23/10; 12/5; 49/20; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; ; 13/5; 5/2; 13/5; 27/11; 12/5; 23/10; 12/5; 27/11; 5/2; 28/11; 12/5; ; 12/5; 12/5; 
Wigan; 14/5; 13/5; 13/5; 13/5; 5/2; 27/10; 13/5; 13/5; 11/4; 14/5; 13/5; 13/5; 11/4; ; 12/5; 13/5; 11/4; 27/10; 14/5; 13/5; 14/5; 27/10; 56/19; 27/10; 5/2; ; 27/10; 5/2; 
META; english/championship/brentford-v-wigan; 2016-09-29 20:20:41 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 1; 21/20; 1; 1; 11/10; 1; 21/20; 1; 1; 19/20; 20/21; 1; 21/20; ; 1; 1; 21/20; 1; 19/20; 1; 20/21; 1; 68/67; 1; 1; ; 1; 20/21; 
Draw; 23/10; 5/2; 5/2; 23/10; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; ; 13/5; 5/2; 5/2; 28/11; 5/2; 23/10; 5/2; 28/11; 13/5; 28/11; 13/5; ; 5/2; 12/5; 
Wigan; 14/5; 5/2; 27/10; 14/5; 5/2; 14/5; 14/5; 13/5; 11/4; 37/13; 11/4; 11/4; 11/4; ; 5/2; 11/4; 11/4; 11/4; 37/13; 13/5; 14/5; 11/4; 31/10; 27/10; 11/4; ; 14/5; 13/5; 
META; english/championship/brentford-v-wigan; 2016-09-30 00:20:20 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 1; 1; 1; 1; 1; 1; 21/20; 1; 1; 19/20; 20/21; 1; 21/20; 19/20; 1; 1; 1; 1; 19/20; 1; 20/21; 1; 68/67; 1; 1; ; 1; 20/21; 
Draw; 23/10; 13/5; 5/2; 23/10; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 51/20; 13/5; 5/2; 13/5; 28/11; 5/2; 23/10; 5/2; 28/11; 13/5; 28/11; 13/5; ; 5/2; 12/5; 
Wigan; 14/5; 13/5; 27/10; 14/5; 11/4; 14/5; 14/5; 13/5; 11/4; 37/13; 11/4; 11/4; 11/4; 11/4; 5/2; 11/4; 11/4; 11/4; 37/13; 13/5; 14/5; 11/4; 31/10; 27/10; 11/4; ; 14/5; 13/5; 
META; english/championship/brentford-v-wigan; 2016-09-30 00:59:16 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 1; 1; 1; 1; 1; 1; 21/20; 1; 1; 19/20; 20/21; 1; 21/20; 19/20; 1; 1; 1; 1; 19/20; 1; 20/21; 1; 68/67; 1; 1; ; 1; 20/21; 
Draw; 23/10; 13/5; 5/2; 23/10; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 51/20; 13/5; 5/2; 13/5; 28/11; 5/2; 23/10; 5/2; 28/11; 13/5; 28/11; 13/5; ; 5/2; 12/5; 
Wigan; 14/5; 13/5; 27/10; 14/5; 11/4; 14/5; 14/5; 13/5; 11/4; 37/13; 11/4; 11/4; 11/4; 11/4; 5/2; 11/4; 11/4; 11/4; 37/13; 13/5; 14/5; 11/4; 31/10; 27/10; 11/4; ; 14/5; 27/10; 
META; english/championship/brentford-v-wigan; 2016-09-30 01:45:50 GMT+3; 2016-10-01 15:00; e70300-dr003
Brentford; 1; 1; 1; 1; 1; 1; 21/20; 1; 1; 19/20; 20/21; 1; 21/20; 19/20; 1; 1; 1; 1; 19/20; 1; 20/21; 1; 68/67; 1; 1; ; 1; 20/21; 
Draw; 23/10; 13/5; 5/2; 23/10; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 51/20; 13/5; 5/2; 13/5; 28/11; 5/2; 23/10; 5/2; 28/11; 13/5; 28/11; 13/5; ; 5/2; 23/10; 
Wigan; 14/5; 13/5; 27/10; 14/5; 11/4; 14/5; 14/5; 13/5; 11/4; 37/13; 11/4; 11/4; 11/4; 11/4; 5/2; 11/4; 11/4; 11/4; 37/13; 13/5; 14/5; 11/4; 31/10; 27/10; 11/4; ; 14/5; 13/5; 
META; english/championship/brentford-v-wigan; 2016-09-30 03:45:57 GMT+3; 2016-10-01 15:00; e70300-dr003
