META; english/championship/burton-v-barnsley; 2016-10-30 04:21:41 GMT+3; 2016-11-05 15:00; e70300-dr003
META; english/championship/burton-v-barnsley; 2016-11-04 04:19:45 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 23/20; 23/20; 6/5; 6/5; 6/5; 23/20; 6/5; 11/10; 6/5; 23/20; 23/20; 6/5; 11/10; 23/20; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 23/20; ; 23/20; 10/9; 
Barnsley; 5/2; 9/4; 23/10; 12/5; 12/5; 23/10; 12/5; 12/5; 23/10; 12/5; 12/5; 11/5; 47/20; 11/5; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 9/4; ; 23/10; 9/4; 
Draw; 13/5; 5/2; 49/20; 9/4; 12/5; 5/2; 13/5; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 5/2; 12/5; ; 12/5; ; 12/5; ; 12/5; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-04 05:45:47 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 23/20; 23/20; 6/5; 6/5; 6/5; 23/20; 6/5; 11/10; 6/5; 23/20; 23/20; 6/5; 11/10; 23/20; 6/5; ; 11/10; ; 11/10; ; 11/10; ; ; 8/7; 23/20; ; 23/20; 10/9; 
Barnsley; 5/2; 9/4; 23/10; 12/5; 12/5; 23/10; 12/5; 12/5; 23/10; 12/5; 12/5; 11/5; 47/20; 11/5; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 9/4; ; 23/10; 21/10; 
Draw; 13/5; 5/2; 49/20; 9/4; 12/5; 5/2; 13/5; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 5/2; 12/5; ; 12/5; ; 12/5; ; 12/5; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-04 06:32:50 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 23/20; 23/20; 6/5; 6/5; 6/5; 23/20; 6/5; 11/10; 6/5; 23/20; 23/20; 6/5; 11/10; 23/20; 6/5; ; 11/10; ; 11/10; ; 11/10; ; ; 8/7; 23/20; ; 23/20; 10/9; 
Barnsley; 5/2; 9/4; 23/10; 12/5; 12/5; 23/10; 12/5; 12/5; 23/10; 12/5; 12/5; 11/5; 47/20; 11/5; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 9/4; ; 23/10; 9/4; 
Draw; 13/5; 5/2; 49/20; 9/4; 12/5; 5/2; 13/5; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 5/2; 12/5; ; 12/5; ; 12/5; ; 12/5; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-04 07:45:41 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 23/20; 6/5; 23/20; 6/5; 11/10; 6/5; 23/20; 23/20; 6/5; 11/10; 23/20; 6/5; ; 11/10; ; 11/10; ; 11/10; ; ; 8/7; 23/20; ; 23/20; 10/9; 
Barnsley; 5/2; 9/4; 23/10; 11/5; 12/5; 23/10; 12/5; 12/5; 23/10; 12/5; 12/5; 11/5; 47/20; 11/5; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 9/4; ; 23/10; 9/4; 
Draw; 5/2; 5/2; 49/20; 12/5; 12/5; 5/2; 13/5; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 5/2; 12/5; ; 12/5; ; 12/5; ; 12/5; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-04 08:19:56 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 23/20; 6/5; 23/20; 6/5; 11/10; 6/5; 23/20; 23/20; 6/5; 11/10; 23/20; 6/5; ; 11/10; ; 11/10; ; 11/10; ; ; 8/7; 23/20; ; 23/20; 10/9; 
Barnsley; 5/2; 9/4; 23/10; 5/2; 12/5; 23/10; 12/5; 12/5; 23/10; 12/5; 12/5; 11/5; 47/20; 11/5; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 9/4; ; 23/10; 9/4; 
Draw; 5/2; 5/2; 49/20; 11/5; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 5/2; 12/5; ; 12/5; ; 12/5; ; 12/5; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-04 09:45:45 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 23/20; 6/5; 23/20; 6/5; 11/10; 6/5; 23/20; 23/20; 6/5; 11/10; 23/20; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 6/5; ; 23/20; 10/9; 
Barnsley; 5/2; 9/4; 23/10; 11/5; 12/5; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 11/5; 47/20; 11/5; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 23/10; ; 23/10; 9/4; 
Draw; 5/2; 5/2; 49/20; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 12/5; 5/2; 5/2; 12/5; ; 12/5; ; 12/5; ; 12/5; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-04 11:45:48 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; 13/10; 11/10; 6/5; 6/5; 6/5; 13/10; 11/10; 5/4; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 6/5; ; 6/5; 10/9; 
Barnsley; 5/2; 23/10; 11/5; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 47/20; 9/4; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 23/10; ; 23/10; 9/4; 
Draw; 5/2; 12/5; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 12/5; 21/10; 49/20; 13/5; 12/5; ; 40/17; ; 12/5; ; 40/17; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-04 12:20:26 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; 5/4; 11/10; 6/5; 6/5; 5/4; 13/10; 23/20; 5/4; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 6/5; ; 6/5; 10/9; 
Barnsley; 5/2; 23/10; 11/5; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 12/5; 9/4; 9/4; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 23/10; ; 23/10; 9/4; 
Draw; 5/2; 12/5; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 12/5; 11/5; 49/20; 13/5; 12/5; ; 40/17; ; 12/5; ; 40/17; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-04 13:01:57 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; 13/10; 11/10; 6/5; 6/5; 5/4; 13/10; 6/5; 5/4; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 6/5; ; 23/20; 10/9; 
Barnsley; 5/2; 23/10; 9/4; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 12/5; 23/10; 9/4; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 23/10; ; 23/10; 9/4; 
Draw; 5/2; 12/5; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 12/5; 11/5; 5/2; 13/5; 12/5; ; 40/17; ; 12/5; ; 40/17; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-04 13:45:44 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; 5/4; 11/10; 6/5; 6/5; 5/4; 13/10; 6/5; 5/4; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 6/5; ; 6/5; 10/9; 
Barnsley; 5/2; 23/10; 9/4; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 12/5; 23/10; 23/10; 23/10; ; 9/4; ; 9/4; ; 9/4; ; ; 27/11; 23/10; ; 23/10; 9/4; 
Draw; 5/2; 12/5; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 12/5; 11/5; 5/2; 13/5; 12/5; ; 40/17; ; 12/5; ; 40/17; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-04 15:45:59 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; 5/4; 11/10; 6/5; 6/5; 6/5; 13/10; 6/5; 5/4; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 6/5; ; 6/5; 23/20; 
Barnsley; 5/2; 9/4; 9/4; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; ; 9/4; ; 9/4; ; 9/4; ; ; 27/11; 23/10; ; 23/10; 11/5; 
Draw; 5/2; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 11/5; 5/2; 13/5; 12/5; ; 40/17; ; 12/5; ; 40/17; ; ; 12/5; 12/5; ; 12/5; 23/10; 
META; english/championship/burton-v-barnsley; 2016-11-04 16:20:02 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; 5/4; 11/10; 6/5; 23/20; 6/5; 13/10; ; 6/5; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 6/5; ; 6/5; 23/20; 
Barnsley; 5/2; 9/4; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; ; 23/10; 23/10; ; 23/10; ; 9/4; ; 11/5; ; ; 27/11; 9/4; ; 23/10; 11/5; 
Draw; 5/2; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 5/2; 11/5; ; 27/10; 12/5; ; 12/5; ; 12/5; ; 12/5; ; ; 12/5; 5/2; ; 12/5; 23/10; 
META; english/championship/burton-v-barnsley; 2016-11-04 18:33:28 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 23/20; 6/5; 6/5; 5/4; 11/10; 6/5; 23/20; 6/5; 5/4; ; 5/4; 6/5; ; 6/5; ; 11/10; ; 15/13; ; ; 8/7; 6/5; ; 6/5; 10/9; 
Barnsley; 5/2; 9/4; 11/5; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 11/5; ; 9/4; 23/10; ; 9/4; ; 9/4; ; 23/10; ; ; 27/11; 23/10; ; 23/10; 23/10; 
Draw; 5/2; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 5/2; ; 27/10; 12/5; ; 27/11; ; 12/5; ; 27/11; ; ; 12/5; 5/2; ; 5/2; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-04 19:46:07 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 23/20; 6/5; 6/5; 5/4; 11/10; 6/5; 23/20; 6/5; 5/4; 23/20; 5/4; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 6/5; ; 6/5; 10/9; 
Barnsley; 5/2; 21/10; 11/5; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 11/5; 47/20; 9/4; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 23/10; ; 23/10; 23/10; 
Draw; 5/2; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 5/2; 51/20; 27/10; 12/5; ; 27/11; ; 12/5; ; 27/11; ; ; 12/5; 5/2; ; 5/2; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-04 20:21:32 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 23/20; 6/5; 6/5; 5/4; 11/10; 6/5; 23/20; 6/5; 5/4; 23/20; 5/4; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 6/5; ; 6/5; 10/9; 
Barnsley; 5/2; 21/10; 11/5; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 11/5; 47/20; 9/4; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 23/10; ; 23/10; 23/10; 
Draw; 5/2; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 5/2; 51/20; 27/10; 12/5; ; 27/11; ; 12/5; ; 27/11; ; ; 12/5; 5/2; ; 5/2; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-04 21:45:48 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 23/20; 6/5; 6/5; 5/4; 11/10; 6/5; 23/20; 6/5; 5/4; 23/20; 5/4; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 6/5; ; 6/5; 10/9; 
Barnsley; 5/2; 21/10; 11/5; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 11/5; 47/20; 9/4; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 23/10; ; 23/10; 23/10; 
Draw; 5/2; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 5/2; 51/20; 27/10; 12/5; ; 27/11; ; 12/5; ; 27/11; ; ; 12/5; 5/2; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-04 23:45:43 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 23/20; 6/5; 6/5; 5/4; 11/10; 6/5; 23/20; 6/5; 5/4; 23/20; 6/5; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 6/5; ; 6/5; 23/20; 
Barnsley; 5/2; 11/5; 11/5; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 11/5; 47/20; 12/5; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 23/10; ; 23/10; 9/4; 
Draw; 5/2; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 5/2; 51/20; 5/2; 12/5; ; 27/11; ; 12/5; ; 27/11; ; ; 12/5; 5/2; ; 12/5; 23/10; 
META; english/championship/burton-v-barnsley; 2016-11-05 00:20:19 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 23/20; 6/5; 6/5; 5/4; 11/10; 6/5; 23/20; 6/5; 5/4; 23/20; 6/5; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 6/5; ; 6/5; 23/20; 
Barnsley; 5/2; 11/5; 11/5; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 11/5; 47/20; 12/5; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 23/10; ; 23/10; 9/4; 
Draw; 5/2; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 5/2; 51/20; 5/2; 12/5; ; 27/11; ; 12/5; ; 27/11; ; ; 12/5; 5/2; ; 12/5; 23/10; 
META; english/championship/burton-v-barnsley; 2016-11-05 00:58:58 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 23/20; 6/5; 6/5; 5/4; 11/10; 6/5; 23/20; 6/5; 5/4; 23/20; 6/5; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 6/5; ; 6/5; 23/20; 
Barnsley; 5/2; 11/5; 11/5; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 11/5; 47/20; 12/5; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 23/10; ; 23/10; 9/4; 
Draw; 5/2; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 5/2; 51/20; 5/2; 12/5; ; 27/11; ; 12/5; ; 27/11; ; ; 12/5; 5/2; ; 12/5; 23/10; 
META; english/championship/burton-v-barnsley; 2016-11-05 01:45:21 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; 5/4; 11/10; 6/5; 23/20; 6/5; 5/4; 23/20; 6/5; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 6/5; ; 6/5; 23/20; 
Barnsley; 5/2; 11/5; 11/5; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 11/5; 47/20; 12/5; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 23/10; ; 23/10; 9/4; 
Draw; 5/2; 5/2; 49/20; 23/10; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 5/2; 5/2; 51/20; 5/2; 12/5; ; 27/11; ; 12/5; ; 27/11; ; ; 12/5; 5/2; ; 12/5; 23/10; 
META; english/championship/burton-v-barnsley; 2016-11-05 03:45:24 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; 5/4; 11/10; 6/5; 6/5; 6/5; 5/4; 23/20; 6/5; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 6/5; ; 6/5; 23/20; 
Barnsley; 5/2; 11/5; 11/5; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 9/4; 23/10; 11/5; 47/20; 12/5; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 9/4; ; 23/10; 9/4; 
Draw; 5/2; 5/2; 49/20; 23/10; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 5/2; 51/20; 5/2; 12/5; ; 27/11; ; 12/5; ; 27/11; ; ; 12/5; 5/2; ; 12/5; 23/10; 
META; english/championship/burton-v-barnsley; 2016-11-05 04:20:11 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 6/5; 6/5; ; 5/4; 11/10; 6/5; 6/5; 6/5; 5/4; 23/20; 6/5; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 6/5; ; 6/5; 23/20; 
Barnsley; 5/2; 11/5; 11/5; 23/10; 12/5; ; 23/10; 23/10; 23/10; 9/4; 23/10; 11/5; 47/20; 12/5; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 9/4; ; 23/10; 9/4; 
Draw; 5/2; 5/2; 49/20; 23/10; 12/5; ; 5/2; 12/5; 5/2; 23/10; 5/2; 5/2; 51/20; 5/2; 12/5; ; 27/11; ; 12/5; ; 27/11; ; ; 12/5; 5/2; ; 12/5; 23/10; 
META; english/championship/burton-v-barnsley; 2016-11-05 05:45:24 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; 5/4; 11/10; 6/5; 23/20; 6/5; 5/4; 23/20; 6/5; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 6/5; ; 6/5; 23/20; 
Barnsley; 5/2; 11/5; 11/5; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 11/5; 47/20; 12/5; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 9/4; ; 23/10; 9/4; 
Draw; 5/2; 5/2; 49/20; 23/10; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 5/2; 51/20; 5/2; 12/5; ; 27/11; ; 12/5; ; 27/11; ; ; 12/5; 5/2; ; 12/5; 5/2; 
META; english/championship/burton-v-barnsley; 2016-11-05 06:34:11 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; 5/4; 11/10; 6/5; 23/20; 6/5; 5/4; 23/20; 5/4; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 6/5; ; 6/5; 6/5; 
Barnsley; 5/2; 11/5; 11/5; 9/4; 12/5; 23/10; 23/10; 23/10; 23/10; 9/4; 23/10; 11/5; 47/20; 12/5; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 9/4; ; 23/10; 9/4; 
Draw; 5/2; 5/2; 49/20; 23/10; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 5/2; 5/2; 51/20; 5/2; 12/5; ; 27/11; ; 12/5; ; 27/11; ; ; 12/5; 5/2; ; 12/5; 5/2; 
META; english/championship/burton-v-barnsley; 2016-11-05 07:45:25 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; 5/4; 11/10; 6/5; 6/5; 6/5; 5/4; 23/20; 5/4; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 6/5; ; 6/5; 6/5; 
Barnsley; 5/2; 11/5; 11/5; 11/5; 12/5; 23/10; 23/10; 23/10; 23/10; 9/4; 23/10; 11/5; 47/20; 12/5; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 9/4; ; 9/4; 9/4; 
Draw; 5/2; 5/2; 49/20; 23/10; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 5/2; 51/20; 5/2; 12/5; ; 27/11; ; 12/5; ; 27/11; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-05 08:20:18 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; 13/10; 11/10; 6/5; 6/5; 6/5; 5/4; 6/5; 5/4; 6/5; ; 15/13; ; 11/10; ; 15/13; ; ; 8/7; 6/5; ; 6/5; 6/5; 
Barnsley; 5/2; 11/5; 11/5; 11/5; 12/5; 23/10; 9/4; 23/10; 23/10; 9/4; 23/10; 11/5; 23/10; 12/5; 23/10; ; 23/10; ; 9/4; ; 23/10; ; ; 27/11; 9/4; ; 9/4; 9/4; 
Draw; 5/2; 5/2; 49/20; 23/10; 12/5; 12/5; 5/2; 12/5; 5/2; 23/10; 5/2; 5/2; 5/2; 5/2; 12/5; ; 27/11; ; 12/5; ; 27/11; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-05 09:45:27 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 5/4; 11/10; 6/5; 6/5; 5/4; 5/4; 6/5; 5/4; 6/5; ; 6/5; ; 11/10; ; 6/5; ; ; 8/7; 6/5; ; 6/5; 6/5; 
Barnsley; 5/2; 21/10; 11/5; 11/5; 12/5; 23/10; 23/10; 23/10; 23/10; 9/4; 9/4; 11/5; 23/10; 12/5; 23/10; ; 9/4; ; 9/4; ; 9/4; ; ; 27/11; 9/4; ; 9/4; 9/4; 
Draw; 5/2; 5/2; 49/20; 23/10; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 5/2; 5/2; 5/2; 5/2; 12/5; ; 27/11; ; 12/5; ; 27/11; ; ; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-05 11:45:37 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 5/4; 23/20; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; 6/5; 23/20; 6/5; 5/4; ; 6/5; 6/5; ; 6/5; ; 11/10; ; 6/5; ; 19/16; 8/7; 6/5; ; 6/5; 6/5; 
Barnsley; 12/5; 9/4; 9/4; 21/10; 12/5; 23/10; 12/5; 23/10; 23/10; 9/4; 23/10; 11/5; ; 12/5; 23/10; ; 23/10; ; 9/4; ; 23/10; ; 11/5; 27/11; 9/4; ; 23/10; 9/4; 
Draw; 5/2; 5/2; 49/20; 23/10; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 5/2; 5/2; ; 5/2; 12/5; ; 27/11; ; 12/5; ; 27/11; ; 12/5; 12/5; 5/2; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-05 12:22:42 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 5/4; 23/20; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; 6/5; 23/20; 23/20; 5/4; ; 6/5; 6/5; ; 6/5; ; 11/10; ; 6/5; ; 19/16; 8/7; 6/5; ; 6/5; 6/5; 
Barnsley; 12/5; 9/4; 9/4; 21/10; 12/5; 23/10; 12/5; 23/10; 23/10; 9/4; 5/2; 11/5; ; 12/5; 23/10; ; 9/4; ; 9/4; ; 23/10; ; 11/5; 27/11; 9/4; ; 23/10; 23/10; 
Draw; 5/2; 5/2; 49/20; 23/10; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; ; 5/2; 12/5; ; 27/11; ; 12/5; ; 27/11; ; 12/5; 12/5; 5/2; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-05 13:12:01 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 5/4; 23/20; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 23/20; 5/4; ; 5/4; 6/5; ; 6/5; ; 11/10; ; 6/5; ; 19/16; 8/7; 6/5; ; 6/5; 6/5; 
Barnsley; 12/5; 9/4; 11/5; 21/10; 12/5; 23/10; 12/5; 23/10; 23/10; 9/4; 5/2; 11/5; ; 12/5; 23/10; ; 9/4; ; 9/4; ; 23/10; ; 9/4; 27/11; 9/4; ; 23/10; 23/10; 
Draw; 5/2; 5/2; 49/20; 23/10; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 12/5; 5/2; ; 5/2; 12/5; ; 27/11; ; 12/5; ; 27/11; ; 5/2; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-05 13:45:29 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 5/4; 23/20; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 23/20; 5/4; ; 5/4; 6/5; ; 6/5; ; 11/10; ; 6/5; ; 19/16; 8/7; 6/5; ; 6/5; 6/5; 
Barnsley; 12/5; 11/5; 11/5; 21/10; 12/5; 23/10; 12/5; 23/10; 23/10; 9/4; 5/2; 11/5; ; 12/5; 23/10; ; 9/4; ; 9/4; ; 23/10; ; 11/5; 27/11; 9/4; ; 23/10; 23/10; 
Draw; 5/2; 5/2; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 23/10; 12/5; 5/2; ; 5/2; 12/5; ; 27/11; ; 12/5; ; 27/11; ; 12/5; 12/5; 12/5; ; 12/5; 12/5; 
META; english/championship/burton-v-barnsley; 2016-11-05 15:45:29 GMT+2; 2016-11-05 15:00; e70300-dr003
Burton; 5/4; 23/20; 5/4; 23/20; 6/5; 6/5; 5/4; 11/10; 6/5; 6/5; 6/5; 5/4; ; 5/4; 5/4; ; 6/5; ; 11/10; ; 6/5; ; 5/4; 8/7; 6/5; ; 6/5; 6/5; 
