META; english/championship/reading-v-nottingham-forest; 2016-10-23 04:19:51 GMT+3; 2016-10-29 15:00; e70300-dr003
Draw; 23/10; 12/5; 49/20; 9/4; 12/5; 5/2; 5/2; 23/10; 5/2; 12/5; 12/5; 12/5; 5/2; 13/5; 23/10; 12/5; 40/17; 12/5; 23/10; 12/5; 40/17; 5/2; 27/11; 12/5; ; ; 12/5; 12/5; 5/2
Nottingham Forest; 3; 11/4; 14/5; 3; 11/4; 14/5; 14/5; 13/5; 14/5; 14/5; 11/4; 13/5; 29/10; 5/2; 3; 14/5; 11/4; 29/10; 29/10; 14/5; 11/4; 31/10; 28/11; 29/10; ; ; 14/5; 14/5; 14/5
META; english/championship/reading-v-nottingham-forest; 2016-10-27 20:22:33 GMT+3; 2016-10-29 15:00; e70300-dr003
Reading; 19/20; 1; 1; 1; 21/20; 1; 21/20; 10/11; 1; 20/21; 21/20; 21/20; 1; 1; 1; 1; 1; 1; 10/11; 1; 1; 24/23; 66/67; 1; ; ; 1; 20/21; 1
Draw; 23/10; 12/5; 49/20; 12/5; 12/5; 5/2; 5/2; 23/10; 5/2; 12/5; 12/5; 12/5; 5/2; 13/5; 5/2; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 5/2; 5/2; 12/5; ; ; 12/5; 12/5; 5/2
Nottingham Forest; 3; 11/4; 14/5; 14/5; 11/4; 14/5; 29/10; 13/5; 14/5; 14/5; 3; 14/5; 29/10; 5/2; 14/5; 14/5; 14/5; 29/10; 29/10; 14/5; 14/5; 31/10; 11/4; 29/10; ; ; 14/5; 14/5; 14/5
META; english/championship/reading-v-nottingham-forest; 2016-10-28 00:22:06 GMT+3; 2016-10-29 15:00; e70300-dr003
Reading; 19/20; 1; 1; 1; 21/20; 1; 21/20; 10/11; 1; 20/21; 21/20; 21/20; 1; 1; 1; 1; 1; 1; 10/11; 1; 1; 21/20; 66/67; 1; ; ; 1; 20/21; 1
Draw; 23/10; 12/5; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 5/2; 13/5; 5/2; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 28/11; 5/2; 12/5; ; ; 12/5; 12/5; 5/2
Nottingham Forest; 3; 11/4; 11/4; 14/5; 11/4; 14/5; 29/10; 11/4; 14/5; 14/5; 3; 14/5; 29/10; 5/2; 14/5; 14/5; 11/4; 29/10; 29/10; 14/5; 11/4; 56/19; 11/4; 29/10; ; ; 14/5; 14/5; 14/5
META; english/championship/reading-v-nottingham-forest; 2016-10-28 00:56:18 GMT+3; 2016-10-29 15:00; e70300-dr003
Reading; 19/20; 1; 1; 1; 21/20; 1; 21/20; 10/11; 1; 20/21; 21/20; 21/20; 1; 1; 1; 1; 1; 1; 10/11; 1; 1; 21/20; 66/67; 1; ; ; 1; 20/21; 1
Draw; 23/10; 12/5; 49/20; 12/5; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 5/2; 13/5; 5/2; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 28/11; 5/2; 12/5; ; ; 12/5; 12/5; 5/2
Nottingham Forest; 3; 11/4; 11/4; 14/5; 11/4; 14/5; 29/10; 11/4; 14/5; 14/5; 3; 14/5; 29/10; 5/2; 14/5; 14/5; 11/4; 29/10; 29/10; 14/5; 11/4; 56/19; 11/4; 29/10; ; ; 14/5; 14/5; 14/5
META; english/championship/reading-v-nottingham-forest; 2016-10-28 01:46:28 GMT+3; 2016-10-29 15:00; e70300-dr003
