META; spain/la-liga-segunda/mallorca-v-levante; 2017-03-20 20:23:32 GMT+2; 2017-03-25 19:30; e70300-dr003
Levante; 17/10; 13/8; 33/20; 8/5; 17/10; 31/20; 9/5; ; 8/5; 17/10; 33/20; ; 17/10; ; 13/8; ; 8/5; ; ; 8/5; 46/25; 14/9; ; ; ; ; 6/4; 6/4; 
Heather Watson; 150; 150; ; ; ; ; ; 150; ; ; ; ; ; 150; 100; ; 150; ; ; 150; ; ; ; ; ; ; ; ; 
Jelena Jankovic; 150; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 150; ; ; 150; ; ; ; ; ; ; ; ; 
Mirjana Lucic-Baroni; 100; ; ; ; ; ; ; 150; ; ; ; ; ; 125; ; ; 100; ; ; 100; ; ; ; ; ; ; ; ; 
Camila Giorgi; 150; ; ; ; ; ; ; 150; ; ; ; ; ; 150; ; ; 175; ; ; 175; ; ; ; ; ; ; ; ; 
Barbora Strycova; 200; ; ; ; ; ; ; 80; ; ; ; ; ; 80; ; ; 125; ; ; 125; ; ; ; ; ; ; 51; ; 
Alize Cornet; 250; ; ; ; ; ; ; 125; ; ; ; ; ; 125; ; ; 200; ; ; 200; ; ; ; ; ; ; ; ; 
Sara Errani; 250; ; ; ; ; ; ; 175; ; ; ; ; ; 175; ; ; 225; ; ; 225; ; ; ; ; ; ; ; ; 
Timea Babos; 250; ; ; ; ; ; ; 125; ; ; ; ; ; 125; ; ; 225; ; ; 225; ; ; ; ; ; ; ; ; 
Irina-Camelia Begu; 250; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 275; ; ; 275; ; ; ; ; ; ; ; ; 
Elena Vesnina; 250; ; ; ; ; ; ; 80; ; ; ; ; ; 80; ; ; 300; ; ; 300; ; ; ; ; ; ; 17/2; ; 
Laura Robson; 300; 250; ; ; ; ; ; ; ; ; ; ; ; ; 100; ; 275; ; ; 275; ; ; ; ; ; ; ; ; 
Laura Siegemund; 250; ; ; ; ; ; ; 200; ; ; ; ; ; 200; ; ; 300; ; ; 300; ; ; ; ; ; ; ; ; 
Lesia Tsurenko; 250; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 300; ; ; 300; ; ; ; ; ; ; ; ; 
Sorana Cirstea; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 300; ; ; 300; ; ; ; ; ; ; ; ; 
Annika Beck; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 400; ; ; 400; ; ; ; ; ; ; ; ; 
Kirsten Flipkens; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 500; ; ; 500; ; ; ; ; ; ; ; ; 
Zarina Diyas; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 500; ; ; 500; ; ; ; ; ; ; ; ; 
Alison Van Uytvanck; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 750; ; ; 750; ; ; ; ; ; ; ; ; 
Christina McHale; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 750; ; ; 750; ; ; ; ; ; ; ; ; 
Donna Vekic; 500; ; ; ; ; ; ; 175; ; ; ; ; ; 175; 504; ; 750; ; ; 750; ; ; ; ; ; ; ; ; 
