META; spain/la-liga-segunda/alcorcon-v-almeria; 2016-10-15 04:25:52 GMT+3; 2016-10-15 17:00; e70300-dr003
Alcorcon; 1; 1; 21/20; 1; 21/20; 19/20; 21/20; 10/11; 1; 21/20; 21/20; 11/10; 1; ; 1; 1; 1; 1; 1; 1; 1; 7/6; 68/67; 1; 1; ; ; 1; 21/20
Draw; 21/10; 2; 2; 21/10; 21/10; 2; 21/10; 11/5; 2; 2; 2; 2; 21/10; ; 2; 2; 39/19; 28/13; 11/5; 21/10; 39/19; 21/10; 39/19; 28/13; 21/10; ; ; 2; 21/10
Almeria; 16/5; 14/5; 29/10; 14/5; 3; 14/5; 16/5; 11/4; 14/5; 16/5; 14/5; 11/4; 16/5; ; 16/5; 3; 41/13; 31/10; 31/10; 3; 41/13; 58/19; 45/17; 31/10; 14/5; ; ; 14/5; 10/3
META; spain/la-liga-segunda/alcorcon-v-almeria; 2016-10-15 08:26:15 GMT+3; 2016-10-15 17:00; e70300-dr003
Alcorcon; 1; 1; 21/20; 1; 21/20; 19/20; 21/20; 10/11; 1; 21/20; 21/20; 11/10; 1; ; 1; 1; 1; 1; 1; 1; 1; 12/11; 17/16; 1; 1; ; ; 1; 21/20
Draw; 21/10; 2; 2; 21/10; 21/10; 2; 21/10; 11/5; 2; 2; 2; 2; 21/10; ; 2; 2; 39/19; 28/13; 11/5; 21/10; 39/19; 36/17; 39/19; 28/13; 21/10; ; ; 2; 21/10
Almeria; 16/5; 14/5; 29/10; 14/5; 3; 14/5; 16/5; 11/4; 14/5; 16/5; 14/5; 11/4; 16/5; ; 16/5; 3; 41/13; 31/10; 31/10; 3; 41/13; 17/5; 11/4; 31/10; 14/5; ; ; 3; 10/3
META; spain/la-liga-segunda/alcorcon-v-almeria; 2016-10-15 12:25:23 GMT+3; 2016-10-15 17:00; e70300-dr003
Alcorcon; 1; 1; 21/20; 1; 21/20; 19/20; 21/20; 10/11; 1; 1; 21/20; 11/10; 1; ; 1; 1; 1; 1; 1; 1; 1; 12/11; 24/23; 1; 1; ; ; 1; 21/20
Draw; 21/10; 2; 2; 21/10; 21/10; 2; 85/40; 11/5; 2; 2; 2; 2; 21/10; ; 2; 2; 39/19; 28/13; 11/5; 21/10; 39/19; 36/17; 21/10; 28/13; 21/10; ; ; 2; 21/10
Almeria; 16/5; 14/5; 29/10; 14/5; 3; 14/5; 16/5; 11/4; 14/5; 16/5; 14/5; 11/4; 16/5; ; 16/5; 3; 41/13; 31/10; 31/10; 3; 41/13; 17/5; 11/4; 31/10; 14/5; ; ; 3; 10/3
META; spain/la-liga-segunda/alcorcon-v-almeria; 2016-10-15 16:27:10 GMT+3; 2016-10-15 17:00; e70300-dr003
Alcorcon; 1; 1; 1; 1; 21/20; 19/20; 1; 10/11; 1; 1; 1; 11/10; 1; ; 1; 1; 1; 1; 1; 1; 1; 17/16; 42/41; 1; 1; ; ; ; 21/20
Draw; 21/10; 2; 2; 21/10; 21/10; 41/20; 85/40; 11/5; 2; 2; 2; 2; 21/10; ; 2; 2; 39/19; 28/13; 11/5; 21/10; 39/19; 11/5; 21/10; 28/13; 2; ; ; ; 21/10
Almeria; 16/5; 14/5; 3; 14/5; 3; 14/5; 10/3; 11/4; 14/5; 16/5; 29/10; 11/4; 16/5; ; 16/5; 3; 41/13; 31/10; 31/10; 3; 41/13; 33/10; 14/5; 31/10; 3; ; ; ; 10/3
META; spain/la-liga-segunda/alcorcon-v-almeria; 2016-10-15 20:23:06 GMT+3; 2016-10-15 17:00; In Play; e70300-dr003
Alcorcon; 10/11; ; 73/100; 6/10; ; 17/20; 20/23; 1; ; 1; ; ; 19/20; ; ; ; 14/19; ; ; ; 14/19; 7/9; ; ; ; ; ; ; 
Draw; 6/5; ; 31/20; 8/5; ; 21/20; 6/5; 1; ; 1; ; ; 11/10; ; ; ; 8/5; ; ; ; 8/5; 29/16; ; ; ; ; ; ; 
Almeria; 11; ; 15/2; 8; ; 10; 12; 15/2; ; 9; ; ; 11; ; ; ; 29/4; ; ; ; 29/4; 7; ; ; ; ; ; ; 
