META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-10-31 20:26:49 GMT+3; 2016-11-06 19:00; e70300-dr003
Levante; 11/8; ; 6/4; 6/4; 6/4; 6/4; 31/20; ; ; 6/4; 6/4; 8/5; 6/4; ; 6/4; ; ; 16/11; 16/11; 7/5; ; 35/19; ; 16/11; ; ; 7/5; ; 
Draw; 21/10; 2; 19/10; 2; 21/10; ; 2; 15/8; 15/8; 2; 19/10; 2; 2; 2; 21/10; ; ; 39/19; 2; 2; ; 39/19; ; 39/19; 2; ; 19/10; ; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-06 08:22:46 GMT+2; 2016-11-06 19:00; e70300-dr003
Reus Deportiu; 17/10; 17/10; 13/8; 8/5; 7/4; ; 17/10; 7/4; 13/8; 17/10; 8/5; 17/10; 17/10; 13/8; 17/10; ; ; 19/10; 17/10; 19/10; ; 9/5; ; 19/10; 13/8; ; 17/10; ; 7/4
Levante; 7/4; 17/10; 9/5; 17/10; 7/4; ; 19/10; 6/4; 13/8; 9/5; 7/4; 7/4; 7/4; 9/5; 17/10; ; ; 17/11; 9/5; 6/4; ; 17/9; ; 17/11; 17/10; ; 9/5; ; 9/5
Draw; 2; 19/10; 39/20; 15/8; 2; ; 2; 15/8; 15/8; 2; 19/10; 19/10; 2; 2; 2; ; ; 39/19; 2; 2; ; 21/10; ; 39/19; 2; ; 2; ; 21/10
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-06 12:24:15 GMT+2; 2016-11-06 19:00; e70300-dr003
Reus Deportiu; 17/10; 13/8; 33/20; 13/8; 17/10; ; 7/4; 8/5; 8/5; 17/10; 33/20; 17/10; 33/20; 17/10; 17/10; ; ; 17/10; 17/10; 17/10; ; 9/5; ; 17/10; 13/8; ; 17/10; ; 
Levante; 7/4; 7/4; 7/4; 7/4; 9/5; ; 9/5; 17/10; 13/8; 9/5; 17/10; 7/4; 9/5; 7/4; 17/10; ; ; 9/5; 9/5; 9/5; ; 17/9; ; 9/5; 7/4; ; 9/5; ; 19/10
Draw; 2; 19/10; 39/20; 2; 2; ; 2; 15/8; 15/8; 19/10; 19/10; 19/10; 2; 2; 2; ; ; 2; 2; 2; ; 21/10; ; 2; 2; ; 19/10; ; 2
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-06 16:24:37 GMT+2; 2016-11-06 19:00; e70300-dr003
Reus Deportiu; 17/10; 17/10; 33/20; 8/5; 17/10; ; 9/5; 8/5; 8/5; 17/10; 33/20; 17/10; 33/20; 17/10; 17/10; ; ; 17/10; 17/10; 17/10; ; 35/19; ; 17/10; 13/8; ; 7/4; ; 9/5
Levante; 7/4; 17/10; 7/4; 17/10; 9/5; ; 9/5; 17/10; 13/8; 9/5; 17/10; 7/4; 9/5; 7/4; 17/10; ; ; 9/5; 9/5; 9/5; ; 2; ; 9/5; 7/4; ; 9/5; ; 
Draw; 2; 19/10; 39/20; 2; 2; ; 2; 15/8; 15/8; 19/10; 19/10; 19/10; 2; 2; 2; ; ; 2; 2; 2; ; 19/10; ; 2; 2; ; 19/10; ; 2
META; spain/la-liga-segunda/reus-deportiu-v-levante; 2016-11-06 20:22:55 GMT+2; 2016-11-06 19:00; e70300-dr003
Reus Deportiu; 17/10; 17/10; 17/10; 17/10; 7/4; ; 9/5; 8/5; 13/8; 7/4; 17/10; 17/10; 17/10; 17/10; 17/10; ; ; 17/10; 17/10; 17/10; ; 27/14; ; 17/10; 13/8; ; 7/4; ; 15/8
Levante; 7/4; 17/10; 17/10; 17/10; 7/4; ; 9/5; 17/10; 13/8; 9/5; 33/20; 7/4; 7/4; 17/10; 17/10; ; ; 9/5; 9/5; 9/5; ; 31/16; ; 9/5; 7/4; ; 9/5; ; 19/10
Draw; 2; 19/10; 39/20; 2; 2; ; 2; 15/8; 15/8; 19/10; 19/10; 19/10; 2; 2; 2; ; ; 2; 2; 2; ; 19/10; ; 2; 2; ; 19/10; ; 2
