META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-15 20:30:13 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 19/20; 21/20; 1; 1; 21/20; 1; 21/20; 1; 1; 1; 21/20; 1; 21/20; 1; 1; 1; 1; ; 1; 21/20; 1; 21/20; 11/10; 21/20; 1; ; 20/21; 20/21; 11/10
Draw; 5/2; 85/40; 21/10; 9/4; 23/10; 11/5; 9/4; 11/5; 85/40; 9/4; 11/5; 21/10; 11/5; 9/4; 23/10; 21/10; 9/4; ; 9/4; 9/4; 9/4; 9/4; 23/10; 11/5; 11/5; ; 21/10; 11/5; 23/10
Alcorcon; 11/4; 5/2; 11/4; 13/5; 11/4; 12/5; 29/10; 13/5; 13/5; 29/10; 14/5; 11/4; 13/5; 57/20; 5/2; 3; 13/5; ; 29/10; 23/10; 14/5; 11/4; 3; 23/10; 11/4; ; 13/5; 5/2; 3
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-16 00:25:57 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 19/20; 1; 1; 1; 21/20; 1; 21/20; 1; 1; 1; 21/20; 1; 21/20; 1; 1; 1; 1; 1; 1; 21/20; 1; 1; 11/10; 21/20; 1; ; 1; 1; 11/10
Draw; 5/2; 11/5; 21/10; 9/4; 23/10; 11/5; 9/4; 11/5; 85/40; 9/4; 11/5; 21/10; 11/5; 9/4; 23/10; 21/10; 9/4; 9/4; 9/4; 9/4; 9/4; 9/4; 23/10; 11/5; 11/5; ; 11/5; 11/5; 23/10
Alcorcon; 11/4; 13/5; 11/4; 13/5; 11/4; 12/5; 29/10; 13/5; 13/5; 29/10; 14/5; 11/4; 13/5; 57/20; 5/2; 3; 13/5; 14/5; 29/10; 23/10; 14/5; 14/5; 3; 23/10; 11/4; ; 27/10; 27/10; 3
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-16 04:26:13 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 19/20; 1; 1; 1; 21/20; 1; 21/20; 1; 1; 1; 21/20; 1; 21/20; 1; 1; 1; 1; 1; 1; 21/20; 1; ; 11/10; 21/20; 1; ; 1; 1; 11/10
Draw; 5/2; 11/5; 21/10; 9/4; 23/10; 11/5; 9/4; 11/5; 85/40; 9/4; 11/5; 21/10; 11/5; 9/4; 23/10; 21/10; 9/4; 9/4; 9/4; 9/4; 9/4; ; 23/10; 11/5; 11/5; ; 11/5; 11/5; 23/10
Alcorcon; 11/4; 13/5; 11/4; 13/5; 11/4; 12/5; 29/10; 13/5; 13/5; 29/10; 14/5; 11/4; 13/5; 57/20; 5/2; 3; 13/5; 14/5; 29/10; 23/10; 14/5; ; 3; 23/10; 11/4; ; 27/10; 27/10; 3
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-16 08:26:01 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 19/20; 1; 1; 1; 21/20; 19/20; 21/20; 1; 1; ; 21/20; 1; 21/20; 1; 1; 1; 1; 1; 1; 21/20; ; 1; 11/10; 21/20; 1; ; 1; 1; 11/10
Draw; 5/2; 11/5; 21/10; 9/4; 23/10; 11/5; 9/4; 11/5; 85/40; ; 11/5; 21/10; 11/5; 9/4; 23/10; 21/10; 9/4; 9/4; 9/4; 9/4; ; 9/4; 23/10; 11/5; 11/5; ; 11/5; 21/10; 23/10
Alcorcon; 11/4; 13/5; 11/4; 13/5; 11/4; 5/2; 29/10; 13/5; 13/5; ; 14/5; 11/4; 13/5; 57/20; 5/2; 3; 13/5; 14/5; 29/10; 23/10; ; 14/5; 3; 23/10; 11/4; ; 27/10; 27/10; 3
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-16 12:24:33 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 19/20; 1; 1; 1; 21/20; 19/20; 21/20; 1; 1; 1; 21/20; 1; 21/20; 1; 1; 1; 1; 1; 1; 21/20; ; 1; 11/10; 21/20; 1; ; 1; 1; 11/10
Draw; 5/2; 11/5; 21/10; 9/4; 23/10; 11/5; 9/4; 11/5; 85/40; 9/4; 11/5; 21/10; 11/5; 9/4; 23/10; 21/10; 9/4; 9/4; 9/4; 9/4; ; 9/4; 23/10; 11/5; 11/5; ; 11/5; 21/10; 23/10
Alcorcon; 11/4; 13/5; 11/4; 13/5; 11/4; 5/2; 29/10; 13/5; 13/5; 29/10; 14/5; 11/4; 13/5; 57/20; 5/2; 3; 13/5; 14/5; 29/10; 23/10; ; 14/5; 3; 23/10; 11/4; ; 27/10; 27/10; 3
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-16 16:26:46 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 19/20; 1; 1; 1; 21/20; 19/20; ; 1; 1; 1; 21/20; 1; 21/20; 1; 1; 1; 1; 1; 1; 21/20; 1; 1; 11/10; 21/20; 1; ; 1; 1; 11/10
Draw; 5/2; 11/5; 21/10; 9/4; 23/10; 11/5; ; 11/5; 85/40; 9/4; 11/5; 21/10; 11/5; 23/10; 23/10; 21/10; 9/4; 23/10; 9/4; 9/4; 9/4; 23/10; 23/10; 11/5; 11/5; ; 11/5; 21/10; 23/10
Alcorcon; 11/4; 13/5; 11/4; 13/5; 11/4; 5/2; ; 13/5; 13/5; 29/10; 14/5; 11/4; 13/5; 57/20; 5/2; 3; 13/5; 27/10; 29/10; 23/10; 14/5; 27/10; 3; 23/10; 11/4; ; 27/10; 11/4; 3
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-16 20:28:46 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 19/20; 1; 1; 1; 21/20; 19/20; ; 1; 1; 1; 21/20; 1; 21/20; 1; 1; 1; 1; 1; 1; 1; 1; 1; 11/10; 21/20; 1; ; 1; 1; 11/10
Draw; 5/2; 11/5; 21/10; 9/4; 23/10; 11/5; ; 11/5; 85/40; 9/4; 11/5; 21/10; 11/5; 23/10; 23/10; 21/10; 9/4; 9/4; 9/4; 12/5; 9/4; 9/4; 23/10; 11/5; 11/5; ; 11/5; 11/5; 23/10
Alcorcon; 11/4; 13/5; 11/4; 13/5; 11/4; 5/2; ; 13/5; 13/5; 29/10; 14/5; 11/4; 13/5; 57/20; 5/2; 3; 13/5; 14/5; 29/10; 27/10; 14/5; 14/5; 3; 23/10; 11/4; ; 13/5; 11/4; 3
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-17 00:27:31 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 19/20; 1; 1; 1; 21/20; 19/20; 21/20; 1; 1; 1; 21/20; 1; 21/20; 1; 21/20; 1; 1; 1; 1; 1; 1; 1; 11/10; 21/20; 1; ; 1; 1; 11/10
Draw; 5/2; 11/5; 21/10; 9/4; 9/4; 11/5; 9/4; 11/5; 85/40; 9/4; 11/5; 21/10; 11/5; 23/10; 12/5; 21/10; 9/4; 9/4; 9/4; 12/5; 9/4; 9/4; 23/10; 11/5; 11/5; ; 11/5; 11/5; 23/10
Alcorcon; 11/4; 13/5; 14/5; 13/5; 11/4; 5/2; 29/10; 13/5; 13/5; 29/10; 14/5; 14/5; 13/5; 57/20; 13/5; 3; 13/5; 14/5; 29/10; 27/10; 14/5; 14/5; 3; 23/10; 11/4; ; 14/5; 11/4; 3
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-17 04:36:27 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 19/20; 1; 1; 1; 21/20; 19/20; 21/20; 1; 1; 1; 21/20; 1; 21/20; 1; 21/20; 1; 1; 1; 1; 1; 1; 1; 11/10; 21/20; 1; ; 1; 1; 11/10
Draw; 5/2; 11/5; 21/10; 9/4; 9/4; 11/5; 9/4; 11/5; 85/40; 9/4; 11/5; 21/10; 11/5; 9/4; 12/5; 21/10; 9/4; 9/4; 9/4; 12/5; 9/4; 9/4; 23/10; 11/5; 11/5; ; 11/5; 21/10; 23/10
Alcorcon; 11/4; 13/5; 14/5; 13/5; 11/4; 5/2; 29/10; 13/5; 13/5; 29/10; 14/5; 14/5; 13/5; 57/20; 13/5; 3; 13/5; 14/5; 29/10; 27/10; 14/5; 14/5; 3; 23/10; 11/4; ; 14/5; 11/4; 3
META; spain/la-liga-segunda/zaragoza-v-alcorcon; 2016-09-17 08:28:25 GMT+3; 2016-09-17 19:00; e70300-dr003
Zaragoza; 19/20; 1; 1; 1; 21/20; 19/20; 21/20; 1; 1; 1; 21/20; 21/20; 21/20; 1; 21/20; 1; 1; 1; 1; 1; 1; 1; 11/10; 21/20; 1; ; 1; 1; 11/10
Draw; 5/2; 11/5; 21/10; 9/4; 9/4; 11/5; 9/4; 11/5; 85/40; 9/4; 11/5; 21/10; 11/5; 9/4; 12/5; 21/10; 11/5; 9/4; 9/4; 12/5; 9/4; 9/4; 23/10; 23/10; 11/5; ; 11/5; 21/10; 23/10
Alcorcon; 11/4; 13/5; 14/5; 13/5; 11/4; 5/2; 29/10; 13/5; 13/5; 29/10; 14/5; 27/10; 13/5; 57/20; 5/2; 3; 11/4; 14/5; 29/10; 27/10; 14/5; 14/5; 3; 27/11; 11/4; ; 14/5; 11/4; 3
