Celta Vigo 1-0; 8; 15/2; 9; 8; 8; 7; 17/2; 17/2; 8; 8; 8; 15/2; 8; 17/2; 8; 15/2; 33/4; 8; 8; 33/4; ; 81/10; 8; 15/2; 8; ; 39/5; 8; 
Celta Vigo 2-0; 9; 9; 11; 10; 10; 17/2; 21/2; 11; 9; 9; 10; 9; 10; 10; 9; 9; 19/2; 10; 10; 19/2; ; 9; 10; 17/2; 10; ; 10; 51/5; 
Las Palmas 2-1; 12; 11; 12; 11; 12; 11; 13; 13; 11; 11; 11; 11; 10; 12; 11; 11; 23/2; 23/2; 11; 23/2; ; 12; 11; 11; 11; ; 62/5; 63/5; 
Draw 2-2; 11; 12; 12; 14; 11; 10; 12; 13; 11; 11; 11; 11; 11; 11; 10; 11; 13; 11; 23/2; 13; ; 12; 23/2; 11; 23/2; ; 64/5; 13; 
Las Palmas 1-0; 12; 12; 14; 12; 12; 11; 13; 14; 12; 12; 12; 12; 12; 14; 11; 11; 12; 25/2; 12; 12; ; 13; 12; 11; 12; ; 66/5; 68/5; 
Celta Vigo 3-1; 14; 12; 14; 14; 12; 12; 14; 14; 12; 12; 12; 12; 12; 14; 11; 12; 27/2; 13; 13; 27/2; ; 14; 13; 12; 13; ; 73/5; 15; 
Draw 0-0; 12; 12; 15; 12; 12; 12; 19/2; 11; 12; 12; 14; 11; 9; 14; 12; 10; 19/2; 31/4; 21/2; 19/2; ; 14; 21/2; ; 21/2; ; 66/5; 68/5; 
Celta Vigo 3-0; 16; 16; 18; 16; 16; 12; 17; 20; 14; 16; 16; 14; 18; 18; 12; 16; 16; 17; 15; 16; ; 16; 15; 14; 15; ; 83/5; 35/2; 
Las Palmas 2-0; 20; 20; 22; 20; 20; 16; 21; 22; 20; 20; 20; 20; 20; 22; 18; 18; 77/4; 20; 18; 77/4; ; 22; 18; 20; 18; ; 22; 23; 
Any Other Score; ; ; 20; ; ; ; ; 18; 22; ; ; ; ; ; ; ; ; 31/2; ; ; ; 19; ; ; ; ; ; ; 
