META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-02-26 00:24:16 GMT+2; 2017-03-04 15:00; e70300-dr003
Sevilla B; 15/4; 15/4; 7/2; 17/5; 4; 10/3; ; 7/2; 7/2; 4; 7/2; 15/4; 15/4; 10/3; 7/2; 7/2; 39/10; 18/5; 7/2; 39/10; 4; 16/5; 39/10; 7/2; ; 7/2; 10/3; 4
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-03 20:26:03 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 4/5; 17/20; 17/20; 5/6; 3/4; ; 8/11; 4/5; 17/20; 17/20; 5/6; 17/20; 17/20; 5/6; 5/6; 5/6; 13/15; 5/6; 5/6; 93/100; 16/19; 5/6; 4/5; ; 5/6; 5/6; 5/6
Draw; 11/5; 21/10; 43/20; 21/10; 11/5; 21/10; ; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 23/10; 21/10; 11/5; 28/13; 9/4; 2; 28/13; 11/5; 21/10; 39/19; 11/5; ; 21/10; 21/10; 9/4
Sevilla B; 15/4; 15/4; 7/2; 17/5; 4; 7/2; ; 7/2; 7/2; 4; 7/2; 15/4; 15/4; 10/3; 4; 7/2; 39/10; 18/5; 7/2; 39/10; 4; 16/5; 39/10; 15/4; ; 7/2; 10/3; 9/2
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-04 00:23:24 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 5/6; 17/20; 17/20; 5/6; 3/4; ; 8/11; 4/5; 5/6; 17/20; 5/6; 5/6; 17/20; 5/6; 5/6; 5/6; 13/15; 5/6; 5/6; 93/100; 16/19; 5/6; 17/20; ; 5/6; 5/6; 5/6
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; ; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 23/10; 21/10; 11/5; 28/13; 9/4; 2; 28/13; 11/5; 21/10; 39/19; 21/10; ; 21/10; 21/10; 9/4
Sevilla B; 15/4; 7/2; 7/2; 17/5; 4; 7/2; ; 7/2; 7/2; 4; 7/2; 15/4; 17/4; 10/3; 4; 7/2; 39/10; 18/5; 7/2; 39/10; 4; 16/5; 39/10; 7/2; ; 4; 7/2; 9/2
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-04 04:23:52 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 5/6; 17/20; 17/20; 5/6; 3/4; ; 8/11; 4/5; 5/6; 17/20; 5/6; 5/6; 17/20; 5/6; 5/6; 5/6; 13/15; 5/6; 5/6; 22/25; 16/19; 5/6; 5/6; ; 5/6; 5/6; 5/6
Draw; 11/5; 85/40; 43/20; 21/10; 11/5; 43/20; ; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 23/10; 21/10; 11/5; 28/13; 9/4; 2; 28/13; 111/50; 21/10; 39/19; 11/5; ; 21/10; 11/5; 9/4
Sevilla B; 15/4; 7/2; 7/2; 17/5; 4; 7/2; ; 7/2; 7/2; 17/4; 7/2; 15/4; 17/4; 10/3; 4; 7/2; 39/10; 18/5; 7/2; 39/10; 9/2; 16/5; 39/10; 7/2; ; 4; 4; 9/2
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-04 08:24:31 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 5/6; 5/6; 17/20; 17/20; 5/6; 3/4; ; 8/11; 4/5; 5/6; 17/20; 5/6; 5/6; 17/20; 5/6; 5/6; 5/6; 13/15; 5/6; 5/6; 22/25; 6/7; 5/6; 4/5; ; 5/6; 5/6; 5/6
Draw; 11/5; 85/40; 21/10; 21/10; 11/5; 43/20; ; 21/10; 2; 21/10; 21/10; 21/10; 11/5; 23/10; 21/10; 11/5; 28/13; 9/4; 2; 28/13; 111/50; 11/5; 39/19; 11/5; ; 21/10; 11/5; 11/5
Sevilla B; 15/4; 7/2; 7/2; 17/5; 4; 7/2; ; 7/2; 7/2; 4; 7/2; 15/4; 17/4; 10/3; 4; 7/2; 39/10; 18/5; 7/2; 39/10; 9/2; 57/17; 39/10; 15/4; ; 7/2; 4; 22/5
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-04 12:26:40 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 4/5; 4/5; 4/5; 4/5; 5/6; 3/4; ; 8/11; 4/5; 4/5; 5/6; 5/6; 4/5; 5/6; 5/6; 4/5; 5/6; 13/15; 5/6; 5/6; 22/25; 11/13; 5/6; 3/4; ; 5/6; 5/6; 5/6
Draw; 9/4; 85/40; 41/20; 2; 11/5; 21/10; ; 21/10; 2; 2; 21/10; 2; 9/4; 9/4; 2; 2; 28/13; 9/4; 2; 28/13; 111/50; 28/13; 39/19; 9/4; ; 2; 21/10; 21/10
Sevilla B; 4; 15/4; 4; 4; 4; 37/10; ; 7/2; 7/2; 9/2; 18/5; 4; 17/4; 15/4; 17/4; 4; 39/10; 18/5; 7/2; 39/10; 9/2; 7/2; 39/10; 4; ; 22/5; 22/5; 23/5
META; spain/la-liga-segunda/alcorcon-v-sevilla-b; 2017-03-04 16:24:16 GMT+2; 2017-03-04 15:00; e70300-dr003
Alcorcon; 4/5; 4/5; 5/6; 4/5; 5/6; 3/4; ; 8/11; 8/11; 4/5; 5/6; 5/6; 4/5; 5/6; 5/6; 4/5; 5/6; 11/13; 5/6; 5/6; 17/20; 16/19; 5/6; 4/5; ; 5/6; 5/6; 5/6
Draw; 9/4; 21/10; 41/20; 2; 11/5; 21/10; ; 21/10; 2; 2; 2; 2; 9/4; 9/4; 2; 2; 28/13; 9/4; 2; 28/13; 111/50; 28/13; 39/19; 11/5; ; 2; 21/10; 21/10
Sevilla B; 4; 15/4; 19/5; 4; 4; 37/10; ; 7/2; 19/5; 9/2; 19/5; 4; 17/4; 15/4; 17/4; 4; 39/10; 15/4; 7/2; 39/10; 23/5; 7/2; 39/10; 15/4; ; 22/5; 22/5; 9/2
