META; english/premier-league/man-city-v-chelsea; 2016-11-07 20:17:41 GMT+2; 2016-12-03 12:30; e70300-dr003
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-16 16:17:35 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-16 20:17:58 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-17 00:17:31 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-17 04:17:28 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-17 08:17:25 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-17 12:17:33 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-17 16:17:41 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-17 20:17:48 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-18 00:17:28 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-18 04:17:38 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-18 08:17:30 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-18 12:18:19 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-18 16:18:09 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-18 20:18:07 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-19 00:17:34 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-19 04:17:33 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-19 08:17:38 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-19 12:18:13 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-19 16:17:37 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-19 20:17:32 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-20 00:17:35 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-20 04:17:16 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-20 08:17:12 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 10/9; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 29/10; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-20 12:17:17 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 19/17; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 37/13; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-20 16:17:33 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; ; 11/10; ; ; 19/17; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; ; 12/5; ; ; 37/13; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-20 20:17:29 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; ; ; ; ; ; ; ; 10/11; 21/20; ; ; ; ; ; ; ; ; 21/20; 11/10; 21/20; ; 19/17; ; 21/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/4; 12/5; ; ; ; ; ; ; ; ; 40/17; 23/10; 23/10; ; 5/2; ; 40/17; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 3; 14/5; ; ; ; ; ; ; ; ; 45/17; 12/5; 13/5; ; 37/13; ; 45/17; ; ; ; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-21 00:17:07 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; ; ; ; ; 11/10; 1; 11/10; 21/20; ; ; 21/20; ; ; 11/10; 15/13; 21/20; 11/10; 21/20; 15/13; 6/5; ; 21/20; ; ; 5/6; ; 
Draw; 5/2; ; ; ; ; ; 13/5; 9/4; 13/5; 13/5; ; ; 51/20; ; ; 5/2; 40/17; 40/17; 23/10; 23/10; 40/17; 5/2; ; 40/17; ; ; 21/10; ; 
Chelsea; 23/10; ; ; ; ; ; 13/5; 27/10; 12/5; 23/10; ; ; 49/20; ; ; 13/5; 23/10; 45/17; 12/5; 13/5; 23/10; 13/5; ; 45/17; ; ; 7/4; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-21 04:17:06 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; ; ; ; ; 11/10; 1; 11/10; 21/20; ; ; 21/20; ; ; 11/10; 15/13; 21/20; 11/10; 21/20; 15/13; 6/5; ; 21/20; ; ; 10/11; ; 
Draw; 5/2; ; ; ; ; ; 13/5; 9/4; 13/5; 13/5; ; ; 51/20; ; ; 5/2; 12/5; 40/17; 23/10; 23/10; 12/5; 5/2; ; 40/17; ; ; 21/10; ; 
Chelsea; 23/10; ; ; ; ; ; 13/5; 27/10; 12/5; 12/5; ; ; 49/20; ; ; 13/5; 40/17; 45/17; 12/5; 13/5; 40/17; 13/5; ; 45/17; ; ; 7/4; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-21 08:17:09 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; ; ; ; ; 23/20; 1; 11/10; 21/20; ; ; 21/20; ; ; 15/13; 15/13; 21/20; 11/10; 21/20; 15/13; 6/5; ; 21/20; ; ; 10/11; ; 
Draw; 5/2; ; ; ; ; ; 5/2; 9/4; 13/5; 13/5; ; ; 51/20; ; ; 5/2; 40/17; 40/17; 23/10; 23/10; 40/17; 5/2; ; 40/17; ; ; 9/4; ; 
Chelsea; 23/10; ; ; ; ; ; 13/5; 27/10; 12/5; 12/5; ; ; 49/20; ; ; 5/2; 40/17; 45/17; 12/5; 13/5; 40/17; 13/5; ; 45/17; ; ; 7/4; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-21 12:17:14 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; ; ; 11/10; 11/10; 19/20; 11/10; 21/20; 21/20; ; 21/20; ; 21/20; 11/10; 11/10; 21/20; 11/10; 21/20; 11/10; 22/19; 24/23; 21/20; ; ; 10/11; ; 
Draw; 5/2; ; 13/5; ; ; 13/5; 13/5; 12/5; 13/5; 13/5; 12/5; ; 51/20; ; 13/5; 13/5; 12/5; 40/17; 23/10; 23/10; 12/5; 23/9; 5/2; 40/17; ; ; 21/10; ; 
Chelsea; 23/10; ; 12/5; ; ; 13/5; 13/5; 11/4; 12/5; 12/5; 9/4; ; 49/20; ; 5/2; 5/2; 40/17; 45/17; 12/5; 13/5; 40/17; 51/19; 45/17; 45/17; ; ; 7/4; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-21 16:17:14 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; ; ; 11/10; 11/10; 19/20; 11/10; 21/20; 21/20; ; 21/20; ; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 8/7; 24/23; 21/20; ; ; 1; ; 
Draw; 5/2; ; 13/5; ; ; 5/2; 5/2; 12/5; 13/5; 23/10; 12/5; ; 5/2; ; 5/2; 5/2; 40/17; 40/17; 23/10; 23/10; 40/17; 28/11; 5/2; 40/17; ; ; 21/10; ; 
Chelsea; 23/10; ; 12/5; ; ; 13/5; 27/10; 11/4; 5/2; 13/5; 9/4; ; 5/2; ; 13/5; 13/5; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 9/5; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-21 20:17:20 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; ; ; 11/10; 11/10; 19/20; 11/10; 21/20; 21/20; ; 21/20; ; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 8/7; 24/23; 21/20; ; ; 20/21; ; 
Draw; 5/2; ; 13/5; ; ; 13/5; 5/2; 12/5; 13/5; 23/10; 12/5; ; 5/2; ; 5/2; 5/2; 40/17; 40/17; 23/10; 23/10; 40/17; 28/11; 5/2; 40/17; ; ; 12/5; ; 
Chelsea; 23/10; ; 12/5; ; ; 13/5; 27/10; 11/4; 5/2; 13/5; 9/4; ; 5/2; ; 13/5; 13/5; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 9/4; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-22 00:16:39 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; ; ; 11/10; 11/10; 19/20; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 8/7; 24/23; 21/20; ; ; 10/9; ; 
Draw; 5/2; ; 13/5; ; ; 13/5; 5/2; 12/5; 13/5; 23/10; 12/5; ; 5/2; 13/5; 5/2; 5/2; 40/17; 40/17; 23/10; 23/10; 40/17; 28/11; 5/2; 40/17; ; ; 23/10; ; 
Chelsea; 23/10; ; 12/5; ; ; 13/5; 27/10; 11/4; 5/2; 13/5; 9/4; ; 5/2; 12/5; 13/5; 13/5; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 21/10; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-22 04:17:08 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; ; ; 11/10; 11/10; 19/20; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 8/7; 24/23; 21/20; ; ; 21/20; ; 
Draw; 5/2; ; 13/5; ; ; 13/5; 5/2; 12/5; 13/5; 23/10; 12/5; ; 5/2; 13/5; 5/2; 5/2; 40/17; 40/17; 23/10; 23/10; 40/17; 28/11; 5/2; 40/17; ; ; 23/10; ; 
Chelsea; 23/10; ; 12/5; ; ; 13/5; 27/10; 11/4; 5/2; 13/5; 9/4; ; 5/2; 12/5; 13/5; 13/5; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 11/5; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-22 08:17:18 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; ; ; 11/10; 23/20; 19/20; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 8/7; 24/23; 21/20; ; ; 21/20; ; 
Draw; 5/2; ; 13/5; ; ; 13/5; 5/2; 12/5; 13/5; 23/10; 12/5; ; 5/2; 13/5; 5/2; 13/5; 40/17; 40/17; 23/10; 23/10; 40/17; 28/11; 5/2; 40/17; ; ; 23/10; ; 
Chelsea; 23/10; ; 12/5; ; ; 13/5; 13/5; 11/4; 5/2; 13/5; 9/4; ; 5/2; 12/5; 13/5; 13/5; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 11/5; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-22 12:17:23 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; ; ; 11/10; 23/20; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 15/13; 21/20; 21/20; 11/10; 21/20; 21/20; 8/7; 24/23; 21/20; ; ; 21/20; ; 
Draw; 5/2; ; 13/5; ; ; 13/5; 5/2; 12/5; 13/5; 23/10; 12/5; ; 51/20; 13/5; 5/2; 5/2; 40/17; 40/17; 23/10; 23/10; 40/17; 28/11; 5/2; 40/17; ; ; 23/10; ; 
Chelsea; 23/10; ; 12/5; ; ; 13/5; 13/5; 9/4; 5/2; 13/5; 9/4; ; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 11/5; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-22 16:17:46 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; ; ; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; ; ; 21/20; ; 
Draw; 5/2; ; 13/5; ; ; 13/5; 5/2; 12/5; 13/5; 23/10; 12/5; ; 51/20; 13/5; 5/2; 13/5; 40/17; 40/17; 23/10; 23/10; 40/17; 51/20; 5/2; 40/17; ; ; 23/10; ; 
Chelsea; 23/10; ; 12/5; ; ; 13/5; 13/5; 9/4; 5/2; 13/5; 9/4; ; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 11/5; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-22 20:17:29 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; ; ; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; ; ; 21/20; ; 
Draw; 5/2; ; 13/5; ; ; 13/5; 5/2; 12/5; 13/5; 23/10; 12/5; ; 51/20; 13/5; 5/2; 13/5; 40/17; 40/17; 23/10; 23/10; 40/17; 51/20; 5/2; 40/17; ; ; 23/10; ; 
Chelsea; 23/10; ; 12/5; ; ; 13/5; 13/5; 9/4; 5/2; 13/5; 9/4; ; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 9/4; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-23 00:16:59 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; ; ; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; ; ; 21/20; ; 
Draw; 5/2; ; 13/5; ; ; 13/5; 5/2; 12/5; 13/5; 23/10; 12/5; ; 51/20; 13/5; 5/2; 13/5; 40/17; 40/17; 23/10; 23/10; 40/17; 51/20; 5/2; 40/17; ; ; 23/10; ; 
Chelsea; 23/10; ; 12/5; ; ; 13/5; 13/5; 9/4; 5/2; 13/5; 9/4; ; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 9/4; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-23 04:16:57 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; ; ; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; ; ; 21/20; ; 
Draw; 5/2; ; 13/5; ; ; 13/5; 5/2; 12/5; 13/5; 23/10; 12/5; ; 51/20; 13/5; 5/2; 13/5; 40/17; 40/17; 23/10; 23/10; 40/17; 51/20; 5/2; 40/17; ; ; 5/2; ; 
Chelsea; 23/10; ; 12/5; ; ; 13/5; 13/5; 9/4; 5/2; 13/5; 9/4; ; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 23/10; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-23 08:16:46 GMT+2; 2016-12-03 12:30; e70300-dr003
Man City; 11/10; ; 11/10; ; ; 11/10; 11/10; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 57/50; 24/23; 21/20; ; ; 11/10; ; 
Draw; 5/2; ; 13/5; ; ; 13/5; 5/2; 12/5; 13/5; 23/10; 12/5; ; 51/20; 13/5; 5/2; 13/5; 40/17; 40/17; 23/10; 23/10; 40/17; 51/20; 5/2; 40/17; ; ; 5/2; ; 
Chelsea; 23/10; ; 12/5; ; ; 13/5; 13/5; 9/4; 5/2; 13/5; 9/4; ; 49/20; 12/5; 13/5; 5/2; 28/11; 45/17; 12/5; 13/5; 28/11; 11/4; 45/17; 45/17; ; ; 12/5; ; 
META; english/premier-league/man-city-v-chelsea; 2016-11-23 12:16:57 GMT+2; 2016-12-03 12:30; e70300-dr003
