META; english/premier-league/bournemouth-v-tottenham; 2016-09-27 00:17:32 GMT+3; 2016-10-22 12:30; e70300-dr003
META; english/premier-league/bournemouth-v-tottenham; 2016-10-04 12:17:31 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-04 16:17:45 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-04 20:17:38 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; ; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; ; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; ; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-05 00:17:35 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; ; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; ; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; ; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-05 04:17:32 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; ; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; ; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; ; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-05 08:17:32 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; ; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; ; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; ; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-05 12:18:00 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; ; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; ; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; ; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-05 16:17:28 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; ; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; ; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; ; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-05 20:17:34 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; ; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; ; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; ; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-06 00:17:05 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-06 04:17:04 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-06 08:17:01 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-06 12:17:03 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-06 16:17:11 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 31/10; 3; 57/17; 3; 31/10; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-06 20:17:33 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-07 00:17:09 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-07 04:17:10 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-07 08:17:02 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 18/5; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-07 12:17:24 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; ; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; ; 77/29; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; ; 39/11; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-07 16:17:26 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; ; 39/11; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-07 20:17:44 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; ; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; ; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; ; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; ; 39/11; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-08 00:17:20 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; ; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; ; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; ; 3; 57/17; 3; 41/13; 39/11; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-08 04:17:11 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 39/11; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-08 08:17:37 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 39/11; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-08 12:17:52 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 39/11; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-08 16:17:29 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 39/11; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-08 20:17:30 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; ; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; ; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; ; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 39/11; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-09 00:17:13 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; 9/10; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; 5/2; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; 10/3; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 39/11; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-09 04:17:11 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; 9/10; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; 5/2; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; 10/3; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 39/11; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-09 08:17:08 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; 9/10; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; 5/2; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; 10/3; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 39/11; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-09 12:17:34 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; 9/10; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; 5/2; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 28/11; 5/2; 5/2; 5/2; 28/11; 77/29; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; 10/3; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 39/11; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-09 16:18:09 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; 9/10; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; ; ; 
Draw; 5/2; ; 5/2; ; 5/2; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; ; ; ; ; 
Bournemouth; 7/2; ; 16/5; ; 10/3; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 39/11; 39/11; ; ; ; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-09 20:17:24 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; 9/10; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; 4/7; ; 
Draw; 5/2; ; 5/2; ; 5/2; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; ; ; 9/5; ; 
Bournemouth; 7/2; ; 16/5; ; 10/3; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 39/11; 39/11; ; ; 23/10; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-10 00:17:15 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 4/5; ; 9/10; ; 9/10; 5/6; 20/23; 4/5; 9/10; 9/10; 17/20; 17/20; ; ; ; 9/10; 10/11; 13/15; 9/10; 4/5; 9/10; 13/15; 10/11; 9/11; ; ; 4/7; ; 
Draw; 5/2; ; 5/2; ; 5/2; 5/2; 13/5; 23/10; 13/5; 5/2; 13/5; 12/5; ; ; ; 5/2; 13/5; 5/2; 5/2; 5/2; 5/2; 5/2; 77/29; 28/11; ; ; 9/5; ; 
Bournemouth; 7/2; ; 16/5; ; 10/3; 15/4; 18/5; 10/3; 10/3; 3; 3; 3; ; ; ; 16/5; 7/2; 41/13; 3; 57/17; 3; 41/13; 39/11; 39/11; ; ; 23/10; ; 
META; english/premier-league/bournemouth-v-tottenham; 2016-10-10 04:17:15 GMT+3; 2016-10-22 12:30; e70300-dr003
