META; english/premier-league/swansea-v-tottenham; 2017-03-19 16:16:57 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; ; ; 8/15; ; ; ; ; 4/6; 8/13; ; ; ; ; ; ; ; ; 4/7; ; ; 8/13; ; ; ; ; ; ; ; 
Draw; ; ; 11/4; ; ; ; ; 13/5; 14/5; ; ; ; ; ; ; ; ; 3; ; ; 3; ; ; ; ; ; ; ; 
Swansea; ; ; 5; ; ; ; ; 4; 5; ; ; ; ; ; ; ; ; 9/2; ; ; 29/5; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-19 20:16:43 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; ; ; 8/15; ; ; ; ; 4/6; 4/6; 4/6; 8/13; ; ; ; 4/6; 7/10; 8/13; 4/7; ; 8/13; 69/100; ; ; ; ; ; ; ; 
Arsenal 7-0; 150; 150; ; 200; ; 150; 150; ; ; 125; 125; 100; 150; 150; 125; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 7-1; 150; 150; ; 200; ; 150; 150; ; ; 125; 125; 100; 150; 150; 125; ; ; ; ; ; ; ; ; ; ; ; ; ; 
West Ham 8-0; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
West Ham 8-1; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
West Ham 9-0; ; ; ; ; ; ; ; ; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
West Ham 4-2; 150; 150; 150; 100; ; 100; 110; ; 100; 125; 100; 100; 125; 150; 100; 100; 331/4; ; ; 331/4; ; 210; ; ; ; ; ; ; 
West Ham 6-3; ; ; ; ; ; ; 225; ; ; ; 200; ; 200; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
West Ham 7-0; ; ; ; ; ; ; 225; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
West Ham 7-1; ; ; ; ; ; ; 225; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
West Ham 7-2; ; ; ; ; ; ; 225; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
West Ham 4-1; 150; 150; 175; 125; ; 150; 150; ; 100; 150; 125; 100; 125; 200; 150; 100; 173/2; ; ; 173/2; ; 240; ; ; ; ; ; ; 
West Ham 6-0; ; 250; ; ; ; ; 225; ; 100; ; 200; ; 200; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
West Ham 4-3; 200; 150; 175; 125; ; 150; 150; ; ; 150; 125; 100; 125; 150; 125; 100; 89; ; ; 89; ; 260; ; ; ; ; ; ; 
Arsenal 7-2; 300; ; ; ; ; 250; 175; ; ; 225; 150; 100; 175; 250; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 6-3; 350; ; ; ; ; 250; 175; ; ; 225; 150; 100; 175; 250; 250; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 4-4; 250; 200; 225; 150; ; 200; 150; ; ; 175; 125; 100; 150; 200; 200; 125; ; ; ; ; ; 350; ; ; ; ; ; ; 
West Ham 5-2; ; 250; ; 300; ; ; 225; ; ; 350; 200; ; 200; 300; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 7-3; ; ; ; ; ; ; ; ; ; 375; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 8-2; ; ; ; ; ; ; ; ; ; 375; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
West Ham 5-3; ; 250; ; ; ; ; 225; ; ; 375; 200; ; 200; 300; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
West Ham 4-0; 400; 250; 250; 150; ; ; 175; ; 100; 275; 150; ; 175; 300; ; 150; ; ; ; ; ; 350; ; ; ; ; ; ; 
Arsenal 6-4; ; ; ; ; ; ; ; ; ; 425; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
West Ham 5-4; ; ; ; ; ; ; 225; ; ; 425; 200; ; 200; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 8-0; 450; ; ; 300; ; ; 175; ; ; 275; 150; ; 175; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 9-1; ; ; ; ; ; ; ; ; ; 475; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 5-4; 500; ; ; ; ; ; 175; ; ; 275; 150; ; 175; 300; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 8-1; 500; ; ; ; ; ; 175; ; ; 275; 150; ; 175; 300; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Arsenal 9-0; ; ; ; 500; ; ; ; ; ; 475; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
West Ham 5-0; ; 250; ; 500; ; ; 225; ; 100; ; 200; ; 200; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
West Ham 5-1; ; 250; ; 500; ; ; 225; ; 100; 400; 200; ; 200; 300; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
West Ham 6-1; ; 250; ; 500; ; ; 225; ; ; ; 200; ; 200; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
West Ham 6-2; ; 250; ; 500; ; ; 225; ; ; ; 200; ; 200; ; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-26 16:16:44 GMT+2; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 4/6; 8/11; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 8/13; 4/7; 11/17; 7/10; 9/13; 3/5; ; 3/5; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 13/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 14/5; 3; 29/10; 14/5; 3; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 4; 4; 18/5; 4; 4; 9/2; 4; 17/4; 15/4; 15/4; 4; 4; 4; 4; 4; 54/13; 4; 9/2; 54/13; 9/2; 19/5; 9/2; ; 9/2; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-26 20:16:41 GMT+2; 2017-03-29 02:15; e70300-dr003
Uruguay; 6/4; 6/4; 29/20; ; 6/4; ; 29/20; ; ; ; ; ; 29/20; 29/20; ; 16/11; 16/11; ; 6/4; 16/11; 13/8; ; 6/4; ; 17/11; ; 27/20; ; 
Peru; 9/5; 9/5; 15/8; ; 15/8; ; 19/10; ; ; ; ; ; 37/20; 15/8; ; 15/8; 24/13; ; 9/5; 24/13; 93/50; ; 9/5; ; 24/13; ; 9/5; ; 
Draw; 11/5; 11/5; 9/4; ; 9/4; ; 23/10; ; ; ; ; ; 23/10; 11/5; ; 9/4; 9/4; ; 11/5; 9/4; 119/50; ; 11/5; ; 9/4; ; 12/5; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-27 00:15:59 GMT+2; ; e70300-dr003
AFC Fylde; 1/14; 1/10; ; ; ; ; 1/33; 1/9; ; ; ; ; ; ; 1/12; ; 1/20; ; ; 1/20; 1/20; 1/20; 1/14; ; 1/14; ; ; ; 
Kidderminster; 12; 8; ; ; ; ; 10; 17/2; ; ; ; ; ; ; 9; ; 14; ; ; 14; 12; 12; 11; ; 11; ; ; ; 
Salford City; 33; 18; ; ; ; ; 25; 18; ; ; ; ; ; ; 25; ; 33; ; ; 33; 28; 20; 30; ; 30; ; ; ; 
Halifax; 66; 80; ; ; ; ; 50; 33; ; ; ; ; ; ; 66; ; 60; ; ; 60; 66; 66; 60; ; 60; ; ; ; 
Chorley; 100; 100; ; ; ; ; 50; 33; ; ; ; ; ; ; 100; ; 125; ; ; 125; 100; 100; 100; ; 100; ; ; ; 
Darlington; 1000; 100; ; ; ; ; 100; 125; ; ; ; ; ; ; ; ; 1000; ; ; 1000; 100; ; 1000; ; 1000; ; ; ; 
Stockport; 2500; ; ; ; ; ; 66; 100; ; ; ; ; ; ; ; ; 1000; ; ; 1000; 150; ; 2500; ; 2500; ; ; ; 
Harrogate Town; 4500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
Tamworth; 4500; ; ; ; ; ; 100; ; ; ; ; ; ; ; ; ; 1000; ; ; 1000; ; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-27 12:02:50 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 4/6; 8/11; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 8/13; 8/13; 5/7; 7/10; 9/13; 11/17; ; 11/17; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 13/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 14/5; 3; 29/10; 14/5; 37/13; 31/10; 3; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 4; 4; 18/5; 4; 4; 9/2; 4; 17/4; 15/4; 15/4; 4; 4; 4; 4; 4; 41/10; 4; 4; 41/10; 9/2; 19/5; 4; ; 4; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-27 16:16:16 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 8/13; 8/13; 5/7; 7/10; 4/6; 11/17; ; 11/17; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 31/10; 13/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 37/13; 31/10; 31/10; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 4; 4; 19/5; 4; 4; 22/5; 4; 17/4; 15/4; 15/4; 4; 4; 4; 4; 4; 41/10; 4; 4; 41/10; 9/2; 50/13; 4; ; 4; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-27 20:16:12 GMT+3; 2017-04-02 14:15; e70300-dr003
Real Madrid; 1/10; 1/8; 1/8; 1/8; 1/9; 13/100; 1/10; 1/10; 1/9; 1/8; 1/9; 1/9; 1/9; 1/9; 2/15; 1/9; 1/10; 1/9; 2/15; 1/10; 13/100; 1/10; 1/8; 1/8; 1/8; ; 2/15; ; 
Draw; 10; 7; 15/2; 15/2; 10; 9; 19/2; 8; 8; 17/2; 15/2; 15/2; 8; 8; 9; 17/2; 33/4; 8; 39/5; 33/4; 21/2; 8; 151/19; 15/2; 151/19; ; 41/5; ; 
Alaves; 14; 18; 20; 18; 20; 20; 21; 17; 18; 20; 22; 20; 20; 22; 14; 18; 33/2; 33/2; 33/2; 33/2; 22; 15; 33/2; 16; 33/2; ; 23; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-28 00:16:09 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 8/13; 8/13; 11/17; 7/10; 4/6; 11/17; ; 11/17; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 31/10; 13/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 31/10; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 4; 4; 19/5; 4; 4; 22/5; 4; 17/4; 15/4; 15/4; 4; 4; 4; 4; 4; 41/10; 4; 4; 41/10; 9/2; 50/13; 4; ; 4; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-28 04:16:01 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 8/13; 8/13; 11/17; 7/10; 4/6; 11/17; ; 11/17; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 31/10; 13/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 31/10; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 4; 4; 19/5; 4; 4; 22/5; 4; 17/4; 15/4; 15/4; 4; 4; 4; 4; 4; 41/10; 4; 4; 41/10; 9/2; 50/13; 4; ; 4; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-28 08:16:10 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 8/13; 8/13; 4/6; 7/10; 4/6; 11/17; ; 11/17; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 31/10; 13/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 14/5; 3; 29/10; 14/5; 56/19; 31/10; 31/10; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 4; 4; 19/5; 4; 4; 22/5; 4; 17/4; 15/4; 15/4; 4; 4; 4; 4; 4; 41/10; 4; 4; 4; 9/2; 50/13; 4; ; 4; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-28 12:31:49 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 8/13; 8/13; 11/17; 7/10; 4/6; 11/17; ; 11/17; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 31/10; 13/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 31/10; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 4; 4; 19/5; 4; 4; 22/5; 4; 17/4; 15/4; 15/4; 4; 4; 4; 4; 4; 41/10; 4; 4; 41/10; 9/2; 50/13; 4; ; 4; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-28 16:16:49 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 8/13; 8/13; 11/17; 7/10; 4/6; 11/17; ; 11/17; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 31/10; 13/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 31/10; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 4; 4; 19/5; 4; 4; 22/5; 4; 17/4; 15/4; 15/4; 4; 4; 4; 4; 4; 41/10; 4; 4; 41/10; 9/2; 50/13; 4; ; 4; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-28 20:16:19 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 8/13; 8/13; 11/17; 7/10; 4/6; 11/17; ; 11/17; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 31/10; 13/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 31/10; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 4; 4; 19/5; 4; 4; 22/5; 4; 17/4; 15/4; 15/4; 4; 4; 4; 4; 4; 41/10; 4; 4; 41/10; 9/2; 50/13; 4; ; 4; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-29 00:16:14 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 8/13; 8/13; 11/17; 7/10; 4/6; 11/17; ; 11/17; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 31/10; 13/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 31/10; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 4; 4; 19/5; 4; 4; 22/5; 4; 17/4; 15/4; 15/4; 4; 4; 4; 4; 4; 41/10; 4; 4; 41/10; 9/2; 50/13; 4; ; 4; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-29 00:32:45 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 8/13; 8/13; 11/17; 7/10; 4/6; 11/17; ; 11/17; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 31/10; 13/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; 3; 31/10; 31/10; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 4; 4; 19/5; 4; 4; 22/5; 4; 17/4; 15/4; 15/4; 4; 4; 4; 4; 4; 41/10; 4; 4; 41/10; 9/2; 50/13; 4; ; 4; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-29 04:16:01 GMT+3; ; e70300-dr003
Washington Capitals; 5; 11/2; 11/2; 5; 11/2; ; 11/2; 11/2; 11/2; 6; 6; 11/2; 11/2; 11/2; 11/2; ; 5; 11/2; 23/5; 5; 47/10; 5; 19/4; 5; ; ; 23/5; 23/5; 
Chicago Blackhawks; 11/2; 11/2; 11/2; 11/2; 11/2; ; 11/2; 5; 6; 5; 5; 13/2; 11/2; 11/2; 11/2; ; 5; 5; 6; 5; 6; 5; 6; 5; ; ; 23/5; 23/5; 
Minnesota Wild; 15/2; 6; 15/2; 15/2; 13/2; ; 15/2; 13/2; 6; 13/2; 13/2; 11/2; 13/2; 7; 7; ; 7; 7; 15/2; 7; 7; ; 15/2; 13/2; ; ; 31/5; 32/5; 
Pittsburgh Penguins; 13/2; 6; 6; 7; 8; ; 13/2; 13/2; 13/2; 8; 8; 13/2; 13/2; 6; 7; ; 7; 13/2; 17/2; 7; 5; 13/2; 17/2; 6; ; ; 6; 31/5; 
Columbus Blue Jackets; 25/4; 10; 7; 7; 10; ; 10; 7; 10; 9; 9; 15/2; 8; 7; 8; ; 8; 7; 23/2; 8; 33/5; ; 23/2; 7; ; ; 7; 7; 
Montreal Canadiens; 11; 11; 11; 11; 14; ; 12; 13; 12; 12; 12; 12; 12; 11; 12; ; 12; 11; 15; 12; 11; ; 15; 12; ; ; 54/5; 56/5; 
New York Rangers; 12; 12; 14; 14; 14; ; 16; 14; 14; 16; 16; 10; 14; 12; 16; ; 12; 12; 15; 12; 12; 14; 15; 12; ; ; 54/5; 56/5; 
San Jose Sharks; 17; 12; 18; 18; 14; ; 18; 18; 12; 14; 14; 12; 12; 14; 16; ; 14; 15; 13; 14; 11; 16; 13; 16; ; ; 62/5; 13; 
Edmonton Oilers; 17; 20; 18; 20; 16; ; 20; 20; 16; 18; 18; 16; 18; 17; 18; ; 20; 15; 20; 20; 18; ; 20; 18; ; ; 78/5; 16; 
Anaheim Ducks; 15; 20; 18; 16; 14; ; 14; 16; 20; 14; 14; 20; 18; 16; 20; ; 20; 18; 20; 20; 18; 20; 20; 16; ; ; 16; 17; 
Ottawa Senators; 16; 18; 16; 18; 16; ; 18; 18; 18; 18; 18; 16; 18; 14; 16; ; 16; 15; 27; 16; 29/2; 18; 27; 16; ; ; 83/5; 35/2; 
Calgary Flames; 20; 25; 20; 22; 20; ; 25; 20; 18; 22; 22; 20; 20; 20; 22; ; 20; 20; 27; 20; 19; 20; 27; 20; ; ; 88/5; 92/5; 
St Louis Blues; 28; 28; 25; 33; 25; ; 28; 33; 28; 22; 22; 28; 25; 20; 25; ; 28; 25; 27; 28; 16; 28; 27; 25; ; ; 22; 22; 
Nashville Predators; 25; 28; 28; 22; 25; ; 33; 25; 28; 22; 22; 28; 25; 25; 28; ; 28; 33; 22; 28; 28; 25; 22; 25; ; ; 25; 25; 
Toronto Maple Leafs; 28; 33; 28; 28; 40; ; 40; 40; 40; 33; 33; 40; 33; 35; 28; ; 28; 25; 30; 28; 33; 33; 30; 33; ; ; 29; 29; 
New Jersey Devils; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 40; ; ; ; ; 132; 133; 
Colorado Avalanche; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 40; ; ; ; ; ; ; 
Arizona Coyotes; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 50; ; ; ; ; 20/21; 178; 
Boston Bruins; 33; 22; 33; 33; 33; ; 50; 50; 25; 35; 35; 20; 25; 33; 28; ; 28; 33; 35; 28; 22; 22; 35; 33; ; ; 52/5; 53/5; 
Tampa Bay Lightning; 40; 40; 40; 33; 33; ; 50; 40; 40; 35; 35; 40; 40; 35; 40; ; 50; 50; 45; 50; 33; ; 45; 40; ; ; 35; 36; 
New York Islanders; 50; 66; 55; 50; 40; ; 66; 50; 50; 50; 50; 50; 50; 45; 50; ; 50; 33; 37; 50; 60; 50; 37; 50; ; ; 39; 39; 
Vancouver Canucks; ; SP; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 66; ; ; ; ; 104; 160; 
Dallas Stars; ; SP; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 90; 10; ; ; ; ; 56; 57; 
Los Angeles Kings; 125; 40; 150; 150; 125; ; 100; 150; 50; 200; 200; 50; 66; 40; 50; ; 100; 66; 125; 100; 60; 80; 125; 100; ; ; 37; 43; 
Carolina Hurricanes; 100; SP; 200; 150; 125; ; 200; 150; 250; 100; 100; 150; 100; 150; 150; ; 150; 100; 100; 150; 75; 150; 100; 125; ; ; 132; 178; 
Philadelphia Flyers; 300; 100; 200; 250; ; ; 250; 225; 150; 300; 300; 150; 150; 150; 250; ; 200; 250; 200; 200; 75; 150; 200; 250; ; ; 113; 115; 
Florida Panthers; 300; 100; ; 400; 250; ; 250; 175; 150; 400; 400; 150; 150; 100; 300; ; 200; 250; 250; 200; 60; 35; 250; 250; ; ; 94; 98; 
Winnipeg Jets; ; SP; ; ; ; ; ; 500; 500; ; ; ; ; 500; ; ; ; 500; ; ; ; 40; ; ; ; ; 132; 133; 
Detroit Red Wings; ; ; ; ; ; ; ; ; ; 3000; 3000; ; ; ; ; ; ; ; 500; ; 250; 20; 500; ; ; ; 28; 133; 
Buffalo Sabres; ; SP; 200; ; ; ; ; 500; 500; 3000; 3000; ; ; 500; ; ; ; ; 500; ; 200; 40; 500; ; ; ; 132; 178; 
META; english/premier-league/swansea-v-tottenham; 2017-03-29 12:16:23 GMT+3; 2017-04-05 19:45; e70300-dr003
Tottenham; 8/13; 4/6; 4/6; 7/10; 4/6; 7/10; 4/6; 4/6; 8/13; 4/6; 4/6; 4/6; 13/20; 4/6; 7/10; 4/6; 11/17; 8/13; 8/13; ; 7/10; 4/6; 11/17; ; 11/17; ; ; ; 
Draw; 3; 29/10; 29/10; 14/5; 3; 3; 3; 13/5; 3; 14/5; 11/4; 14/5; 59/20; 3; 14/5; 29/10; 3; 29/10; 14/5; ; 31/10; 31/10; 56/19; ; 56/19; ; ; ; 
Swansea; 4; 4; 4; 19/5; 4; 4; 22/5; 4; 17/4; 15/4; 15/4; 4; 4; 4; 4; 4; 41/10; 4; 4; ; 9/2; 50/13; 4; ; 4; ; ; ; 
META; english/premier-league/swansea-v-tottenham; 2017-03-29 16:16:37 GMT+3; 2017-04-01 14:30; e70300-dr003
Draw 1-1; 11/2; 6; 13/2; 13/2; 6; 5; 7; 11/2; 11/2; 6; 6; 11/2; 11/2; 6; 11/2; 11/2; 6; 6; 13/2; 6; ; 59/10; 13/2; 11/2; 13/2; ; 31/5; 32/5; 
Borussia Dortmund 2-1; 15/2; 7; 8; 15/2; 15/2; 7; 8; 15/2; 15/2; 15/2; 15/2; 7; 7; 15/2; 15/2; 7; 15/2; 15/2; 15/2; 15/2; ; 77/10; 15/2; 15/2; 15/2; ; 8; 41/5; 
Borussia Dortmund 1-0; 15/2; 15/2; 17/2; 8; 15/2; 7; 17/2; 15/2; 15/2; 15/2; 8; 15/2; 15/2; 8; 15/2; 15/2; 15/2; 15/2; 15/2; 15/2; ; 38/5; 15/2; 15/2; 15/2; ; 17/2; 43/5; 
Borussia Dortmund 2-0; 9; 9; 11; 10; 10; 17/2; 21/2; 9; 9; 9; 10; 9; 9; 10; 9; 9; 9; 9; 10; 9; ; 9; 10; 9; 10; ; 10; 51/5; 
Schalke 04 2-1; 12; 10; 12; 11; 11; 10; 12; 11; 11; 10; 11; 10; 10; 11; 10; 10; 41/4; 23/2; 23/2; 41/4; ; 11; 23/2; 11; 23/2; ; 59/5; 12; 
Schalke 04 1-0; 12; 12; 13; 11; 11; 10; 12; 11; 11; 11; 11; 11; 11; 12; 10; 10; 41/4; 23/2; 23/2; 41/4; ; 11; 23/2; 11; 23/2; ; 57/5; 58/5; 
Draw 0-0; 12; 11; 14; 12; 11; 11; 21/2; 10; 12; 12; 12; 10; 17/2; 12; 11; 10; 9; 8; 19/2; 9; ; 13; 19/2; ; 19/2; ; 64/5; 13; 
Draw 2-2; 11; 11; 13; 14; 12; 10; 14; 12; 11; 11; 11; 11; 11; 11; 10; 11; 25/2; 12; 13; 25/2; ; 13; 13; 11; 13; ; 64/5; 13; 
Borussia Dortmund 3-1; 14; 12; 15; 14; 14; 12; 15; 14; 12; 12; 14; 12; 14; 14; 12; 12; 27/2; 13; 14; 27/2; ; 15; 14; 14; 14; ; 76/5; 31/2; 
Borussia Dortmund 3-0; 16; 16; 20; 16; 16; 12; 19; 16; 16; 16; 18; 16; 18; 18; 14; 16; 16; 16; 16; 16; ; 17; 16; 16; 16; ; 83/5; 92/5; 
Schalke 04 2-0; 20; 18; 22; 20; 20; 16; 21; 18; 20; 18; 20; 18; 20; 22; 16; 18; 67/4; 19; 19; 67/4; ; 19; 19; 18; 19; ; 21; 21; 
Borussia Dortmund 3-2; 22; 18; 22; 22; 20; 16; 22; 22; 22; 20; 20; 18; 22; 20; 20; 18; 85/4; 20; 21; 85/4; ; 25; 21; 22; 21; ; 24; 24; 
Any Other Score; ; ; 22; ; ; ; ; ; 25; ; ; ; ; ; ; ; ; 17; ; ; ; 23; ; ; ; ; ; ; 
Schalke 04 3-1; 28; 22; 28; 28; 25; 20; 30; 25; 28; 25; 25; 25; 28; 28; 22; 22; 95/4; 28; 28; 95/4; ; 30; 28; 28; 28; ; 29; 34; 
Schalke 04 3-2; 33; 25; 30; 33; 28; 25; 35; 33; 33; 28; 28; 25; 33; 28; 22; 28; 109/4; 30; 32; 109/4; ; 36; 32; 33; 32; ; 33; 36; 
Borussia Dortmund 4-1; 28; 28; 33; 28; 28; 25; 35; 35; 33; 28; 33; 28; 33; 33; 22; 28; 57/2; 28; 28; 57/2; ; 36; 28; 28; 28; ; ; ; 
