META; english/premier-league/sunderland-v-arsenal; 2016-10-04 16:18:20 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-13 16:17:41 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-13 20:17:54 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-14 00:17:23 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-14 04:17:31 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-14 08:17:33 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-14 12:18:07 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-14 16:18:08 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-14 20:17:33 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-15 00:17:58 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-15 04:17:49 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-15 08:17:44 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-15 12:17:44 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-15 16:18:17 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-15 20:17:12 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-16 00:17:40 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-16 04:17:17 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-16 08:17:28 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-16 12:17:49 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-16 16:17:35 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; ; 1/2; 1/2; ; ; ; ; ; ; ; ; ; 5/11; ; ; 1/2; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; 7/2; ; ; ; ; ; ; ; ; ; 10/3; ; ; 15/4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; ; 5; 11/2; ; ; ; ; ; ; ; ; ; 11/2; ; ; 31/5; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-16 20:17:27 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; 4/11; 1/2; 2/5; 1/3; ; ; ; ; 7/20; 1/2; 1/2; ; 5/11; ; 1/2; 3/8; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 15/4; 3; 4; 4; ; ; ; ; 15/4; 7/2; 16/5; ; 10/3; ; 16/5; 4; ; ; ; ; ; ; 
Sunderland; ; ; ; ; ; ; 19/2; 5; 7; 8; ; ; ; ; 9; 6; 21/4; ; 11/2; ; 21/4; 10; ; ; ; ; ; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-17 00:17:20 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; ; ; ; ; ; ; 4/11; 1/2; 2/5; 4/11; 4/11; ; 4/11; ; 7/20; 4/9; 3/7; 2/5; 5/11; 2/5; 3/7; 3/8; ; 2/5; ; ; 3/10; ; 
Draw; ; ; ; ; ; ; 15/4; 3; 17/4; 15/4; 18/5; ; 7/2; ; 15/4; 7/2; 39/11; 7/2; 10/3; 7/2; 39/11; 4; ; 7/2; ; ; 13/5; ; 
Sunderland; ; ; ; ; ; ; 9; 5; 7; 15/2; 7; ; 17/2; ; 9; 7; 76/13; 7; 11/2; 7; 76/13; 10; ; 7; ; ; 28/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-17 04:17:17 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; ; ; ; ; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 7/20; 2/5; 2/5; 2/5; 5/11; 2/5; 2/5; 3/8; ; 2/5; ; ; 1/4; ; 
Draw; 15/4; ; ; ; ; ; 15/4; 7/2; 17/4; 15/4; 18/5; ; 7/2; ; 15/4; 4; 62/17; 7/2; 10/3; 7/2; 62/17; 4; ; 7/2; ; ; 13/5; ; 
Sunderland; 7; ; ; ; ; ; 9; 6; 7; 15/2; 7; ; 17/2; ; 9; 15/2; 25/4; 7; 11/2; 7; 25/4; 10; ; 7; ; ; 28/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-17 08:17:09 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; ; ; ; ; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 7/20; 2/5; 7/18; 2/5; 5/11; 2/5; 7/18; 3/8; ; 2/5; ; ; 3/10; ; 
Draw; 15/4; ; ; ; ; ; 15/4; 7/2; 17/4; 15/4; 18/5; ; 7/2; ; 15/4; 4; 37/10; 7/2; 10/3; 7/2; 37/10; 4; ; 7/2; ; ; 11/4; ; 
Sunderland; 7; ; ; ; ; ; 9; 6; 7; 15/2; 7; ; 17/2; ; 9; 15/2; 13/2; 7; 11/2; 7; 13/2; 10; ; 7; ; ; 28/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-17 12:17:34 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; ; ; ; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; ; 7/20; ; 7/20; 2/5; 10/29; 2/5; 2/5; 2/5; 10/29; 3/8; ; 2/5; ; ; 3/10; ; 
Draw; 15/4; ; ; ; ; 17/4; 21/5; 7/2; 17/4; 15/4; 18/5; ; 15/4; ; 15/4; 4; 4; 7/2; 18/5; 7/2; 4; 4; ; 7/2; ; ; 14/5; ; 
Sunderland; 7; ; ; ; ; 15/2; 9; 6; 7; 15/2; 7; ; 8; ; 9; 8; 29/4; 7; 6; 7; 29/4; 10; ; 7; ; ; 29/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-17 16:17:33 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; ; ; ; 4/11; 1/3; 2/5; 2/5; 4/11; 4/11; ; 7/20; ; 7/20; 2/5; 10/29; 2/5; 4/11; 2/5; 10/29; 3/8; 4/11; 2/5; ; ; 3/10; ; 
Draw; 15/4; ; ; ; ; 17/4; 21/5; 7/2; 17/4; 15/4; 18/5; ; 15/4; ; 15/4; 4; 4; 7/2; 4; 7/2; 4; 4; 21/5; 7/2; ; ; 14/5; ; 
Sunderland; 7; ; ; ; ; 15/2; 19/2; 6; 7; 15/2; 7; ; 8; ; 9; 8; 29/4; 7; 13/2; 7; 29/4; 10; 36/5; 7; ; ; 31/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-17 20:17:34 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; ; ; ; 4/11; 1/3; 2/5; 2/5; 4/11; 4/11; ; ; ; 7/20; 2/5; 10/29; 2/5; 4/11; 2/5; 10/29; ; 4/11; 2/5; ; ; 3/10; ; 
Draw; 15/4; ; ; ; ; 17/4; 21/5; 7/2; 17/4; 15/4; 18/5; ; ; ; 15/4; 4; 4; 7/2; 4; 7/2; 4; ; 21/5; 7/2; ; ; 14/5; ; 
Sunderland; 7; ; ; ; ; 15/2; 19/2; 6; 7; 15/2; 7; ; ; ; 9; 8; 29/4; 7; 13/2; 7; 29/4; ; 36/5; 7; ; ; 31/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-18 00:17:15 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; ; ; ; 4/11; 1/3; 2/5; 2/5; 4/11; 4/11; ; 7/20; ; 7/20; 2/5; 10/29; 2/5; 4/11; 2/5; 10/29; 3/8; 4/11; 2/5; ; ; 2/7; ; 
Draw; 15/4; ; ; ; ; 17/4; 21/5; 7/2; 17/4; 15/4; 18/5; ; 15/4; ; 15/4; 4; 4; 7/2; 4; 7/2; 4; 4; 21/5; 7/2; ; ; 3; ; 
Sunderland; 7; ; ; ; ; 15/2; 19/2; 6; 7; 15/2; 7; ; 8; ; 9; 8; 29/4; 7; 13/2; 7; 29/4; 10; 36/5; 7; ; ; 33/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-18 04:17:16 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; ; ; ; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; ; 7/20; ; 4/11; 2/5; 6/17; 2/5; 4/11; 2/5; 6/17; 3/8; 4/11; 2/5; ; ; 3/10; ; 
Draw; 15/4; ; ; ; ; 17/4; 17/4; 7/2; 17/4; 4; 15/4; ; 15/4; ; 17/4; 4; 4; 7/2; 4; 7/2; 4; 4; 21/5; 7/2; ; ; 3; ; 
Sunderland; 7; ; ; ; ; 7; 17/2; 6; 7; 7; 13/2; ; 8; ; 7; 15/2; 7; 7; 13/2; 7; 7; 10; 36/5; 7; ; ; 1/6; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-18 08:17:22 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; ; ; ; ; 4/11; 2/5; 2/5; 4/11; 4/11; ; ; ; 4/11; 2/5; 6/17; 2/5; 4/11; 2/5; 6/17; 3/8; 4/11; 2/5; ; ; 3/10; ; 
Draw; 15/4; ; ; ; ; ; 17/4; 7/2; 17/4; 4; 15/4; ; ; ; 17/4; 4; 4; 7/2; 4; 7/2; 4; 4; 21/5; 7/2; ; ; 3; ; 
Sunderland; 7; ; ; ; ; ; 17/2; 6; 7; 7; 13/2; ; ; ; 7; 15/2; 7; 7; 13/2; 7; 7; 10; 36/5; 7; ; ; 33/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-18 12:17:26 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; ; ; ; ; 4/11; 2/5; 2/5; 4/11; 4/11; ; 7/20; ; 4/11; 2/5; 6/17; 2/5; 4/11; 2/5; 6/17; 3/8; 4/11; 2/5; ; ; 3/10; ; 
Draw; 15/4; ; ; ; ; ; 17/4; 7/2; 17/4; 4; 15/4; ; 4; ; 17/4; 4; 4; 7/2; 4; 7/2; 4; 4; 21/5; 7/2; ; ; 3; ; 
Sunderland; 7; ; ; ; ; ; 17/2; 6; 7; 7; 13/2; ; 15/2; ; 7; 15/2; 7; 7; 13/2; 7; 7; 10; 36/5; 7; ; ; 33/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-18 16:17:41 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; ; ; ; ; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 4/11; ; 4/11; 2/5; ; ; 2/7; ; 
Draw; 15/4; ; ; ; ; ; 17/4; 7/2; 17/4; 15/4; 15/4; ; 15/4; ; 17/4; 9/2; 4; 7/2; 4; 7/2; 4; ; 21/5; 7/2; ; ; 3; ; 
Sunderland; 7; ; ; ; ; ; 17/2; 6; 7; 13/2; 13/2; ; 15/2; ; 7; 7; 13/2; 7; 13/2; 7; 13/2; ; 36/5; 7; ; ; 33/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-18 20:17:42 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; ; ; ; ; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 4/11; 7/18; 4/11; 2/5; ; ; 2/7; ; 
Draw; 15/4; ; ; ; ; ; 17/4; 7/2; 17/4; 15/4; 18/5; ; 15/4; ; 17/4; 4; 77/19; 7/2; 4; 7/2; 77/19; 21/5; 21/5; 7/2; ; ; 3; ; 
Sunderland; 7; ; ; ; ; ; 17/2; 6; 7; 13/2; 13/2; ; 15/2; ; 7; 15/2; 13/2; 7; 13/2; 7; 13/2; 87/10; 36/5; 7; ; ; 33/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-19 00:17:12 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; ; ; ; ; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 4/11; 7/18; 4/11; 2/5; ; ; 2/7; ; 
Draw; 15/4; ; ; ; ; ; 17/4; 7/2; 17/4; 15/4; 18/5; ; 15/4; ; 17/4; 4; 77/19; 7/2; 4; 7/2; 77/19; 21/5; 21/5; 7/2; ; ; 3; ; 
Sunderland; 7; ; ; ; ; ; 17/2; 6; 7; 13/2; 13/2; ; 15/2; ; 7; 15/2; 13/2; 7; 13/2; 7; 13/2; 87/10; 36/5; 7; ; ; 33/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-19 04:16:54 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; ; ; ; ; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 4/11; 7/18; 4/11; 2/5; ; ; 2/7; ; 
Draw; 15/4; ; ; ; ; ; 22/5; 7/2; 17/4; 15/4; 18/5; ; 4; ; 17/4; 4; 77/19; 7/2; 4; 7/2; 77/19; 21/5; 21/5; 7/2; ; ; 3; ; 
Sunderland; 7; ; ; ; ; ; 8; 6; 7; 13/2; 13/2; ; 7; ; 7; 15/2; 13/2; 7; 13/2; 7; 13/2; 87/10; 36/5; 7; ; ; 33/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-19 08:16:57 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; ; ; ; ; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 4/11; 7/18; 4/11; 2/5; ; ; 1/3; ; 
Draw; 15/4; ; ; ; ; ; 22/5; 7/2; 17/4; 15/4; 18/5; ; 15/4; ; 17/4; 4; 77/19; 7/2; 4; 7/2; 77/19; 21/5; 21/5; 7/2; ; ; 7/2; ; 
Sunderland; 7; ; ; ; ; ; 8; 6; 7; 13/2; 13/2; ; 15/2; ; 7; 15/2; 13/2; 7; 13/2; 7; 13/2; 87/10; 36/5; 7; ; ; 39/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-19 12:17:38 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; ; ; ; ; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; ; 4/11; 7/18; 4/11; ; ; ; 1/3; ; 
Draw; 15/4; ; ; ; ; ; 22/5; 7/2; 17/4; 15/4; 18/5; ; 15/4; ; 17/4; 4; 77/19; 7/2; 4; ; 77/19; 21/5; 21/5; ; ; ; 7/2; ; 
Sunderland; 7; ; ; ; ; ; 8; 6; 7; 13/2; 13/2; ; 15/2; ; 7; 15/2; 13/2; 7; 13/2; ; 13/2; 87/10; 36/5; ; ; ; 8; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-19 16:17:18 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; ; 4/11; ; ; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; ; ; 1/3; ; 
Draw; 15/4; ; ; 4; ; ; 22/5; 7/2; 17/4; 15/4; 18/5; ; 4; ; 17/4; 4; 77/19; 7/2; 4; 7/2; 77/19; 21/5; 21/5; 7/2; ; ; 7/2; ; 
Sunderland; 7; ; ; 13/2; ; ; 8; 6; 7; 13/2; 13/2; ; 7; ; 7; 15/2; 13/2; 7; 13/2; 7; 13/2; 41/5; 36/5; 7; ; ; 38/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-19 20:17:02 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; 2/5; 4/11; ; ; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; ; ; 1/3; ; 
Draw; 15/4; ; 19/5; 4; ; ; 22/5; 7/2; 17/4; 15/4; 18/5; ; 4; ; 17/4; 4; 77/19; 7/2; 4; 7/2; 77/19; 21/5; 21/5; 7/2; ; ; 7/2; ; 
Sunderland; 7; ; 7; 13/2; ; ; 8; 6; 7; 13/2; 13/2; ; 7; ; 7; 15/2; 13/2; 7; 13/2; 7; 13/2; 41/5; 36/5; 7; ; ; 38/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-20 00:16:52 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; 2/5; 4/11; ; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; ; 2/5; ; ; 1/3; ; 
Draw; 15/4; ; 19/5; 4; ; 17/4; 22/5; 15/4; 17/4; 15/4; 18/5; ; 4; ; 17/4; ; 4; 7/2; 4; 7/2; 4; 21/5; ; 7/2; ; ; 7/2; ; 
Sunderland; 7; ; 7; 13/2; ; 7; 8; 13/2; 7; 13/2; 13/2; ; 7; ; 7; ; 13/2; 7; 13/2; 7; 13/2; 41/5; ; 7; ; ; 38/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-20 04:16:34 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; 2/5; 4/11; ; 2/5; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 3/8; 2/5; ; ; 1/3; ; 
Draw; 15/4; ; 19/5; 4; ; 17/4; 22/5; 15/4; 17/4; 15/4; 18/5; ; 4; ; 17/4; 4; 4; 7/2; 4; 7/2; 4; 21/5; 21/5; 7/2; ; ; 4; ; 
Sunderland; 7; ; 7; 13/2; ; 7; 8; 13/2; 7; 13/2; 13/2; ; 7; ; 7; 15/2; 13/2; 7; 13/2; 7; 13/2; 41/5; 13/2; 7; ; ; 38/5; ; 
META; english/premier-league/sunderland-v-arsenal; 2016-10-20 08:16:38 GMT+3; 2016-10-29 12:30; e70300-dr003
Arsenal; 4/11; ; 2/5; 4/11; ; 4/11; 4/11; 2/5; 2/5; 4/11; 4/11; ; 4/11; ; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 4/11; 2/5; 3/8; 2/5; ; ; 1/3; ; 
Draw; 15/4; ; 19/5; 4; ; 9/2; 22/5; 15/4; 17/4; 15/4; 18/5; ; 4; ; 17/4; 4; 4; 7/2; 4; 7/2; 77/19; 21/5; 21/5; 7/2; ; ; 4; ; 
