Draw; 4; 4; 17/4; 15/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 4; 4; 4; 9/2; 17/4; 9/2; 21/5; 9/2; 17/4; 9/2; 21/5; 23/5; 22/5; 9/2; 4; ; 4; ; 
Middlesbrough; 11; 9; 11; 10; 10; 10; 12; 9; 9; 10; 11; 11; 11; 10; 10; 11; 37/4; 10; 9; 10; 37/4; 12; 9; 10; 17/2; ; 10; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-22 08:16:40 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 1/3; 2/7; 2/7; 3/10; 30/100; 3/10; 2/7; 3/11; 5/18; 1/4; 2/7; 8/25; 3/10; 3/11; 3/10; ; 2/7; ; 
Draw; 4; 4; 17/4; 15/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 4; 4; 4; 9/2; 17/4; 9/2; 21/5; 9/2; 17/4; 9/2; 21/5; 23/5; 22/5; 9/2; 4; ; 4; ; 
Middlesbrough; 11; 9; 11; 10; 10; 10; 12; 9; 9; 10; 11; 11; 11; 10; 10; 11; 37/4; 10; 9; 10; 37/4; 12; 9; 10; 17/2; ; 10; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-22 12:16:43 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 1/3; 2/7; 2/7; 3/10; 30/100; 3/10; 2/7; 4/13; 5/18; 3/10; 2/7; 8/25; 3/10; 4/13; 3/10; ; 3/10; ; 
Draw; 4; 4; 17/4; 15/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 4; 4; 4; 9/2; 17/4; 9/2; 21/5; 17/4; 17/4; 21/5; 21/5; 23/5; 22/5; 17/4; 4; ; 4; ; 
Middlesbrough; 11; 9; 11; 10; 10; 10; 12; 9; 10; 10; 11; 11; 11; 10; 10; 11; 37/4; 9; 9; 9; 37/4; 12; 9; 9; 17/2; ; 10; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-22 16:16:49 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 1/3; 2/7; 2/7; 3/10; 30/100; 3/10; 2/7; 4/13; 5/18; 3/10; 2/7; 8/25; 1/2; 4/13; 3/10; ; 3/10; ; 
Draw; 4; 4; 17/4; 15/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 4; 4; 4; 9/2; 17/4; 9/2; 21/5; 17/4; 17/4; 21/5; 21/5; 23/5; 14/5; 17/4; 4; ; 4; ; 
Middlesbrough; 11; 9; 11; 10; 10; 10; 12; 9; 10; 10; 11; 11; 11; 10; 10; 11; 37/4; 9; 9; 9; 37/4; 12; 7/2; 9; 17/2; ; 10; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-22 20:16:49 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 1/3; 2/7; 2/7; 3/10; 30/100; 3/10; 2/7; 4/13; 5/18; 3/10; 2/7; 8/25; 4/7; 4/13; 3/10; ; 3/10; ; 
Draw; 4; 4; 17/4; 15/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 4; 4; 4; 9/2; 17/4; 9/2; 21/5; 17/4; 17/4; 21/5; 21/5; 23/5; 2; 17/4; 4; ; 4; ; 
Middlesbrough; 11; 9; 11; 10; 10; 10; 12; 9; 10; 10; 11; 11; 11; 10; 10; 11; 37/4; 9; 9; 9; 37/4; 12; 9/2; 9; 17/2; ; 52/5; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-23 00:16:40 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 1/3; 2/7; 2/7; 3/10; 30/100; 3/10; 2/7; 4/13; 5/18; 3/10; 2/7; 8/25; 3/10; 4/13; 3/10; ; 3/10; ; 
Draw; 4; 4; 17/4; 15/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 4; 4; 4; 9/2; 17/4; 9/2; 21/5; 17/4; 17/4; 21/5; 21/5; 23/5; 22/5; 17/4; 4; ; 4; ; 
Middlesbrough; 11; 9; 11; 10; 10; 10; 12; 9; 10; 10; 11; 11; 11; 10; 10; 11; 37/4; 9; 9; 9; 37/4; 12; 9; 9; 17/2; ; 52/5; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-23 04:16:46 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 1/3; 2/7; 2/7; 3/10; 30/100; 3/10; 2/7; 4/13; 5/18; 3/10; 2/7; 8/25; 3/10; 4/13; 3/10; ; 3/10; ; 
Draw; 4; 4; 17/4; 15/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 4; 4; 4; 9/2; 17/4; 9/2; 17/4; 17/4; 17/4; 21/5; 17/4; 23/5; 22/5; 17/4; 4; ; 4; ; 
Middlesbrough; 11; 9; 11; 10; 10; 10; 12; 9; 10; 10; 11; 11; 11; 10; 10; 11; 37/4; 9; 9; 9; 37/4; 12; 9; 9; 17/2; ; 52/5; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-23 08:16:39 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 1/3; 2/7; 2/7; 3/10; 30/100; 3/10; 2/7; 4/13; 5/18; 3/10; 2/7; 8/25; 3/10; 4/13; 3/10; ; 3/10; ; 
Draw; 4; 4; 4; 15/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 4; 4; 4; 9/2; 17/4; 9/2; 17/4; 17/4; 17/4; 21/5; 17/4; 23/5; 22/5; 17/4; 4; ; 4; ; 
Middlesbrough; 11; 9; 10; 10; 10; 10; 12; 9; 10; 10; 11; 11; 11; 10; 10; 11; 37/4; 9; 9; 9; 37/4; 12; 9; 9; 17/2; ; 52/5; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-23 12:16:45 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 1/3; 2/7; 2/7; 3/10; 30/100; 3/10; 2/7; 4/13; 5/18; 3/10; 2/7; 8/25; 3/10; 4/13; 3/10; ; 3/10; ; 
Draw; 4; 4; 4; 15/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 4; 4; 4; 9/2; 17/4; 9/2; 21/5; 17/4; 17/4; 21/5; 21/5; 23/5; 22/5; 17/4; 4; ; 4; ; 
Middlesbrough; 11; 9; 10; 10; 10; 10; 12; 9; 10; 10; 11; 11; 11; 10; 10; 11; 37/4; 9; 9; 9; 37/4; 12; 9; 9; 17/2; ; 52/5; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-23 16:16:45 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 1/3; 2/7; 2/7; 3/10; 30/100; 3/10; 2/7; 4/13; 5/18; 3/10; 2/7; 8/25; 3/10; 4/13; 3/10; ; 3/10; ; 
Draw; 4; 4; 4; 15/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 4; 4; 4; 9/2; 17/4; 9/2; 21/5; 17/4; 17/4; 21/5; 21/5; 23/5; 22/5; 17/4; 4; ; 4; ; 
Middlesbrough; 11; 9; 10; 10; 10; 10; 12; 9; 10; 10; 11; 11; 11; 10; 10; 11; 37/4; 9; 9; 9; 37/4; 12; 9; 9; 17/2; ; 52/5; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-23 20:16:46 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 1/3; 2/7; 2/7; 3/10; 30/100; 3/10; 2/7; 4/13; 5/18; 3/10; 2/7; 8/25; 3/10; 4/13; 3/10; ; 3/10; ; 
Draw; 4; 4; 4; 15/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 4; 4; 4; 9/2; 17/4; 9/2; 21/5; 17/4; 17/4; 21/5; 21/5; 23/5; 22/5; 17/4; 4; ; 4; ; 
Middlesbrough; 11; 9; 10; 10; 10; 10; 12; 9; 10; 10; 11; 11; 11; 10; 10; 11; 37/4; 9; 9; 9; 37/4; 12; 9; 9; 17/2; ; 52/5; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-24 00:16:41 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 1/3; 2/7; 2/7; 3/10; 30/100; 3/10; 2/7; 4/13; 5/18; 3/10; 2/7; 8/25; 3/10; 4/13; 3/10; ; 3/10; ; 
Draw; 4; 4; 4; 15/4; 9/2; 9/2; 9/2; 4; 9/2; 4; 4; 4; 4; 9/2; 17/4; 9/2; 21/5; 17/4; 17/4; 21/5; 21/5; 23/5; 22/5; 17/4; 4; ; 4; ; 
Middlesbrough; 11; 9; 10; 10; 10; 10; 12; 9; 10; 10; 11; 11; 11; 10; 10; 11; 37/4; 9; 9; 9; 37/4; 12; 9; 9; 17/2; ; 52/5; ; 
META; english/premier-league/man-utd-v-middlesbrough; 2016-12-24 04:16:39 GMT+2; 2016-12-31 15:00; e70300-dr003
Man Utd; 2/7; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 2/7; 3/10; 3/10; 1/3; 2/7; 2/7; 3/10; 30/100; 3/10; 2/7; 4/13; 5/18; 3/10; 2/7; 8/25; 3/10; 4/13; 3/10; ; 3/10; ; 
