West Ham; 8/13; 4/6; 13/20; 8/13; 4/7; 8/13; 13/20; 8/13; 8/13; 8/13; 8/13; 13/20; 8/13; 8/13; 13/20; 4/6; 11/18; 5/8; 8/13; 4/7; 11/18; 33/50; 4/7; 5/8; 8/13; ; 8/13; ; 4/7
Draw; 11/4; 14/5; 14/5; 3; 11/4; 14/5; 3; 29/10; 3; 14/5; 27/10; 3; 57/20; 29/10; 3; 3; 56/19; 3; 3; 3; 56/19; 61/20; 14/5; 3; 14/5; ; 14/5; ; 3
Hull; 9/2; 4; 17/4; 4; 9/2; 5; 19/4; 9/2; 17/4; 9/2; 4; 4; 9/2; 9/2; 17/4; 9/2; 50/11; 19/4; 4; 23/5; 50/11; 5; 22/5; 19/4; 17/4; ; 7/2; ; 24/5
META; english/premier-league/west-ham-v-hull; 2016-12-14 20:16:42 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; 8/13; 4/6; 13/20; 8/13; 4/7; 8/13; 13/20; 8/13; 8/13; 8/13; 8/13; 13/20; 8/13; 8/13; 13/20; 4/6; 8/13; 5/8; 8/13; 4/7; 8/13; 33/50; 4/7; 5/8; 8/13; ; 8/13; ; 4/7
Draw; 11/4; 14/5; 14/5; 3; 11/4; 14/5; 3; 29/10; 3; 14/5; 27/10; 3; 57/20; 29/10; 3; 3; 3; 3; 3; 3; 3; 61/20; 14/5; 3; 14/5; ; 14/5; ; 3
Hull; 9/2; 4; 17/4; 4; 9/2; 5; 19/4; 9/2; 17/4; 9/2; 4; 4; 9/2; 9/2; 17/4; 9/2; 79/17; 19/4; 4; 23/5; 79/17; 5; 22/5; 19/4; 17/4; ; 7/2; ; 24/5
META; english/premier-league/west-ham-v-hull; 2016-12-15 00:16:35 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; 8/13; 4/6; 13/20; 8/13; 4/7; 8/13; 13/20; 8/13; 8/13; 8/13; 6/10; 13/20; 8/13; 8/13; 13/20; 4/6; 8/13; 5/8; 8/13; 4/7; 8/13; 33/50; ; 5/8; 8/13; ; 4/7; 4/7; 4/7
Draw; 11/4; 14/5; 29/10; 14/5; 11/4; 14/5; 3; 3; 3; 14/5; 27/10; 3; 57/20; 29/10; 3; 3; 3; 3; 3; 3; 3; 61/20; ; 3; 14/5; ; 14/5; 14/5; 3
Hull; 9/2; 4; 9/2; 9/2; 9/2; 5; 19/4; 9/2; 17/4; 17/4; 21/5; 4; 9/2; 9/2; 17/4; 9/2; 79/17; 19/4; 4; 23/5; 79/17; 5; ; 19/4; 17/4; ; 21/5; 23/5; 24/5
META; english/premier-league/west-ham-v-hull; 2016-12-15 04:16:15 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; 8/13; 4/6; 13/20; 8/13; 4/7; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 13/20; 8/13; 8/13; 13/20; 4/6; 8/13; 5/8; 8/13; 4/7; 8/13; 33/50; 4/7; 5/8; 8/13; ; 4/7; 4/7; 8/13
Draw; 11/4; 14/5; 14/5; 14/5; 11/4; 14/5; 3; 3; 3; 14/5; 27/10; 3; 57/20; 27/10; 14/5; 3; 3; 16/5; 3; 3; 3; 61/20; 14/5; 16/5; 11/4; ; 14/5; 3; 3
Hull; 9/2; 4; 9/2; 9/2; 9/2; 5; 5; 9/2; 17/4; 9/2; 21/5; 4; 9/2; 24/5; 9/2; 9/2; 79/17; 24/5; 4; 24/5; 79/17; 5; 22/5; 24/5; 9/2; ; 23/5; 24/5; 24/5
META; english/premier-league/west-ham-v-hull; 2016-12-15 08:16:16 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; 8/13; 4/6; 8/13; 8/13; 4/7; 8/13; 8/13; 8/13; 8/13; 8/13; 6/10; 13/20; 3/5; 8/13; 13/20; 4/6; 10/17; 5/8; 8/13; 4/7; 10/17; 33/50; 4/7; 5/8; 6/10; ; 4/7; 4/7; 8/13
Draw; 11/4; 14/5; 29/10; 14/5; 11/4; 14/5; 3; 3; 3; 14/5; 27/10; 3; 29/10; 27/10; 14/5; 3; 58/19; 16/5; 3; 3; 58/19; 61/20; 14/5; 16/5; 11/4; ; 14/5; 14/5; 3
Hull; 9/2; 4; 9/2; 9/2; 9/2; 5; 5; 9/2; 9/2; 9/2; 17/4; 4; 9/2; 5; 9/2; 9/2; 94/19; 24/5; 4; 24/5; 94/19; 5; 23/5; 24/5; 9/2; ; 23/5; 24/5; 5
META; english/premier-league/west-ham-v-hull; 2016-12-15 12:24:06 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; 8/13; 8/13; 13/20; 8/13; 4/7; 8/13; 13/20; 8/13; 8/13; 8/13; 8/13; 13/20; 3/5; 8/13; 13/20; 4/6; 8/13; 8/13; 8/13; 4/7; 8/13; 13/20; 4/7; 8/13; 8/13; ; 4/7; 4/7; 8/13
Draw; 11/4; 29/10; 29/10; 14/5; 11/4; 14/5; 3; 3; 3; 14/5; 27/10; 3; 29/10; 27/10; 14/5; 3; 3; 41/13; 3; 3; 3; 63/20; 14/5; 41/13; 11/4; ; 14/5; 3; 3
Hull; 9/2; 17/4; 9/2; 9/2; 9/2; 5; 19/4; 9/2; 9/2; 9/2; 21/5; 4; 9/2; 24/5; 9/2; 9/2; 19/4; 5; 4; 5; 19/4; 49/10; 23/5; 5; 9/2; ; 23/5; 24/5; 24/5
META; english/premier-league/west-ham-v-hull; 2016-12-15 16:16:20 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; 8/13; 8/13; 13/20; 8/13; 8/13; 8/13; 13/20; 8/13; 8/13; 8/13; 8/13; 8/13; 13/20; 13/20; 13/20; 4/6; 8/13; 7/11; 8/13; 4/7; 8/13; 13/20; 4/7; 7/11; 8/13; ; 4/7; 4/7; 8/13
Draw; 11/4; 29/10; 29/10; 14/5; 3; 14/5; 3; 3; 3; 3; 27/10; 16/5; 29/10; 11/4; 14/5; 3; 3; 31/10; 3; 3; 3; 63/20; 14/5; 31/10; 11/4; ; 14/5; 14/5; 3
Hull; 9/2; 17/4; 9/2; 9/2; 5; 5; 19/4; 9/2; 9/2; 5; 21/5; 9/2; 9/2; 5; 9/2; 9/2; 19/4; 63/13; 4; 24/5; 19/4; 49/10; 24/5; 63/13; 9/2; ; 24/5; 24/5; 5
META; english/premier-league/west-ham-v-hull; 2016-12-15 20:16:26 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 6/10; 8/13; 13/20; 13/20; 13/20; 8/13; 8/13; 5/8; 8/13; 4/7; 8/13; 13/20; 4/7; 5/8; 8/13; ; 4/7; 4/7; 8/13
Draw; 11/4; 29/10; 29/10; 14/5; 3; 14/5; 31/10; 3; 3; 3; 27/10; 16/5; 29/10; 14/5; 14/5; 3; 3; 41/13; 3; 3; 3; 63/20; 14/5; 41/13; 11/4; ; 14/5; 14/5; 3
Hull; 9/2; 9/2; 9/2; 9/2; 5; 5; 5; 9/2; 9/2; 5; 17/4; 9/2; 9/2; 11/2; 9/2; 5; 79/17; 63/13; 4; 24/5; 79/17; 49/10; 24/5; 63/13; 9/2; ; 24/5; 24/5; 5
META; english/premier-league/west-ham-v-hull; 2016-12-16 00:16:14 GMT+2; 2016-12-17 15:00; e70300-dr003
West Ham; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 8/13; 6/10; 8/13; 13/20; 13/20; 13/20; 8/13; 8/13; 5/8; 8/13; 4/7; 8/13; 13/20; 4/7; 5/8; 8/13; ; 4/7; 4/7; 4/7
Draw; 11/4; 29/10; 29/10; 14/5; 3; 14/5; 31/10; 3; 3; 3; 27/10; 16/5; 29/10; 14/5; 14/5; 3; 3; 41/13; 3; 3; 3; 63/20; 14/5; 41/13; 11/4; ; 14/5; 14/5; 3
