META; english/premier-league/west-ham-v-stoke; 2016-10-22 20:17:54 GMT+3; 2016-11-05 15:00; e70300-dr003
Stoke; 14/5; ; 27/10; 13/5; 12/5; 14/5; 29/10; 23/10; 13/5; 11/4; 5/2; ; 27/10; 13/5; 11/4; ; ; ; 5/2; ; ; ; ; 14/5; 13/5; ; 13/5; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-29 08:17:33 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 19/20; ; 1; 1; 23/20; 1; 1; 11/10; 21/20; 20/21; 19/20; ; 19/20; 1; 1; ; ; ; 21/20; ; ; ; ; 19/20; 1; ; 1; ; 
Draw; 5/2; ; 5/2; 12/5; 12/5; 13/5; 27/10; 5/2; 13/5; 5/2; 12/5; ; 51/20; 13/5; 5/2; ; ; ; 40/17; ; ; ; ; 5/2; 5/2; ; 5/2; ; 
Stoke; 14/5; ; 27/10; 13/5; 12/5; 14/5; 29/10; 23/10; 13/5; 11/4; 5/2; ; 11/4; 13/5; 11/4; ; ; ; 5/2; ; ; ; ; 14/5; 13/5; ; 5/2; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-29 12:17:40 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 19/20; ; 1; 1; 23/20; 1; 1; 11/10; 21/20; 20/21; 19/20; ; 19/20; 1; 1; ; ; ; 21/20; ; ; ; ; 19/20; 1; ; 1; ; 
Draw; 5/2; ; 5/2; 23/10; 12/5; 13/5; 27/10; 5/2; 13/5; 5/2; 12/5; ; 51/20; 13/5; 5/2; ; ; ; 40/17; ; ; ; ; 5/2; 5/2; ; 5/2; ; 
Stoke; 14/5; ; 27/10; 14/5; 12/5; 11/4; 29/10; 23/10; 13/5; 11/4; 5/2; ; 11/4; 13/5; 11/4; ; ; ; 5/2; ; ; ; ; 14/5; 13/5; ; 5/2; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-29 16:17:47 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 19/20; ; 1; 1; 23/20; 1; 1; 11/10; 21/20; 20/21; 19/20; ; 19/20; 1; 1; ; ; ; 21/20; ; ; ; ; 19/20; 1; ; 1; ; 
Draw; 5/2; ; 5/2; 23/10; 12/5; 13/5; 27/10; 5/2; 13/5; 5/2; 12/5; ; 13/5; 13/5; 5/2; ; ; ; 40/17; ; ; ; ; 5/2; 5/2; ; 5/2; ; 
Stoke; 14/5; ; 27/10; 14/5; 12/5; 11/4; 29/10; 23/10; 13/5; 11/4; 5/2; ; 27/10; 13/5; 11/4; ; ; ; 5/2; ; ; ; ; 14/5; 13/5; ; 5/2; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-29 20:17:19 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 19/20; ; 1; 1; 23/20; 21/20; 1; 11/10; 21/20; 20/21; 19/20; ; ; 1; 1; ; ; ; 21/20; ; ; ; ; 19/20; 1; ; 1; ; 
Draw; 5/2; ; 5/2; 23/10; 12/5; 13/5; 27/10; 5/2; 13/5; 5/2; 12/5; ; ; 13/5; 5/2; ; ; ; 40/17; ; ; ; ; 5/2; 5/2; ; 5/2; ; 
Stoke; 14/5; ; 27/10; 14/5; 12/5; 14/5; 29/10; 23/10; 13/5; 11/4; 5/2; ; ; 13/5; 11/4; ; ; ; 5/2; ; ; ; ; 14/5; 13/5; ; 13/5; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-30 00:17:16 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 19/20; 10/11; 1; 21/20; 23/20; 11/10; 21/20; 11/10; 21/20; 21/20; 19/20; ; 1; 1; 1; ; ; ; 21/20; ; ; ; ; 19/20; 1; ; 1; ; 
Draw; 5/2; 13/5; 5/2; 12/5; 12/5; 5/2; 13/5; 5/2; 13/5; 12/5; 12/5; ; 51/20; 13/5; 5/2; ; ; ; 40/17; ; ; ; ; 5/2; 5/2; ; 12/5; ; 
Stoke; 14/5; 11/4; 27/10; 13/5; 12/5; 27/10; 14/5; 23/10; 13/5; 5/2; 5/2; ; 13/5; 13/5; 11/4; ; ; ; 5/2; ; ; ; ; 14/5; 5/2; ; 13/5; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-30 04:18:04 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 19/20; 10/11; 1; 1; 23/20; 21/20; 21/20; 11/10; 21/20; 1; 1; ; 19/20; 1; 1; ; ; ; 21/20; ; ; ; ; 19/20; 1; ; 1; ; 
Draw; 5/2; 13/5; 5/2; 12/5; 12/5; 13/5; 13/5; 5/2; 13/5; 5/2; 12/5; ; 51/20; 13/5; 5/2; ; ; ; 40/17; ; ; ; ; 5/2; 5/2; ; 12/5; ; 
Stoke; 14/5; 11/4; 27/10; 13/5; 12/5; 11/4; 14/5; 23/10; 13/5; 13/5; 11/4; ; 27/10; 13/5; 11/4; ; ; ; 5/2; ; ; ; ; 14/5; 5/2; ; 13/5; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-30 08:17:30 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 19/20; 10/11; 1; 1; 23/20; 21/20; 21/20; 11/10; 21/20; 1; 1; ; 19/20; 1; 1; ; ; ; 21/20; ; ; ; ; 19/20; 1; ; 1; ; 
Draw; 5/2; 13/5; 5/2; 12/5; 12/5; 13/5; 13/5; 5/2; 13/5; 5/2; 12/5; ; 51/20; 13/5; 5/2; ; ; ; 40/17; ; ; ; ; 5/2; 5/2; ; 12/5; ; 
Stoke; 14/5; 11/4; 27/10; 13/5; 12/5; 11/4; 14/5; 23/10; 13/5; 13/5; 11/4; ; 27/10; 13/5; 11/4; ; ; ; 5/2; ; ; ; ; 14/5; 5/2; ; 13/5; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-30 12:17:48 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 19/20; 10/11; 1; 1; 23/20; 21/20; 21/20; 11/10; 21/20; 1; 1; 19/20; 19/20; 1; 1; ; ; ; 21/20; ; ; ; ; 19/20; 1; ; 1; ; 
Draw; 5/2; 13/5; 5/2; 12/5; 12/5; 13/5; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 51/20; 13/5; 5/2; ; ; ; 40/17; ; ; ; ; 5/2; 5/2; ; 12/5; ; 
Stoke; 14/5; 11/4; 27/10; 13/5; 12/5; 11/4; 14/5; 23/10; 13/5; 13/5; 11/4; 11/4; 27/10; 13/5; 11/4; ; ; ; 5/2; ; ; ; ; 14/5; 5/2; ; 13/5; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-30 16:17:36 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 19/20; 21/20; 1; 21/20; 23/20; 21/20; 21/20; 11/10; 21/20; 1; 1; 19/20; 1; 1; 1; ; ; ; 21/20; ; ; ; ; 19/20; 1; ; 1; ; 
Draw; 5/2; 5/2; 5/2; 12/5; 12/5; 13/5; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 51/20; 13/5; 5/2; ; ; ; 40/17; ; ; ; ; 5/2; 5/2; ; 5/2; ; 
Stoke; 14/5; 5/2; 27/10; 13/5; 12/5; 11/4; 14/5; 23/10; 13/5; 13/5; 11/4; 11/4; 53/20; 13/5; 11/4; ; ; ; 5/2; ; ; ; ; 14/5; 5/2; ; 13/5; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-30 20:17:50 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 21/20; 6/5; 11/10; 23/20; 23/20; 23/20; 11/10; 11/10; 11/10; 1; 19/20; 11/10; 23/20; 11/10; ; ; ; 21/20; ; ; ; ; 11/10; 23/20; ; 10/9; ; 
Draw; 12/5; 5/2; 49/20; 23/10; 12/5; 5/2; 13/5; 5/2; 5/2; 12/5; 12/5; 13/5; 5/2; 5/2; 12/5; ; ; ; 40/17; ; ; ; ; 5/2; 12/5; ; 12/5; ; 
Stoke; 5/2; 5/2; 23/10; 12/5; 12/5; 12/5; 5/2; 23/10; 12/5; 23/10; 11/4; 11/4; 47/20; 9/4; 13/5; ; ; ; 5/2; ; ; ; ; 12/5; 9/4; ; 12/5; ; 
META; english/premier-league/west-ham-v-stoke; 2016-10-31 00:17:31 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 21/20; 11/10; 21/20; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 1; 19/20; 21/20; 11/10; 11/10; ; ; ; 11/10; ; ; ; ; 21/20; 21/20; ; 21/20; 21/20; 
Draw; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 5/2; 12/5; 12/5; ; ; ; 23/10; ; ; ; ; 5/2; 12/5; ; 12/5; 12/5; 
Stoke; 5/2; 5/2; 49/20; 13/5; 12/5; 13/5; 13/5; 23/10; 5/2; 5/2; 11/4; 11/4; 5/2; 5/2; 13/5; ; ; ; 12/5; ; ; ; ; 5/2; 5/2; ; 5/2; 5/2; 
META; english/premier-league/west-ham-v-stoke; 2016-10-31 04:17:12 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 21/20; 11/10; 21/20; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 1; 19/20; 21/20; 11/10; 11/10; ; ; ; 11/10; ; ; ; ; 21/20; 21/20; ; 21/20; 21/20; 
Draw; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 51/20; 12/5; 12/5; ; ; ; 23/10; ; ; ; ; 5/2; 12/5; ; 12/5; 12/5; 
Stoke; 5/2; 5/2; 49/20; 12/5; 12/5; 13/5; 13/5; 23/10; 5/2; 5/2; 11/4; 11/4; 5/2; 5/2; 13/5; ; ; ; 12/5; ; ; ; ; 5/2; 12/5; ; 13/5; 5/2; 
META; english/premier-league/west-ham-v-stoke; 2016-10-31 08:17:10 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 21/20; 11/10; 21/20; 23/20; 11/10; 11/10; 11/10; 11/10; 21/20; 1; 19/20; 21/20; 11/10; 11/10; ; ; ; 11/10; ; ; ; ; 21/20; 21/20; ; 21/20; 21/20; 
Draw; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 51/20; 12/5; 12/5; ; ; ; 23/10; ; ; ; ; 5/2; 12/5; ; 12/5; 12/5; 
Stoke; 5/2; 5/2; 49/20; 12/5; 12/5; 13/5; 13/5; 23/10; 5/2; 5/2; 11/4; 11/4; 5/2; 5/2; 13/5; ; ; ; 12/5; ; ; ; ; 5/2; 12/5; ; 13/5; 5/2; 
META; english/premier-league/west-ham-v-stoke; 2016-10-31 12:17:20 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 21/20; 11/10; 21/20; 23/20; ; 11/10; 11/10; 11/10; 21/20; 1; 19/20; 21/20; 21/20; 11/10; ; ; ; 11/10; ; ; ; ; 21/20; 21/20; ; 21/20; 21/20; 
Draw; 12/5; 5/2; 5/2; 5/2; 12/5; ; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 51/20; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 5/2; 12/5; ; 12/5; 12/5; 
Stoke; 5/2; 5/2; 5/2; 5/2; 12/5; ; 13/5; 23/10; 5/2; 5/2; 11/4; 11/4; 5/2; 5/2; 13/5; ; ; ; 12/5; ; ; ; ; 5/2; 5/2; ; 13/5; 5/2; 
META; english/premier-league/west-ham-v-stoke; 2016-10-31 16:17:26 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 21/20; 11/10; 21/20; 21/20; ; 11/10; 11/10; 11/10; 21/20; 1; 19/20; 21/20; 21/20; 11/10; ; ; ; 11/10; ; ; ; ; 21/20; 21/20; ; 21/20; 21/20; 
Draw; 12/5; 5/2; 5/2; 5/2; 12/5; ; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 51/20; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 5/2; 5/2; ; 12/5; 5/2; 
Stoke; 5/2; 5/2; 5/2; 5/2; 5/2; ; 13/5; 23/10; 5/2; 5/2; 11/4; 11/4; 5/2; 5/2; 13/5; ; ; ; 12/5; ; ; ; ; 5/2; 13/5; ; 13/5; 13/5; 
META; english/premier-league/west-ham-v-stoke; 2016-10-31 20:17:38 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 21/20; 11/10; 21/20; 21/20; ; 11/10; 11/10; 11/10; 21/20; 1; 19/20; 21/20; 21/20; 11/10; ; ; ; 11/10; ; ; ; ; 21/20; 11/10; ; 21/20; 21/20; 
Draw; 12/5; 5/2; 5/2; 23/10; 12/5; ; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 5/2; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 28/11; 5/2; ; 12/5; 5/2; 
Stoke; 5/2; 5/2; 49/20; 13/5; 5/2; ; 13/5; 23/10; 5/2; 5/2; 11/4; 11/4; 5/2; 5/2; 13/5; ; ; ; 12/5; ; ; ; ; 28/11; 5/2; ; 13/5; 13/5; 
META; english/premier-league/west-ham-v-stoke; 2016-11-01 00:17:24 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 21/20; 11/10; 21/20; 21/20; ; 11/10; 11/10; 11/10; 21/20; 1; 19/20; 21/20; 21/20; 11/10; ; ; ; 11/10; ; ; ; ; 21/20; 11/10; ; 1; 21/20; 
Draw; 12/5; 5/2; 5/2; 23/10; 12/5; ; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 51/20; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 28/11; 5/2; ; 12/5; 5/2; 
Stoke; 5/2; 5/2; 49/20; 13/5; 5/2; ; 27/10; 23/10; 5/2; 5/2; 11/4; 11/4; 5/2; 5/2; 13/5; ; ; ; 12/5; ; ; ; ; 28/11; 5/2; ; 5/2; 13/5; 
META; english/premier-league/west-ham-v-stoke; 2016-11-01 04:17:14 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 21/20; 21/20; 21/20; 21/20; ; 21/20; 11/10; 11/10; 21/20; 1; 19/20; 21/20; 21/20; 11/10; ; ; ; 11/10; ; ; ; ; 21/20; 11/10; ; 1; 21/20; 
Draw; 12/5; 5/2; 5/2; 23/10; 12/5; ; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 51/20; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 28/11; 5/2; ; 5/2; 5/2; 
Stoke; 5/2; 5/2; 5/2; 13/5; 5/2; ; 11/4; 23/10; 5/2; 5/2; 11/4; 11/4; 5/2; 5/2; 13/5; ; ; ; 12/5; ; ; ; ; 28/11; 5/2; ; 13/5; 13/5; 
META; english/premier-league/west-ham-v-stoke; 2016-11-01 08:17:24 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 21/20; 21/20; 21/20; 21/20; ; 21/20; 11/10; 11/10; 21/20; 1; 19/20; 21/20; 21/20; 11/10; ; ; ; 11/10; ; ; ; ; 21/20; 11/10; ; 1; 21/20; 
Draw; 12/5; 5/2; 5/2; 23/10; 12/5; ; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 51/20; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 28/11; 5/2; ; 5/2; 5/2; 
Stoke; 5/2; 5/2; 5/2; 13/5; 5/2; ; 11/4; 23/10; 5/2; 5/2; 11/4; 11/4; 5/2; 5/2; 13/5; ; ; ; 12/5; ; ; ; ; 28/11; 5/2; ; 13/5; 13/5; 
META; english/premier-league/west-ham-v-stoke; 2016-11-01 12:17:28 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 21/20; 21/20; 21/20; 21/20; ; 21/20; 11/10; 11/10; 21/20; 1; 19/20; 21/20; 21/20; 11/10; ; ; ; 11/10; ; ; ; ; 21/20; 11/10; ; 21/20; 21/20; 
Draw; 12/5; 5/2; 5/2; 23/10; 12/5; ; 13/5; 5/2; 13/5; 5/2; 12/5; 13/5; 51/20; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 28/11; 5/2; ; 5/2; 5/2; 
Stoke; 5/2; 5/2; 5/2; 13/5; 5/2; ; 11/4; 23/10; 5/2; 5/2; 11/4; 11/4; 5/2; 5/2; 13/5; ; ; ; 12/5; ; ; ; ; 28/11; 5/2; ; 13/5; 13/5; 
META; english/premier-league/west-ham-v-stoke; 2016-11-01 16:18:09 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 21/20; 21/20; 21/20; 21/20; ; 21/20; 11/10; 11/10; 21/20; 1; 19/20; 1; 21/20; 11/10; ; ; ; 11/10; ; ; ; ; 21/20; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 5/2; 5/2; 23/10; 12/5; ; 27/10; 5/2; 13/5; 12/5; 12/5; 13/5; 51/20; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 28/11; 5/2; ; 12/5; 5/2; 5/2
Stoke; 5/2; 5/2; 5/2; 13/5; 5/2; ; 27/10; 23/10; 5/2; 13/5; 11/4; 11/4; 51/20; 5/2; 13/5; ; ; ; 12/5; ; ; ; ; 28/11; 5/2; ; 11/4; 11/4; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-01 20:17:30 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 21/20; 21/20; 21/20; 21/20; ; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; ; ; ; 11/10; ; ; ; ; 21/20; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 5/2; 5/2; 23/10; 12/5; ; 27/10; 5/2; 13/5; 12/5; 5/2; 13/5; 51/20; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 28/11; 5/2; ; 12/5; 5/2; 5/2
Stoke; 5/2; 5/2; 5/2; 13/5; 5/2; ; 27/10; 23/10; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; ; ; ; 12/5; ; ; ; ; 28/11; 5/2; ; 11/4; 11/4; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-02 00:17:56 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 21/20; 21/20; 21/20; 21/20; ; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 11/10; ; ; ; 11/10; ; ; ; ; 21/20; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 5/2; 5/2; 23/10; 12/5; ; 27/10; 5/2; 13/5; 5/2; 5/2; 13/5; 51/20; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 28/11; 5/2; ; 12/5; 5/2; 5/2
Stoke; 5/2; 5/2; 5/2; 13/5; 5/2; ; 27/10; 23/10; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 13/5; ; ; ; 12/5; ; ; ; ; 28/11; 5/2; ; 11/4; 11/4; 11/4
META; english/premier-league/west-ham-v-stoke; 2016-11-02 04:17:12 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 1; 21/20; 11/10; ; ; ; 11/10; ; ; ; ; 21/20; 11/10; ; 21/20; 21/20; 11/10
Draw; 12/5; 5/2; 5/2; 23/10; 12/5; 5/2; 27/10; 5/2; 13/5; 12/5; 5/2; 13/5; 13/5; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 28/11; 5/2; ; 12/5; 5/2; 5/2
Stoke; 5/2; 5/2; 5/2; 13/5; 5/2; 14/5; 27/10; 23/10; 5/2; 13/5; 5/2; 12/5; 51/20; 5/2; 13/5; ; ; ; 12/5; ; ; ; ; 28/11; 5/2; ; 27/10; 11/4; 11/4
META; english/premier-league/west-ham-v-stoke; 2016-11-02 08:17:08 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; 1; 21/20; 11/10; ; ; ; 11/10; ; ; ; ; 21/20; 11/10; ; 21/20; 21/20; 11/10
Draw; 12/5; 5/2; 5/2; 23/10; 12/5; 5/2; 27/10; 5/2; 13/5; 12/5; 5/2; 13/5; 13/5; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 28/11; 5/2; ; 12/5; 5/2; 5/2
Stoke; 5/2; 5/2; 5/2; 13/5; 5/2; 14/5; 27/10; 23/10; 5/2; 13/5; 5/2; 12/5; 51/20; 5/2; 13/5; ; ; ; 12/5; ; ; ; ; 28/11; 5/2; ; 27/10; 11/4; 11/4
META; english/premier-league/west-ham-v-stoke; 2016-11-02 12:17:29 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 21/20; 11/10; 11/10; 21/20; 21/20; 21/20; ; 21/20; 11/10; ; ; ; 11/10; ; ; ; ; 13/12; 11/10; ; 21/20; 21/20; 11/10
Draw; 12/5; 5/2; 5/2; 23/10; 12/5; 5/2; 27/10; 5/2; 13/5; 12/5; 5/2; 13/5; ; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 28/11; 5/2; ; 12/5; 5/2; 5/2
Stoke; 5/2; 5/2; 5/2; 13/5; 5/2; 14/5; 27/10; 23/10; 5/2; 13/5; 5/2; 12/5; ; 5/2; 13/5; ; ; ; 12/5; ; ; ; ; 13/5; 5/2; ; 11/4; 11/4; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-02 16:17:38 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 21/20; 21/20; 21/20; 21/20; 1; 11/10; 11/10; 11/10; 21/20; 11/10; 21/20; ; 21/20; 11/10; ; ; ; 11/10; ; ; ; ; 13/12; 11/10; ; 21/20; 21/20; 10/9
Draw; 12/5; 5/2; 5/2; 23/10; 12/5; 5/2; 5/2; 5/2; 13/5; 12/5; 12/5; 13/5; 51/20; 5/2; 12/5; ; ; ; 23/10; ; ; ; ; 28/11; 5/2; ; 12/5; 5/2; 5/2
Stoke; 5/2; 5/2; 5/2; 13/5; 5/2; 14/5; 11/4; 23/10; 5/2; 13/5; 12/5; 12/5; ; 5/2; 13/5; ; ; ; 12/5; ; ; ; ; 13/5; 5/2; ; 11/4; 11/4; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-02 20:17:46 GMT+3; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 21/20; 1; 20/21; 21/20; 1; 21/20; 11/10; 21/20; 20/21; 21/20; 21/20; ; 1; 1; ; ; ; 11/10; ; ; ; ; 21/20; 21/20; ; 1; 21/20; 10/9
Draw; 12/5; 5/2; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 13/5; 12/5; 5/2; 13/5; ; 5/2; 5/2; ; ; ; 23/10; ; ; ; ; 5/2; 5/2; ; 12/5; 5/2; 5/2
Stoke; 5/2; 5/2; 13/5; 12/5; 5/2; 14/5; 29/10; 23/10; 11/4; 14/5; 5/2; 12/5; ; 13/5; 14/5; ; ; ; 12/5; ; ; ; ; 3; 11/4; ; 14/5; 11/4; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-03 00:16:49 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 21/20; 1; 1; 20/21; 21/20; 1; 21/20; 11/10; 21/20; 20/21; 21/20; 21/20; 1; 1; 1; ; ; ; 11/10; ; ; ; ; 21/20; 21/20; ; 1; 21/20; 10/9
Draw; 12/5; 13/5; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 13/5; 12/5; 12/5; 13/5; 5/2; 5/2; 5/2; ; ; ; 23/10; ; ; ; ; 5/2; 5/2; ; 12/5; 5/2; 5/2
Stoke; 5/2; 13/5; 13/5; 12/5; 5/2; 14/5; 29/10; 23/10; 11/4; 14/5; 13/5; 12/5; 27/10; 13/5; 14/5; ; ; ; 12/5; ; ; ; ; 3; 11/4; ; 14/5; 11/4; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-03 04:17:26 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 1; 1; 20/21; 21/20; 1; 21/20; 11/10; 21/20; 20/21; 21/20; 21/20; 19/20; 1; 1; ; ; ; 1; ; ; ; ; 21/20; 1; ; 1; 21/20; 10/9
Draw; 12/5; 13/5; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 13/5; 12/5; 23/10; 13/5; 5/2; 5/2; 5/2; ; ; ; 12/5; ; ; ; ; 5/2; 5/2; ; 12/5; 5/2; 5/2
Stoke; 11/4; 13/5; 13/5; 12/5; 5/2; 14/5; 29/10; 23/10; 11/4; 14/5; 27/10; 12/5; 11/4; 13/5; 14/5; ; ; ; 13/5; ; ; ; ; 3; 11/4; ; 14/5; 11/4; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-03 08:16:36 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 1; 1; 20/21; 21/20; 1; 21/20; 11/10; 21/20; 20/21; 21/20; 21/20; 19/20; 1; 1; ; ; ; 1; ; ; ; ; 21/20; 1; ; 1; 21/20; 10/9
Draw; 12/5; 13/5; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 13/5; 12/5; 23/10; 13/5; 5/2; 5/2; 5/2; ; ; ; 12/5; ; ; ; ; 5/2; 5/2; ; 12/5; 5/2; 5/2
Stoke; 11/4; 13/5; 13/5; 12/5; 5/2; 14/5; 29/10; 23/10; 11/4; 14/5; 27/10; 12/5; 11/4; 13/5; 14/5; ; ; ; 13/5; ; ; ; ; 3; 11/4; ; 14/5; 11/4; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-03 12:16:59 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 1; 1; 20/21; 11/10; 1; 21/20; 11/10; 21/20; 20/21; 11/10; 21/20; 19/20; 1; 1; ; ; ; 1; ; ; ; ; 21/20; 1; ; 1; 21/20; 21/20
Draw; 12/5; 13/5; 13/5; 12/5; 5/2; 5/2; 5/2; 13/5; 13/5; 12/5; 9/4; 13/5; 5/2; 5/2; 5/2; ; ; ; 12/5; ; ; ; ; 5/2; 5/2; ; 12/5; 5/2; 5/2
Stoke; 11/4; 13/5; 13/5; 12/5; 11/4; 14/5; 29/10; 12/5; 11/4; 14/5; 13/5; 12/5; 11/4; 13/5; 14/5; ; ; ; 13/5; ; ; ; ; 3; 11/4; ; 14/5; 11/4; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-03 16:16:56 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 1; 21/20; 1; 20/21; 11/10; 1; 21/20; 11/10; 21/20; 1; 11/10; 21/20; 19/20; 1; 1; ; ; ; 1; ; ; ; ; 21/20; 21/20; ; 1; 21/20; 21/20
Draw; 12/5; 5/2; 13/5; 12/5; 5/2; 5/2; 5/2; 13/5; 13/5; 23/10; 9/4; 13/5; 5/2; 12/5; 5/2; ; ; ; 12/5; ; ; ; ; 5/2; 12/5; ; 12/5; 5/2; 5/2
Stoke; 11/4; 13/5; 13/5; 13/5; 11/4; 14/5; 29/10; 12/5; 11/4; 14/5; 13/5; 12/5; 11/4; 27/10; 14/5; ; ; ; 13/5; ; ; ; ; 3; 14/5; ; 14/5; 11/4; 14/5
META; english/premier-league/west-ham-v-stoke; 2016-11-03 20:17:25 GMT+2; 2016-11-05 15:00; e70300-dr003
West Ham; 10/11; 19/20; 1; 1; 21/20; 1; 1; 21/20; 1; 20/21; 21/20; 21/20; 19/20; 1; 1; ; ; ; 1; ; ; ; ; 21/20; 19/20; ; 20/21; 21/20; 1
