West Ham; ; ; 9/4; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 2; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 9/4; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-25 12:16:40 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 23/20; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 9/4; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 2; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 9/4; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-25 16:16:34 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; ; ; 23/20; ; ; ; ; 13/10; 13/10; ; ; ; ; ; ; 11/8; ; 5/4; ; ; 7/5; ; ; ; ; ; ; 
West Ham; ; ; 9/4; ; ; ; ; 19/10; 2; ; ; ; ; ; ; 2; ; 21/10; ; ; 11/5; ; ; ; ; ; ; 
Draw; ; ; 9/4; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; 12/5; ; 23/10; ; ; 5/2; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-25 20:16:22 GMT+2; 2017-03-11 15:00; e70300-dr003
Bournemouth; 11/8; ; 23/20; ; ; ; ; 13/10; 8/5; 7/5; ; ; 11/8; ; ; 17/11; 5/4; 5/4; ; 16/11; 79/50; ; ; ; ; ; ; 
West Ham; 15/8; ; 9/4; ; ; ; ; 19/10; 7/4; 9/5; ; ; 19/10; ; ; 15/8; 21/10; 21/10; ; 7/4; 39/20; ; ; ; ; ; ; 
Draw; 12/5; ; 9/4; ; ; ; ; 23/10; 5/2; 5/2; ; ; 12/5; ; ; 5/2; 23/10; 23/10; ; 40/17; 49/20; ; ; ; ; ; ; 
META; english/premier-league/bournemouth-v-west-ham; 2017-02-26 00:16:16 GMT+2; 2017-03-11 15:00; e70300-dr003
