Burnley; 12/5; 13/5; 5/2; 13/5; 13/5; 13/5; 5/2; ; 13/5; 13/5; ; 5/2; 51/20; 12/5; 11/4; 13/5; 28/11; 11/4; 23/10; 11/4; 28/11; 14/5; 13/5; 11/4; 12/5; ; 11/5; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-03 20:16:17 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 21/20; 6/5; 23/20; 6/5; 23/20; 6/5; ; 11/10; 23/20; ; 23/20; 11/10; 23/20; 11/10; 6/5; 15/13; 21/20; 11/10; 21/20; 15/13; 6/5; 11/10; 21/20; 23/20; ; 6/5; ; 
Draw; 12/5; 23/10; 11/5; 11/5; 5/2; 12/5; 23/10; ; 23/10; 9/4; ; 11/5; 23/10; 13/5; 9/4; 12/5; 9/4; 23/10; 12/5; 23/10; 9/4; 12/5; 23/10; 23/10; 23/10; ; 23/10; ; 
Burnley; 12/5; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; ; 13/5; 5/2; ; 5/2; 51/20; 12/5; 11/4; 13/5; 27/11; 11/4; 23/10; 11/4; 27/11; 11/4; 13/5; 11/4; 23/10; ; 9/4; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-04 00:16:04 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 11/10; 6/5; 23/20; 6/5; 23/20; 6/5; ; 11/10; 23/20; ; 23/20; 11/10; 6/5; 11/10; 6/5; 15/13; 21/20; 11/10; 21/20; 15/13; 61/50; 10/9; 21/20; 23/20; ; 23/20; ; 
Draw; 12/5; 9/4; 11/5; 11/5; 12/5; 12/5; 23/10; ; 23/10; 9/4; ; 11/5; 23/10; 12/5; 9/4; 12/5; 9/4; 23/10; 12/5; 23/10; 9/4; 12/5; 23/10; 23/10; 9/4; ; 23/10; ; 
Burnley; 12/5; 5/2; 5/2; 13/5; 13/5; 5/2; 5/2; ; 13/5; 5/2; ; 5/2; 51/20; 12/5; 11/4; 13/5; 27/11; 11/4; 23/10; 11/4; 27/11; 27/10; 13/5; 11/4; 12/5; ; 11/5; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-04 04:16:10 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 11/10; 23/20; 23/20; 6/5; 23/20; 6/5; ; 11/10; 11/10; ; 23/20; 11/10; 23/20; 11/10; 6/5; 11/10; 19/17; 11/10; 10/9; 11/10; ; 10/9; 19/17; 23/20; ; 21/20; ; 
Draw; 12/5; 9/4; 11/5; 11/5; 12/5; 12/5; 23/10; ; 23/10; 9/4; ; 11/5; 9/4; 12/5; 9/4; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 23/10; 23/10; 23/10; ; 23/10; ; 
Burnley; 12/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; ; 13/5; 13/5; ; 5/2; 13/5; 5/2; 11/4; 13/5; 28/11; 28/11; 12/5; 5/2; 28/11; ; 13/5; 28/11; 12/5; ; 23/10; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-04 08:16:12 GMT+2; 2017-01-14 15:00; e70300-dr003
Southampton; 11/10; 11/10; 23/20; 23/20; 6/5; 23/20; 6/5; ; 11/10; 11/10; ; 23/20; 11/10; 23/20; 11/10; 6/5; 11/10; 19/17; 11/10; 10/9; 11/10; ; 10/9; 19/17; 23/20; ; 10/9; ; 
Draw; 12/5; 9/4; 11/5; 11/5; 12/5; 12/5; 23/10; ; 23/10; 9/4; ; 11/5; 9/4; 12/5; 9/4; 12/5; 9/4; 23/10; 23/10; 23/10; 9/4; ; 23/10; 23/10; 23/10; ; 23/10; ; 
Burnley; 12/5; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; ; 13/5; 13/5; ; 5/2; 13/5; 5/2; 11/4; 13/5; 28/11; 28/11; 12/5; 5/2; 28/11; ; 13/5; 28/11; 12/5; ; 5/2; ; 
META; english/premier-league/burnley-v-southampton; 2017-01-04 12:16:14 GMT+2; 2017-01-14 15:00; e70300-dr003
