Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; ; ; 6/5; 1; 11/10; 15/13; 11/10; 11/10; 13/11; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; ; ; 12/5; 11/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; ; ; 23/10; 11/5; 5/2; 12/5; 5/2; 40/17; 27/10; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-30 20:17:29 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; ; ; 6/5; 1; 11/10; 15/13; 11/10; 11/10; 13/11; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; ; ; 12/5; 11/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; ; ; 23/10; 11/5; 5/2; 12/5; 5/2; 40/17; 27/10; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-31 00:16:58 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; ; ; 6/5; 1; 11/10; 15/13; 11/10; 11/10; 13/11; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; ; ; 12/5; 11/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; ; ; 23/10; 11/5; 5/2; 12/5; 5/2; 40/17; 27/10; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-31 04:17:07 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; ; ; 6/5; 1; 11/10; 15/13; 11/10; 11/10; 13/11; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; ; ; 12/5; 11/5; 40/17; 11/5; 23/10; 12/5; 5/2; ; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; ; ; 23/10; 11/5; 5/2; 12/5; 5/2; 40/17; 27/10; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-31 08:17:01 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; ; ; 6/5; 1; 11/10; 15/13; 11/10; ; 13/11; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; ; ; 12/5; 11/5; 40/17; 11/5; 23/10; ; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; ; ; 23/10; 11/5; 5/2; 12/5; 5/2; ; 27/10; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-31 11:54:58 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; ; ; 6/5; 1; 11/10; 15/13; 11/10; ; 13/11; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; ; ; 12/5; 11/5; 40/17; 11/5; 23/10; ; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; ; ; 23/10; 11/5; 5/2; 12/5; 5/2; ; 27/10; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-31 16:17:09 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; ; ; 6/5; 1; 11/10; 15/13; 11/10; ; 6/5; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; ; ; 12/5; 11/5; 40/17; 11/5; 23/10; ; 5/2; ; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; ; ; 23/10; 11/5; 5/2; 12/5; 5/2; ; 45/17; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-08-31 20:17:23 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; ; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; ; ; 6/5; 1; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; ; ; 12/5; 11/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; ; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; ; ; 23/10; 11/5; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-01 00:17:00 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; ; ; 6/5; 1; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; ; ; 12/5; 11/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; ; ; 23/10; 11/5; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-01 04:16:59 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; ; ; 6/5; 1; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; ; ; 12/5; 11/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; ; ; 23/10; 11/5; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-01 08:16:59 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; ; ; 6/5; 1; 11/10; 15/13; 11/10; ; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; ; ; 12/5; 11/5; 40/17; 11/5; 23/10; ; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; ; ; 23/10; 11/5; 5/2; 12/5; 5/2; ; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-01 12:17:03 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; ; ; 6/5; 1; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; ; ; 12/5; 11/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; ; ; 23/10; 11/5; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-01 16:17:10 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; ; ; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; ; ; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; ; ; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-01 20:17:21 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; ; ; 6/5; 1; 11/10; 11/10; 15/13; 11/10; ; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; ; ; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; ; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; ; ; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; ; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-02 00:17:01 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; ; ; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; ; ; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; ; ; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-02 04:16:58 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; ; ; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; ; ; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; ; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; ; ; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-02 08:16:56 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; 11/10; ; 6/5; 1; ; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; ; 12/5; 11/5; ; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; ; 23/10; 11/5; ; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-02 12:17:03 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; 11/10; ; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; ; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; ; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-02 16:17:19 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; 11/10; ; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 13/11; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; ; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 33/13; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; ; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-02 20:17:09 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; ; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; 11/10; ; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 13/11; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; ; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; ; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 33/13; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; ; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; ; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-03 00:17:02 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 6/5; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; 11/10; ; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 13/11; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; ; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 33/13; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; ; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-03 04:17:06 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 6/5; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; 11/10; ; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 13/11; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 12/5; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; ; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 33/13; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; ; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-03 08:17:02 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 6/5; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; 11/10; ; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 13/11; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; ; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 33/13; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; ; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-03 12:17:19 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 6/5; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; 11/10; ; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; ; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; ; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-03 16:17:23 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 6/5; 23/20; 6/5; 21/20; 11/10; 11/10; 11/10; 23/20; ; 11/10; ; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; ; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; ; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-03 20:17:21 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 6/5; 23/20; 6/5; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; ; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; ; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; ; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-04 00:17:01 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 6/5; 23/20; 6/5; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; ; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; ; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; ; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; ; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; ; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-04 04:16:58 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 6/5; 23/20; 6/5; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; ; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; ; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; ; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-04 08:16:58 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 6/5; 23/20; 6/5; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; ; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; ; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; ; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; ; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; ; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; ; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-04 12:17:10 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 6/5; 23/20; 6/5; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; ; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; ; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; ; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-04 16:17:12 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 6/5; 23/20; 6/5; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; ; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; ; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; ; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-04 20:17:08 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 6/5; 23/20; 6/5; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; ; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; 4/5; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; ; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; 7/4; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; ; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; 17/10; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-05 00:17:01 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 6/5; ; 6/5; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 6/5; 1; 11/10; 11/10; 15/13; 11/10; 11/10; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; ; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; 12/5; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; ; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; 40/17; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-05 04:17:00 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 6/5; 23/20; 6/5; 21/20; 11/10; 11/10; 23/20; 23/20; ; 11/10; 23/20; 6/5; 1; 11/10; 11/10; 15/13; 11/10; ; 6/5; 15/13; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; 40/17; 12/5; 23/10; ; 49/20; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; 23/10; ; 5/2; 5/2; ; ; ; ; 
Liverpool; 12/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 11/5; ; 12/5; 23/10; 23/10; 11/5; 40/17; 5/2; 12/5; 5/2; ; 45/17; 40/17; ; ; ; ; 
META; english/premier-league/chelsea-v-liverpool; 2016-09-05 08:17:16 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 11/10; ; ; ; 6/5; 23/20; 6/5; 21/20; 11/10; ; 23/20; 23/20; ; 11/10; 23/20; 6/5; 1; 11/10; 11/10; 15/13; ; 11/10; 6/5; 15/13; ; ; 21/20; ; 
Draw; 12/5; ; ; ; 5/2; 5/2; 5/2; 23/10; 5/2; ; 12/5; 23/10; ; 49/20; 12/5; 12/5; 11/5; 12/5; 40/17; 11/5; ; 12/5; 5/2; 5/2; ; ; 9/4; ; 
