META; english/premier-league/man-utd-v-arsenal; 2016-10-25 20:18:13 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; ; ; 6/4; 8/5; 6/4; 13/8; 6/4; 6/4; ; ; ; 13/8; 17/11; 8/5; 8/5; 8/5; 8/5; 8/5; 17/10; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 17/10; ; ; 17/10; 9/5; 13/8; 13/8; 7/4; 8/5; ; ; ; 17/10; 7/4; 17/10; 8/5; 28/17; 8/5; 17/10; 9/5; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 9/4; 12/5; 9/4; 9/4; ; ; ; 12/5; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 52/21; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-02 08:17:26 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; ; ; 6/4; 8/5; 6/4; 13/8; 6/4; 6/4; ; ; ; 13/8; 17/11; 8/5; 8/5; 8/5; 8/5; 8/5; 17/10; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 17/10; ; ; 17/10; 9/5; 13/8; 13/8; 7/4; 8/5; ; ; ; 17/10; 7/4; 17/10; 8/5; 28/17; 8/5; 17/10; 9/5; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 9/4; 12/5; 9/4; 9/4; ; ; ; 12/5; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 52/21; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-02 12:17:51 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; ; ; 6/4; 8/5; 13/8; 13/8; 6/4; 6/4; ; ; ; 13/8; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 17/10; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 17/10; ; ; 17/10; 9/5; 13/8; 13/8; 7/4; 8/5; ; ; ; 17/10; 7/4; 17/10; 8/5; 28/17; 8/5; 17/10; 9/5; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 23/10; 12/5; 9/4; 9/4; ; ; ; 12/5; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 52/21; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-02 16:18:00 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; ; ; 6/4; 8/5; 13/8; 13/8; 6/4; 6/4; ; ; ; 13/8; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 17/10; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 17/10; ; ; 17/10; 9/5; 13/8; 13/8; 7/4; 8/5; ; ; ; 17/10; 7/4; 17/10; 8/5; 28/17; 8/5; 17/10; 9/5; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 23/10; 12/5; 9/4; 9/4; ; ; ; 12/5; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 52/21; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-02 20:18:10 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 31/20; ; ; 6/4; 8/5; 13/8; 13/8; 6/4; 6/4; ; ; ; 13/8; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 48/29; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 17/10; ; ; 17/10; 9/5; 13/8; 13/8; 7/4; 13/8; ; ; ; 17/10; 7/4; 17/10; 8/5; 28/17; 8/5; 17/10; 24/13; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 23/10; 12/5; 9/4; 9/4; ; ; ; 12/5; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 32/13; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-03 00:17:06 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 31/20; ; ; 6/4; 8/5; 13/8; 13/8; 6/4; 6/4; ; ; ; 13/8; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 48/29; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 17/10; ; ; 17/10; 9/5; 13/8; 13/8; 7/4; 13/8; ; ; ; 17/10; 7/4; 17/10; 8/5; 28/17; 8/5; 17/10; 24/13; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 23/10; 12/5; 9/4; 9/4; ; ; ; 12/5; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 32/13; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-03 04:17:44 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 31/20; ; ; 6/4; 8/5; 13/8; 13/8; 6/4; 6/4; ; ; ; 13/8; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 48/29; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 17/10; ; ; 17/10; 9/5; 13/8; 13/8; 7/4; 13/8; ; ; ; 17/10; 7/4; 17/10; 8/5; 28/17; 8/5; 17/10; 24/13; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 23/10; 12/5; 9/4; 9/4; ; ; ; 12/5; 12/5; 9/4; 12/5; 9/4; 12/5; 9/4; 32/13; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-03 08:16:53 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 31/20; ; ; 6/4; 8/5; 13/8; 13/8; 6/4; 6/4; ; ; ; 13/8; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 48/29; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 7/4; ; ; 17/10; 9/5; 13/8; 13/8; 7/4; 33/20; ; ; ; 17/10; 7/4; 17/10; 8/5; 28/17; 8/5; 17/10; 24/13; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 23/10; 12/5; 11/5; 9/4; ; ; ; 12/5; 12/5; 11/5; 12/5; 9/4; 12/5; 11/5; 32/13; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-03 12:17:19 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 31/20; ; ; 6/4; 8/5; 13/8; 13/8; 8/5; 29/20; ; ; ; 13/8; 8/5; 8/5; 8/5; 8/5; 8/5; ; 48/29; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 7/4; ; ; 17/10; 9/5; 13/8; 13/8; 9/5; 33/20; ; ; ; 17/10; 7/4; 7/4; 8/5; 28/17; 8/5; ; 24/13; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 23/10; 12/5; 21/10; 9/4; ; ; ; 12/5; 9/4; 11/5; 12/5; 9/4; 12/5; ; 32/13; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-03 16:17:16 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 31/20; ; ; 6/4; 8/5; 13/8; 13/8; 8/5; 29/20; ; ; ; 13/8; 8/5; 8/5; 8/5; 8/5; 8/5; ; 48/29; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 7/4; ; ; 17/10; 9/5; 13/8; 13/8; 9/5; 33/20; ; ; ; 17/10; 7/4; 17/10; 8/5; 28/17; 8/5; ; 24/13; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 23/10; 12/5; 21/10; 9/4; ; ; ; 12/5; 12/5; 11/5; 12/5; 9/4; 12/5; ; 32/13; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-03 20:17:42 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 31/20; ; ; 6/4; 31/20; 13/8; 13/8; 8/5; 29/20; ; ; ; 13/8; 17/11; 8/5; 8/5; 8/5; 8/5; 8/5; 48/29; ; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 7/4; ; ; 17/10; 15/8; 13/8; 13/8; 9/5; 33/20; ; ; ; 17/10; 7/4; 7/4; 8/5; 28/17; 8/5; 7/4; 24/13; ; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 23/10; 12/5; 21/10; 9/4; ; ; ; 12/5; 12/5; 11/5; 12/5; 9/4; 12/5; 11/5; 32/13; ; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-04 00:16:55 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; ; ; 6/4; 8/5; 13/8; 13/8; 6/4; 6/4; ; ; ; 13/8; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 48/29; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 17/10; ; ; 17/10; 9/5; 13/8; 13/8; 7/4; 13/8; ; ; ; 17/10; 7/4; 17/10; 8/5; 28/17; 8/5; 17/10; 24/13; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 23/10; 12/5; 11/5; 9/4; ; ; ; 12/5; 12/5; 11/5; 12/5; 9/4; 12/5; 11/5; 32/13; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-04 04:16:02 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; ; ; 6/4; 8/5; 13/8; 13/8; 6/4; 6/4; ; ; ; 13/8; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 48/29; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 17/10; ; ; 17/10; 9/5; 13/8; 13/8; 7/4; 13/8; ; ; ; 17/10; 7/4; 17/10; 8/5; 28/17; 8/5; 17/10; 24/13; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 12/5; ; ; 12/5; 5/2; 23/10; 12/5; 11/5; 9/4; ; ; ; 12/5; 12/5; 11/5; 12/5; 9/4; 12/5; 11/5; 32/13; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-04 08:16:06 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; ; ; 6/4; 13/8; 13/8; 13/8; 13/8; 6/4; ; ; ; 17/10; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 48/29; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 7/4; ; ; 17/10; 9/5; 13/8; 13/8; 9/5; 33/20; ; ; ; 9/5; 7/4; 7/4; 8/5; 28/17; 8/5; 7/4; 24/13; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 23/10; ; ; 12/5; 12/5; 23/10; 12/5; 21/10; 11/5; ; ; ; 21/10; 9/4; 21/10; 12/5; 9/4; 12/5; 21/10; 32/13; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-04 12:16:08 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; ; ; 6/4; 13/8; 13/8; 13/8; 13/8; 6/4; ; ; ; 17/10; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 48/29; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 7/4; ; ; 17/10; 9/5; 13/8; 13/8; 9/5; 33/20; ; ; ; 9/5; 7/4; 7/4; 8/5; 28/17; 8/5; 7/4; 24/13; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 23/10; ; ; 12/5; 12/5; 23/10; 12/5; 21/10; 11/5; ; ; ; 21/10; 9/4; 21/10; 12/5; 9/4; 12/5; 21/10; 32/13; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-04 16:16:10 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; 13/8; ; 6/4; 13/8; 13/8; 13/8; 13/8; 6/4; ; ; ; 17/10; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 48/29; 11/7; 8/5; ; ; ; ; 
Arsenal; 17/10; ; 7/4; 7/4; ; 17/10; 9/5; 13/8; 13/8; 9/5; 33/20; ; ; ; 9/5; 7/4; 7/4; 8/5; 28/17; 8/5; 7/4; 24/13; 31/18; 8/5; ; ; ; ; 
Draw; 12/5; ; 23/10; 21/10; ; 12/5; 12/5; 23/10; 12/5; 21/10; 11/5; ; ; ; 21/10; 9/4; 21/10; 12/5; 9/4; 12/5; 21/10; 32/13; 12/5; 12/5; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-04 20:16:34 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; 13/8; ; 6/4; 13/8; 13/8; 13/8; 13/8; 6/4; ; 31/20; ; 17/10; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 48/29; 11/7; 8/5; 8/5; ; ; ; 
Arsenal; 17/10; ; 7/4; 7/4; ; 17/10; 9/5; 13/8; 13/8; 9/5; 33/20; ; 17/10; ; 9/5; 7/4; 7/4; 8/5; 28/17; 8/5; 7/4; 24/13; 31/18; 8/5; 7/4; ; ; ; 
Draw; 12/5; ; 23/10; 21/10; ; 12/5; 12/5; 23/10; 12/5; 21/10; 11/5; ; 47/20; ; 21/10; 12/5; 21/10; 12/5; 9/4; 12/5; 21/10; 32/13; 12/5; 12/5; 21/10; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-05 00:16:10 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; 13/8; ; 6/4; 13/8; 13/8; 13/8; 13/8; 6/4; ; 31/20; ; 17/10; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 48/29; 11/7; 8/5; 8/5; ; ; ; 
Arsenal; 17/10; ; 7/4; 7/4; ; 17/10; 9/5; 13/8; 13/8; 9/5; 33/20; ; 17/10; ; 9/5; 7/4; 7/4; 8/5; 28/17; 8/5; 7/4; 24/13; 31/18; 8/5; 7/4; ; ; ; 
Draw; 12/5; ; 23/10; 21/10; ; 12/5; 12/5; 23/10; 12/5; 21/10; 11/5; ; 47/20; ; 21/10; 12/5; 21/10; 12/5; 9/4; 12/5; 21/10; 32/13; 12/5; 12/5; 21/10; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-05 04:16:11 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; 13/8; ; ; 13/8; 13/8; 13/8; 13/8; 6/4; ; 31/20; ; 17/10; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 48/29; 11/7; 8/5; 8/5; ; ; ; 
Arsenal; 17/10; ; 7/4; 7/4; ; ; 9/5; 13/8; 13/8; 9/5; 33/20; ; 17/10; ; 9/5; 7/4; 7/4; 8/5; 28/17; 8/5; 7/4; 24/13; 31/18; 8/5; 7/4; ; ; ; 
Draw; 12/5; ; 23/10; 21/10; ; ; 12/5; 23/10; 12/5; 21/10; 11/5; ; 47/20; ; 21/10; 12/5; 21/10; 12/5; 9/4; 12/5; 21/10; 32/13; 12/5; 12/5; 21/10; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-05 08:16:12 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; 13/8; ; 6/4; 13/8; 13/8; 13/8; 13/8; 6/4; ; 31/20; ; 17/10; 8/5; ; 8/5; 8/5; 8/5; 8/5; 48/29; 11/7; 8/5; 8/5; ; ; ; 
Arsenal; 17/10; ; 7/4; 7/4; ; 17/10; 9/5; 13/8; 13/8; 9/5; 33/20; ; 17/10; ; 9/5; 7/4; ; 8/5; 28/17; 8/5; 7/4; 24/13; 31/18; 8/5; 7/4; ; ; ; 
Draw; 12/5; ; 23/10; 21/10; ; 12/5; 12/5; 23/10; 12/5; 21/10; 11/5; ; 47/20; ; 21/10; 12/5; ; 12/5; 9/4; 12/5; 21/10; 32/13; 12/5; 12/5; 21/10; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-05 12:16:43 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; 13/8; ; 6/4; 13/8; 13/8; 13/8; 13/8; 6/4; ; 31/20; ; 17/10; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 17/10; 11/7; 8/5; 8/5; ; ; ; 
Arsenal; 17/10; ; 7/4; 7/4; ; 17/10; 9/5; 13/8; 13/8; 9/5; 33/20; ; 17/10; ; 9/5; 7/4; 7/4; 8/5; 28/17; 8/5; 7/4; 23/12; 31/18; 8/5; 7/4; ; ; ; 
Draw; 12/5; ; 23/10; 21/10; ; 12/5; 12/5; 23/10; 12/5; 21/10; 11/5; ; 47/20; ; 21/10; 12/5; 21/10; 12/5; 9/4; 12/5; 21/10; 23/10; 12/5; 12/5; 21/10; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-05 16:16:29 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; 13/8; ; 6/4; 13/8; 13/8; 13/8; 13/8; 6/4; ; 31/20; ; 17/10; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 17/10; 11/7; 8/5; 8/5; ; 1/12; ; 
Arsenal; 17/10; ; 7/4; 7/4; ; 17/10; 9/5; 13/8; 13/8; 9/5; 33/20; ; 17/10; ; 9/5; 7/4; 7/4; 8/5; 28/17; 8/5; 7/4; 23/12; 31/18; 8/5; 7/4; ; 1/16; ; 
Draw; 12/5; ; 23/10; 21/10; ; 12/5; 12/5; 23/10; 12/5; 21/10; 11/5; ; 47/20; ; 21/10; 12/5; 21/10; 12/5; 9/4; 12/5; 21/10; 23/10; 12/5; 12/5; 21/10; ; 1/50; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-05 20:16:37 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; ; 8/5; 13/8; ; 6/4; 13/8; 13/8; 13/8; 13/8; 6/4; ; 31/20; ; 17/10; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 17/10; 11/7; 8/5; 8/5; ; 1/10; ; 
Arsenal; 17/10; ; 7/4; 7/4; ; 17/10; 9/5; 13/8; 13/8; 9/5; 33/20; ; 17/10; ; 9/5; 7/4; 7/4; 8/5; 28/17; 8/5; 7/4; 23/12; 31/18; 8/5; 7/4; ; 1/10; ; 
Draw; 12/5; ; 23/10; 21/10; ; 12/5; 12/5; 23/10; 12/5; 21/10; 11/5; ; 47/20; ; 21/10; 12/5; 21/10; 12/5; 9/4; 12/5; 21/10; 23/10; 12/5; 12/5; 21/10; ; 1/50; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-06 00:16:05 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 3/2; 8/5; 13/8; ; 6/4; 13/8; 13/8; 13/8; 13/8; 6/4; ; 31/20; ; 17/10; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 17/10; 11/7; 8/5; 8/5; ; 1/10; ; 17/10
Arsenal; 17/10; 7/4; 7/4; 7/4; ; 17/10; 9/5; 13/8; 13/8; 9/5; 33/20; ; 17/10; ; 9/5; 7/4; 7/4; 8/5; 28/17; 8/5; 7/4; 23/12; 31/18; 8/5; 7/4; ; 1/10; ; 15/8
Draw; 12/5; 23/10; 23/10; 21/10; ; 12/5; 12/5; 23/10; 12/5; 21/10; 11/5; ; 47/20; ; 21/10; 12/5; 28/13; 12/5; 9/4; 12/5; 28/13; 23/10; 12/5; 12/5; 21/10; ; 1/50; ; 21/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-06 04:15:58 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 3/2; 8/5; 13/8; ; 6/4; 13/8; 13/8; 13/8; 13/8; 6/4; ; 31/20; ; 17/10; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 17/10; 11/7; 8/5; 8/5; ; 1/10; ; 17/10
Arsenal; 17/10; 7/4; 7/4; 7/4; ; 17/10; 9/5; 13/8; 13/8; 9/5; 9/5; ; 17/10; ; 9/5; 9/5; 7/4; 8/5; 28/17; 8/5; 7/4; 23/12; 31/18; 8/5; 7/4; ; 1/10; ; 15/8
Draw; 12/5; 23/10; 23/10; 21/10; ; 12/5; 12/5; 23/10; 12/5; 21/10; 9/4; ; 47/20; ; 21/10; 12/5; 28/13; 12/5; 9/4; 12/5; 28/13; 23/10; 12/5; 12/5; 21/10; ; 1/50; ; 21/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-06 08:16:02 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 3/2; 8/5; 13/8; ; 5/3; 13/8; 13/8; 13/8; 13/8; 6/4; ; 31/20; ; 17/10; 8/5; 8/5; 8/5; 8/5; 8/5; 8/5; 17/10; 11/7; 8/5; 8/5; ; 1/10; ; 17/10
Arsenal; 17/10; 7/4; 7/4; 7/4; ; 20/11; 9/5; 13/8; 13/8; 9/5; 9/5; ; 17/10; ; 9/5; 9/5; 7/4; 8/5; 28/17; 8/5; 7/4; 23/12; 31/18; 8/5; 7/4; ; 1/10; ; 15/8
Draw; 12/5; 23/10; 23/10; 21/10; ; 23/10; 12/5; 23/10; 12/5; 21/10; 9/4; ; 47/20; ; 21/10; 12/5; 28/13; 12/5; 9/4; 12/5; 28/13; 23/10; 12/5; 12/5; 21/10; ; 1/50; ; 21/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-06 12:16:08 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 31/20; 3/2; 13/8; 13/8; ; 17/10; 13/8; 13/8; 13/8; 13/8; 6/4; ; 8/5; ; 17/10; 8/5; 28/17; 8/5; 8/5; 8/5; 28/17; 17/10; 11/7; 8/5; 13/8; ; 4/11; ; 17/10
Arsenal; 17/10; 7/4; 17/10; 7/4; ; 20/11; 9/5; 13/8; 13/8; 9/5; 9/5; ; 17/10; ; 9/5; 9/5; 7/4; 8/5; 28/17; 8/5; 7/4; 23/12; 31/18; 8/5; 7/4; ; 4/9; ; 15/8
Draw; 23/10; 23/10; 23/10; 21/10; ; 23/10; 12/5; 23/10; 12/5; 21/10; 9/4; ; 23/10; ; 21/10; 9/4; 28/13; 12/5; 9/4; 12/5; 28/13; 23/10; 12/5; 12/5; 21/10; ; 9/5; ; 21/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-06 16:16:03 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 31/20; 3/2; 13/8; 13/8; ; 17/10; 13/8; 13/8; 13/8; 13/8; 6/4; ; 8/5; ; 17/10; 8/5; 28/17; 8/5; 8/5; 8/5; 28/17; 17/10; 11/7; 8/5; 13/8; ; 8/11; ; 17/10
Arsenal; 17/10; 7/4; 17/10; 7/4; ; 9/5; 9/5; 13/8; 7/4; 9/5; 9/5; ; 17/10; ; 9/5; 9/5; 7/4; 7/4; 28/17; 7/4; 7/4; 23/12; 31/18; 7/4; 7/4; ; 4/9; ; 15/8
Draw; 23/10; 23/10; 23/10; 21/10; ; 23/10; 12/5; 23/10; 23/10; 21/10; 9/4; ; 23/10; ; 21/10; 9/4; 21/10; 11/5; 9/4; 11/5; 21/10; 23/10; 12/5; 11/5; 21/10; ; 9/5; ; 21/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-06 20:15:54 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 3/2; 33/20; 13/8; ; 7/4; 7/4; 7/5; 7/4; 17/10; 6/4; ; 33/20; 17/10; 17/10; 8/5; 17/10; 8/5; 8/5; 13/8; 17/10; 7/4; 11/7; 28/17; 13/8; ; 8/5; ; 7/4
Arsenal; 13/8; 7/4; 33/20; 17/10; ; 7/4; 7/4; 19/10; 13/8; 17/10; 9/5; ; 33/20; 17/10; 9/5; 9/5; 17/10; 7/4; 28/17; 7/4; 17/10; 24/13; 31/18; 7/4; 17/10; ; 13/8; ; 9/5
Draw; 23/10; 23/10; 23/10; 9/4; ; 23/10; 23/10; 23/10; 23/10; 21/10; 9/4; ; 23/10; 11/5; 21/10; 9/4; 21/10; 11/5; 9/4; 21/10; 21/10; 44/19; 12/5; 28/13; 21/10; ; 11/5; ; 21/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-07 00:15:42 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 3/2; 17/10; 17/10; ; 9/5; 9/5; 13/8; 7/4; 17/10; 6/4; ; 33/20; 7/4; 9/5; 8/5; 17/10; 28/17; 8/5; 13/8; 17/10; 7/4; 7/4; 28/17; 17/10; ; 17/10; ; 7/4
Arsenal; 13/8; 7/4; 13/8; 17/10; ; 17/10; 17/10; 13/8; 13/8; 17/10; 9/5; ; 33/20; 17/10; 17/10; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 24/13; 8/5; 7/4; 17/10; ; 8/5; ; 9/5
Draw; 23/10; 23/10; 23/10; 11/5; ; 9/4; 23/10; 23/10; 23/10; 21/10; 9/4; ; 23/10; 21/10; 21/10; 12/5; 21/10; 28/13; 11/5; 21/10; 21/10; 44/19; 23/10; 28/13; 21/10; ; 21/10; ; 21/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-07 04:15:41 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 3/2; 17/10; 13/8; ; 20/11; 7/4; 13/8; 7/4; 17/10; 6/4; ; 33/20; 7/4; 9/5; 8/5; 17/10; 28/17; 8/5; 13/8; 17/10; 7/4; 7/4; 28/17; 17/10; ; 7/4; ; 9/5
Arsenal; 13/8; 7/4; 33/20; 13/8; ; 7/4; 7/4; 13/8; 13/8; 17/10; 9/5; ; 33/20; 17/10; 17/10; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 24/13; 8/5; 7/4; 17/10; ; 13/8; ; 9/5
Draw; 23/10; 23/10; 23/10; 9/4; ; 11/5; 23/10; 23/10; 23/10; 21/10; 9/4; ; 23/10; 21/10; 21/10; 12/5; 21/10; 28/13; 11/5; 21/10; 21/10; 44/19; 23/10; 28/13; 21/10; ; 21/10; ; 21/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-07 08:15:41 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 13/8; 3/2; 33/20; 13/8; ; 9/5; 7/4; 13/8; 7/4; 17/10; 6/4; ; 33/20; 17/10; 9/5; 8/5; 17/10; 28/17; 8/5; 13/8; 17/10; 7/4; 7/4; 28/17; 17/10; ; 17/10; ; 9/5
Arsenal; 13/8; 7/4; 33/20; 13/8; ; 7/4; 7/4; 13/8; 13/8; 17/10; 9/5; ; 33/20; 17/10; 17/10; 7/4; 17/10; 7/4; 17/10; 7/4; 17/10; 24/13; 8/5; 7/4; 17/10; ; 13/8; ; 9/5
Draw; 23/10; 23/10; 23/10; 9/4; ; 11/5; 23/10; 23/10; 23/10; 21/10; 9/4; ; 23/10; 21/10; 21/10; 12/5; 21/10; 28/13; 11/5; 21/10; 21/10; 44/19; 23/10; 28/13; 21/10; ; 21/10; ; 21/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-07 12:15:44 GMT+2; 2016-11-19 12:30; e70300-dr003
