META; english/premier-league/chelsea-v-crystal-palace; 2017-03-06 00:16:34 GMT+2; 2017-04-01 15:00; e70300-dr003
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-14 04:16:07 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; ; 1/4; ; 2/9; ; 1/4; 1/5; 3/10; 1/4; 1/4; ; ; ; 2/7; 2/9; 3/13; 2/9; 1/4; 3/13; 13/50; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; ; 9/2; ; 5; ; 5; 9/2; 19/4; 9/2; 17/4; ; ; ; 19/4; 5; 19/4; 5; 9/2; 19/4; 11/2; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; ; 11; ; 14; ; 14; 14; 11; 12; 11; ; ; ; 10; 14; 12; 11; 12; 12; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-14 08:16:07 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; ; 1/4; ; 2/9; ; 1/4; 1/5; 3/10; 1/4; 1/4; ; ; ; 2/7; 2/9; 4/17; 2/9; 1/4; 4/17; 13/50; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; ; 9/2; ; 5; ; 5; 9/2; 19/4; 9/2; 17/4; ; ; ; 19/4; 5; 79/17; 5; 9/2; 79/17; 11/2; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; ; 11; ; 14; ; 14; 14; 11; 12; 11; ; ; ; 10; 14; 47/4; 11; 12; 47/4; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-14 12:16:26 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; ; 1/4; 2/7; 2/9; ; 1/4; 1/5; 3/10; 1/4; 1/4; ; ; ; 2/7; 1/4; 4/17; 2/9; 1/4; 4/17; 13/50; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; ; 9/2; 4; 5; ; 5; 9/2; 19/4; 9/2; 17/4; ; ; ; 19/4; 5; 79/17; 5; 9/2; 79/17; 11/2; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; ; 12; 11; 14; ; 14; 14; 11; 12; 11; ; ; ; 10; 12; 47/4; 11; 12; 47/4; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-14 16:16:14 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; ; 1/4; 2/7; ; ; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; ; ; 2/7; 1/4; 4/17; 2/9; 1/4; 4/17; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; ; 9/2; 4; ; ; 5; 9/2; 19/4; 9/2; 17/4; 9/2; ; ; 19/4; 5; 79/17; 5; 9/2; 79/17; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; ; 12; 11; ; ; 14; 14; 11; 12; 11; 12; ; ; 10; 12; 47/4; 11; 12; 47/4; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-14 20:16:13 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; ; 1/4; 2/7; 2/9; ; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; ; ; 2/7; 1/4; 4/17; 2/9; 1/4; 4/17; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; ; 9/2; 4; 5; ; 5; 9/2; 19/4; 9/2; 17/4; 9/2; ; ; 19/4; 5; 79/17; 5; 9/2; 79/17; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; ; 12; 11; 14; ; 14; 14; 11; 12; 11; 12; ; ; 10; 12; 47/4; 11; 12; 47/4; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-15 00:16:13 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 2/9; ; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; ; ; 2/7; 1/4; 4/17; 2/9; 1/4; 4/17; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 5; ; 5; 9/2; 19/4; 9/2; 17/4; 9/2; ; ; 19/4; 5; 79/17; 5; 9/2; 79/17; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; ; 14; 14; 11; 12; 11; 12; ; ; 10; 12; 47/4; 11; 12; 47/4; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-15 04:16:06 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 2/9; ; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; ; ; 2/7; 1/4; 4/17; 2/9; 1/4; ; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 5; ; 5; 9/2; 19/4; 9/2; 17/4; 9/2; ; ; 19/4; 5; 79/17; 5; 9/2; ; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; ; 14; 14; 11; 12; 11; 12; ; ; 10; 12; 23/2; 11; 12; ; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-15 08:16:06 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 2/9; ; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; ; ; 2/7; 1/4; 4/17; 2/9; 1/4; 4/17; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 5; ; 5; 9/2; 19/4; 9/2; 17/4; 9/2; ; ; 19/4; 5; 79/17; 5; 9/2; 79/17; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; ; 14; 14; 11; 12; 11; 12; ; ; 10; 12; 23/2; 11; 12; 23/2; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-15 12:16:47 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 2/9; ; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; ; 2/9; 2/7; 1/4; 4/17; 2/9; 1/4; 4/17; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 5; ; 5; 9/2; 19/4; 9/2; 17/4; 9/2; ; 4; 19/4; 5; 23/5; 5; 9/2; 23/5; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; ; 14; 14; 11; 12; 11; 12; ; 12; 10; 12; 47/4; 11; 12; 47/4; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-15 16:16:17 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 2/9; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; ; 2/9; 2/7; 1/4; 4/17; 2/9; 1/4; 4/17; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 5; 5; 5; 9/2; 19/4; 9/2; 17/4; 9/2; ; 4; 19/4; 5; 23/5; 5; 9/2; 23/5; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; 11; 14; 14; 11; 12; 11; 12; ; 12; 10; 12; 47/4; 11; 12; 47/4; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-15 20:16:08 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 2/9; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; ; 2/9; 2/7; 1/4; 4/17; 2/9; 1/4; 5/19; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 5; 5; 5; 9/2; 19/4; 9/2; 17/4; 9/2; ; 4; 19/4; 5; 23/5; 5; 9/2; 49/11; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; 11; 14; 14; 11; 12; 11; 12; ; 12; 10; 12; 47/4; 11; 12; 43/4; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-16 04:16:05 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 2/9; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; ; 2/9; 2/7; 1/4; 4/17; 2/9; 1/4; 4/17; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 5; 5; 5; 9/2; 19/4; 9/2; 17/4; 4; ; 4; 19/4; 5; 79/17; 5; 9/2; 79/17; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; 11; 14; 14; 11; 12; 11; 12; ; 12; 10; 12; 23/2; 11; 12; 23/2; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-16 08:16:01 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 2/9; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; ; 2/9; 2/7; 1/4; 4/17; 2/9; 1/4; 4/17; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 5; 5; 5; 9/2; 19/4; 9/2; 17/4; 4; ; 4; 19/4; 5; 79/17; 5; 9/2; 79/17; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; 11; 14; 14; 11; 12; 11; 12; ; 12; 10; 12; 23/2; 11; 12; 23/2; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-16 12:15:55 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 2/9; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; ; 2/9; 2/7; 1/4; 4/17; 2/9; 1/4; 4/17; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 5; 5; 5; 9/2; 19/4; 9/2; 17/4; 4; ; 4; 19/4; 5; 79/17; 5; 9/2; 79/17; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; 11; 14; 14; 11; 12; 11; 12; ; 12; 10; 12; 23/2; 11; 12; 23/2; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-16 16:15:51 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 2/9; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; ; 2/9; 2/7; 1/4; 4/17; 2/9; 1/4; 4/17; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 5; 5; 5; 9/2; 19/4; 9/2; 17/4; 4; ; 4; 19/4; 5; 79/17; 5; 9/2; 79/17; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; 11; 14; 14; 11; 12; 11; 12; ; 12; 10; 12; 23/2; 11; 12; 47/4; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-16 20:15:59 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 2/9; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; ; 2/9; 2/7; 1/4; 4/17; 2/9; 1/4; 4/17; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 5; 5; 5; 9/2; 19/4; 9/2; 17/4; 4; ; 4; 19/4; 5; 79/17; 5; 9/2; 79/17; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; 11; 14; 14; 11; 12; 11; 12; ; 12; 10; 12; 47/4; 11; 12; 47/4; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-17 00:15:47 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 2/9; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; ; 2/9; 2/7; 1/4; 4/17; 2/9; 1/4; 4/17; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 5; 5; 5; 9/2; 19/4; 9/2; 17/4; 4; ; 4; 19/4; 5; 79/17; 5; 9/2; 79/17; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; 11; 14; 14; 11; 12; 11; 12; ; 12; 10; 12; 47/4; 11; 12; 47/4; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-17 04:15:33 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 2/9; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; ; 2/9; 2/7; 1/4; 4/17; 2/9; 1/4; 4/17; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 5; 5; 5; 9/2; 19/4; 9/2; 17/4; 4; ; 4; 19/4; 5; 79/17; 5; 9/2; 79/17; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; 11; 14; 14; 11; 12; 11; 12; ; 12; 10; 12; 47/4; 11; 12; 47/4; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-17 08:15:31 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 2/9; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; ; 2/9; 2/7; 1/4; 4/17; 2/9; 1/4; 4/17; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 5; 5; 5; 9/2; 19/4; 9/2; 17/4; 4; ; 4; 19/4; 5; 79/17; 5; 9/2; 79/17; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; 11; 14; 14; 11; 12; 11; 12; ; 12; 10; 12; 47/4; 11; 12; 47/4; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-17 12:16:11 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 1/4; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; ; 2/9; 2/7; 1/4; 4/17; 2/9; 1/4; 4/17; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 11/2; 5; 21/4; 9/2; 19/4; 9/2; 17/4; 4; ; 4; 19/4; 5; 79/17; 5; 9/2; 79/17; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; 11; 14; 14; 11; 12; 11; 12; ; 12; 10; 12; 47/4; 11; 12; 47/4; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-17 16:16:29 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 1/4; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; ; 2/9; 2/7; 1/4; 1/4; 2/9; 1/4; 1/4; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 11/2; 5; 21/4; 9/2; 19/4; 9/2; 17/4; 4; ; 4; 19/4; 5; 19/4; 5; 9/2; 19/4; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; 11; 14; 14; 11; 12; 11; 12; ; 12; 10; 12; 49/4; 11; 12; 49/4; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-17 20:16:10 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 1/4; 2/9; 1/4; 1/5; ; 1/4; 1/4; 1/4; ; 2/9; 2/7; 1/4; 1/4; 2/9; 1/4; 1/4; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 11/2; 5; 21/4; 9/2; ; 9/2; 17/4; 4; ; 4; 19/4; 5; 19/4; 5; 9/2; 19/4; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; 11; 14; 14; ; 12; 11; 12; ; 12; 10; 12; 49/4; 11; 12; 49/4; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-18 00:15:55 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 1/4; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; ; 2/9; 2/7; 1/4; 1/4; 2/9; 1/4; ; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 11/2; 5; 21/4; 9/2; 19/4; 9/2; 17/4; 4; ; 4; 19/4; 5; 19/4; 5; 9/2; ; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; 11; 14; 14; 11; 12; 11; 12; ; 12; 10; 12; 49/4; 11; 12; ; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-18 04:16:07 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 1/4; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; 1/4; 2/9; 2/7; 1/4; 1/4; 2/9; 1/4; 1/4; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 11/2; 5; 21/4; 9/2; 19/4; 9/2; 17/4; 4; 9/2; 4; 19/4; 5; 19/4; 5; 9/2; 19/4; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; 11; 14; 14; 11; 12; 11; 12; 12; 12; 10; 12; 49/4; 11; 12; 49/4; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-18 08:16:10 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 1/4; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; 1/4; 2/9; 2/7; 1/4; 1/4; 2/9; 1/4; 1/4; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 11/2; 5; 21/4; 9/2; 19/4; 9/2; 17/4; 4; 9/2; 4; 19/4; 5; 19/4; 5; 9/2; 19/4; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; 11; 14; 14; 11; 12; 11; 12; 12; 12; 10; 12; 49/4; 11; 12; 49/4; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-18 12:16:36 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 1/4; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; 1/4; 2/9; 2/7; 2/7; 1/4; 2/9; 1/4; 1/4; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 11/2; 5; 21/4; 9/2; 19/4; 9/2; 17/4; 4; 9/2; 4; 19/4; 5; 19/4; 5; 9/2; 19/4; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; 11; 14; 14; 11; 12; 11; 12; 12; 12; 10; 14; 49/4; 11; 12; 49/4; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-18 16:16:22 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 1/4; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; 1/4; 2/9; 2/7; 2/7; 1/4; 2/9; 1/4; 1/4; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 11/2; 5; 21/4; 9/2; 19/4; 9/2; 17/4; 4; 9/2; 4; 19/4; 5; 19/4; 5; 9/2; 19/4; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; 11; 14; 14; 11; 12; 11; 12; 12; 12; 10; 14; 49/4; 11; 12; 49/4; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-18 20:15:58 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/9; 1/4; 2/7; 1/4; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; 1/4; 2/9; 2/7; 2/7; 1/4; 2/9; 1/4; 1/4; 27/100; 1/4; 1/4; ; 1/4; ; ; ; 
Draw; 5; 5; 9/2; 4; 11/2; 5; 21/4; 9/2; 19/4; 9/2; 17/4; 4; 9/2; 4; 19/4; 5; 23/5; 5; 9/2; 23/5; 26/5; 5; 9/2; ; 9/2; ; ; ; 
Crystal Palace; 12; 12; 12; 11; 14; 11; 14; 14; 11; 12; 12; 12; 12; 12; 10; 14; 12; 11; 12; 12; 14; 11; 12; ; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-19 00:15:35 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/7; 2/7; 2/7; 1/4; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; 1/4; 2/9; 2/7; 2/7; 1/4; 2/9; 1/4; 1/4; 27/100; 1/4; 1/4; 1/4; 1/4; ; ; ; 
Draw; 5; 17/4; 9/2; 4; 11/2; 5; 5; 9/2; 19/4; 17/4; 21/5; 4; 9/2; 4; 19/4; 5; 23/5; 5; 9/2; 23/5; 26/5; 5; 9/2; 9/2; 9/2; ; ; ; 
Crystal Palace; 12; 10; 11; 11; 14; 11; 14; 14; 11; 12; 11; 12; 12; 12; 10; 14; 12; 11; 12; 12; 14; 11; 12; 10; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-19 04:15:47 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/7; 2/7; 2/7; 1/4; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; 1/4; 2/9; 2/7; 2/7; 1/4; 2/9; 1/4; 1/4; 27/100; 1/4; 1/4; 1/4; 1/4; ; ; ; 
Draw; 5; 17/4; 9/2; 4; 11/2; 5; 5; 9/2; 19/4; 17/4; 21/5; 4; 9/2; 4; 19/4; 5; 23/5; 5; 9/2; 23/5; 26/5; 5; 9/2; 9/2; 9/2; ; ; ; 
Crystal Palace; 12; 10; 11; 11; 14; 11; 14; 14; 11; 12; 11; 12; 12; 12; 10; 14; 12; 11; 12; 12; 14; 11; 12; 10; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-19 08:15:51 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/7; 2/7; 2/7; 1/4; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; 1/4; 2/9; 2/7; 2/7; 1/4; 2/9; 1/4; 1/4; 27/100; 1/4; 1/4; 1/4; 1/4; ; ; ; 
Draw; 5; 17/4; 9/2; 4; 11/2; 5; 5; 9/2; 19/4; 17/4; 21/5; 4; 9/2; 4; 19/4; 5; 79/17; 5; 9/2; 79/17; 26/5; 5; 9/2; 9/2; 9/2; ; ; ; 
Crystal Palace; 12; 10; 11; 11; 14; 11; 14; 14; 11; 12; 11; 12; 12; 12; 10; 14; 12; 11; 12; 12; 14; 11; 12; 10; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-19 12:15:52 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/7; 2/7; 2/7; 1/4; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; 1/4; 2/9; 2/7; 2/7; 1/4; 2/9; 1/4; 1/4; 27/100; 1/4; 1/4; 1/4; 1/4; ; ; ; 
Draw; 5; 17/4; 9/2; 4; 11/2; 5; 5; 9/2; 19/4; 17/4; 21/5; 4; 9/2; 4; 19/4; 5; 23/5; 5; 9/2; 23/5; 26/5; 5; 9/2; 9/2; 9/2; ; ; ; 
Crystal Palace; 12; 10; 11; 11; 14; 11; 14; 14; 11; 12; 11; 12; 12; 12; 10; 14; 12; 11; 12; 12; 14; 11; 12; 10; 12; ; ; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-19 16:15:51 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/7; 2/7; 2/7; 1/4; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; 1/4; 2/9; 2/7; 2/7; 1/4; 2/9; 1/4; 1/4; 27/100; 1/4; 1/4; 1/4; 1/4; ; ; ; 2/7
Draw; 5; 17/4; 9/2; 4; 11/2; 5; 5; 9/2; 19/4; 17/4; 21/5; 4; 9/2; 4; 19/4; 5; 23/5; 5; 9/2; 23/5; 26/5; 5; 9/2; 9/2; 9/2; ; ; ; 9/2
Crystal Palace; 12; 10; 11; 11; 14; 11; 14; 14; 11; 12; 11; 12; 12; 12; 10; 14; 12; 11; 12; 12; 14; 11; 12; 10; 12; ; ; ; 59/5
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-19 20:15:48 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/7; 2/7; 2/7; 2/9; 2/9; 1/4; 1/5; 3/10; 1/4; 1/4; 1/4; 1/4; 2/9; 2/7; 2/7; 1/4; 2/9; 1/4; 1/4; 27/100; 1/4; 1/4; 1/4; 1/4; ; ; ; 2/7
Draw; 5; 17/4; 9/2; 4; 5; 5; 5; 9/2; 19/4; 17/4; 21/5; 4; 9/2; 4; 19/4; 5; 23/5; 5; 9/2; 23/5; 26/5; 5; 9/2; 9/2; 9/2; ; ; ; 9/2
Crystal Palace; 12; 10; 11; 11; 14; 11; 14; 14; 11; 12; 11; 12; 12; 12; 10; 14; 12; 11; 12; 12; 14; 11; 12; 10; 12; ; ; ; 59/5
META; english/premier-league/chelsea-v-crystal-palace; 2017-03-20 00:15:33 GMT+2; 2017-04-01 15:00; e70300-dr003
Chelsea; 2/9; 2/7; 2/7; 2/7; 1/4; 2/9; 2/7; 1/5; 3/10; 1/4; 1/4; 3/10; 1/4; 1/4; 2/7; 2/7; 5/19; 1/4; 1/4; 5/19; 27/100; 2/7; 5/19; 1/4; 5/19; ; ; ; 3/10
Draw; 5; 17/4; 17/4; 4; 9/2; 5; 19/4; 9/2; 19/4; 17/4; 21/5; 4; 9/2; 19/5; 19/4; 5; 50/11; 9/2; 9/2; 50/11; 26/5; 23/5; 9/2; 17/4; 9/2; ; ; ; 23/5
