West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 11; 10; 10; ; ; ; 19/2; 11; 39/4; 11; 13; 11; 39/4; 11; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-08 08:17:57 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; 2/7; 1/4; 3/10; 3/10; 3/11; 1/4; 1/4; ; ; ; 2/7; 2/7; 1/4; 3/11; 1/5; 1/4; 1/4; 3/10; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; 11/2; 11/2; 15/4; 5; 17/4; 19/4; 17/4; ; ; ; 19/4; 5; 63/13; 17/4; 5; 21/5; 63/13; 26/5; 5; ; ; ; ; 
West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 11; 10; 10; ; ; ; 19/2; 11; 39/4; 11; 13; 11; 39/4; 11; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-08 12:18:14 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; 2/7; 1/4; 3/10; 3/10; 3/11; 1/4; 1/4; ; ; ; 2/7; 2/7; 1/4; 3/11; 1/5; 1/4; 1/4; 3/10; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; 11/2; 11/2; 15/4; 5; 17/4; 19/4; 17/4; ; ; ; 19/4; 5; 63/13; 17/4; 5; 21/5; 63/13; 26/5; 5; ; ; ; ; 
West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 11; 10; 10; ; ; ; 19/2; 11; 39/4; 11; 13; 11; 39/4; 11; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-08 16:17:53 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; 2/7; 1/4; 3/10; 3/10; 3/11; 1/4; 1/4; ; ; ; 2/7; 2/7; 1/4; 3/11; 1/5; 1/4; 1/4; 3/10; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; 11/2; 11/2; 15/4; 5; 17/4; 19/4; 17/4; ; ; ; 19/4; 5; 63/13; 17/4; 5; 21/5; 63/13; 26/5; 5; ; ; ; ; 
West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 11; 10; 10; ; ; ; 19/2; 11; 39/4; 11; 13; 11; 39/4; 11; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-08 20:17:59 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; ; 2/7; 1/4; 3/10; 3/10; 3/11; 1/4; 1/4; ; ; ; 2/7; 2/7; 1/4; 3/11; 1/5; 1/4; 1/4; 3/10; 5/18; ; ; ; ; 
Draw; 11/2; ; 9/2; ; ; 11/2; 11/2; 15/4; 5; 17/4; 19/4; 17/4; ; ; ; 19/4; 5; 24/5; 17/4; 5; 21/5; 24/5; 26/5; 5; ; ; ; ; 
West Brom; 8; ; 10; ; ; 8; 12; 9; 9; 11; 10; 10; ; ; ; 19/2; 11; 39/4; 11; 13; 11; 39/4; 11; 43/5; ; ; ; ; 
META; english/premier-league/liverpool-v-west-brom; 2016-10-09 00:17:34 GMT+3; 2016-10-22 17:30; e70300-dr003
Liverpool; 1/4; ; 2/7; ; 1/4; 2/7; 1/4; 3/10; 3/10; 3/11; 1/4; 1/4; ; ; ; 2/7; 2/7; 1/4; 3/11; 1/5; 1/4; 1/4; 3/10; 5/18; ; ; ; ; 
