META; english/premier-league/swansea-v-man-utd; 2016-10-23 00:17:49 GMT+3; 2016-11-06 15:00; e70300-dr003
Draw; 14/5; ; 3; 3; ; 3; 16/5; 29/10; 3; 3; 14/5; ; 3; 29/10; 16/5; ; ; ; 31/10; ; 58/19; ; ; 29/10; 3; ; 14/5; ; 
Swansea; 11/2; ; 9/2; 9/2; ; 460/100; 5; 5; 9/2; 17/4; 21/5; ; 19/4; 24/5; 19/4; ; ; ; 17/4; ; 9/2; ; ; 5; 17/4; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-29 16:18:00 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/15; ; 8/13; 6/10; ; 8/13; 3/5; 4/7; 8/13; 8/13; 6/10; ; 4/7; 6/10; 4/7; ; ; ; 4/7; ; 4/7; ; ; 4/7; 6/10; ; 4/7; ; 
Draw; 14/5; ; 3; 3; ; 3; 16/5; 29/10; 3; 3; 14/5; ; 3; 29/10; 16/5; ; ; ; 31/10; ; ; ; ; 29/10; 3; ; 14/5; ; 
Swansea; 11/2; ; 9/2; 9/2; ; 460/100; 5; 5; 9/2; 17/4; 21/5; ; 19/4; 24/5; 19/4; ; ; ; 17/4; ; 9/2; ; ; 5; 17/4; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-29 20:17:35 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; ; 13/20; 8/13; ; 13/20; 8/13; 4/7; 8/13; 8/13; 6/10; ; 3/5; 6/10; 4/7; ; ; ; 4/7; ; 10/17; ; ; 4/7; 6/10; ; 4/7; ; 
Draw; 11/4; ; 29/10; 14/5; ; 3; 16/5; 29/10; 3; 3; 14/5; ; 3; 29/10; 16/5; ; ; ; 31/10; ; ; ; ; 29/10; 14/5; ; 14/5; ; 
Swansea; 5; ; 17/4; 9/2; ; 9/2; 19/4; 5; 9/2; 17/4; 4; ; 9/2; 9/2; 19/4; ; ; ; 17/4; ; 74/17; ; ; 5; 17/4; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-30 00:17:28 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 3/5; 13/20; 8/13; 4/7; 8/13; 8/13; 8/13; ; 3/5; 8/13; 8/13; ; ; ; 8/13; ; 11/18; ; ; 3/5; 8/13; ; 4/7; ; 
Draw; 11/4; 14/5; 29/10; 11/4; 3; 3; 16/5; 29/10; 3; 3; 14/5; ; 3; 14/5; 3; ; ; ; 3; ; 3; ; ; 3; 14/5; ; 14/5; ; 
Swansea; 5; 9/2; 17/4; 9/2; 9/2; 9/2; 19/4; 5; 9/2; 17/4; 4; ; 9/2; 24/5; 9/2; ; ; ; 4; ; 74/17; ; ; 74/17; 17/4; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-30 04:18:19 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 3/5; 13/20; 8/13; 4/7; 8/13; 8/13; 8/13; ; 3/5; 8/13; 8/13; ; ; ; 8/13; ; 11/18; ; ; 3/5; 8/13; ; 4/7; ; 
Draw; 11/4; 14/5; 29/10; 11/4; 3; 3; 31/10; 29/10; 3; 14/5; 11/4; ; 59/20; 14/5; 3; ; ; ; 3; ; 3; ; ; 3; 14/5; ; 14/5; ; 
Swansea; 5; 9/2; 17/4; 9/2; 9/2; 9/2; 5; 5; 17/4; 17/4; 9/2; ; 9/2; 9/2; 9/2; ; ; ; 4; ; 74/17; ; ; 74/17; 17/4; ; 22/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-30 08:17:46 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 3/5; 13/20; 8/13; 4/7; 8/13; 8/13; 8/13; ; 3/5; 8/13; 8/13; ; ; ; 8/13; ; 11/18; ; ; 3/5; 8/13; ; 4/7; ; 
Draw; 11/4; 14/5; 29/10; 11/4; 3; 3; 31/10; 29/10; 3; 14/5; 11/4; ; 59/20; 14/5; 3; ; ; ; 3; ; 3; ; ; 3; 14/5; ; 14/5; ; 
Swansea; 5; 9/2; 17/4; 9/2; 9/2; 9/2; 5; 5; 17/4; 17/4; 9/2; ; 9/2; 9/2; 9/2; ; ; ; 4; ; 74/17; ; ; 74/17; 17/4; ; 22/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-30 12:18:08 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 3/5; 13/20; 8/13; 4/7; 8/13; 8/13; 8/13; 13/20; 3/5; 8/13; 8/13; ; ; ; 8/13; ; 11/18; ; ; 3/5; 8/13; ; 4/7; ; 
Draw; 11/4; 14/5; 29/10; 11/4; 3; 3; 31/10; 29/10; 3; 14/5; 11/4; 3; 59/20; 14/5; 3; ; ; ; 3; ; 3; ; ; 3; 14/5; ; 14/5; ; 
Swansea; 5; 9/2; 17/4; 9/2; 9/2; 9/2; 5; 5; 17/4; 17/4; 9/2; 4; 9/2; 9/2; 9/2; ; ; ; 4; ; 74/17; ; ; 74/17; 17/4; ; 22/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-30 16:17:51 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 8/13; 8/13; 3/5; 8/13; 3/5; 4/7; 8/13; 3/5; 8/13; 13/20; 4/7; 4/7; 8/13; ; ; ; 8/13; ; 4/7; ; ; 3/5; 4/7; ; 4/7; ; 
Draw; 11/4; 3; 3; 14/5; 3; 3; 16/5; 29/10; 3; 3; 11/4; 3; 3; 29/10; 3; ; ; ; 3; ; 58/19; ; ; 3; 3; ; 3; ; 
Swansea; 5; 17/4; 9/2; 4; 9/2; 19/4; 5; 5; 9/2; 9/2; 9/2; 4; 19/4; 5; 9/2; ; ; ; 4; ; 79/17; ; ; 74/17; 9/2; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-30 20:18:09 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 8/13; 8/13; 3/5; 8/13; 3/5; 4/7; 8/13; 3/5; 8/13; 13/20; 4/7; 4/7; 8/13; ; ; ; 4/7; ; 4/7; ; ; 3/5; 4/7; ; 4/7; ; 
Draw; 11/4; 3; 3; 14/5; 3; 16/5; 16/5; 29/10; 3; 3; 11/4; 3; 3; 29/10; 3; ; ; ; 31/10; ; 58/19; ; ; 3; 3; ; 3; ; 
Swansea; 5; 17/4; 9/2; 4; 9/2; 19/4; 5; 5; 9/2; 9/2; 9/2; 4; 19/4; 5; 9/2; ; ; ; 17/4; ; 79/17; ; ; 74/17; 9/2; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-31 00:17:44 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 8/13; 8/13; 3/5; 8/13; 3/5; 4/7; 8/13; 3/5; 8/13; 13/20; 4/7; 6/10; 8/13; ; ; ; 4/7; ; 5/9; ; ; 3/5; 4/7; ; 4/7; ; 
Draw; 11/4; 29/10; 3; 14/5; 3; 3; 16/5; 29/10; 3; 3; 11/4; 3; 3; 14/5; 3; ; ; ; 31/10; ; 58/19; ; ; 3; 14/5; ; 3; ; 
Swansea; 5; 9/2; 9/2; 4; 9/2; 19/4; 5; 5; 9/2; 9/2; 9/2; 4; 19/4; 5; 9/2; ; ; ; 17/4; ; 24/5; ; ; 74/17; 9/2; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-31 04:17:24 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 8/13; 8/13; 3/5; 8/13; 3/5; 4/7; 8/13; 4/7; 8/13; 13/20; 4/7; 6/10; 8/13; ; ; ; 4/7; ; 5/9; ; ; 3/5; 4/7; ; 4/7; ; 
Draw; 11/4; 29/10; 3; 14/5; 3; 3; 16/5; 29/10; 3; 3; 11/4; 3; 3; 14/5; 3; ; ; ; 31/10; ; 58/19; ; ; 3; 14/5; ; 3; ; 
Swansea; 5; 9/2; 9/2; 4; 9/2; 19/4; 5; 5; 9/2; 9/2; 9/2; 4; 19/4; 5; 9/2; ; ; ; 17/4; ; 19/4; ; ; 74/17; 9/2; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-31 08:17:23 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 8/13; 8/13; 3/5; 8/13; 3/5; 4/7; 8/13; 4/7; 8/13; 13/20; 4/7; 6/10; 8/13; ; ; ; 4/7; ; 5/9; ; ; 3/5; 4/7; ; 4/7; ; 
Draw; 11/4; 29/10; 3; 14/5; 3; 3; 16/5; 29/10; 3; 3; 11/4; 3; 3; 14/5; 3; ; ; ; 31/10; ; 58/19; ; ; 3; 14/5; ; 3; ; 
Swansea; 5; 9/2; 9/2; 4; 9/2; 19/4; 5; 5; 9/2; 9/2; 9/2; 4; 19/4; 5; 9/2; ; ; ; 17/4; ; 24/5; ; ; 74/17; 9/2; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-31 12:17:33 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 8/13; 8/13; 3/5; ; 3/5; 4/7; 8/13; 3/5; 8/13; 13/20; 4/7; 6/10; 8/13; ; ; ; 4/7; ; 5/9; ; ; 3/5; 4/7; ; 4/7; ; 
Draw; 11/4; 29/10; 3; 14/5; 3; ; 16/5; 29/10; 3; 3; 11/4; 3; 3; 14/5; 3; ; ; ; 31/10; ; 58/19; ; ; 3; 14/5; ; 3; ; 
Swansea; 5; 9/2; 9/2; 4; 9/2; ; 5; 5; 9/2; 9/2; 9/2; 4; 19/4; 5; 9/2; ; ; ; 17/4; ; 24/5; ; ; 74/17; 9/2; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-31 16:17:39 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 3/5; ; 8/13; 4/7; 8/13; 8/13; 8/13; 13/20; 3/5; 8/13; 8/13; ; ; ; 4/7; ; 10/17; ; ; 3/5; 8/13; ; 4/7; ; 
Draw; 11/4; 29/10; 29/10; 14/5; 3; ; 31/10; 29/10; 3; 14/5; 11/4; 3; 59/20; 14/5; 3; ; ; ; 31/10; ; 56/19; ; ; 3; 14/5; ; 14/5; ; 
Swansea; 5; 9/2; 17/4; 4; 9/2; 470/100; 5; 5; 9/2; 17/4; 9/2; 4; 9/2; 24/5; 9/2; ; ; ; 17/4; ; 9/2; ; ; 74/17; 9/2; ; 9/2; ; 
META; english/premier-league/swansea-v-man-utd; 2016-10-31 20:17:56 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 3/5; ; 8/13; 4/7; 8/13; 8/13; 8/13; 13/20; 3/5; 8/13; 8/13; ; ; ; 3/5; ; 10/17; ; ; 8/13; 8/13; ; 4/7; ; 
Draw; 11/4; 29/10; 29/10; 14/5; 3; ; 31/10; 29/10; 3; 14/5; 11/4; 3; 59/20; 11/4; 3; ; ; ; 29/10; ; 3; ; ; 3; 14/5; ; 3; ; 
Swansea; 5; 17/4; 17/4; 4; 9/2; 19/4; 5; 5; 9/2; 17/4; 9/2; 4; 9/2; 24/5; 9/2; ; ; ; 17/4; ; 50/11; ; ; 9/2; 9/2; ; 9/2; ; 
META; english/premier-league/swansea-v-man-utd; 2016-11-01 00:17:36 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 3/5; ; 8/13; 4/7; 8/13; 8/13; 8/13; 13/20; 3/5; 8/13; 8/13; ; ; ; 3/5; ; 10/17; ; ; 8/13; 8/13; ; 4/7; ; 
Draw; 11/4; 29/10; 29/10; 14/5; 3; ; 31/10; 29/10; 3; 14/5; 11/4; 3; 59/20; 11/4; 3; ; ; ; 29/10; ; 56/19; ; ; 3; 14/5; ; 3; ; 
Swansea; 5; 9/2; 17/4; 4; 9/2; 19/4; 5; 5; 9/2; 17/4; 9/2; 4; 9/2; 24/5; 9/2; ; ; ; 17/4; ; 50/11; ; ; 9/2; 9/2; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-11-01 04:17:26 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 3/5; ; 8/13; 4/7; 8/13; 8/13; 8/13; 13/20; 3/5; 8/13; 8/13; ; ; ; 3/5; ; 10/17; ; ; 8/13; 8/13; ; 4/7; ; 
Draw; 11/4; 29/10; 29/10; 14/5; 3; ; 31/10; 29/10; 3; 3; 11/4; 3; 59/20; 11/4; 3; ; ; ; 29/10; ; 3; ; ; 3; 3; ; 3; ; 
Swansea; 5; 9/2; 17/4; 4; 9/2; 470/100; 5; 5; 9/2; 17/4; 9/2; 4; 9/2; 24/5; 9/2; ; ; ; 17/4; ; 50/11; ; ; 9/2; 9/2; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-11-01 08:17:35 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 3/5; ; 8/13; 4/7; 8/13; 8/13; 8/13; 13/20; 3/5; 8/13; 8/13; ; ; ; 3/5; ; 10/17; ; ; 8/13; 8/13; ; 4/7; ; 
Draw; 11/4; 29/10; 29/10; 14/5; 3; ; 16/5; 29/10; 3; 3; 11/4; 3; 3; 11/4; 3; ; ; ; 29/10; ; 3; ; ; 3; 3; ; 3; ; 
Swansea; 5; 9/2; 17/4; 4; 9/2; 470/100; 5; 5; 9/2; 17/4; 9/2; 4; 9/2; 24/5; 9/2; ; ; ; 17/4; ; 50/11; ; ; 9/2; 9/2; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-11-01 12:17:40 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 3/5; ; 8/13; 4/7; 8/13; 8/13; 8/13; 13/20; 3/5; 8/13; 8/13; ; ; ; 3/5; ; 11/18; ; ; 8/13; 8/13; ; 4/7; ; 
Draw; 11/4; 29/10; 29/10; 14/5; 3; ; 16/5; 29/10; 3; 3; 11/4; 3; 59/20; 14/5; 3; ; ; ; 29/10; ; 3; ; ; 3; 3; ; 3; ; 
Swansea; 5; 9/2; 17/4; 4; 9/2; 470/100; 5; 5; 9/2; 17/4; 9/2; 4; 9/2; 24/5; 9/2; ; ; ; 17/4; ; 9/2; ; ; 9/2; 9/2; ; 23/5; ; 
META; english/premier-league/swansea-v-man-utd; 2016-11-01 16:18:29 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 3/5; ; 8/13; 4/7; 8/13; 8/13; 8/13; 13/20; 3/5; 8/13; 8/13; ; ; ; 3/5; ; 10/17; ; ; 8/13; 8/13; ; 4/7; ; 8/13
Draw; 11/4; 3; 29/10; 14/5; 3; ; 16/5; 29/10; 3; 3; 11/4; 3; 3; 11/4; 3; ; ; ; 29/10; ; 3; ; ; 3; 3; ; 3; ; 3
Swansea; 5; 17/4; 17/4; 4; 9/2; 470/100; 5; 5; 9/2; 17/4; 9/2; 4; 9/2; 24/5; 9/2; ; ; ; 17/4; ; 50/11; ; ; 9/2; 9/2; ; 23/5; ; 24/5
META; english/premier-league/swansea-v-man-utd; 2016-11-01 20:17:44 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 3/5; ; 8/13; 4/7; 8/13; 8/13; 8/13; 13/20; 3/5; 8/13; 8/13; ; ; ; 3/5; ; 11/18; ; ; 8/13; 8/13; ; 4/7; ; 8/13
Draw; 11/4; 3; 29/10; 14/5; 3; ; 16/5; 3; 3; 3; 3; 3; 59/20; 11/4; 3; ; ; ; 29/10; ; 3; ; ; 3; 3; ; 3; ; 3
Swansea; 5; 17/4; 17/4; 4; 9/2; 470/100; 5; 5; 9/2; 17/4; 17/4; 4; 9/2; 24/5; 9/2; ; ; ; 17/4; ; 23/5; ; ; 9/2; 9/2; ; 23/5; ; 24/5
META; english/premier-league/swansea-v-man-utd; 2016-11-02 00:18:10 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 3/5; ; 8/13; 4/7; 8/13; 8/13; 8/13; 13/20; 3/5; 8/13; 8/13; ; ; ; 3/5; ; 11/18; ; ; 8/13; 8/13; ; 4/7; ; 8/13
Draw; 11/4; 3; 29/10; 14/5; 3; ; 31/10; 29/10; 3; 3; 3; 3; 59/20; 11/4; 3; ; ; ; 29/10; ; 3; ; ; 3; 3; ; 3; ; 3
Swansea; 5; 17/4; 17/4; 4; 9/2; 470/100; 5; 5; 9/2; 17/4; 17/4; 4; 9/2; 24/5; 9/2; ; ; ; 17/4; ; 50/11; ; ; 9/2; 9/2; ; 23/5; ; 24/5
META; english/premier-league/swansea-v-man-utd; 2016-11-02 04:17:24 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 3/5; ; 8/13; 4/7; 8/13; 8/13; 8/13; 13/20; ; 8/13; 8/13; ; ; ; 3/5; ; 11/18; ; ; 8/13; 8/13; ; 4/7; ; 4/7
Draw; 11/4; 3; 29/10; 14/5; 3; ; 31/10; 29/10; 3; 3; 3; 3; ; 11/4; 3; ; ; ; 29/10; ; 3; ; ; 3; 3; ; 3; ; 3
Swansea; 5; 17/4; 17/4; 4; 9/2; 470/100; 5; 5; 9/2; 17/4; 17/4; 4; ; 24/5; 9/2; ; ; ; 17/4; ; 9/2; ; ; 9/2; 9/2; ; 23/5; ; 24/5
META; english/premier-league/swansea-v-man-utd; 2016-11-02 08:17:22 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 3/5; ; 8/13; 4/7; 8/13; 8/13; 8/13; 13/20; ; 8/13; 8/13; ; ; ; 3/5; ; 11/18; ; ; 8/13; 8/13; ; 4/7; ; 4/7
Draw; 11/4; 3; 29/10; 14/5; 3; ; 31/10; 29/10; 3; 3; 3; 3; ; 11/4; 3; ; ; ; 29/10; ; 3; ; ; 3; 3; ; 3; ; 3
Swansea; 5; 17/4; 17/4; 4; 9/2; 470/100; 5; 5; 9/2; 17/4; 17/4; 4; ; 24/5; 9/2; ; ; ; 17/4; ; 9/2; ; ; 9/2; 9/2; ; 23/5; ; 24/5
META; english/premier-league/swansea-v-man-utd; 2016-11-02 12:17:46 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 3/5; ; 8/13; 4/7; 8/13; 8/13; 8/13; 13/20; 3/5; 8/13; 8/13; ; ; ; 3/5; ; 11/18; ; ; 8/13; 8/13; ; 4/7; ; 4/7
Draw; 11/4; 3; 29/10; 14/5; 3; ; 31/10; 29/10; 3; 3; 3; 3; 59/20; 11/4; 3; ; ; ; 29/10; ; 3; ; ; 41/13; 3; ; 3; ; 3
Swansea; 5; 17/4; 17/4; 4; 9/2; 470/100; 5; 5; 9/2; 17/4; 17/4; 4; 9/2; 24/5; 9/2; ; ; ; 17/4; ; 50/11; ; ; 9/2; 9/2; ; 23/5; ; 24/5
META; english/premier-league/swansea-v-man-utd; 2016-11-02 16:17:55 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 3/5; ; 8/13; 4/7; 8/13; 8/13; 4/6; 13/20; 3/5; 8/13; 8/13; ; ; ; 3/5; ; 10/17; ; ; 8/13; 8/13; ; 4/7; ; 4/7
Draw; 11/4; 3; 29/10; 14/5; 3; ; 31/10; 29/10; 3; 3; 14/5; 3; 59/20; 11/4; 3; ; ; ; 29/10; ; 58/19; ; ; 41/13; 3; ; 3; ; 3
Swansea; 5; 17/4; 17/4; 4; 9/2; 470/100; 5; 5; 9/2; 17/4; 4; 4; 9/2; 24/5; 9/2; ; ; ; 17/4; ; 79/17; ; ; 9/2; 9/2; ; 24/5; ; 5
META; english/premier-league/swansea-v-man-utd; 2016-11-02 20:18:02 GMT+3; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 3/5; ; 8/13; 4/7; 8/13; 8/13; 4/6; 13/20; ; 8/13; 8/13; ; ; ; 3/5; ; 11/18; ; ; 8/13; 8/13; ; 4/7; ; 4/7
Draw; 11/4; 3; 29/10; 14/5; 3; ; 31/10; 29/10; 3; 3; 14/5; 3; ; 11/4; 3; ; ; ; 29/10; ; 58/19; ; ; 41/13; 3; ; 3; ; 3
Swansea; 5; 17/4; 17/4; 4; 9/2; 19/4; 5; 5; 9/2; 17/4; 4; 4; ; 24/5; 9/2; ; ; ; 17/4; ; 23/5; ; ; 9/2; 9/2; ; 23/5; ; 24/5
META; english/premier-league/swansea-v-man-utd; 2016-11-03 00:17:01 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 3/5; ; 8/13; 4/7; 8/13; 8/13; 4/6; 13/20; 3/5; 8/13; 8/13; ; ; ; 3/5; ; 11/18; ; ; 8/13; 8/13; ; 4/7; ; 4/7
Draw; 11/4; 3; 29/10; 14/5; 3; ; 16/5; 29/10; 3; 3; 14/5; 3; 59/20; 11/4; 3; ; ; ; 29/10; ; 58/19; ; ; 41/13; 3; ; 14/5; ; 3
Swansea; 5; 17/4; 17/4; 4; 9/2; 19/4; 19/4; 5; 9/2; 17/4; 4; 4; 9/2; 24/5; 9/2; ; ; ; 17/4; ; 23/5; ; ; 9/2; 9/2; ; 23/5; ; 23/5
META; english/premier-league/swansea-v-man-utd; 2016-11-03 04:17:39 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 3/5; ; 8/13; 4/7; 8/13; 8/13; 4/6; 13/20; 3/5; 8/13; 8/13; ; ; ; 3/5; ; 11/18; ; ; 8/13; 8/13; ; 4/7; ; 4/7
Draw; 11/4; 3; 29/10; 14/5; 3; ; 16/5; 29/10; 3; 3; 14/5; 3; 59/20; 11/4; 3; ; ; ; 29/10; ; 58/19; ; ; 41/13; 3; ; 3; ; 3
Swansea; 5; 17/4; 17/4; 4; 9/2; 19/4; 19/4; 5; 9/2; 17/4; 4; 4; 9/2; 24/5; 9/2; ; ; ; 17/4; ; 23/5; ; ; 9/2; 9/2; ; 23/5; ; 23/5
META; english/premier-league/swansea-v-man-utd; 2016-11-03 08:16:48 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 3/5; ; 8/13; 4/7; 8/13; 8/13; 4/6; 13/20; 3/5; 8/13; 8/13; ; ; ; 3/5; ; 11/18; ; ; 8/13; 8/13; ; 4/7; ; 4/7
Draw; 11/4; 3; 29/10; 14/5; 3; ; 16/5; 29/10; 3; 3; 14/5; 3; 59/20; 11/4; 3; ; ; ; 29/10; ; 58/19; ; ; 41/13; 3; ; 3; ; 3
Swansea; 5; 17/4; 17/4; 4; 9/2; 19/4; 19/4; 5; 9/2; 17/4; 4; 4; 9/2; 24/5; 9/2; ; ; ; 17/4; ; 23/5; ; ; 9/2; 9/2; ; 23/5; ; 23/5
META; english/premier-league/swansea-v-man-utd; 2016-11-03 12:17:11 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 4/6; ; 8/13; 4/7; 8/13; 8/13; 4/6; 13/20; 3/5; 8/13; 8/13; ; ; ; 3/5; ; ; ; ; 8/13; 8/13; ; 4/7; ; 8/13
Draw; 11/4; 3; 29/10; 14/5; 16/5; ; 16/5; 3; 3; 3; 14/5; 3; 59/20; 11/4; 3; ; ; ; 29/10; ; ; ; ; 41/13; 3; ; 3; ; 3
Swansea; 5; 17/4; 17/4; 4; 9/2; 470/100; 19/4; 5; 9/2; 17/4; 4; 4; 9/2; 24/5; 9/2; ; ; ; 17/4; ; ; ; ; 9/2; 9/2; ; 23/5; ; 23/5
META; english/premier-league/swansea-v-man-utd; 2016-11-03 16:17:08 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 13/20; 8/13; 4/6; ; 8/13; 4/7; 8/13; 8/13; 4/6; 13/20; 3/5; 8/13; 8/13; ; ; ; 3/5; ; ; ; ; 8/13; 8/13; ; 4/7; ; 8/13
Draw; 11/4; 3; 29/10; 14/5; 16/5; ; 16/5; 3; 3; 3; 14/5; 3; 59/20; 11/4; 3; ; ; ; 29/10; ; ; ; ; 41/13; 14/5; ; 3; ; 3
Swansea; 5; 17/4; 9/2; 4; 9/2; 19/4; 19/4; 5; 9/2; 17/4; 4; 4; 9/2; 5; 9/2; ; ; ; 17/4; ; ; ; ; 9/2; 5; ; 23/5; ; 23/5
META; english/premier-league/swansea-v-man-utd; 2016-11-03 20:17:38 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 4/7; 8/13; 8/13; 8/13; 4/6; ; 8/13; 4/7; 8/13; 8/13; 4/6; 13/20; 3/5; 6/10; 8/13; ; ; ; 3/5; ; 11/18; ; ; 8/13; 8/13; ; 4/7; ; 4/7
Draw; 11/4; 3; 29/10; 3; 16/5; ; 16/5; 3; 3; 3; 14/5; 3; 3; 14/5; 3; ; ; ; 29/10; ; 31/10; ; ; 41/13; 14/5; ; 3; ; 3
Swansea; 5; 17/4; 9/2; 9/2; 9/2; 19/4; 19/4; 5; 9/2; 17/4; 4; 4; 9/2; 24/5; 9/2; ; ; ; 17/4; ; 24/5; ; ; 9/2; 9/2; ; 23/5; ; 23/5
META; english/premier-league/swansea-v-man-utd; 2016-11-04 00:16:50 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 7/10; 7/10; 3/4; 8/11; 7/10; 7/10; 8/11; 8/11; 7/10; 8/11; 13/20; 7/10; 7/10; 7/10; ; ; ; 3/5; ; 5/7; ; ; 7/10; 8/11; ; 4/6; ; 4/6
Draw; 13/5; 14/5; 14/5; 14/5; 3; 14/5; 29/10; 11/4; 14/5; 14/5; 14/5; 3; 57/20; 27/10; 14/5; ; ; ; 29/10; ; 29/10; ; ; 56/19; 11/4; ; 14/5; ; 3
Swansea; 15/4; 19/5; 19/5; 4; 4; 17/4; 22/5; 4; 19/5; 15/4; 7/2; 4; 15/4; 4; 4; ; ; ; 17/4; ; 77/19; ; ; 41/10; 4; ; 21/5; ; 22/5
META; english/premier-league/swansea-v-man-utd; 2016-11-04 04:15:57 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 7/10; 7/10; 3/4; 8/11; 8/11; 7/10; 8/11; 8/11; 7/10; 8/11; 13/20; 7/10; 7/10; 7/10; ; ; ; 3/5; ; 5/7; ; ; 7/10; 7/10; ; 4/6; ; 4/6
Draw; 3; 14/5; 14/5; 14/5; 3; 14/5; 29/10; 11/4; 14/5; 14/5; 14/5; 3; 57/20; 27/10; 14/5; ; ; ; 29/10; ; 29/10; ; ; 56/19; 11/4; ; 14/5; ; 3
Swansea; 4; 19/5; 19/5; 4; 4; 4; 22/5; 4; 19/5; 15/4; 7/2; 4; 15/4; 4; 4; ; ; ; 17/4; ; 77/19; ; ; 41/10; 4; ; 4; ; 21/5
META; english/premier-league/swansea-v-man-utd; 2016-11-04 08:16:00 GMT+2; 2016-11-06 15:00; e70300-dr003
Man Utd; 8/11; 7/10; 7/10; 3/4; 8/11; 8/11; 8/11; 8/11; 8/11; 7/10; 8/11; 13/20; 7/10; 7/10; 7/10; ; ; ; 4/6; ; 5/7; ; ; 7/10; 7/10; ; 4/6; ; 8/11
