META; english/premier-league/watford-v-hull; 2016-10-15 20:17:22 GMT+3; 2016-10-29 15:00; e70300-dr003
Draw; 11/4; ; 13/5; 11/4; 11/4; 14/5; 14/5; 13/5; 14/5; 13/5; 5/2; ; 27/10; ; 14/5; ; ; ; 11/4; ; ; 14/5; ; 27/10; 13/5; ; 14/5; ; 
Hull; 4; ; 19/5; 15/4; 19/5; 19/5; 17/4; 15/4; 4; 4; 18/5; ; 4; ; 4; ; ; ; 4; ; ; 43/10; ; 75/19; 15/4; ; 7/2; ; 
META; english/premier-league/watford-v-hull; 2016-10-22 16:17:31 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 4/6; ; 3/4; 8/11; 8/11; 3/4; 8/11; 3/4; 8/11; 8/11; 8/11; ; 7/10; ; 7/10; ; ; ; 4/6; ; ; 10/13; ; 7/10; 7/10; ; 4/6; ; 
Draw; 11/4; ; 13/5; 11/4; 11/4; 14/5; 14/5; 13/5; 14/5; 13/5; 5/2; ; 27/10; ; 14/5; ; ; ; 11/4; ; ; 14/5; ; 27/10; 13/5; ; 14/5; ; 
Hull; 4; ; 19/5; 15/4; 19/5; 19/5; 17/4; 15/4; 4; 4; 18/5; ; 4; ; 4; ; ; ; 4; ; ; 43/10; ; 75/19; 15/4; ; 7/2; ; 
META; english/premier-league/watford-v-hull; 2016-10-22 20:17:32 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 4/6; ; 8/11; 8/11; 8/11; 3/4; 8/11; 3/4; 8/11; 8/11; 7/10; ; 7/10; ; 7/10; ; ; ; 4/6; ; ; 3/4; ; 7/10; 7/10; ; 4/6; ; 
Draw; 11/4; ; 13/5; 11/4; 11/4; 14/5; 14/5; 13/5; 14/5; 13/5; 5/2; ; 27/10; ; 14/5; ; ; ; 11/4; ; ; 14/5; ; 27/10; 13/5; ; 14/5; ; 
Hull; 4; ; 4; 15/4; 19/5; 4; 22/5; 15/4; 4; 4; 15/4; ; 4; ; 4; ; ; ; 4; ; ; 9/2; ; 75/19; 15/4; ; 7/2; ; 
META; english/premier-league/watford-v-hull; 2016-10-23 00:17:15 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 4/6; 8/11; 8/11; 7/10; 8/11; 8/11; 8/11; 3/4; 8/11; 7/10; 7/10; ; 7/10; ; 7/10; ; ; ; 4/6; ; ; 3/4; ; 7/10; 7/10; ; 4/6; ; 
Draw; 11/4; 11/4; 13/5; 11/4; 11/4; 14/5; 14/5; 13/5; 14/5; 13/5; 5/2; ; 27/10; ; 14/5; ; ; ; 11/4; ; ; 14/5; ; 27/10; 13/5; ; 14/5; ; 
Hull; 4; 18/5; 4; 15/4; 19/5; 4; 22/5; 15/4; 4; 4; 15/4; ; 4; ; 4; ; ; ; 4; ; ; 9/2; ; 75/19; 15/4; ; 7/2; ; 
META; english/premier-league/watford-v-hull; 2016-10-23 04:17:08 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 4/6; 8/11; 8/11; 7/10; 8/11; 8/11; 8/11; 3/4; 8/11; 7/10; 8/11; ; 7/10; ; 7/10; ; ; ; 4/6; ; ; 3/4; ; 7/10; 7/10; ; 4/6; ; 
Draw; 11/4; 11/4; 13/5; 11/4; 11/4; 14/5; 14/5; 13/5; 14/5; 13/5; 5/2; ; 27/10; ; 14/5; ; ; ; 11/4; ; ; 14/5; ; 27/10; 13/5; ; 14/5; ; 
Hull; 4; 18/5; 4; 15/4; 19/5; 4; 22/5; 15/4; 4; 4; 4; ; 4; ; 4; ; ; ; 4; ; ; 9/2; ; 75/19; 15/4; ; 7/2; ; 
META; english/premier-league/watford-v-hull; 2016-10-23 08:17:20 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 4/6; 8/11; 8/11; 7/10; 8/11; 8/11; 8/11; 3/4; 8/11; 7/10; 8/11; ; 7/10; ; 7/10; ; ; ; 4/6; ; ; 3/4; ; 7/10; 7/10; ; 4/6; ; 
Draw; 11/4; 11/4; 13/5; 11/4; 11/4; 14/5; 14/5; 13/5; 14/5; 13/5; 5/2; ; 27/10; ; 14/5; ; ; ; 11/4; ; ; 14/5; ; 27/10; 13/5; ; 14/5; ; 
Hull; 4; 18/5; 4; 15/4; 19/5; 4; 22/5; 15/4; 4; 4; 4; ; 4; ; 4; ; ; ; 4; ; ; 9/2; ; 75/19; 15/4; ; 7/2; ; 
META; english/premier-league/watford-v-hull; 2016-10-23 12:17:13 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 4/6; 8/11; 8/11; 7/10; 8/11; 8/11; 8/11; 3/4; 8/11; 7/10; 8/11; 13/20; 7/10; ; 7/10; ; ; ; 4/6; ; ; 3/4; ; 7/10; 7/10; ; 4/6; ; 
Draw; 11/4; 11/4; 13/5; 11/4; 11/4; 14/5; 14/5; 13/5; 14/5; 13/5; 5/2; 5/2; 27/10; ; 14/5; ; ; ; 11/4; ; ; 14/5; ; 27/10; 13/5; ; 14/5; ; 
Hull; 4; 18/5; 4; 15/4; 19/5; 4; 22/5; 15/4; 4; 4; 4; 17/5; 4; ; 4; ; ; ; 4; ; ; 9/2; ; 75/19; 15/4; ; 4; ; 
META; english/premier-league/watford-v-hull; 2016-10-23 16:17:17 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 4/6; 8/11; 8/11; 7/10; 8/11; 8/11; 8/11; 3/4; 8/11; 7/10; 8/11; 13/20; 7/10; ; 7/10; ; ; ; 4/6; ; ; 3/4; ; 7/10; 7/10; ; 4/6; ; 
Draw; 11/4; 11/4; 13/5; 11/4; 11/4; 14/5; 14/5; 13/5; 14/5; 13/5; 5/2; 5/2; 27/10; ; 14/5; ; ; ; 11/4; ; ; 14/5; ; 27/10; 13/5; ; 14/5; ; 
Hull; 4; 18/5; 4; 15/4; 19/5; 4; 22/5; 15/4; 4; 17/4; 4; 17/5; 4; ; 4; ; ; ; 4; ; ; 9/2; ; 75/19; 15/4; ; 4; ; 
META; english/premier-league/watford-v-hull; 2016-10-23 20:17:21 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 4/6; 7/10; 3/4; 8/11; 8/11; 8/11; 8/11; 3/4; 8/11; 7/10; 8/11; 13/20; 4/6; ; 7/10; ; ; ; 4/6; ; ; 3/4; ; 4/6; 7/10; ; 4/6; 4/6; 
Draw; 11/4; 14/5; 13/5; 13/5; 11/4; 14/5; 14/5; 13/5; 14/5; 5/2; 5/2; 5/2; 27/10; ; 14/5; ; ; ; 11/4; ; ; 14/5; ; 45/17; 13/5; ; 14/5; 13/5; 
Hull; 4; 19/5; 19/5; 4; 19/5; 4; 17/4; 15/4; 4; 17/4; 4; 17/5; 17/4; ; 4; ; ; ; 4; ; ; 9/2; ; 74/17; 15/4; ; 4; 7/2; 
META; english/premier-league/watford-v-hull; 2016-10-24 00:17:06 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 7/10; 3/4; 3/4; 8/11; 3/4; 3/4; 3/4; 8/11; 3/4; 8/11; 13/20; 8/11; ; 7/10; ; ; ; 4/6; ; ; 10/13; ; 4/6; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 14/5; 13/5; 13/5; 11/4; 14/5; 14/5; 13/5; 14/5; 5/2; 5/2; 5/2; 53/20; ; 14/5; ; ; ; 11/4; ; ; 14/5; ; 45/17; 13/5; ; 11/4; 27/10; 
Hull; 4; 19/5; 15/4; 7/2; 19/5; 19/5; 21/5; 15/4; 19/5; 4; 4; 17/5; 15/4; ; 4; ; ; ; 4; ; ; 22/5; ; 74/17; 15/4; ; 7/2; 7/2; 
META; english/premier-league/watford-v-hull; 2016-10-24 04:17:23 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 7/10; 4/5; 3/4; 8/11; 4/5; 4/5; 3/4; 8/11; 3/4; 8/11; 13/20; 3/4; ; 4/5; ; ; ; 4/6; ; ; 10/13; ; 7/10; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 14/5; 13/5; 13/5; 11/4; 11/4; 27/10; 13/5; 14/5; 5/2; 5/2; 5/2; 13/5; ; 5/2; ; ; ; 11/4; ; ; 14/5; ; 13/5; 5/2; ; 11/4; 13/5; 
Hull; 4; 19/5; 18/5; 7/2; 19/5; 19/5; 19/5; 15/4; 19/5; 15/4; 4; 17/5; 15/4; ; 15/4; ; ; ; 4; ; ; 22/5; ; 54/13; 7/2; ; 7/2; 7/2; 
META; english/premier-league/watford-v-hull; 2016-10-24 08:17:09 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 7/10; 4/5; 4/5; 8/11; 4/5; 4/5; 3/4; 8/11; 3/4; 8/11; 13/20; 3/4; ; 4/5; ; ; ; 4/6; ; ; 10/13; ; 7/10; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 14/5; 13/5; 12/5; 11/4; 11/4; 27/10; 13/5; 14/5; 5/2; 5/2; 5/2; 13/5; ; 5/2; ; ; ; 11/4; ; ; 14/5; ; 13/5; 5/2; ; 11/4; 13/5; 
Hull; 4; 19/5; 18/5; 15/4; 19/5; 19/5; 19/5; 15/4; 19/5; 15/4; 4; 17/5; 15/4; ; 15/4; ; ; ; 4; ; ; 22/5; ; 54/13; 7/2; ; 7/2; 7/2; 
META; english/premier-league/watford-v-hull; 2016-10-24 12:17:28 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 4/5; 4/5; 4/5; 8/11; 4/5; 4/5; 3/4; 4/5; 3/4; 3/4; 17/20; 3/4; ; 4/5; ; ; ; 13/18; ; ; 10/13; ; 14/19; 4/5; ; 8/11; 8/11; 
Draw; 13/5; 13/5; 13/5; 12/5; 11/4; 11/4; 27/10; 13/5; 11/4; 5/2; 13/5; 13/5; 13/5; ; 5/2; ; ; ; 13/5; ; ; 14/5; ; 45/17; 13/5; ; 13/5; 13/5; 
Hull; 4; 7/2; 18/5; 15/4; 19/5; 19/5; 19/5; 15/4; 7/2; 15/4; 15/4; 7/2; 15/4; ; 15/4; ; ; ; 15/4; ; ; 22/5; ; 4; 15/4; ; 7/2; 7/2; 
META; english/premier-league/watford-v-hull; 2016-10-24 16:17:22 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 4/5; 4/5; 3/4; 8/11; 4/5; 4/5; 3/4; 4/5; 3/4; 3/4; 4/5; 3/4; 4/5; 4/5; ; ; ; 13/18; ; ; 13/16; ; 14/19; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 13/5; 13/5; 13/5; 11/4; 11/4; 27/10; 13/5; 11/4; 5/2; 13/5; 13/5; 13/5; 27/10; 5/2; ; ; ; 13/5; ; ; 52/19; ; 45/17; 13/5; ; 13/5; 5/2; 
Hull; 4; 7/2; 18/5; 7/2; 19/5; 19/5; 19/5; 15/4; 7/2; 15/4; 15/4; 7/2; 15/4; 17/5; 15/4; ; ; ; 15/4; ; ; 41/10; ; 4; 15/4; ; 7/2; 7/2; 
META; english/premier-league/watford-v-hull; 2016-10-24 20:17:33 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 3/4; 4/5; 3/4; 8/11; 4/5; 4/5; 3/4; 4/5; 3/4; 7/10; 4/5; 3/4; 4/5; 4/5; ; ; ; 13/18; ; ; 13/16; ; 14/19; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 11/4; 13/5; 13/5; 11/4; 11/4; 27/10; 13/5; 11/4; 5/2; 13/5; 13/5; 13/5; 27/10; 5/2; ; ; ; 13/5; ; ; 52/19; ; 45/17; 13/5; ; 13/5; 5/2; 
Hull; 4; 18/5; 18/5; 7/2; 19/5; 19/5; 19/5; 15/4; 7/2; 15/4; 4; 7/2; 15/4; 17/5; 15/4; ; ; ; 15/4; ; ; 41/10; ; 4; 15/4; ; 7/2; 7/2; 
META; english/premier-league/watford-v-hull; 2016-10-25 00:17:23 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 3/4; 4/5; 3/4; 8/11; 3/4; 4/5; 3/4; 4/5; 3/4; 7/10; 4/5; 3/4; 4/5; 4/5; ; ; ; 13/18; ; ; 13/16; ; 14/19; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 11/4; 13/5; 13/5; 11/4; 11/4; 27/10; 13/5; 11/4; 5/2; 13/5; 13/5; 13/5; 27/10; 5/2; ; ; ; 13/5; ; ; 52/19; ; 45/17; 13/5; ; 27/10; 27/10; 
Hull; 4; 18/5; 18/5; 7/2; 19/5; 19/5; 19/5; 15/4; 7/2; 15/4; 4; 7/2; 15/4; 17/5; 15/4; ; ; ; 15/4; ; ; 41/10; ; 4; 15/4; ; 4; 4; 
META; english/premier-league/watford-v-hull; 2016-10-25 04:17:19 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 3/4; 4/5; 3/4; 8/11; 3/4; 4/5; 3/4; 4/5; 3/4; 7/10; 4/5; 3/4; 3/4; 4/5; ; ; ; 13/18; ; ; 13/16; ; 14/19; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 11/4; 13/5; 13/5; 11/4; 11/4; 27/10; 13/5; 11/4; 5/2; 13/5; 13/5; 13/5; 5/2; 5/2; ; ; ; 13/5; ; ; 52/19; ; 45/17; 13/5; ; 27/10; 27/10; 
Hull; 4; 18/5; 18/5; 7/2; 19/5; 19/5; 19/5; 15/4; 7/2; 15/4; 4; 7/2; 15/4; 15/4; 15/4; ; ; ; 15/4; ; ; 41/10; ; 4; 15/4; ; 4; 4; 
META; english/premier-league/watford-v-hull; 2016-10-25 08:17:16 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 3/4; 4/5; 3/4; 8/11; 3/4; 4/5; 3/4; 4/5; 3/4; 7/10; 4/5; 3/4; 3/4; 4/5; ; ; ; 13/18; ; ; 13/16; ; 14/19; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 11/4; 13/5; 13/5; 11/4; 11/4; 27/10; 13/5; 11/4; 5/2; 13/5; 13/5; 13/5; 5/2; 5/2; ; ; ; 13/5; ; ; 52/19; ; 45/17; 13/5; ; 27/10; 27/10; 
Hull; 4; 18/5; 18/5; 7/2; 19/5; 19/5; 19/5; 15/4; 7/2; 15/4; 4; 7/2; 15/4; 15/4; 15/4; ; ; ; 15/4; ; ; 41/10; ; 4; 15/4; ; 4; 4; 
META; english/premier-league/watford-v-hull; 2016-10-25 12:17:29 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 3/4; 4/5; 3/4; 8/11; 3/4; 3/4; 3/4; 4/5; 3/4; 7/10; 4/5; 3/4; 3/4; 4/5; ; ; ; 13/18; ; ; 13/16; ; 14/19; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 11/4; 13/5; 13/5; 11/4; 11/4; 11/4; 13/5; 11/4; 5/2; 13/5; 13/5; 13/5; 5/2; 5/2; ; ; ; 13/5; ; ; 52/19; ; 45/17; 13/5; ; 13/5; 27/10; 
Hull; 4; 18/5; 37/10; 7/2; 19/5; 19/5; 21/5; 15/4; 7/2; 15/4; 4; 17/5; 15/4; 19/5; 15/4; ; ; ; 15/4; ; ; 41/10; ; 4; 15/4; ; 4; 4; 
META; english/premier-league/watford-v-hull; 2016-10-25 16:17:26 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 3/4; 4/5; 3/4; 8/11; 3/4; 3/4; 3/4; 4/5; 3/4; 7/10; 4/5; 3/4; 3/4; 4/5; ; ; ; 13/18; ; ; 11/14; ; 10/13; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 11/4; 5/2; 12/5; 11/4; 11/4; 11/4; 13/5; 11/4; 5/2; 13/5; 13/5; 13/5; 13/5; 5/2; ; ; ; 13/5; ; ; 11/4; ; 45/17; 13/5; ; 13/5; 13/5; 
Hull; 4; 18/5; 37/10; 4; 19/5; 19/5; 17/4; 15/4; 7/2; 15/4; 17/4; 17/5; 15/4; 19/5; 15/4; ; ; ; 15/4; ; ; 21/5; ; 4; 15/4; ; 4; 4; 
META; english/premier-league/watford-v-hull; 2016-10-25 20:17:25 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 3/4; 4/5; 3/4; 8/11; 3/4; 3/4; 3/4; 4/5; 3/4; 7/10; 4/5; 3/4; 3/4; 4/5; ; ; ; 13/18; ; ; 11/14; ; 7/9; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 11/4; 5/2; 12/5; 11/4; 11/4; 27/10; 13/5; 11/4; 5/2; 5/2; 13/5; 13/5; 5/2; 5/2; ; ; ; 13/5; ; ; 11/4; ; 11/4; 13/5; ; 13/5; 13/5; 
Hull; 4; 18/5; 37/10; 4; 19/5; 19/5; 21/5; 15/4; 7/2; 15/4; 17/4; 17/5; 15/4; 19/5; 15/4; ; ; ; 15/4; ; ; 21/5; ; 41/10; 15/4; ; 4; 4; 
META; english/premier-league/watford-v-hull; 2016-10-26 00:17:10 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 3/4; 4/5; 3/4; 8/11; 3/4; 3/4; 3/4; 4/5; 3/4; 7/10; 4/5; 3/4; 3/4; 4/5; ; ; ; 13/18; ; ; 11/14; ; 7/9; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 11/4; 5/2; 5/2; 11/4; 11/4; 27/10; 13/5; 11/4; 5/2; 13/5; 13/5; 13/5; 5/2; 5/2; ; ; ; 13/5; ; ; 11/4; ; 11/4; 13/5; ; 27/10; 13/5; 
Hull; 4; 18/5; 37/10; 15/4; 19/5; 19/5; 21/5; 15/4; 7/2; 15/4; 4; 17/5; 15/4; 19/5; 15/4; ; ; ; 15/4; ; ; 21/5; ; 41/10; 15/4; ; 4; 4; 
META; english/premier-league/watford-v-hull; 2016-10-26 04:17:05 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 3/4; 4/5; 3/4; 8/11; 8/11; 3/4; 3/4; 4/5; 3/4; 7/10; 4/5; 8/11; 8/11; 4/5; ; ; ; 13/18; ; ; 11/14; ; 7/9; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 11/4; 13/5; 5/2; 11/4; 14/5; 11/4; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; 13/5; 5/2; ; ; ; 13/5; ; ; 11/4; ; 11/4; 13/5; ; 27/10; 13/5; 
Hull; 4; 18/5; 19/5; 7/2; 19/5; 19/5; 17/4; 15/4; 19/5; 4; 17/4; 17/5; 4; 4; 15/4; ; ; ; 15/4; ; ; 21/5; ; 41/10; 15/4; ; 21/5; 4; 
META; english/premier-league/watford-v-hull; 2016-10-26 08:17:05 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 3/4; 3/4; 3/4; 8/11; 8/11; 3/4; 3/4; 4/5; 8/11; 7/10; 4/5; 8/11; 3/4; 4/5; ; ; ; 13/18; ; ; 11/14; ; 7/9; 3/4; ; 8/11; ; 
Draw; 13/5; 13/5; 13/5; 5/2; 11/4; 14/5; 11/4; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; 27/10; 5/2; ; ; ; 13/5; ; ; 11/4; ; 11/4; 13/5; ; 27/10; ; 
Hull; 4; 19/5; 19/5; 7/2; 19/5; 19/5; 17/4; 15/4; 19/5; 4; 17/4; 17/5; 4; 15/4; 15/4; ; ; ; 15/4; ; ; 21/5; ; 41/10; 15/4; ; 21/5; ; 
META; english/premier-league/watford-v-hull; 2016-10-26 12:17:40 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 3/4; 3/4; 3/4; 8/11; 8/11; 3/4; 3/4; 4/5; 8/11; 7/10; 4/5; 8/11; 3/4; 3/4; ; ; ; 13/18; ; ; 10/13; ; 7/9; 3/4; ; 8/11; 4/6; 
Draw; 13/5; 13/5; 13/5; 5/2; 11/4; 14/5; 11/4; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; 27/10; 13/5; ; ; ; 13/5; ; ; 11/4; ; 11/4; 13/5; ; 27/10; 5/2; 
Hull; 4; 19/5; 19/5; 15/4; 19/5; 19/5; 17/4; 15/4; 19/5; 4; 17/4; 17/5; 4; 15/4; 4; ; ; ; 15/4; ; ; 9/2; ; 41/10; 15/4; ; 21/5; 4; 
META; english/premier-league/watford-v-hull; 2016-10-26 16:17:41 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 3/4; 3/4; 3/4; 8/11; 8/11; 3/4; 3/4; 4/5; 8/11; 7/10; 3/4; 8/11; 3/4; 3/4; ; ; ; 13/18; ; ; 10/13; ; 7/9; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 13/5; 13/5; 5/2; 11/4; 14/5; 11/4; 13/5; 13/5; 5/2; 5/2; 13/5; 13/5; 27/10; 13/5; ; ; ; 13/5; ; ; 11/4; ; 11/4; 13/5; ; 27/10; 27/10; 
Hull; 4; 19/5; 19/5; 15/4; 19/5; 19/5; 17/4; 15/4; 19/5; 4; 17/4; 18/5; 4; 15/4; 4; ; ; ; 15/4; ; ; 9/2; ; 41/10; 15/4; ; 21/5; 21/5; 
META; english/premier-league/watford-v-hull; 2016-10-26 20:17:22 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 3/4; 3/4; 3/4; 8/11; 8/11; 3/4; 3/4; 4/5; 8/11; 7/10; 3/4; ; 8/11; 3/4; ; ; ; 13/18; ; ; 7/9; ; 7/9; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 13/5; 13/5; 13/5; 11/4; 14/5; 11/4; 13/5; 13/5; 13/5; 5/2; 13/5; ; 27/10; 13/5; ; ; ; 13/5; ; ; 11/4; ; 11/4; 13/5; ; 27/10; 27/10; 
Hull; 4; 19/5; 19/5; 15/4; 19/5; 4; 17/4; 15/4; 19/5; 4; 17/4; 18/5; ; 15/4; 4; ; ; ; 15/4; ; ; 22/5; ; 41/10; 15/4; ; 21/5; 21/5; 
META; english/premier-league/watford-v-hull; 2016-10-27 00:17:04 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 3/4; 3/4; 3/4; 8/11; 8/11; 3/4; 3/4; 4/5; 8/11; 7/10; 3/4; 7/10; 8/11; 3/4; ; ; ; 13/18; ; ; 7/9; ; 7/9; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 13/5; 13/5; 13/5; 11/4; 14/5; 11/4; 13/5; 13/5; 13/5; 5/2; 13/5; 53/20; 27/10; 13/5; ; ; ; 13/5; ; ; 11/4; ; 11/4; 13/5; ; 13/5; 27/10; 
Hull; 4; 19/5; 19/5; 15/4; 19/5; 4; 17/4; 15/4; 19/5; 4; 17/4; 18/5; 4; 15/4; 4; ; ; ; 15/4; ; ; 22/5; ; 41/10; 15/4; ; 21/5; 21/5; 
META; english/premier-league/watford-v-hull; 2016-10-27 04:17:07 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 3/4; 3/4; 3/4; 8/11; 8/11; 3/4; 3/4; 4/5; 8/11; 7/10; 3/4; ; 8/11; 3/4; ; ; ; 13/18; ; ; 7/9; ; 7/9; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 13/5; 13/5; 13/5; 11/4; 14/5; 11/4; 13/5; 13/5; 13/5; 5/2; 13/5; ; 27/10; 13/5; ; ; ; 13/5; ; ; 11/4; ; 11/4; 13/5; ; 13/5; 27/10; 
Hull; 4; 19/5; 19/5; 15/4; 19/5; 4; 17/4; 15/4; 19/5; 4; 17/4; 18/5; ; 15/4; 4; ; ; ; 15/4; ; ; 22/5; ; 41/10; 15/4; ; 21/5; 21/5; 
META; english/premier-league/watford-v-hull; 2016-10-27 08:17:14 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 3/4; 3/4; 3/4; 8/11; 8/11; 8/11; 3/4; 4/5; 8/11; 7/10; 3/4; 7/10; 8/11; 3/4; ; ; ; 13/18; ; ; 7/9; ; 7/9; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 13/5; 13/5; 13/5; 11/4; 14/5; 11/4; 13/5; 13/5; 13/5; 5/2; 13/5; 53/20; 27/10; 13/5; ; ; ; 13/5; ; ; 11/4; ; 11/4; 13/5; ; 13/5; 27/10; 
Hull; 4; 19/5; 19/5; 15/4; 19/5; 4; 22/5; 15/4; 19/5; 4; 9/2; 18/5; 4; 15/4; 4; ; ; ; 15/4; ; ; 22/5; ; 41/10; 15/4; ; 21/5; 21/5; 
META; english/premier-league/watford-v-hull; 2016-10-27 12:17:36 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 3/4; 3/4; 3/4; 8/11; 8/11; 3/4; 3/4; 4/5; 8/11; 7/10; 3/4; 7/10; 8/11; 3/4; ; ; ; 13/18; ; ; 7/9; ; 7/9; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 13/5; 13/5; 13/5; 11/4; 14/5; 11/4; 13/5; 13/5; 5/2; 5/2; 13/5; 53/20; 27/10; 13/5; ; ; ; 13/5; ; ; 11/4; ; 11/4; 13/5; ; 13/5; 27/10; 
Hull; 4; 19/5; 19/5; 15/4; 19/5; 4; 17/4; 15/4; 19/5; 4; 17/4; 18/5; 4; 15/4; 4; ; ; ; 15/4; ; ; 22/5; ; 41/10; 15/4; ; 21/5; 21/5; 
META; english/premier-league/watford-v-hull; 2016-10-27 16:17:20 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 3/4; 3/4; 3/4; 8/11; 8/11; 3/4; 3/4; 4/5; 3/4; 7/10; 3/4; 3/4; 8/11; 3/4; ; ; ; 13/18; ; ; 7/9; ; 7/9; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 13/5; 13/5; 13/5; 11/4; 14/5; 11/4; 13/5; 13/5; 13/5; 12/5; 13/5; 27/10; 27/10; 13/5; ; ; ; 13/5; ; ; 11/4; ; 11/4; 13/5; ; 13/5; 27/10; 
Hull; 4; 19/5; 19/5; 15/4; 9/2; 4; 17/4; 15/4; 19/5; 17/4; 9/2; 18/5; ; 15/4; 4; ; ; ; 15/4; ; ; 22/5; ; 41/10; 15/4; ; 21/5; 21/5; 
META; english/premier-league/watford-v-hull; 2016-10-27 20:17:22 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 3/4; 3/4; 8/11; 8/11; 8/11; 3/4; 3/4; 4/5; 3/4; 7/10; 3/4; 8/11; 8/11; 3/4; ; ; ; 13/18; ; ; 10/13; ; 3/4; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 13/5; 13/5; 5/2; 11/4; 14/5; 11/4; 13/5; 13/5; 13/5; 12/5; 11/4; 27/10; 27/10; 13/5; ; ; ; 13/5; ; ; 11/4; ; 11/4; 13/5; ; 13/5; 27/10; 
Hull; 4; 19/5; 19/5; 15/4; 9/2; 4; 22/5; 15/4; 19/5; 17/4; 9/2; 4; 4; 15/4; 4; ; ; ; 15/4; ; ; 9/2; ; 74/17; 4; ; 21/5; 21/5; 
META; english/premier-league/watford-v-hull; 2016-10-28 00:17:15 GMT+3; 2016-10-29 15:00; e70300-dr003
Watford; 7/10; 3/4; 3/4; 8/11; 8/11; 8/11; 3/4; 3/4; 8/11; 3/4; 7/10; 3/4; 8/11; 8/11; 3/4; ; ; ; 13/18; ; ; 3/4; ; 3/4; 3/4; ; 8/11; 8/11; 
Draw; 13/5; 13/5; 13/5; 5/2; 11/4; 11/4; 11/4; 13/5; 11/4; 13/5; 12/5; 11/4; 27/10; 13/5; 13/5; ; ; ; 13/5; ; ; 27/10; ; 11/4; 13/5; ; 13/5; 27/10; 
Hull; 4; 19/5; 4; 15/4; 9/2; 4; 22/5; 4; 4; 17/4; 9/2; 4; 4; 4; 4; ; ; ; 15/4; ; ; 23/5; ; 74/17; 4; ; 21/5; 21/5; 
META; english/premier-league/watford-v-hull; 2016-10-28 00:55:53 GMT+3; 2016-10-29 15:00; e70300-dr003
