META; english/premier-league/leicester-v-stoke; 2017-03-07 00:16:40 GMT+2; 2017-04-01 15:00; e70300-dr003
Draw; 12/5; ; 47/20; 12/5; 12/5; ; 5/2; 9/4; 12/5; 23/10; 9/4; ; ; ; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 13/5; ; 13/5; 13/5; 11/4; ; 29/10; 2; 13/5; 13/5; 12/5; ; ; ; 13/5; 13/5; 45/17; 5/2; 5/2; 45/17; 11/4; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-14 16:16:19 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 21/20; ; 11/10; 21/20; 21/20; ; 21/20; 5/4; 11/10; 21/20; 21/20; 21/20; ; ; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 28/25; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 12/5; ; 47/20; 12/5; 12/5; ; 5/2; 9/4; 12/5; 23/10; 9/4; 12/5; ; ; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 13/5; ; 13/5; 13/5; 11/4; ; 29/10; 2; 13/5; 13/5; 12/5; 13/5; ; ; 13/5; 13/5; 45/17; 5/2; 5/2; 45/17; 57/20; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-14 20:16:18 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 21/20; ; 11/10; 21/20; 21/20; ; 21/20; 5/4; 11/10; 21/20; 21/20; 21/20; ; ; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 28/25; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 12/5; ; 47/20; 12/5; 12/5; ; 5/2; 9/4; 12/5; 23/10; 9/4; 12/5; ; ; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 13/5; ; 13/5; 13/5; 11/4; ; 29/10; 2; 13/5; 13/5; 12/5; 13/5; ; ; 13/5; 13/5; 45/17; 5/2; 5/2; 45/17; 57/20; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-15 00:16:18 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 21/20; 11/10; 11/10; 21/20; 21/20; ; 21/20; 5/4; 11/10; 1; 21/20; 21/20; ; ; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 28/25; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 12/5; 12/5; 47/20; 12/5; 12/5; ; 5/2; 9/4; 12/5; 23/10; 9/4; 23/10; ; ; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 13/5; 12/5; 27/10; 13/5; 11/4; ; 29/10; 2; 13/5; 11/4; 5/2; 11/4; ; ; 13/5; 13/5; 45/17; 5/2; 5/2; 45/17; 57/20; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-15 04:16:11 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 21/20; 11/10; 11/10; 21/20; 21/20; ; 21/20; 5/4; 11/10; 1; 21/20; 21/20; ; ; 21/20; 11/10; 21/20; 21/20; 21/20; ; 28/25; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 12/5; 12/5; 47/20; 12/5; 12/5; ; 5/2; 9/4; 12/5; 23/10; 9/4; 23/10; ; ; 5/2; 12/5; 40/17; 40/17; 12/5; ; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 13/5; 12/5; 27/10; 13/5; 11/4; ; 29/10; 2; 13/5; 11/4; 5/2; 11/4; ; ; 13/5; 13/5; 45/17; 5/2; 5/2; ; 57/20; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-15 08:16:11 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 1; 11/10; 11/10; 21/20; 21/20; ; 21/20; 5/4; 11/10; 1; 21/20; 21/20; ; ; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 28/25; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 47/20; 12/5; 12/5; ; 5/2; 9/4; 12/5; 23/10; 9/4; 23/10; ; ; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 14/5; 12/5; 27/10; 13/5; 11/4; ; 29/10; 2; 13/5; 11/4; 5/2; 11/4; ; ; 13/5; 13/5; 45/17; 5/2; 5/2; 45/17; 57/20; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-15 12:16:56 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 1; 11/10; 11/10; 21/20; 21/20; ; 21/20; 5/4; 11/10; 1; 21/20; 21/20; ; 1; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 28/25; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 47/20; 12/5; 12/5; ; 5/2; 9/4; 12/5; 23/10; 9/4; 23/10; ; 23/10; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 14/5; 12/5; 27/10; 13/5; 11/4; ; 29/10; 2; 13/5; 11/4; 5/2; 11/4; ; 12/5; 13/5; 13/5; 45/17; 5/2; 5/2; 45/17; 57/20; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-15 16:16:22 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 1; 11/10; 11/10; 21/20; 21/20; 1; 21/20; 5/4; 11/10; 1; 21/20; 21/20; ; 1; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 47/20; 12/5; 12/5; 9/4; 5/2; 9/4; 12/5; 23/10; 9/4; 23/10; ; 23/10; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 14/5; 12/5; 27/10; 13/5; 11/4; 11/4; 29/10; 2; 13/5; 11/4; 5/2; 11/4; ; 12/5; 13/5; 13/5; 45/17; 5/2; 5/2; 45/17; 29/10; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-15 20:16:15 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 1; 11/10; 11/10; 21/20; 21/20; 1; 21/20; 5/4; 11/10; 1; 21/20; 21/20; ; 1; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 47/20; 12/5; 12/5; 9/4; 5/2; 9/4; 12/5; 23/10; 9/4; 23/10; ; 23/10; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 14/5; 12/5; 27/10; 13/5; 11/4; 11/4; 29/10; 2; 13/5; 11/4; 5/2; 11/4; ; 12/5; 13/5; 13/5; 45/17; 5/2; 5/2; 13/5; 29/10; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-16 00:17:07 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 1; 11/10; 11/10; 21/20; 21/20; 1; 21/20; 5/4; 11/10; 1; 21/20; 21/20; ; 1; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 47/20; 12/5; 12/5; 9/4; 5/2; 9/4; 12/5; 23/10; 9/4; 23/10; ; 23/10; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 14/5; 12/5; 27/10; 13/5; 11/4; 11/4; 29/10; 2; 13/5; 11/4; 5/2; 11/4; ; 12/5; 13/5; 13/5; 45/17; 5/2; 5/2; 45/17; 29/10; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-16 04:16:10 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 1; 11/10; 11/10; 21/20; 21/20; 1; 21/20; 5/4; 11/10; 1; 21/20; 21/20; ; 1; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 47/20; 12/5; 12/5; 9/4; 5/2; 9/4; 12/5; 23/10; 9/4; 12/5; ; 23/10; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 14/5; 12/5; 27/10; 13/5; 11/4; 11/4; 29/10; 2; 13/5; 11/4; 5/2; 13/5; ; 12/5; 13/5; 13/5; 45/17; 5/2; 5/2; 45/17; 29/10; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-16 08:16:06 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 1; 11/10; 11/10; 21/20; 21/20; 1; 21/20; 5/4; 11/10; 1; 21/20; 21/20; ; 1; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 47/20; 12/5; 12/5; 9/4; 5/2; 9/4; 12/5; 23/10; 9/4; 12/5; ; 23/10; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 14/5; 12/5; 27/10; 13/5; 11/4; 11/4; 29/10; 2; 13/5; 11/4; 5/2; 13/5; ; 12/5; 13/5; 13/5; 45/17; 5/2; 5/2; 45/17; 29/10; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-16 12:16:00 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 1; 11/10; 11/10; 21/20; 21/20; 1; 21/20; 5/4; 11/10; 1; 21/20; 21/20; ; 1; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 47/20; 12/5; 12/5; 9/4; 5/2; 9/4; 12/5; 23/10; 9/4; 12/5; ; 23/10; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 14/5; 12/5; 27/10; 13/5; 11/4; 11/4; 29/10; 2; 13/5; 11/4; 5/2; 13/5; ; 12/5; 13/5; 13/5; 45/17; 5/2; 5/2; 45/17; 29/10; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-16 16:15:56 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 1; 11/10; 11/10; 21/20; 21/20; 1; 21/20; 5/4; 11/10; 1; 21/20; 21/20; ; 1; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 47/20; 12/5; 12/5; 9/4; 5/2; 9/4; 12/5; 23/10; 9/4; 12/5; ; 23/10; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 14/5; 12/5; 27/10; 13/5; 11/4; 11/4; 29/10; 2; 13/5; 11/4; 5/2; 13/5; ; 12/5; 13/5; 13/5; 45/17; 5/2; 5/2; 45/17; 29/10; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-16 20:16:04 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 1; 11/10; 11/10; 21/20; 21/20; 1; 21/20; 5/4; 11/10; 1; 21/20; 21/20; ; 1; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 47/20; 12/5; 12/5; 9/4; 5/2; 9/4; 12/5; 23/10; 9/4; 12/5; ; 23/10; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 14/5; 12/5; 27/10; 13/5; 11/4; 11/4; 29/10; 2; 13/5; 11/4; 5/2; 13/5; ; 12/5; 13/5; 13/5; 45/17; 5/2; 5/2; 45/17; 29/10; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-17 00:15:52 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 1; 11/10; 11/10; 21/20; 21/20; 1; 21/20; 5/4; 11/10; 1; 21/20; 21/20; ; 1; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 47/20; 12/5; 12/5; 9/4; 5/2; 9/4; 12/5; 23/10; 9/4; 12/5; ; 23/10; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 14/5; 12/5; 27/10; 13/5; 11/4; 11/4; 29/10; 2; 13/5; 11/4; 5/2; 13/5; ; 12/5; 13/5; 13/5; 45/17; 5/2; 5/2; 45/17; 29/10; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-17 04:15:38 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 1; 11/10; 11/10; 21/20; 21/20; 1; 21/20; 5/4; 11/10; 1; 21/20; 21/20; ; 1; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 47/20; 12/5; 12/5; 9/4; 5/2; 9/4; 12/5; 23/10; 9/4; 12/5; ; 23/10; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 14/5; 12/5; 13/5; 13/5; 11/4; 11/4; 29/10; 2; 13/5; 11/4; 5/2; 13/5; ; 12/5; 13/5; 13/5; 45/17; 5/2; 5/2; 45/17; 29/10; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-17 08:15:36 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 1; 11/10; 11/10; 21/20; 21/20; 1; 21/20; 5/4; ; 1; 21/20; 21/20; ; 1; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 47/20; 12/5; 12/5; 9/4; 5/2; 9/4; ; 23/10; 9/4; 12/5; ; 23/10; 5/2; 12/5; 23/10; 40/17; 12/5; 23/10; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 14/5; 12/5; 13/5; 13/5; 11/4; 11/4; 29/10; 2; ; 11/4; 5/2; 13/5; ; 12/5; 13/5; 13/5; 27/10; 5/2; 5/2; 27/10; 29/10; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-17 12:16:26 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 1; 11/10; 11/10; 21/20; 11/10; 1; 21/20; 5/4; 11/10; 21/20; 21/20; 21/20; ; 1; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 47/20; 12/5; 5/2; 9/4; 5/2; 9/4; 12/5; 23/10; 9/4; 12/5; ; 23/10; 5/2; 12/5; 40/17; 40/17; 12/5; 40/17; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 14/5; 12/5; 13/5; 13/5; 11/4; 11/4; 29/10; 2; 13/5; 13/5; 5/2; 13/5; ; 12/5; 13/5; 13/5; 45/17; 5/2; 5/2; 45/17; 29/10; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-17 16:16:37 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 1; 11/10; 11/10; 21/20; 11/10; 1; 21/20; 5/4; 11/10; 21/20; 21/20; 21/20; ; 1; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 47/20; 12/5; 5/2; 9/4; 5/2; 9/4; 12/5; 23/10; 9/4; 12/5; ; 23/10; 5/2; 12/5; 12/5; 40/17; 12/5; 12/5; 5/2; 12/5; 12/5; ; 12/5; ; ; ; 
Stoke; 14/5; 12/5; 13/5; 13/5; 11/4; 11/4; 29/10; 2; 13/5; 13/5; 5/2; 13/5; ; 12/5; 13/5; 13/5; 27/10; 5/2; 5/2; 27/10; 29/10; 27/10; 28/11; ; 28/11; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-17 20:16:15 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 1; 11/10; 11/10; 21/20; 11/10; 1; 21/20; 5/4; ; 21/20; 21/20; 21/20; 1; 1; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 47/20; 12/5; 5/2; 9/4; 5/2; 9/4; ; 23/10; 9/4; 12/5; 12/5; 23/10; 5/2; 12/5; 40/17; 40/17; 23/10; 40/17; 5/2; 12/5; 40/17; ; 40/17; ; ; ; 
Stoke; 14/5; 12/5; 13/5; 13/5; 11/4; 11/4; 29/10; 2; ; 13/5; 5/2; 13/5; 27/10; 12/5; 13/5; 13/5; 27/10; 5/2; 13/5; 27/10; 29/10; 27/10; 45/17; ; 45/17; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-18 00:16:00 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 1; 11/10; 11/10; 21/20; 11/10; 1; ; 5/4; 11/10; 21/20; 21/20; 21/20; 1; 1; 21/20; 11/10; 21/20; 21/20; 21/20; ; 11/10; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 47/20; 12/5; 5/2; 9/4; ; 9/4; 12/5; 23/10; 9/4; 12/5; 12/5; 23/10; 5/2; 12/5; 40/17; 40/17; 23/10; ; 5/2; 12/5; 40/17; ; 40/17; ; ; ; 
Stoke; 14/5; 12/5; 13/5; 13/5; 11/4; 11/4; ; 2; 13/5; 13/5; 5/2; 13/5; 27/10; 12/5; 13/5; 13/5; 27/10; 5/2; 13/5; ; 29/10; 27/10; 45/17; ; 45/17; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-18 04:16:14 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 1; 11/10; 11/10; 21/20; 11/10; 1; 21/20; 5/4; 11/10; 21/20; 21/20; 21/20; 1; 1; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 47/20; 12/5; 5/2; 9/4; 5/2; 9/4; 12/5; 23/10; 9/4; 12/5; 12/5; 23/10; 5/2; 12/5; 40/17; 40/17; 23/10; 40/17; 5/2; 12/5; 40/17; ; 40/17; ; ; ; 
Stoke; 14/5; 12/5; 13/5; 13/5; 11/4; 11/4; 29/10; 2; 13/5; 13/5; 5/2; 13/5; 27/10; 12/5; 13/5; 13/5; 27/10; 5/2; 13/5; 27/10; 29/10; 27/10; 45/17; ; 45/17; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-18 08:16:15 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 1; 11/10; 11/10; 21/20; 11/10; 1; ; 5/4; ; 21/20; 21/20; 21/20; 1; 1; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 47/20; 12/5; 5/2; 9/4; ; 9/4; ; 23/10; 9/4; 12/5; 12/5; 23/10; 5/2; 12/5; 40/17; 40/17; 23/10; 40/17; 5/2; 12/5; 40/17; ; 40/17; ; ; ; 
Stoke; 14/5; 12/5; 13/5; 13/5; 11/4; 11/4; ; 2; ; 13/5; 5/2; 13/5; 27/10; 12/5; 13/5; 13/5; 27/10; 5/2; 13/5; 27/10; 29/10; 27/10; 45/17; ; 45/17; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-18 12:16:47 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 1; 11/10; 11/10; 21/20; 11/10; 1; ; 5/4; 11/10; 21/20; 21/20; 21/20; 1; 1; 21/20; 15/13; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 47/20; 12/5; 5/2; 9/4; ; 9/4; 12/5; 23/10; 9/4; 12/5; 12/5; 23/10; 5/2; 5/2; 40/17; 40/17; 23/10; 40/17; 5/2; 12/5; 40/17; ; 40/17; ; ; ; 
Stoke; 14/5; 12/5; 13/5; 13/5; 11/4; 11/4; ; 2; 13/5; 13/5; 5/2; 13/5; 27/10; 12/5; 13/5; 11/4; 27/10; 5/2; 13/5; 27/10; 29/10; 27/10; 45/17; ; 45/17; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-18 16:16:27 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 1; 11/10; 11/10; 21/20; 11/10; 1; 21/20; 5/4; 11/10; 21/20; 21/20; 21/20; 1; 1; 21/20; 15/13; 21/20; 21/20; 21/20; 21/20; 11/10; 21/20; 21/20; ; 21/20; ; ; ; 
Draw; 23/10; 12/5; 47/20; 12/5; 5/2; 9/4; 5/2; 9/4; 12/5; 23/10; 9/4; 12/5; 12/5; 23/10; 5/2; 5/2; 40/17; 40/17; 23/10; 40/17; 5/2; 12/5; 40/17; ; 40/17; ; ; ; 
Stoke; 14/5; 12/5; 13/5; 13/5; 11/4; 11/4; 29/10; 2; 13/5; 13/5; 5/2; 13/5; 27/10; 12/5; 13/5; 11/4; 27/10; 5/2; 13/5; 27/10; 29/10; 27/10; 45/17; ; 45/17; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-18 20:16:06 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 10/11; 11/10; 1; 21/20; 1; 1; 1; 5/4; 1; 20/21; 19/20; 20/21; 19/20; 10/11; 1; 21/20; 1; 19/20; 21/20; 1; 21/20; 19/20; 21/20; ; 21/20; ; ; ; 
Draw; 12/5; 12/5; 12/5; 12/5; 5/2; 9/4; 5/2; 9/4; 5/2; 12/5; 9/4; 23/10; 12/5; 23/10; 5/2; 5/2; 12/5; 12/5; 23/10; 12/5; 5/2; 27/11; 40/17; ; 40/17; ; ; ; 
Stoke; 16/5; 12/5; 29/10; 13/5; 16/5; 11/4; 16/5; 2; 14/5; 14/5; 27/10; 3; 29/10; 13/5; 14/5; 3; 29/10; 14/5; 13/5; 29/10; 31/10; 58/19; 45/17; ; 45/17; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-19 00:15:39 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 10/11; 19/20; 1; 10/11; 1; 1; 1; 5/4; 1; 20/21; 19/20; 20/21; 19/20; 10/11; 1; 1; 1; 19/20; 21/20; 1; 21/20; 19/20; 21/20; 19/20; 21/20; ; ; ; 
Draw; 12/5; 12/5; 12/5; 12/5; 5/2; 9/4; 5/2; 9/4; 5/2; 12/5; 9/4; 23/10; 12/5; 23/10; 5/2; 5/2; 12/5; 12/5; 23/10; 12/5; 5/2; 27/11; 40/17; 12/5; 40/17; ; ; ; 
Stoke; 16/5; 29/10; 29/10; 3; 16/5; 11/4; 31/10; 2; 14/5; 14/5; 27/10; 3; 29/10; 13/5; 14/5; 16/5; 29/10; 14/5; 13/5; 29/10; 31/10; 58/19; 45/17; 14/5; 45/17; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-19 04:15:56 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 10/11; 19/20; 1; 10/11; 1; 1; 1; 5/4; 1; 20/21; 19/20; 20/21; 19/20; 10/11; 1; 1; 1; 19/20; 21/20; 1; 21/20; 19/20; 21/20; 19/20; 21/20; ; ; ; 
Draw; 12/5; 12/5; 12/5; 12/5; 5/2; 9/4; 5/2; 9/4; 5/2; 12/5; 9/4; 23/10; 12/5; 23/10; 5/2; 5/2; 12/5; 12/5; 23/10; 12/5; 5/2; 27/11; 40/17; 12/5; 40/17; ; ; ; 
Stoke; 16/5; 29/10; 29/10; 3; 16/5; 11/4; 31/10; 2; 14/5; 14/5; 27/10; 3; 29/10; 13/5; 14/5; 16/5; 29/10; 14/5; 13/5; 29/10; 31/10; 58/19; 45/17; 14/5; 45/17; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-19 08:15:55 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 10/11; 19/20; 1; 10/11; 1; 1; 1; 5/4; 1; 20/21; 19/20; 20/21; 19/20; 10/11; 1; 1; 1; 19/20; 21/20; 1; 21/20; 19/20; 21/20; 19/20; 21/20; ; ; ; 
Draw; 12/5; 12/5; 12/5; 12/5; 5/2; 9/4; 5/2; 9/4; 5/2; 23/10; 9/4; 23/10; 12/5; 23/10; 5/2; 5/2; 12/5; 12/5; 23/10; 12/5; 5/2; 27/11; 40/17; 12/5; 40/17; ; ; ; 
Stoke; 16/5; 29/10; 29/10; 3; 16/5; 11/4; 31/10; 2; 14/5; 3; 27/10; 3; 29/10; 13/5; 14/5; 16/5; 56/19; 14/5; 13/5; 56/19; 31/10; 58/19; 45/17; 14/5; 45/17; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-19 12:15:58 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 10/11; 19/20; 1; 19/20; 1; 1; 1; 5/4; 1; 20/21; 19/20; 20/21; 19/20; 10/11; 1; 1; 1; 19/20; 21/20; 1; 21/20; 19/20; 21/20; 19/20; 21/20; ; ; ; 
Draw; 12/5; 12/5; 12/5; 5/2; 5/2; 9/4; 5/2; 9/4; 5/2; 23/10; 9/4; 23/10; 12/5; 23/10; 5/2; 13/5; 12/5; 12/5; 23/10; 12/5; 5/2; 27/11; 40/17; 12/5; 40/17; ; ; ; 
Stoke; 16/5; 29/10; 29/10; 14/5; 16/5; 11/4; 31/10; 2; 14/5; 3; 27/10; 3; 29/10; 13/5; 14/5; 31/10; 56/19; 14/5; 13/5; 56/19; 31/10; 58/19; 45/17; 14/5; 45/17; ; ; ; 
META; english/premier-league/leicester-v-stoke; 2017-03-19 16:15:57 GMT+2; 2017-04-01 15:00; e70300-dr003
Leicester; 10/11; 19/20; 1; 19/20; 19/20; 1; 1; 5/4; 1; 20/21; 19/20; 20/21; 19/20; 10/11; 1; 1; 1; 19/20; 21/20; 1; 21/20; 13/14; 21/20; 19/20; 21/20; ; ; ; 20/21
Draw; 12/5; 12/5; 12/5; 5/2; 13/5; 9/4; 5/2; 9/4; 5/2; 23/10; 23/10; 23/10; 12/5; 12/5; 5/2; 13/5; 12/5; 12/5; 23/10; 12/5; 5/2; 27/11; 40/17; 12/5; 40/17; ; ; ; 23/10
Stoke; 16/5; 29/10; 29/10; 14/5; 16/5; 11/4; 31/10; 2; 14/5; 3; 11/4; 3; 3; 13/5; 14/5; 31/10; 56/19; 14/5; 13/5; 56/19; 31/10; 58/19; 45/17; 14/5; 45/17; ; ; ; 12/5
