META; english/premier-league/burnley-v-man-city; 2016-11-01 04:17:55 GMT+3; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; ; 3/10; 2/7; 2/7; 3/10; 2/7; 2/7; 7/19; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 19/4; 4; 9/2; 17/4; 4; ; ; ; ; 9/2; 22/5; 47/10; 9/2; 23/5; 22/5; 9/2; 23/5; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; ; ; ; 17/2; 17/2; 8; 15/2; 8; 17/2; 17/2; 81/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-09 04:17:13 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; ; 3/10; 2/7; 2/7; 3/10; 2/7; 2/7; 7/19; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 9/2; 4; 9/2; 17/4; 4; ; ; ; ; 9/2; 22/5; 47/10; 9/2; 23/5; 22/5; 9/2; 23/5; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 11; 8; 8; 17/2; 8; ; ; ; ; 17/2; 17/2; 8; 15/2; 8; 17/2; 17/2; 81/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-09 08:17:13 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; ; 3/10; 3/10; 2/7; 3/10; 2/7; 3/10; 7/19; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 19/4; 4; 9/2; 17/4; 4; ; ; ; ; 9/2; 74/17; 47/10; 9/2; 23/5; 74/17; 9/2; 23/5; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; ; ; ; 17/2; 33/4; 8; 15/2; 8; 33/4; 17/2; 81/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-09 12:17:35 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; ; 3/10; 3/10; 2/7; 3/10; 2/7; 3/10; 7/19; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 19/4; 4; 9/2; 17/4; 4; ; ; ; ; 9/2; 74/17; 47/10; 9/2; 23/5; 74/17; 9/2; 23/5; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; ; ; ; 17/2; 33/4; 8; 15/2; 8; 33/4; 17/2; 81/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-09 16:17:20 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; ; 3/10; 3/10; 2/7; 3/10; 2/7; 3/10; 7/19; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 9/2; 4; 9/2; 17/4; 4; ; ; ; ; 9/2; 22/5; 47/10; 9/2; 23/5; 22/5; 9/2; 23/5; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 11; 8; 8; 17/2; 8; ; ; ; ; 17/2; 33/4; 8; 15/2; 8; 33/4; 17/2; 81/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-09 20:17:22 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; ; 3/10; 3/10; 2/7; 3/10; 2/7; 3/10; 7/19; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 9/2; 4; 9/2; 17/4; 4; ; ; ; ; 9/2; 22/5; 47/10; 9/2; 23/5; 22/5; 9/2; 23/5; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 11; 8; 8; 17/2; 8; ; ; ; ; 17/2; 33/4; 8; 15/2; 8; 33/4; 17/2; 81/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-10 00:17:14 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; ; 3/10; 3/10; 2/7; ; 2/7; 3/10; 7/19; 4/13; ; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 19/4; 4; 9/2; 17/4; 4; ; ; ; ; 9/2; 74/17; 47/10; ; 23/5; 74/17; 9/2; 23/5; ; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; ; ; ; 17/2; 33/4; 8; ; 8; 33/4; 17/2; 81/10; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-10 04:17:15 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; ; 3/10; 3/10; 2/7; 3/10; 2/7; 3/10; 7/19; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 19/4; 4; 9/2; 17/4; 4; ; ; ; ; 9/2; 74/17; 47/10; 9/2; 23/5; 74/17; 9/2; 23/5; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; ; ; ; 17/2; 33/4; 8; 15/2; 8; 33/4; 17/2; 81/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-10 08:17:26 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; ; 3/10; 3/10; 2/7; 3/10; 2/7; 3/10; 7/19; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 19/4; 4; 9/2; 17/4; 4; ; ; ; ; 9/2; 74/17; 47/10; 9/2; 23/5; 74/17; 9/2; 23/5; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; ; ; ; 17/2; 33/4; 8; 15/2; 8; 33/4; 17/2; 81/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-10 12:17:28 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; ; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; ; 3/10; 3/10; 2/7; 3/10; 2/7; 3/10; 7/19; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; ; 19/4; 4; 9/2; 17/4; 4; ; ; ; ; 9/2; 74/17; 47/10; 9/2; 23/5; 74/17; 9/2; 23/5; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; ; 21/2; 8; 8; 17/2; 8; ; ; ; ; 17/2; 33/4; 8; 15/2; 8; 33/4; 17/2; 81/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-10 16:18:07 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; ; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; ; 3/10; 3/10; 2/7; 3/10; 2/7; 3/10; 7/19; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; ; 19/4; 4; 9/2; 17/4; 4; ; ; ; ; 9/2; 74/17; 47/10; 9/2; 23/5; 74/17; 9/2; 23/5; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; ; 21/2; 8; 8; 17/2; 8; ; ; ; ; 8; 33/4; 8; 15/2; 8; 33/4; 17/2; 81/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-10 20:17:35 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; 30/100; 3/10; 3/10; 2/7; 3/10; 2/7; 3/10; 7/19; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 19/4; 4; 9/2; 17/4; 4; ; ; ; 9/2; 9/2; 74/17; 47/10; 9/2; 23/5; 74/17; 9/2; 23/5; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; ; ; 9; 17/2; 33/4; 8; 15/2; 8; 33/4; 17/2; 81/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-11 00:17:19 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; 30/100; 3/10; 3/10; 2/7; 3/10; 2/7; 3/10; 7/19; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 19/4; 4; 9/2; 17/4; 4; ; ; ; 9/2; 9/2; 74/17; 47/10; 9/2; 23/5; 74/17; 9/2; 23/5; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; ; ; 9; 17/2; 33/4; 8; 15/2; 8; 33/4; 17/2; 81/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-11 04:17:13 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; 30/100; 3/10; 3/10; 2/7; 3/10; 2/7; 3/10; 7/19; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 19/4; 4; 9/2; 17/4; 4; ; ; ; 9/2; 9/2; 74/17; 47/10; 9/2; 23/5; 74/17; 9/2; 23/5; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; ; ; 9; 17/2; 33/4; 8; 15/2; 8; 33/4; 17/2; 81/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-11 08:17:13 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; 30/100; 3/10; 3/10; 2/7; 3/10; 2/7; 3/10; 7/19; 4/13; ; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 19/4; 4; 9/2; 17/4; 4; ; ; ; 9/2; 9/2; 74/17; 47/10; 9/2; 23/5; 74/17; 9/2; 23/5; ; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; ; ; 9; 17/2; 33/4; 8; 15/2; 8; 33/4; 17/2; 81/10; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-11 12:17:59 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; ; ; 30/100; 3/10; 3/10; 2/7; 3/10; 2/7; 3/10; 7/19; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 19/4; 4; 9/2; 17/4; 4; ; ; ; 9/2; 9/2; 74/17; 47/10; 9/2; 23/5; 74/17; 9/2; 23/5; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; ; ; 9; 17/2; 33/4; 8; 15/2; 8; 33/4; 17/2; 81/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-11 16:17:54 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 2/7; 3/10; 2/7; 3/10; 1/3; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 9/2; 4; 9/2; 17/4; 4; ; 17/4; ; 9/2; 9/2; 74/17; 47/10; 9/2; 23/5; 74/17; 47/10; 23/5; 47/10; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 11; 8; 8; 17/2; 8; ; 9; ; 9; 17/2; 33/4; 8; 15/2; 8; 33/4; 21/2; 81/10; 8; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-11 20:18:26 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 2/7; 3/10; ; 3/10; 1/3; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 9/2; 4; 9/2; 17/4; 4; ; 17/4; ; 9/2; 9/2; 74/17; 23/5; 9/2; ; 74/17; 47/10; 23/5; 23/5; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 11; 8; 8; 17/2; 8; ; 9; ; 9; 17/2; 33/4; 17/2; 15/2; ; 33/4; 21/2; 81/10; 17/2; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-12 00:17:54 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 2/7; 3/10; ; 3/10; 1/3; 4/13; ; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 9/2; 4; 9/2; 17/4; 4; ; 17/4; ; 9/2; 9/2; 74/17; 23/5; 9/2; ; 74/17; 47/10; 23/5; ; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; 9; ; 9; 17/2; 33/4; 17/2; 15/2; ; 33/4; 21/2; 81/10; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-12 04:17:38 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 2/7; 3/10; 2/7; 3/10; 1/3; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 9/2; 4; 9/2; 17/4; 4; ; 17/4; ; 9/2; 9/2; 74/17; 23/5; 9/2; 23/5; 74/17; 47/10; 23/5; 23/5; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; 9; ; 9; 17/2; 33/4; 17/2; 15/2; 17/2; 33/4; 21/2; 81/10; 17/2; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-12 08:17:47 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 2/7; 3/10; 2/7; 3/10; 1/3; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 9/2; 4; 9/2; 17/4; 4; ; 17/4; ; 9/2; 9/2; 74/17; 23/5; 9/2; 23/5; 74/17; 47/10; 23/5; 23/5; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; 9; ; 9; 17/2; 33/4; 17/2; 15/2; 17/2; 33/4; 21/2; 81/10; 17/2; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-12 12:18:41 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 2/7; 3/10; 2/7; 3/10; 1/3; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 9/2; 4; 9/2; 17/4; 4; ; 17/4; ; 9/2; 9/2; 74/17; 23/5; 9/2; 23/5; 74/17; 47/10; 23/5; 23/5; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; 9; ; 9; 17/2; 33/4; 17/2; 15/2; 17/2; 33/4; 21/2; 81/10; 17/2; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-12 16:18:05 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; 3/10; ; 30/100; 3/10; 2/7; 2/7; 3/10; 2/7; 2/7; 1/3; 4/13; 2/7; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 9/2; 4; 9/2; 17/4; 4; ; 17/4; ; 9/2; 9/2; 74/17; 23/5; 9/2; 23/5; 74/17; 47/10; 23/5; 23/5; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; 9; ; 9; 17/2; 17/2; 17/2; 15/2; 17/2; 17/2; 21/2; 81/10; 17/2; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-12 20:18:02 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 2/7; 3/10; 2/7; 3/10; 1/3; 4/13; ; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 9/2; 4; 9/2; 17/4; 4; ; 17/4; ; 9/2; 9/2; 74/17; 23/5; 9/2; 23/5; 74/17; 47/10; 23/5; ; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; 9; ; 9; 17/2; 33/4; 17/2; 15/2; 17/2; 33/4; 21/2; 81/10; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-13 00:17:18 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 4/13; 3/10; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 9/2; 4; 9/2; 17/4; 4; ; 17/4; ; 9/2; 9/2; 74/17; 74/17; 9/2; 21/5; 74/17; 47/10; 23/5; 74/17; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; 9; ; 9; 17/2; 33/4; 17/2; 15/2; 17/2; 33/4; 21/2; 81/10; 17/2; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-13 04:17:23 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 7/20; 3/10; 3/10; 1/3; 3/10; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 4/13; 3/10; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 9/2; 9/2; 4; 9/2; 17/4; 4; ; 17/4; ; 9/2; 9/2; 74/17; 74/17; 9/2; 21/5; 74/17; 47/10; 23/5; 74/17; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 15/2; 21/2; 8; 8; 17/2; 8; ; 9; ; 9; 17/2; 33/4; 17/2; 15/2; 17/2; 33/4; 21/2; 81/10; 17/2; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-13 08:17:22 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 3/10; 1/3; 3/10; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 4/13; 3/10; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 460/100; 9/2; 4; 9/2; 17/4; 4; ; 17/4; ; 9/2; 9/2; 74/17; 74/17; 9/2; 21/5; 74/17; 47/10; 23/5; 74/17; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; 17/2; 8; ; 9; ; 9; 17/2; 33/4; 17/2; 15/2; 17/2; 33/4; 21/2; 81/10; 17/2; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-13 12:17:33 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 3/10; 1/3; 3/10; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 4/13; 3/10; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 460/100; 9/2; 4; 9/2; 17/4; 4; ; 17/4; ; 9/2; 9/2; 74/17; 74/17; 9/2; 21/5; 74/17; 47/10; 23/5; 74/17; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; 17/2; 8; ; 9; ; 9; 17/2; 33/4; 17/2; 15/2; 17/2; 33/4; 21/2; 81/10; 17/2; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-13 16:17:40 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 3/10; 1/3; 3/10; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 4/13; ; ; ; ; ; 
Draw; 17/4; ; 4; 4; ; 460/100; 9/2; 4; 9/2; 17/4; 4; ; 17/4; ; 9/2; 9/2; 74/17; 74/17; 9/2; 21/5; 74/17; 47/10; 23/5; ; ; ; ; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; 17/2; 8; ; 9; ; 9; 17/2; 33/4; 17/2; 15/2; 17/2; 33/4; 21/2; 81/10; ; ; ; ; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-13 20:17:50 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 3/10; 1/3; 3/10; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 4/13; ; ; ; 1/7; ; 
Draw; 17/4; ; 4; 4; ; 460/100; 9/2; 4; 9/2; 17/4; 4; ; 17/4; ; 9/2; 9/2; 74/17; 74/17; 9/2; 21/5; 74/17; 47/10; 23/5; ; ; ; 1/7; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; 17/2; 8; ; 9; ; 9; 17/2; 33/4; 17/2; 15/2; 17/2; 33/4; 10; 81/10; ; ; ; 1/7; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-14 00:17:17 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 3/10; 1/3; 3/10; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 4/13; 3/10; ; ; 2/11; ; 
Draw; 17/4; ; 4; 4; ; 460/100; 9/2; 4; 9/2; 17/4; 4; ; 17/4; ; 9/2; 9/2; 74/17; 74/17; 9/2; 21/5; 74/17; 47/10; 23/5; 74/17; ; ; 1/7; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; 17/2; 8; ; 9; ; 9; 17/2; 33/4; 17/2; 15/2; 17/2; 33/4; 10; 81/10; 17/2; ; ; 1/7; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-14 04:17:12 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 3/10; 1/3; 3/10; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 4/13; 3/10; ; ; 3/10; ; 
Draw; 17/4; ; 4; 4; ; 460/100; 9/2; 4; 9/2; 17/4; 4; ; 17/4; ; 9/2; 9/2; 74/17; 74/17; 9/2; 21/5; 74/17; 47/10; 23/5; 74/17; ; ; 1/7; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; 17/2; 8; ; 9; ; 9; 17/2; 33/4; 17/2; 15/2; 17/2; 33/4; 10; 81/10; 17/2; ; ; 1/7; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-14 08:17:10 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 3/10; 1/3; 3/10; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 4/13; 3/10; ; ; 3/10; ; 
Draw; 17/4; ; 4; 4; ; 460/100; 9/2; 4; 9/2; 17/4; 4; ; 17/4; ; 9/2; 9/2; 74/17; 74/17; 9/2; 21/5; 74/17; 47/10; 23/5; 74/17; ; ; 1/7; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; 17/2; 8; ; 9; ; 9; 17/2; 33/4; 17/2; 15/2; 17/2; 33/4; 10; 81/10; 17/2; ; ; 1/7; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-14 12:17:25 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 3/10; 1/3; 3/10; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 3/10; 3/10; 3/10; ; 1/3; 4/13; 3/10; ; ; 3/10; ; 
Draw; 17/4; ; 4; 4; ; 460/100; 9/2; 4; 9/2; 17/4; 4; ; 17/4; ; 9/2; 9/2; 74/17; 74/17; 9/2; 21/5; ; 47/10; 23/5; 74/17; ; ; 1/7; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; 17/2; 8; ; 9; ; 9; 17/2; 33/4; 17/2; 15/2; 17/2; ; 10; 81/10; 17/2; ; ; 1/7; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-14 20:17:24 GMT+2; 2016-11-26 12:30; e70300-dr003
Man City; 1/3; ; 1/3; 3/10; ; 1/3; 3/10; 3/10; 1/3; ; 3/10; ; 3/10; ; 30/100; 3/10; 3/10; 3/10; 3/10; 3/10; 3/10; 1/3; 4/13; 3/10; ; ; 3/10; ; 
Draw; 17/4; ; 4; 4; ; 460/100; 9/2; 4; 9/2; ; 4; ; 17/4; ; 9/2; 9/2; 74/17; 74/17; 9/2; 21/5; 74/17; 47/10; 23/5; 74/17; ; ; 1/7; ; 
Burnley; 7; ; 17/2; 17/2; ; 17/2; 21/2; 8; 8; ; 8; ; 9; ; 9; 17/2; 33/4; 17/2; 15/2; 17/2; 33/4; 10; 81/10; 17/2; ; ; 1/7; ; 
META; english/premier-league/burnley-v-man-city; 2016-11-15 00:17:26 GMT+2; 2016-11-26 12:30; e70300-dr003
