Burton; 5/2; 11/4; 27/10; 12/5; 143/ 50; 27/10; 13/5; 13/5; 45/17; 11/4; 13/5; 13/5; 11/4; 27/10; 5/2; 13/5; 12/5; 27/10; 12/5; 45/17; 13/5; 11/4; 27/10; 53/20; 11/4; ; 5/2; 13/5; 14/5
META; english/championship/burton-v-norwich; 2017-12-28 14:21:11 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Norwich; 11/10; 21/20; 21/20; 23/20; 28/25; 21/20; 11/10; 1; 11/10; 21/20; 11/10; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 11/10; 11/10; 12/11; 17/16; 11/10; 21/20; 21/20; 11/10; ; 1; 1; 11/10
Draw; 23/10; 23/10; 11/5; 23/10; 49/20; 5/2; 23/10; 12/5; 40/17; 9/4; 12/5; 11/5; 9/4; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 40/17; 23/10; 23/10; 12/5; 23/10; 40/17; ; 23/10; 21/10; 12/5
Burton; 5/2; 11/4; 27/10; 12/5; 143/ 50; 27/10; 13/5; 13/5; 45/17; 11/4; 13/5; 13/5; 11/4; 11/4; 5/2; 13/5; 12/5; 27/10; 12/5; 45/17; 13/5; 11/4; 27/10; 53/20; 11/4; ; 5/2; 13/5; 14/5
META; english/championship/burton-v-norwich; 2017-12-28 18:21:04 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Norwich; 1; 21/20; 21/20; 23/20; 111/ 100; 11/10; 21/20; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 15/14; 17/16; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 10/9
Draw; 12/5; 23/10; 11/5; 23/10; 49/20; 23/10; 23/10; 23/10; 40/17; 9/4; 12/5; 23/10; 9/4; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 40/17; 23/10; 23/10; 12/5; 23/10; 40/17; ; 23/10; 23/10; 12/5
Burton; 11/4; 11/4; 27/10; 12/5; 29/10; 11/4; 11/4; 13/5; 45/17; 11/4; 13/5; 11/4; 11/4; 29/10; 11/4; 13/5; 13/5; 11/4; 13/5; 27/10; 13/5; 14/5; 29/10; 57/20; 11/4; ; 13/5; 27/10; 14/5
META; english/championship/burton-v-norwich; 2017-12-28 22:21:08 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Norwich; 1; 21/20; 21/20; 11/10; 111/ 100; 11/10; 21/20; 1; 11/10; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 24/23; 17/16; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 11/10
Draw; 12/5; 23/10; 9/4; 9/4; 49/20; 23/10; 23/10; 23/10; 40/17; 9/4; 12/5; 23/10; 9/4; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 40/17; ; 23/10; 23/10; 12/5
Burton; 11/4; 11/4; 11/4; 13/5; 29/10; 11/4; 11/4; 13/5; 45/17; 14/5; 13/5; 11/4; 11/4; 14/5; 11/4; 13/5; 13/5; 11/4; 13/5; 14/5; 13/5; 14/5; 29/10; 57/20; 14/5; ; 27/10; 11/4; 14/5
META; english/championship/burton-v-norwich; 2017-12-29 02:21:03 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Norwich; 1; 21/20; 21/20; 11/10; 111/ 100; 11/10; 21/20; 1; 15/14; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 24/23; 24/23; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 11/10
Draw; 12/5; 23/10; 9/4; 9/4; 49/20; 23/10; 23/10; 23/10; 40/17; 9/4; 12/5; 23/10; 9/4; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 23/10; ; 23/10; 11/5; 12/5
Burton; 11/4; 11/4; 11/4; 13/5; 29/10; 11/4; 11/4; 13/5; 11/4; 14/5; 13/5; 11/4; 11/4; 14/5; 11/4; 13/5; 13/5; 11/4; 13/5; 14/5; 27/10; 14/5; 29/10; 57/20; 14/5; ; 27/10; 11/4; 14/5
META; english/championship/burton-v-norwich; 2017-12-29 10:21:02 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Norwich; 11/10; 1; 21/20; 11/10; 111/ 100; 11/10; 21/20; 1; 15/14; 21/20; 11/10; 21/20; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 24/23; 24/23; 11/10; 11/10; 21/20; 21/20; ; 21/20; 21/20; 11/10
Draw; 12/5; 23/10; 9/4; 9/4; 49/20; 23/10; 9/4; 23/10; 40/17; 9/4; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 40/17; ; 23/10; 11/5; 12/5
Burton; 3; 14/5; 11/4; 13/5; 29/10; 11/4; 11/4; 13/5; 11/4; 14/5; 13/5; 11/4; 11/4; 29/10; 11/4; 13/5; 13/5; 14/5; 13/5; 14/5; 27/10; 14/5; 29/10; 57/20; 14/5; ; 11/4; 11/4; 14/5
META; english/championship/burton-v-norwich; 2017-12-29 18:21:05 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Norwich; 11/10; 1; 21/20; 11/10; 11/10; 23/20; 21/20; 1; 15/14; 21/20; 11/10; 1; 21/20; 11/10; 21/20; 21/20; 21/20; 21/20; 21/20; 24/23; 24/23; 21/20; 11/10; 21/20; 21/20; ; 21/20; 21/20; 21/20
Draw; 12/5; 23/10; 11/5; 23/10; 121/ 50; 5/2; 23/10; 23/10; 40/17; 9/4; 12/5; 23/10; 23/10; 23/10; 12/5; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 23/10; ; 9/4; 23/10; 12/5
Burton; 3; 14/5; 14/5; 5/2; 149/ 50; 14/5; 14/5; 13/5; 11/4; 14/5; 13/5; 14/5; 11/4; 29/10; 11/4; 14/5; 13/5; 37/13; 13/5; 14/5; 27/10; 14/5; 3; 59/20; 29/10; ; 14/5; 14/5; 14/5
META; english/championship/burton-v-norwich; 2017-12-29 22:21:08 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Norwich; 11/10; 1; 1; 11/10; 21/20; 21/20; 21/20; 1; 15/14; 21/20; 11/10; 1; 21/20; 11/10; 1; 21/20; 21/20; 1; 21/20; 30/29; 24/23; 1; 11/10; 1; 21/20; ; 1; 1; 21/20
Draw; 12/5; 23/10; 11/5; 23/10; 121/ 50; 12/5; 23/10; 23/10; 40/17; 9/4; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 23/10; ; 9/4; 11/5; 12/5
Burton; 3; 14/5; 29/10; 5/2; 63/20; 31/10; 29/10; 11/4; 11/4; 29/10; 13/5; 14/5; 11/4; 29/10; 3; 14/5; 13/5; 29/10; 13/5; 14/5; 27/10; 3; 3; 16/5; 56/19; ; 14/5; 14/5; 3
META; english/championship/burton-v-norwich; 2017-12-30 02:21:05 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Norwich; 11/10; 1; 21/20; 11/10; 21/20; 21/20; 21/20; 1; 15/14; 21/20; 11/10; 1; 21/20; 11/10; 1; 21/20; 21/20; 1; 21/20; 21/20; 24/23; 1; 11/10; 1; 21/20; ; 21/20; 21/20; 11/10
Draw; 12/5; 23/10; 11/5; 23/10; 121/ 50; 12/5; 23/10; 23/10; 40/17; 9/4; 12/5; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 12/5; 23/10; 23/10; ; 9/4; 21/10; 12/5
