META; english/championship/bristol-city-v-leeds; 2017-10-15 02:22:19 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Bristol City; ; 11/8; ; ; ; ; 6/4; 6/4; 6/4; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; ; 29/20; ; ; 1; ; 
Leeds; 5/2; 5/2; 5/2; ; 5/2; 27/10; ; 5/2; 27/11; 5/2; 13/5; 5/2; 5/2; 49/20; 12/5; 5/2; 12/5; 28/11; 53/20; 27/11; 12/5; 5/2; 5/2; 51/20; 13/5; ; 5/2; 12/5; 5/2
META; english/championship/bristol-city-v-leeds; 2017-10-21 02:23:21 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Bristol City; 23/20; 21/20; 11/10; ; 23/20; 23/20; ; 1; 11/10; 21/20; 21/20; 11/10; 21/20; 11/10; 23/20; 11/10; 11/10; 21/20; 23/20; 10/9; 17/16; 11/10; 11/10; 21/20; 21/20; ; 10/9; 10/9; 10/9
Draw; 13/5; 5/2; 12/5; ; 12/5; 13/5; ; 12/5; 28/11; 23/10; 13/5; 12/5; 5/2; 12/5; 12/5; 5/2; 23/10; 28/11; 51/20; 28/11; 5/2; 5/2; 13/5; 51/20; 28/11; ; 5/2; 5/2; 5/2
Leeds; 5/2; 5/2; 5/2; ; 5/2; 27/10; ; 5/2; 27/11; 12/5; 13/5; 5/2; 12/5; 5/2; 12/5; 5/2; 12/5; 28/11; 53/20; 12/5; 12/5; 5/2; 27/10; 51/20; 13/5; ; 5/2; 12/5; 5/2
META; english/championship/bristol-city-v-leeds; 2017-10-21 10:24:07 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Bristol City; 11/10; 19/20; 21/20; 19/20; 39/40; 11/10; ; 1; 11/10; 21/20; 21/20; 21/20; 1; 21/20; 21/20; 1; 10/11; 1; 21/20; 21/20; 17/16; 21/20; 11/10; 1; 1; ; 21/20; 20/21; 11/10
Draw; 13/5; 5/2; 12/5; 5/2; 13/5; 13/5; ; 5/2; 28/11; 12/5; 13/5; 12/5; 5/2; 49/20; 5/2; 5/2; 12/5; 5/2; 131/50; 13/5; 5/2; 5/2; 13/5; 13/5; 28/11; ; 12/5; 5/2; 13/5
Leeds; 11/4; 14/5; 13/5; 14/5; 29/10; 14/5; ; 13/5; 27/11; 5/2; 14/5; 13/5; 13/5; 13/5; 13/5; 13/5; 14/5; 27/10; 73/25; 5/2; 12/5; 13/5; 27/10; 11/4; 27/10; ; 11/4; 14/5; 11/4
META; english/championship/bristol-city-v-leeds; 2017-10-21 14:25:06 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Bristol City; 21/20; 21/20; 21/20; 19/20; 39/40; 11/10; 21/20; 10/11; 1; 21/20; 21/20; 21/20; 1; 21/20; 21/20; 1; 10/11; 19/20; 11/10; 30/29; 28/29; 21/20; 21/20; 1; 19/20; ; 1; 21/20; 1
Draw; 13/5; 5/2; 5/2; 5/2; 13/5; 13/5; 5/2; 5/2; 28/11; 5/2; 13/5; 12/5; 12/5; 49/20; 5/2; 5/2; 12/5; 28/11; 51/20; 5/2; 5/2; 5/2; 13/5; 13/5; 28/11; ; 5/2; 5/2; 13/5
Leeds; 14/5; 5/2; 14/5; 14/5; 29/10; 14/5; 14/5; 11/4; 11/4; 14/5; 14/5; 13/5; 13/5; 27/10; 13/5; 13/5; 14/5; 37/13; 14/5; 45/17; 27/10; 13/5; 29/10; 11/4; 37/13; ; 14/5; 27/10; 14/5
META; english/championship/bristol-city-v-leeds; 2017-10-21 18:23:07 GMT+3; 2017-10-21 15:00; In Play; Xlenovo
Leeds; 1/4; ; 13/5; ; 2/9; ; ; ; ; ; ; ; ; ; ; 1/4; 3/16; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5; ; 5/2; ; 5; ; ; ; ; ; ; ; ; ; ; 9/2; 5; ; ; ; ; ; ; ; ; ; ; ; 
Bristol City; 9; ; 11/10; ; 10; ; ; ; ; ; ; ; ; ; ; 9; 12; ; ; ; ; ; ; ; ; ; ; ; 
