META; english/championship/aston-villa-v-barnsley; 2018-01-13 22:20:33 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Aston Villa; 8/15; 4/7; 4/7; 1/2; 59/100; 11/20; 8/15; 8/15; 11/21; 4/7; 8/15; 4/7; 8/15; 4/7; 4/7; 8/15; 1/2; 5/9; 1/2; 5/9; 1/2; 4/7; 4/7; 11/20; 5/9; ; 1/2; 8/15; 4/7
Draw; 3; 14/5; 11/4; 3; 63/20; 3; 29/10; 3; 31/10; 14/5; 3; 14/5; 11/4; 29/10; 3; 14/5; 3; 56/19; 3; 56/19; 3; 3; 3; 59/20; 3; ; 13/5; 13/5; 3
Barnsley; 11/2; 5; 5; 6; 57/10; 11/2; 11/2; 11/2; 23/4; 5; 11/2; 5; 6; 5; 5; 11/2; 11/2; 27/5; 11/2; 43/10; 23/4; 21/4; 5; 21/4; 60/11; ; 5; 24/5; 31/5
META; english/championship/aston-villa-v-barnsley; 2018-01-17 22:20:00 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Aston Villa; 8/15; 8/15; 8/15; 1/2; 57/100; 11/20; 8/15; 8/15; 11/21; 8/15; 8/15; 11/20; 8/15; 4/7; 4/7; 8/15; 1/2; 8/15; 1/2; 8/15; 1/2; 8/15; 8/15; 8/15; 8/15; ; 1/2; 1/2; 4/7
Draw; 3; 3; 14/5; 3; 63/20; 3; 3; 3; 31/10; 29/10; 3; 14/5; 11/4; 29/10; 3; 14/5; 3; 3; 3; 3; 3; 3; 3; 59/20; 58/19; ; 13/5; 27/10; 3
Barnsley; 11/2; 11/2; 11/2; 6; 6; 11/2; 11/2; 11/2; 23/4; 11/2; 11/2; 11/2; 6; 11/2; 5; 11/2; 11/2; 57/10; 11/2; 23/5; 23/4; 11/2; 6; 11/2; 23/4; ; 5; 26/5; 31/5
META; english/championship/aston-villa-v-barnsley; 2018-01-18 02:19:54 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Aston Villa; 8/15; 8/15; 8/15; 1/2; 4/7; 11/20; 8/15; 8/15; 11/21; 4/7; 8/15; 11/20; 8/15; 4/7; 4/7; 8/15; 1/2; 8/15; 1/2; 8/15; 1/2; 8/15; 11/20; 8/15; 8/15; ; 1/2; 1/2; 4/7
Draw; 3; 29/10; 29/10; 3; 63/20; 3; 3; 3; 31/10; 29/10; 3; 14/5; 11/4; 29/10; 3; 14/5; 3; 3; 3; 3; 3; 3; 3; 59/20; 3; ; 14/5; 14/5; 3
Barnsley; 11/2; 11/2; 11/2; 6; 6; 11/2; 11/2; 11/2; 23/4; 11/2; 11/2; 11/2; 6; 11/2; 5; 11/2; 11/2; 96/17; 11/2; 23/5; 23/4; 11/2; 11/2; 11/2; 57/10; ; 5; 26/5; 31/5
META; english/championship/aston-villa-v-barnsley; 2018-01-18 10:19:55 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Aston Villa; 8/15; 8/15; 8/15; 1/2; 57/100; 11/20; 8/15; 8/15; 11/21; 4/7; 8/15; 11/20; 8/15; 4/7; 4/7; 8/15; 1/2; 8/15; 1/2; 8/15; 1/2; 8/15; 11/20; 8/15; 8/15; ; 8/15; 1/2; 4/7
Draw; 3; 29/10; 29/10; 3; 13/4; 3; 3; 3; 31/10; 29/10; 3; 14/5; 11/4; 29/10; 3; 14/5; 3; 3; 3; 3; 3; 3; 3; 59/20; 58/19; ; 14/5; 14/5; 3
Barnsley; 11/2; 11/2; 11/2; 6; 29/5; 11/2; 11/2; 11/2; 23/4; 11/2; 11/2; 11/2; 6; 11/2; 5; 11/2; 11/2; 61/11; 11/2; 23/5; 23/4; 11/2; 11/2; 11/2; 28/5; ; 5; 26/5; 31/5
META; english/championship/aston-villa-v-barnsley; 2018-01-18 14:19:54 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Aston Villa; 8/15; 8/15; 8/15; 1/2; 4/7; 11/20; 8/15; 8/15; 11/21; 4/7; 8/15; 11/20; 8/15; 4/7; 4/7; 8/15; 1/2; 8/15; 1/2; 6/11; 1/2; 8/15; 11/20; 8/15; 8/15; ; 8/15; 1/2; 4/7
Draw; 3; 29/10; 29/10; 3; 63/20; 3; 3; 3; 31/10; 29/10; 3; 14/5; 11/4; 29/10; 3; 3; 3; 3; 3; 3; 3; 3; 3; 59/20; 58/19; ; 14/5; 14/5; 3
Barnsley; 11/2; 11/2; 11/2; 6; 6; 11/2; 11/2; 11/2; 23/4; 11/2; 11/2; 11/2; 6; 11/2; 5; 11/2; 11/2; 61/11; 11/2; 27/5; 23/4; 11/2; 11/2; 11/2; 28/5; ; 5; 26/5; 31/5
META; english/championship/aston-villa-v-barnsley; 2018-01-18 18:20:00 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Aston Villa; 8/15; 8/15; 8/15; 1/2; 4/7; 11/20; 8/15; 8/15; 11/21; 8/15; 8/15; 11/20; 8/15; 4/7; 4/7; 8/15; 1/2; 8/15; 1/2; 6/11; 1/2; 8/15; 4/7; 8/15; 8/15; ; 8/15; 8/15; 8/15
Draw; 3; 29/10; 29/10; 3; 63/20; 3; 3; 3; 31/10; 29/10; 3; 14/5; 11/4; 29/10; 3; 3; 3; 3; 3; 3; 3; 3; 3; 59/20; 58/19; ; 14/5; 14/5; 3
Barnsley; 11/2; 11/2; 11/2; 6; 6; 11/2; 11/2; 11/2; 23/4; 11/2; 11/2; 11/2; 6; 11/2; 5; 11/2; 11/2; 61/11; 11/2; 27/5; 23/4; 11/2; 6; 11/2; 28/5; ; 11/2; 28/5; 31/5
META; english/championship/aston-villa-v-barnsley; 2018-01-18 22:21:20 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Aston Villa; 8/15; 8/15; 4/7; 8/15; 59/100; 11/20; 8/15; 8/15; 11/21; 4/7; 8/15; 11/20; 8/15; 4/7; 4/7; 8/15; 1/2; 5/9; 1/2; 6/11; 1/2; 4/7; 3/5; 4/7; 5/9; ; 8/15; 8/15; 4/7
Draw; 3; 29/10; 14/5; 3; 63/20; 3; 29/10; 3; 31/10; 29/10; 3; 14/5; 11/4; 29/10; 3; 14/5; 3; 3; 3; 3; 3; 3; 3; 59/20; 58/19; ; 14/5; 14/5; 3
Barnsley; 11/2; 11/2; 11/2; 11/2; 28/5; 11/2; 11/2; 11/2; 23/4; 11/2; 11/2; 11/2; 6; 11/2; 5; 11/2; 11/2; 91/17; 11/2; 27/5; 23/4; 21/4; 11/2; 11/2; 27/5; ; 26/5; 28/5; 28/5
META; english/championship/aston-villa-v-barnsley; 2018-01-19 02:21:17 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Aston Villa; 4/7; 4/7; 4/7; 8/15; 29/50; 11/20; 8/15; 8/15; 11/21; 4/7; 8/15; 11/20; 8/15; 4/7; 4/7; 8/15; 1/2; 8/15; 1/2; 6/11; 1/2; 4/7; 3/5; 4/7; 5/9; ; 8/15; 4/7; 4/7
Draw; 3; 29/10; 14/5; 3; 63/20; 3; 29/10; 3; 31/10; 29/10; 3; 14/5; 11/4; 29/10; 3; 14/5; 3; 3; 3; 3; 3; 3; 3; 59/20; 58/19; ; 14/5; 14/5; 3
Barnsley; 6; 5; 11/2; 11/2; 29/5; 11/2; 11/2; 11/2; 23/4; 11/2; 11/2; 11/2; 6; 11/2; 5; 11/2; 11/2; 60/11; 11/2; 27/5; 23/4; 21/4; 11/2; 11/2; 11/2; ; 11/2; 27/5; 28/5
META; english/championship/aston-villa-v-barnsley; 2018-01-19 10:21:02 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Aston Villa; 4/7; 4/7; 4/7; 8/15; 29/50; 11/20; 8/15; 8/15; 11/21; 4/7; 8/15; 11/20; 8/15; 4/7; 4/7; 8/15; 1/2; 8/15; 1/2; 5/9; 1/2; 4/7; 3/5; 4/7; 5/9; ; 8/15; 4/7; 4/7
Draw; 3; 29/10; 14/5; 3; 63/20; 3; 29/10; 3; 31/10; 29/10; 3; 14/5; 11/4; 29/10; 3; 14/5; 3; 3; 3; 58/19; 3; 3; 3; 59/20; 58/19; ; 14/5; 14/5; 3
Barnsley; 6; 5; 5; 11/2; 29/5; 11/2; 11/2; 11/2; 23/4; 11/2; 11/2; 11/2; 6; 11/2; 5; 11/2; 11/2; 60/11; 11/2; 51/10; 23/4; 21/4; 11/2; 11/2; 11/2; ; 11/2; 27/5; 28/5
META; english/championship/aston-villa-v-barnsley; 2018-01-19 14:21:08 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Aston Villa; 4/7; 4/7; 4/7; 4/7; 29/50; 4/7; 8/15; 8/15; 11/21; 4/7; 8/15; 11/20; 8/15; 4/7; 4/7; 4/7; 1/2; 8/15; 1/2; 4/7; 1/2; 4/7; 3/5; 4/7; 5/9; ; 4/7; 4/7; 4/7
Draw; 3; 29/10; 14/5; 11/4; 16/5; 16/5; 29/10; 3; 31/10; 14/5; 3; 14/5; 11/4; 29/10; 3; 14/5; 3; 3; 3; 3; 3; 3; 3; 59/20; 58/19; ; 14/5; 14/5; 3
