META; english/championship/reading-v-cardiff; 2017-12-03 02:21:28 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Draw; ; 23/10; 11/5; 23/10; ; 13/5; 11/5; 12/5; 40/17; 11/5; 23/10; 9/4; 11/5; 9/4; 9/4; ; 9/4; 11/5; 12/5; 40/17; 23/10; 23/10; 23/10; 9/4; 11/5; ; 21/10; ; 23/10
META; english/championship/reading-v-cardiff; 2017-12-07 02:21:37 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff ; 6/4; 7/5; 16/11; 6/4; ; 31/20; 6/4; 7/5; 16/11; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 16/11; 31/20; 39/29; 10/7; 6/4; 6/4; 6/4; 16/11; ; 13/10; ; 6/4
Reading; 9/5; 9/5; 28/15; 9/5; ; 15/8; 15/8; 9/5; 19/10; 19/10; 9/5; 9/5; 93/50; 19/10; 19/10; 15/8; 7/4; 19/10; 2; 32/19; 24/13; 9/5; 15/8; 37/20; 19/10; ; 17/10; ; 2
Draw; ; 23/10; 11/5; 23/10; ; 13/5; 11/5; 12/5; 40/17; 11/5; 23/10; 9/4; 11/5; 9/4; 9/4; ; 9/4; 11/5; 12/5; 40/17; 23/10; 23/10; 23/10; 9/4; 11/5; ; 21/10; ; 23/10
META; english/championship/reading-v-cardiff; 2017-12-07 10:21:43 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
Cardiff ; 6/4; 7/5; 16/11; 6/4; ; 6/4; 6/4; 7/5; 16/11; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 16/11; 31/20; 39/29; 10/7; 6/4; 6/4; 6/4; 16/11; ; 11/8; ; 
Reading; 9/5; 9/5; 28/15; 9/5; ; 2; 15/8; 15/8; 19/10; 19/10; 9/5; 9/5; 93/50; 19/10; 19/10; 15/8; 7/4; 19/10; 2; 32/19; 24/13; 15/8; 15/8; 15/8; 19/10; ; 17/10; ; 
Draw; 9/4; 23/10; 11/5; 23/10; ; 5/2; 11/5; 23/10; 40/17; 11/5; 23/10; 9/4; 11/5; 9/4; 9/4; ; 9/4; 11/5; 12/5; 40/17; 23/10; 23/10; 23/10; 9/4; 11/5; ; 21/10; ; 
META; english/championship/reading-v-cardiff; 2017-12-07 14:22:07 GMT+2; 2017-12-11 20:00; Nothing; Xlenovo
