META; english/championship/leeds-v-reading; 2017-10-06 18:22:12 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 8/11; 4/5; 3/4; 4/5; 4/6; 8/11; 8/11; 4/6; 13/18; 3/4; 3/4; 4/5; ; 8/11; 3/4; 8/11; 7/10; 5/7; 19/25; 3/4; 13/18; 4/5; 3/4; 3/4; ; 8/11; ; 
Draw; 11/4; 13/5; 13/5; 13/5; 11/4; 27/10; 13/5; 11/4; 27/10; 5/2; 5/2; 13/5; ; 14/5; 13/5; 13/5; 13/5; 13/5; 29/10; 28/11; 45/17; 11/4; 11/4; 27/10; ; 5/2; ; 
Reading; 7/2; 7/2; 18/5; 17/5; 4; 21/5; 7/2; 4; 39/10; 18/5; 15/4; 18/5; ; 4; 4; 7/2; 4; 62/17; 41/10; 3; 19/5; 7/2; 15/4; 7/2; ; 6/5; ; 
META; english/championship/leeds-v-reading; 2017-10-06 22:22:37 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 8/11; 4/5; 3/4; 4/5; 4/6; 8/11; 8/11; 4/6; 13/18; 3/4; 3/4; 4/5; ; 8/11; 3/4; 8/11; 7/10; 5/7; 19/25; 3/4; 13/18; 4/5; 3/4; 3/4; ; 8/11; ; 
Draw; 11/4; 13/5; 13/5; 13/5; 11/4; 27/10; 13/5; 11/4; 27/10; 5/2; 5/2; 13/5; ; 14/5; 13/5; 13/5; 13/5; 13/5; 29/10; 28/11; 45/17; 11/4; 11/4; 27/10; ; 5/2; ; 
Reading; 7/2; 7/2; 18/5; 17/5; 4; 21/5; 7/2; 4; 39/10; 18/5; 15/4; 18/5; ; 4; 4; 7/2; 4; 62/17; 41/10; 3; 19/5; 7/2; 15/4; 7/2; ; 20/21; ; 
META; english/championship/leeds-v-reading; 2017-10-07 02:22:05 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 8/11; 3/4; 3/4; 4/5; 4/6; 8/11; 8/11; 4/6; 13/18; 3/4; 3/4; 4/5; ; 8/11; 3/4; 8/11; 7/10; 5/7; 19/25; 3/4; 13/18; 4/5; 3/4; 3/4; ; 8/11; ; 
Draw; 11/4; 13/5; 13/5; 13/5; 11/4; 27/10; 13/5; 11/4; 27/10; 5/2; 5/2; 13/5; ; 14/5; 13/5; 13/5; 13/5; 13/5; 29/10; 28/11; 45/17; 11/4; 11/4; 27/10; ; 5/2; ; 
Reading; 7/2; 7/2; 18/5; 17/5; 4; 21/5; 7/2; 4; 39/10; 18/5; 15/4; 18/5; ; 4; 4; 7/2; 4; 62/17; 41/10; 3; 19/5; 7/2; 15/4; 7/2; ; 20/21; ; 
META; english/championship/leeds-v-reading; 2017-10-07 10:22:23 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 8/11; 3/4; 3/4; 4/5; 4/6; 8/11; 8/11; 4/6; 13/18; 3/4; 3/4; 4/5; ; 8/11; 3/4; 8/11; 7/10; 5/7; 19/25; 3/4; 13/18; 4/5; 3/4; 3/4; ; 8/11; ; 
Draw; 11/4; 13/5; 13/5; 13/5; 11/4; 27/10; 13/5; 11/4; 27/10; 5/2; 5/2; 13/5; ; 14/5; 13/5; 13/5; 13/5; 13/5; 29/10; 28/11; 45/17; 11/4; 11/4; 27/10; ; 5/2; ; 
Reading; 7/2; 7/2; 18/5; 17/5; 4; 21/5; 7/2; 4; 39/10; 18/5; 15/4; 18/5; ; 4; 4; 7/2; 4; 62/17; 41/10; 3; 19/5; 7/2; 15/4; 7/2; ; 20/21; ; 
META; english/championship/leeds-v-reading; 2017-10-07 14:22:21 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Leeds; 8/11; 3/4; 3/4; 4/5; 4/6; 8/11; 8/11; 4/6; 13/18; 3/4; 3/4; 4/5; ; 8/11; 3/4; 8/11; 7/10; 5/7; 19/25; 3/4; 13/18; 4/5; 3/4; 3/4; ; 8/11; ; 
