META; english/championship/barnsley-v-ipswich; 2017-08-06 02:19:59 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; ; 11/8; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Ipswich; ; 9/5; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; 9/5; ; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; ; 9/4; ; ; ; ; ; ; 
META; english/championship/barnsley-v-ipswich; 2017-08-06 10:19:55 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; ; 11/8; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 6/4; ; ; ; 6/4; ; ; ; ; ; ; 
Ipswich; ; 9/5; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; 9/5; ; ; ; 9/5; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; ; 9/4; ; ; ; ; ; ; 
META; english/championship/barnsley-v-ipswich; 2017-08-06 14:20:01 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Ipswich; 9/5; 9/5; 19/10; 17/10; 15/8; 19/10; 19/10; 15/8; 19/10; 28/15; 19/10; 9/5; 37/20; 19/10; 15/8; 19/10; 7/4; 15/8; 19/10; 51/25; 7/4; 15/8; 15/8; 15/8; 15/8; ; 17/10; ; 2
Draw; 11/5; 9/4; 11/5; 11/5; 11/5; 23/10; 9/4; 11/5; 9/4; 11/5; 11/5; 23/10; 9/4; 9/4; 23/10; 23/10; 11/5; 11/5; 9/4; 59/25; 23/10; 11/5; 23/10; 23/10; 11/5; ; 11/5; ; 23/10
META; english/championship/barnsley-v-ipswich; 2017-08-09 14:20:32 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; 6/4; 6/4; 6/4; 29/20; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 17/11; 17/11; 31/21; ; 77/50; 17/12; 31/21; 6/4; 6/4; 6/4; ; 6/4; 7/5; 6/4
Ipswich; 9/5; 9/5; 19/10; 17/10; 15/8; 19/10; 19/10; 15/8; 19/10; 28/15; 19/10; 9/5; 37/20; 19/10; 15/8; 19/10; 7/4; 15/8; ; 51/25; 7/4; 15/8; 15/8; 15/8; 15/8; ; 19/10; 15/8; 2
Draw ; 11/5; 9/4; 11/5; 11/5; 11/5; 23/10; 9/4; 11/5; 9/4; 11/5; 11/5; 23/10; 9/4; 9/4; 23/10; 23/10; 11/5; 11/5; ; 59/25; 23/10; 11/5; 23/10; 23/10; 11/5; ; 11/5; 2; 23/10
META; english/championship/barnsley-v-ipswich; 2017-08-09 18:20:12 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; 11/8; 6/4; 29/20; 29/20; 6/4; 6/4; 29/20; 6/4; 6/4; 16/11; 6/4; 6/4; 29/20; 6/4; 6/4; 16/11; 17/11; 31/21; 16/11; 77/50; 17/12; 31/21; 6/4; 6/4; 6/4; ; 6/4; 13/10; 6/4
Ipswich; 2; 9/5; 39/20; 17/10; 15/8; 39/20; 2; 15/8; 19/10; 19/10; 19/10; 9/5; 19/10; 19/10; 15/8; 2; 7/4; 15/8; 37/19; 51/25; 7/4; 15/8; 15/8; 15/8; 19/10; ; 19/10; 9/5; 2
Draw ; 11/5; 9/4; 11/5; 11/5; 11/5; 23/10; 9/4; 11/5; 9/4; 11/5; 11/5; 23/10; 9/4; 9/4; 23/10; 23/10; 11/5; 11/5; 9/4; 59/25; 23/10; 11/5; 23/10; 23/10; 11/5; ; 21/10; 2; 23/10
META; english/championship/barnsley-v-ipswich; 2017-08-09 22:20:12 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; 11/8; 6/4; 29/20; 29/20; 6/4; 29/20; 6/4; 6/4; 6/4; 7/5; 29/20; 29/20; 29/20; 6/4; 6/4; 16/11; 16/11; 31/21; 16/11; 77/50; 23/17; 31/21; 6/5; 6/4; 6/4; ; 6/4; 7/5; 6/4
Ipswich; 2; 9/5; 2; 17/10; 15/8; 39/20; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 19/10; 19/10; 15/8; 19/10; 24/13; 15/8; 37/19; 51/25; 25/14; 15/8; 9/4; 15/8; 19/10; ; 19/10; 9/5; 2
Draw ; 11/5; 9/4; 11/5; 11/5; 11/5; 23/10; 9/4; 11/5; 9/4; 11/5; 11/5; 9/4; 9/4; 9/4; 23/10; 9/4; 11/5; 11/5; 9/4; 59/25; 40/17; 11/5; 12/5; 23/10; 11/5; ; 11/5; 2; 23/10
META; english/championship/barnsley-v-ipswich; 2017-08-10 02:20:11 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; 11/8; 6/4; 29/20; 29/20; 6/4; 29/20; 6/4; 6/4; 6/4; 7/5; 29/20; 29/20; 29/20; 6/4; 6/4; 16/11; 16/11; 31/21; 16/11; 77/50; 23/17; 31/21; 6/5; 6/4; 6/4; ; 6/4; 7/5; 6/4
Ipswich; 2; 9/5; 2; 17/10; 15/8; 39/20; 19/10; 15/8; 19/10; 19/10; 2; 19/10; 19/10; 19/10; 15/8; 19/10; 24/13; 15/8; 37/19; 51/25; 25/14; 15/8; 9/4; 15/8; 19/10; ; 19/10; 9/5; 2
Draw ; 11/5; 9/4; 11/5; 11/5; 11/5; 23/10; 9/4; 11/5; 9/4; 11/5; 11/5; 9/4; 9/4; 9/4; 23/10; 9/4; 11/5; 11/5; 9/4; 59/25; 40/17; 11/5; 12/5; 23/10; 11/5; ; 11/5; 2; 23/10
META; english/championship/barnsley-v-ipswich; 2017-08-10 10:20:10 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; 11/8; 7/5; 29/20; 29/20; 6/4; 29/20; 6/4; 6/4; 6/4; 7/5; 29/20; 29/20; 29/20; 6/4; 6/4; 16/11; 16/11; 31/21; 16/11; 77/50; 23/17; 31/21; 6/5; 6/4; 6/4; ; 6/4; 7/5; 6/4
Ipswich; 2; 19/10; 2; 17/10; 15/8; 39/20; 19/10; 15/8; 19/10; 19/10; 2; 2; 19/10; 19/10; 15/8; 19/10; 24/13; 15/8; 37/19; 51/25; 25/14; 15/8; 9/4; 15/8; 19/10; ; 19/10; 15/8; 2
Draw ; 11/5; 23/10; 11/5; 11/5; 11/5; 23/10; 23/10; 11/5; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 23/10; 9/4; 11/5; 11/5; 9/4; 59/25; 40/17; 11/5; 12/5; 23/10; 11/5; ; 11/5; 2; 23/10
META; english/championship/barnsley-v-ipswich; 2017-08-10 14:20:14 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; 11/8; 7/5; 6/4; 29/20; 6/4; 29/20; 29/20; 6/4; 6/4; 16/11; 29/20; 29/20; 29/20; 6/4; 6/4; 16/11; 16/11; 31/21; 16/11; 157/100; 23/17; 31/21; 6/5; 6/4; 6/4; ; 6/4; 13/10; 6/4
Ipswich; 2; 19/10; 39/20; 17/10; 2; 39/20; 19/10; 15/8; 19/10; 2; 2; 2; 19/10; 19/10; 15/8; 19/10; 24/13; 15/8; 37/19; 52/25; 25/14; 15/8; 9/4; 15/8; 19/10; ; 19/10; 9/5; 2
Draw ; 11/5; 23/10; 11/5; 11/5; 11/5; 23/10; 23/10; 11/5; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 23/10; 9/4; 11/5; 11/5; 11/5; 113/50; 40/17; 11/5; 12/5; 23/10; 11/5; ; 11/5; 2; 9/4
META; english/championship/barnsley-v-ipswich; 2017-08-10 18:20:40 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; 11/8; 7/5; 6/4; 29/20; 6/4; 6/4; 31/20; 6/4; 6/4; 16/11; 29/20; 29/20; 29/20; 6/4; 6/4; 6/4; 16/11; 31/21; 16/11; 157/100; 6/4; 31/21; 6/5; 6/4; 6/4; ; 6/4; 7/5; 6/4
Ipswich; 2; 19/10; 39/20; 17/10; 2; 2; 2; 15/8; 2; 19/10; 19/10; 2; 19/10; 19/10; 15/8; 19/10; 24/13; 37/19; 2; 52/25; 19/10; 37/19; 9/4; 15/8; 19/10; ; 19/10; 9/5; 2
Draw ; 11/5; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 28/13; 21/10; 11/5; 11/5; 9/4; 9/4; 23/10; 9/4; 11/5; 21/10; 28/13; 113/50; 9/4; 21/10; 12/5; 23/10; 11/5; ; 11/5; 2; 9/4
META; english/championship/barnsley-v-ipswich; 2017-08-10 22:21:30 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; 11/8; 7/5; 6/4; 29/20; 6/4; 6/4; 31/20; 6/4; 6/4; 16/11; 29/20; 29/20; 29/20; 6/4; 6/4; 6/4; 16/11; 31/21; 16/11; 157/100; 6/4; 31/21; 6/5; 6/4; 6/4; ; 6/4; 7/5; 6/4
Ipswich; 2; 19/10; 39/20; 17/10; 2; 2; 2; 15/8; 2; 19/10; 19/10; 2; 19/10; 19/10; 15/8; 19/10; 24/13; 37/19; 2; 52/25; 19/10; 37/19; 9/4; 15/8; 19/10; ; 19/10; 19/10; 2
Draw ; 11/5; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 28/13; 21/10; 11/5; 11/5; 9/4; 9/4; 23/10; 9/4; 11/5; 21/10; 28/13; 113/50; 9/4; 21/10; 12/5; 23/10; 11/5; ; 11/5; 2; 9/4
META; english/championship/barnsley-v-ipswich; 2017-08-11 02:20:37 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Barnsley; 11/8; 7/5; 6/4; 29/20; 6/4; 6/4; 31/20; 6/4; 6/4; 16/11; 6/4; 29/20; 29/20; 6/4; 6/4; 6/4; 16/11; 31/21; 16/11; 157/100; 6/4; 31/21; 6/5; 6/4; 6/4; ; 6/4; 7/5; 6/4
Ipswich; 2; 19/10; 39/20; 17/10; 2; 2; 2; 15/8; 2; 19/10; 19/10; 2; 19/10; 19/10; 15/8; 19/10; 24/13; 37/19; 2; 52/25; 19/10; 37/19; 9/4; 15/8; 19/10; ; 19/10; 19/10; 2
Draw ; 11/5; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 28/13; 21/10; 11/5; 11/5; 9/4; 9/4; 23/10; 9/4; 11/5; 21/10; 28/13; 113/50; 9/4; 21/10; 12/5; 23/10; 11/5; ; 11/5; 2; 9/4
