META; english/championship/hull-v-ipswich; 2017-11-05 02:21:45 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Ipswich; 14/5; 12/5; 12/5; 12/5; 11/4; ; ; 13/5; 13/5; 23/10; 11/4; 5/2; ; 49/20; 5/2; 5/2; 13/5; 27/11; 14/5; 11/5; 28/11; 13/5; 5/2; 53/20; 27/11; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-08 18:21:37 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 1; 21/20; 21/20; 21/20; 21/20; ; 21/20; 1; 21/20; 1; 11/10; 1; ; 21/20; 21/20; 1; 1; 1; 107/ 100; 24/23; 24/23; 21/20; 21/20; 1; 1; ; ; ; 
Draw; 23/10; 13/5; 13/5; 13/5; 5/2; ; 13/5; 13/5; 5/2; 5/2; 12/5; 5/2; ; 13/5; 13/5; 12/5; 12/5; 5/2; 53/20; 13/5; 27/11; 13/5; 13/5; 5/2; 28/11; ; ; ; 
Ipswich; 14/5; 12/5; 12/5; 12/5; 11/4; ; 12/5; 13/5; 13/5; 12/5; 11/4; 5/2; ; 49/20; 5/2; 5/2; 13/5; 27/11; 14/5; 5/2; 28/11; 13/5; 5/2; 53/20; 27/11; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-08 22:21:37 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Hull; 1; 21/20; 21/20; 21/20; 21/20; ; 21/20; 1; 21/20; 1; 11/10; 1; ; 21/20; 21/20; 1; 1; 1; 107/ 100; 24/23; 24/23; 21/20; 21/20; 1; 1; ; ; ; 
Draw; 23/10; 13/5; 13/5; 13/5; 5/2; ; 13/5; 13/5; 5/2; 5/2; 12/5; 5/2; ; 13/5; 13/5; 12/5; 12/5; 5/2; 53/20; 13/5; 27/11; 13/5; 13/5; 5/2; 28/11; ; ; ; 
Ipswich; 14/5; 12/5; 12/5; 12/5; 11/4; ; 12/5; 13/5; 13/5; 12/5; 11/4; 5/2; ; 49/20; 5/2; 5/2; 13/5; 27/11; 14/5; 5/2; 28/11; 13/5; 5/2; 53/20; 27/11; ; ; ; 
META; english/championship/hull-v-ipswich; 2017-11-09 02:21:14 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
