META; english/championship/cardiff-v-sheffield-wednesday; 2017-09-14 22:21:42 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cardiff; 1; 21/20; 21/20; 21/20; 1; 1; 11/10; 1; 1; 21/20; 21/20; 1; 1; 21/20; 1; 21/20; 21/20; 28/29; 1; 27/25; 1; 28/29; ; 21/20; 21/20; ; 1; 1; 21/20
Draw; 12/5; 12/5; 23/10; 23/10; 23/10; 12/5; 12/5; 23/10; 12/5; 11/5; 9/4; 11/5; 12/5; 5/2; 23/10; 12/5; 23/10; 40/17; 40/17; 121/50; 23/10; 40/17; ; 12/5; 23/10; ; 23/10; 9/4; 12/5
Sheffield Wednesday; 11/4; 13/5; 29/10; 13/5; 11/4; 14/5; 3; 11/4; 56/19; 14/5; 14/5; 13/5; 29/10; 3; 3; 14/5; 13/5; 29/10; 29/10; 61/20; 40/17; 29/10; ; 14/5; 14/5; ; 14/5; 14/5; 3
META; english/championship/cardiff-v-sheffield-wednesday; 2017-09-15 02:20:50 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cardiff; 1; 1; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 11/10; 11/10; 1; 21/20; 21/20; 1; 21/20; 21/20; 28/29; 1; 109/100; 1; 28/29; ; 11/10; 21/20; ; 21/20; 1; 11/10
Draw; 12/5; 12/5; 9/4; 23/10; 23/10; 12/5; 12/5; 23/10; 12/5; 11/5; 11/5; 11/5; 12/5; 5/2; 23/10; 12/5; 23/10; 40/17; 40/17; 61/25; 23/10; 40/17; ; 12/5; 23/10; ; 23/10; 21/10; 12/5
Sheffield Wednesday; 11/4; 14/5; 11/4; 13/5; 13/5; 14/5; 29/10; 11/4; 56/19; 27/10; 27/10; 13/5; 29/10; 3; 3; 14/5; 13/5; 29/10; 29/10; 149/50; 40/17; 29/10; ; 11/4; 11/4; ; 14/5; 11/4; 14/5
META; english/championship/cardiff-v-sheffield-wednesday; 2017-09-15 10:20:31 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cardiff; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 11/10; 11/10; 1; 21/20; 21/20; 1; 11/10; 21/20; 28/29; 21/20; 109/100; 68/67; 28/29; ; 11/10; 21/20; ; 21/20; 21/20; 11/10
Draw; 12/5; 12/5; 9/4; 23/10; 9/4; 12/5; 12/5; 23/10; 12/5; 11/5; 11/5; 11/5; 12/5; 5/2; 23/10; 12/5; 23/10; 40/17; 23/10; 61/25; 23/10; 40/17; ; 12/5; 11/5; ; 23/10; 21/10; 12/5
Sheffield Wednesday; 3; 13/5; 11/4; 13/5; 11/4; 11/4; 29/10; 11/4; 56/19; 27/10; 27/10; 13/5; 14/5; 3; 3; 11/4; 13/5; 29/10; 14/5; 149/50; 23/10; 29/10; ; 11/4; 11/4; ; 14/5; 11/4; 14/5
META; english/championship/cardiff-v-sheffield-wednesday; 2017-09-15 14:20:45 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cardiff; 11/10; 21/20; 11/10; 21/20; 21/20; 21/20; 11/10; 1; 1; 11/10; 11/10; 1; 21/20; 11/10; 1; 11/10; 21/20; 28/29; 21/20; 11/10; 68/67; 28/29; ; 11/10; 21/20; ; 21/20; 21/20; 11/10
Draw; 12/5; 12/5; 9/4; 23/10; 9/4; 12/5; 12/5; 23/10; 12/5; 11/5; 11/5; 11/5; 12/5; 12/5; 23/10; 12/5; 23/10; 40/17; 23/10; 121/50; 23/10; 40/17; ; 12/5; 11/5; ; 23/10; 21/10; 12/5
Sheffield Wednesday; 3; 13/5; 11/4; 13/5; 11/4; 11/4; 29/10; 11/4; 56/19; 27/10; 27/10; 13/5; 14/5; 29/10; 3; 11/4; 13/5; 29/10; 14/5; 149/50; 23/10; 29/10; ; 11/4; 11/4; ; 14/5; 11/4; 14/5
META; english/championship/cardiff-v-sheffield-wednesday; 2017-09-15 18:20:55 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cardiff; 11/10; 21/20; 21/20; 11/10; 1; 21/20; 11/10; 1; 24/23; 21/20; 21/20; 1; 21/20; 11/10; 1; 21/20; 21/20; 1; 21/20; 28/25; 24/23; 1; ; 21/20; 21/20; ; 21/20; 21/20; 21/20
Draw; 12/5; 12/5; 23/10; 11/5; 23/10; 12/5; 12/5; 23/10; 40/17; 9/4; 9/4; 11/5; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; 11/5; 23/10; ; 23/10; 23/10; ; 23/10; 21/10; 12/5
Sheffield Wednesday; 3; 13/5; 29/10; 11/4; 11/4; 11/4; 3; 11/4; 37/13; 14/5; 14/5; 13/5; 14/5; 29/10; 3; 14/5; 13/5; 14/5; 14/5; 73/25; 3; 14/5; ; 14/5; 11/4; ; 14/5; 11/4; 14/5
META; english/championship/cardiff-v-sheffield-wednesday; 2017-09-15 22:21:35 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cardiff; 11/10; 21/20; 21/20; 11/10; 1; 21/20; 21/20; 1; 24/23; 1; 1; 1; 21/20; 11/10; 1; 21/20; 21/20; 1; 21/20; 113/100; 42/41; 1; ; 21/20; 21/20; ; 21/20; 1; 11/10
Draw; 12/5; 12/5; 23/10; 11/5; 23/10; 12/5; 12/5; 23/10; 40/17; 9/4; 9/4; 11/5; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; 12/5; 23/10; ; 23/10; 23/10; ; 23/10; 9/4; 12/5
Sheffield Wednesday; 3; 13/5; 29/10; 11/4; 11/4; 11/4; 3; 11/4; 37/13; 14/5; 29/10; 13/5; 14/5; 29/10; 3; 29/10; 13/5; 14/5; 14/5; 29/10; 37/13; 14/5; ; 14/5; 11/4; ; 14/5; 11/4; 14/5
META; english/championship/cardiff-v-sheffield-wednesday; 2017-09-16 02:21:45 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cardiff; 11/10; 1; 21/20; 11/10; 21/20; 21/20; 21/20; 1; 24/23; 1; 1; 1; 1; 11/10; 1; 21/20; 21/20; 1; 21/20; 113/100; 42/41; 1; 21/20; 21/20; 21/20; ; 21/20; 10/9; 21/20
Draw; 12/5; 12/5; 23/10; 11/5; 23/10; 12/5; 12/5; 23/10; 40/17; 9/4; 9/4; 11/5; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; 40/17; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; ; 23/10; 21/10; 12/5
Sheffield Wednesday; 3; 14/5; 29/10; 11/4; 13/5; 11/4; 3; 11/4; 37/13; 14/5; 29/10; 13/5; 29/10; 29/10; 3; 29/10; 13/5; 14/5; 11/4; 29/10; 37/13; 14/5; 11/4; 14/5; 11/4; ; 14/5; 14/5; 14/5
META; english/championship/cardiff-v-sheffield-wednesday; 2017-09-16 10:20:29 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cardiff; 11/10; 1; 21/20; 1; 21/20; 21/20; 11/10; 1; 24/23; 1; 11/10; 1; 1; 11/10; 1; 21/20; 21/20; 1; 21/20; 113/100; 24/23; 1; 21/20; 21/20; 21/20; ; 1; 21/20; 21/20
Draw; 12/5; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 23/10; 40/17; 9/4; 12/5; 11/5; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; ; 23/10; 23/10; 12/5
Sheffield Wednesday; 3; 14/5; 29/10; 14/5; 13/5; 11/4; 3; 11/4; 37/13; 29/10; 3; 13/5; 29/10; 29/10; 3; 14/5; 13/5; 14/5; 14/5; 29/10; 27/10; 14/5; 11/4; 14/5; 11/4; ; 14/5; 14/5; 14/5
META; english/championship/cardiff-v-sheffield-wednesday; 2017-09-16 14:21:46 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cardiff; 21/20; 1; 21/20; 1; 21/20; 21/20; 11/10; 1; 24/23; 21/20; 21/20; 1; 1; 11/10; 1; 21/20; 21/20; 1; 21/20; 11/10; 21/20; 1; 19/20; 21/20; 21/20; ; 1; 21/20; 21/20
Draw; 5/2; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 23/10; 40/17; 23/10; 23/10; 11/5; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10; 40/17; 12/5; 12/5; 23/10; 9/4; 23/10; 23/10; ; 23/10; 23/10; 12/5
