QPR; 9/5; 15/8; 9/5; 2; 7/4; 19/10; 9/5; 15/8; 39/19; 9/5; 21/10; 7/4; 21/10; 37/20; 15/8; 19/10; 7/4; 9/5; 41/20; 12/7; 2; 9/5; 9/5; 7/4; 24/13; ; 13/8; 17/10; 9/5
Draw; 5/2; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 12/5; 28/11; 23/10; 5/2; 12/5; 5/2; 12/5; 5/2; 5/2; 12/5; 12/5; 129/ 50; 27/11; 5/2; 5/2; 5/2; 49/20; 12/5; ; 9/4; 12/5; 5/2
META; english/championship/qpr-v-bristol-city; 2017-12-20 18:21:25 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 7/5; 6/4; 16/11; 13/10; 7/5; 7/5; 29/20; 11/8; 6/4; 6/4; 6/5; 29/20; 6/5; 6/4; 7/5; 7/5; 7/5; 6/4; 79/50; 15/11; 16/11; 6/4; 29/20; 29/20; 6/4; ; 7/5; 7/5; 6/4
QPR; 9/5; 9/5; 9/5; 2; 7/4; 19/10; 9/5; 15/8; 9/5; 9/5; 21/10; 7/4; 21/10; 37/20; 15/8; 15/8; 7/4; 9/5; 189/ 100; 12/7; 7/4; 9/5; 9/5; 7/4; 9/5; ; 9/5; 9/5; 9/5
Draw; 5/2; 23/10; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 27/11; 23/10; 5/2; 12/5; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 62/25; 27/11; 12/5; 5/2; 5/2; 49/20; 12/5; ; 9/4; 21/10; 5/2
META; english/championship/qpr-v-bristol-city; 2017-12-20 22:21:27 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 7/5; 6/4; 16/11; 7/5; 7/5; 29/20; 6/4; 7/5; 6/4; 6/4; 6/5; 31/20; 6/5; 6/4; 7/5; 7/5; 7/5; 6/4; 13/8; 15/11; 16/11; 6/4; 29/20; 6/4; 17/11; ; 7/5; 7/5; 8/5
QPR; 9/5; 9/5; 9/5; 15/8; 7/4; 15/8; 9/5; 9/5; 9/5; 9/5; 21/10; 9/5; 21/10; 37/20; 15/8; 15/8; 7/4; 7/4; 93/50; 12/7; 7/4; 9/5; 9/5; 7/4; 9/5; ; 7/4; 17/10; 9/5
Draw; 5/2; 23/10; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 27/11; 23/10; 5/2; 11/5; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 49/20; 27/11; 12/5; 12/5; 5/2; 12/5; 12/5; ; 23/10; 21/10; 12/5
META; english/championship/qpr-v-bristol-city; 2017-12-21 02:21:15 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 7/5; 6/4; 6/4; 7/5; 7/5; 29/20; 6/4; 7/5; 6/4; 6/4; 6/5; 31/20; 6/5; 6/4; 7/5; 7/5; 7/5; 17/11; 13/8; 15/11; 16/11; 6/4; 29/20; 6/4; 17/11; ; 6/4; 7/5; 8/5
QPR; 9/5; 9/5; 7/4; 15/8; 7/4; 15/8; 9/5; 9/5; 9/5; 17/10; 21/10; 9/5; 21/10; 9/5; 15/8; 15/8; 7/4; 7/4; 93/50; 12/7; 7/4; 9/5; 9/5; 7/4; 9/5; ; 13/8; 13/8; 9/5
Draw; 5/2; 23/10; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 27/11; 23/10; 5/2; 11/5; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 49/20; 27/11; 12/5; 12/5; 5/2; 12/5; 12/5; ; 23/10; 21/10; 12/5
META; english/championship/qpr-v-bristol-city; 2017-12-21 10:21:20 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 7/5; 6/4; 6/4; 7/5; 7/5; 29/20; 6/4; 7/5; 6/4; 6/4; 11/8; 31/20; 6/5; 6/4; 7/5; 6/4; 7/5; 17/11; 13/8; 15/11; 16/11; 6/4; 29/20; 6/4; 17/11; ; 6/4; 7/5; 8/5
QPR; 9/5; 7/4; 7/4; 15/8; 7/4; 15/8; 7/4; 9/5; 9/5; 17/10; 9/5; 7/4; 21/10; 9/5; 15/8; 9/5; 7/4; 7/4; 93/50; 12/7; 7/4; 9/5; 9/5; 7/4; 9/5; ; 7/4; 13/8; 9/5
Draw; 5/2; 12/5; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 27/11; 23/10; 5/2; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 49/20; 27/11; 12/5; 12/5; 5/2; 12/5; 12/5; ; 23/10; 21/10; 12/5
META; english/championship/qpr-v-bristol-city; 2017-12-21 14:21:31 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 7/5; 6/4; 6/4; 7/5; 7/5; 29/20; 6/4; 7/5; 6/4; 6/4; 11/8; 31/20; 6/5; 6/4; 7/5; 6/4; 7/5; 17/11; 13/8; 16/11; 16/11; 6/4; 29/20; 6/4; 17/11; ; 6/4; 6/4; 8/5
QPR; 9/5; 7/4; 7/4; 15/8; 7/4; 15/8; 7/4; 9/5; 9/5; 17/10; 9/5; 7/4; 21/10; 9/5; 15/8; 9/5; 7/4; 7/4; 93/50; 12/7; 7/4; 9/5; 9/5; 7/4; 9/5; ; 7/4; 7/4; 9/5
Draw; 5/2; 12/5; 23/10; 12/5; 12/5; 12/5; 23/10; 12/5; 27/11; 23/10; 5/2; 23/10; 5/2; 12/5; 5/2; 12/5; 12/5; 12/5; 49/20; 40/17; 12/5; 12/5; 5/2; 12/5; 12/5; ; 23/10; 21/10; 12/5
META; english/championship/qpr-v-bristol-city; 2017-12-21 18:21:19 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 7/5; 6/4; 6/4; 7/5; 7/5; 6/4; 7/5; 6/4; 6/4; 11/8; 31/20; 6/5; 6/4; 6/4; 6/4; 7/5; 17/11; 13/8; 24/17; 16/11; 6/4; 31/20; 6/4; 17/11; ; 7/5; 8/5
QPR; 9/5; 7/4; 7/4; 15/8; 7/4; 7/4; 15/8; 9/5; 17/10; 9/5; 7/4; 21/10; 9/5; 9/5; 9/5; 7/4; 7/4; 46/25; 19/10; 7/4; 9/5; 15/8; 7/4; 9/5; ; 13/8; 9/5
Draw; 5/2; 12/5; 23/10; 12/5; 12/5; 23/10; 12/5; 27/11; 23/10; 5/2; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 62/25; 27/11; 12/5; 12/5; 5/2; 12/5; 12/5; ; 12/5; 12/5
META; english/championship/qpr-v-bristol-city; 2017-12-21 22:21:19 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 29/20; 6/4; 6/4; 7/5; 7/5; ; 6/4; 7/5; 17/11; 6/4; 11/8; 31/20; 6/5; 6/4; 6/4; 6/4; 7/5; 17/11; 161/ 100; 10/7; 6/4; 6/4; 8/5; 6/4; 17/11; ; 6/4; 6/4; 8/5
QPR; 7/4; 7/4; 7/4; 15/8; 7/4; ; 7/4; 15/8; 9/5; 17/10; 9/5; 7/4; 21/10; 9/5; 9/5; 9/5; 7/4; 7/4; 93/50; 9/5; 7/4; 9/5; 9/5; 7/4; 7/4; ; 9/5; 9/5; 9/5
Draw; 5/2; 12/5; 23/10; 12/5; 12/5; ; 23/10; 12/5; 12/5; 23/10; 5/2; 23/10; 5/2; 12/5; 12/5; 12/5; 12/5; 40/17; 62/25; 28/11; 40/17; 12/5; 5/2; 12/5; 12/5; ; 23/10; 23/10; 12/5
META; english/championship/qpr-v-bristol-city; 2017-12-22 02:21:18 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Bristol City; 8/5; 6/4; 6/4; 7/5; 7/5; 6/4; 6/4; 7/5; 17/11; 6/4; 11/8; 31/20; 6/5; 31/20; 6/4; 6/4; 7/5; 17/11; 13/8; 10/7; 6/4; 6/4; 13/8; 6/4; 8/5; ; 6/4; 6/4; 8/5
QPR; 19/10; 7/4; 17/10; 15/8; 7/4; 19/10; 7/4; 15/8; 9/5; 17/10; 9/5; 7/4; 21/10; 7/4; 9/5; 9/5; 7/4; 7/4; 93/50; 9/5; 7/4; 9/5; 9/5; 7/4; 7/4; ; 9/5; 7/4; 9/5
