META; english/championship/sunderland-v-hull; 2018-01-17 02:21:30 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Hull; 6/4; 6/4; 6/4; 6/4; 159/100; 13/8; 6/4; 8/5; 19/12; 6/4; 6/4; 6/4; 17/10; 6/4; 8/5; 6/4; 8/5; 6/4; 8/5; 11/8; 17/11; 6/4; 6/4; 31/20; 17/11; ; 7/5; 7/5; 6/4
Sunderland; 15/8; 19/10; 19/10; 15/8; 101/50; 9/5; 19/10; 9/5; 19/10; 19/10; 15/8; 19/10; 33/20; 39/20; 19/10; 19/10; 7/4; 37/19; 7/4; 9/5; 24/13; 15/8; 19/10; 19/10; 37/19; ; 9/5; 9/5; 2
Draw; 11/5; 11/5; 21/10; 11/5; 23/10; 9/4; 21/10; 11/5; 11/5; 21/10; 11/5; 11/5; 11/5; 43/20; 21/10; 21/10; 21/10; 28/13; 21/10; 23/10; 28/13; 11/5; 23/10; 21/10; 28/13; ; 21/10; 2; 11/5
META; english/championship/sunderland-v-hull; 2018-01-17 10:21:23 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Hull; 6/4; 6/4; 6/4; 6/4; 159/100; 13/8; 6/4; 8/5; 19/12; 6/4; 6/4; 6/4; 17/10; 6/4; 8/5; 6/4; 8/5; 17/11; 8/5; 11/8; 17/11; 6/4; 6/4; 31/20; 17/11; ; 4/11; 7/5; 6/4
Sunderland; 15/8; 19/10; 19/10; 15/8; 101/50; 9/5; 19/10; 9/5; 19/10; 19/10; 15/8; 19/10; 33/20; 2; 19/10; 19/10; 7/4; 37/19; 7/4; 9/5; 24/13; 15/8; 19/10; 19/10; 37/19; ; 9/5; 9/5; 2
Draw; 11/5; 11/5; 21/10; 11/5; 23/10; 9/4; 21/10; 11/5; 11/5; 21/10; 11/5; 11/5; 11/5; 43/20; 21/10; 21/10; 21/10; 28/13; 21/10; 23/10; 28/13; 11/5; 23/10; 21/10; 28/13; ; 21/10; 2; 11/5
META; english/championship/sunderland-v-hull; 2018-01-17 14:23:53 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
Hull; 6/4; 6/4; 6/4; 6/4; 159/100; 13/8; 6/4; 8/5; 19/12; 6/4; 6/4; 6/4; 17/10; 6/4; 8/5; 6/4; 8/5; 17/11; 8/5; 7/5; 17/11; 6/4; 6/4; 31/20; 17/11; ; 13/10; 7/5; 6/4
Sunderland; 15/8; 19/10; 19/10; 15/8; 101/50; 9/5; 19/10; 9/5; 19/10; 19/10; 15/8; 19/10; 33/20; 2; 19/10; 19/10; 7/4; 37/19; 7/4; 16/9; 24/13; 15/8; 19/10; 19/10; 37/19; ; 19/10; 9/5; 2
