Fulham; 11/8; 11/8; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 10/7; 13/10; 11/8; 13/10; 6/5; 27/20; 13/10; 11/8; 13/10; 13/10; 11/8; 25/19; 7/5; 13/10; 7/5; 27/20; 23/17; ; 27/20; 11/8; 11/8
Sunderland; 11/5; 19/10; 2; 11/5; 2; 2; 2; 2; 15/8; 2; 15/8; 2; 21/10; 41/20; 21/10; 2; 2; 2; 107/ 50; 133/ 67; 24/13; 2; 21/10; 2; 39/19; ; 21/10; 21/10; 21/10
Draw; 12/5; 12/5; 12/5; 11/5; ; 12/5; 12/5; 12/5; 27/11; 12/5; 12/5; 12/5; 13/5; ; 12/5; 12/5; ; 12/5; 64/25; 5/2; 12/5; 12/5; 5/2; 47/20; 27/11; ; 12/5; 12/5; 5/2
META; english/championship/sunderland-v-fulham; 2017-12-15 18:21:16 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; 11/8; 11/8; 13/10; 13/10; 13/10; 7/5; 11/8; 13/10; 10/7; 13/10; 11/8; 13/10; 6/5; 27/20; 13/10; 11/8; 13/10; 13/10; 27/20; 25/19; 7/5; 13/10; 7/5; 27/20; 23/17; ; 13/10; 13/10; 11/8
Sunderland; 11/5; 19/10; 2; 11/5; 2; 2; 2; 2; 15/8; 2; 15/8; 2; 21/10; 41/20; 21/10; 21/10; 2; 2; 11/5; 133/ 67; 24/13; 2; 21/10; 2; 39/19; ; 21/10; 21/10; 21/10
Draw; 12/5; 12/5; 12/5; 11/5; ; 12/5; 12/5; 12/5; 27/11; 12/5; 12/5; 12/5; 13/5; ; 12/5; 12/5; ; 12/5; 51/20; 5/2; 12/5; 12/5; 5/2; 47/20; 27/11; ; 12/5; 12/5; 5/2
META; english/championship/sunderland-v-fulham; 2017-12-15 22:21:27 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; 11/8; 13/10; 13/10; 11/8; 13/10; 7/5; 13/10; 13/10; 13/10; 13/10; 11/8; 13/10; 6/5; 27/20; 13/10; 11/8; 13/10; 13/10; 27/20; 25/19; 5/4; 13/10; 7/5; 27/20; 13/10; ; 13/10; 13/10; 13/10
Sunderland; 11/5; 2; 2; 2; 2; 2; 21/10; 2; 39/19; 2; 15/8; 2; 21/10; 41/20; 21/10; 21/10; 2; 21/10; 11/5; 133/ 67; 39/19; 2; 21/10; 2; 21/10; ; 2; 2; 11/5
Draw; 12/5; 12/5; 12/5; 23/10; ; 12/5; 12/5; 12/5; 5/2; 12/5; 12/5; 23/10; 13/5; ; 12/5; 12/5; ; 12/5; 51/20; 5/2; 27/11; 12/5; 5/2; 47/20; 12/5; ; 12/5; 23/10; 5/2
META; english/championship/sunderland-v-fulham; 2017-12-16 02:21:07 GMT+2; 2017-12-16 15:00; Nothing; Xlenovo
Fulham; 11/8; 13/10; 13/10; 11/8; 13/10; 7/5; 13/10; 13/10; 13/10; 13/10; 11/8; 13/10; 6/5; 27/20; 13/10; 11/8; 13/10; 13/10; 27/20; 25/19; 5/4; 13/10; 7/5; 27/20; 13/10; ; 13/10; 13/10; 13/10
