META; english/championship/birmingham-v-nottingham-forest; 2017-11-05 02:21:40 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Draw; 23/10; 12/5; 23/10; ; 12/5; ; ; 9/4; 12/5; 9/4; 12/5; 12/5; ; 47/20; 12/5; 9/4; 9/4; 9/4; 49/20; 23/10; 40/17; 12/5; 12/5; 12/5; 9/4; ; ; ; 
META; english/championship/birmingham-v-nottingham-forest; 2017-11-08 18:21:31 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Birmingham; 6/4; 6/4; 17/11; ; 6/4; ; 8/5; 7/5; 17/11; 6/4; 11/8; 31/20; ; 31/20; 6/4; 7/5; 16/11; 6/4; 13/8; 23/15; 17/11; 6/4; 31/20; 6/4; 17/11; ; ; ; 
Nottingham Forest; 7/4; 7/4; 17/10; ; 19/10; ; 7/4; 15/8; 7/4; 17/10; 21/10; 7/4; ; 7/4; 9/5; 7/4; 9/5; 17/10; 93/50; 7/4; 17/10; 9/5; 7/4; 7/4; 17/10; ; ; ; 
Draw; 23/10; 12/5; 23/10; ; 12/5; ; 9/4; 9/4; 12/5; 9/4; 12/5; 23/10; ; 47/20; 12/5; 9/4; 9/4; 9/4; 49/20; 12/5; 40/17; 12/5; 12/5; 12/5; 9/4; ; ; ; 
META; english/championship/birmingham-v-nottingham-forest; 2017-11-08 22:21:31 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
Birmingham; 6/4; 6/4; 17/11; ; 6/4; ; 8/5; 7/5; 17/11; 6/4; 11/8; 31/20; ; 31/20; 6/4; 7/5; 16/11; 6/4; 13/8; 23/15; 17/11; 6/4; 31/20; 6/4; 17/11; ; ; ; 
Nottingham Forest; 7/4; 7/4; 17/10; ; 19/10; ; 7/4; 15/8; 7/4; 17/10; 21/10; 7/4; ; 7/4; 9/5; 7/4; 9/5; 17/10; 93/50; 7/4; 17/10; 9/5; 7/4; 7/4; 17/10; ; ; ; 
Draw; 23/10; 12/5; 23/10; ; 12/5; ; 9/4; 9/4; 12/5; 9/4; 12/5; 23/10; ; 47/20; 12/5; 9/4; 9/4; 9/4; 49/20; 12/5; 40/17; 12/5; 12/5; 12/5; 9/4; ; ; ; 
META; english/championship/birmingham-v-nottingham-forest; 2017-11-09 02:21:09 GMT+2; 2017-11-18 15:00; Nothing; Xlenovo
