META; english/championship/norwich-v-preston; 2017-11-19 02:21:31 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Preston; 11/4; 5/2; 13/5; 12/5; 13/5; 13/5; 13/5; 13/5; 28/11; 13/5; 11/4; 13/5; ; 13/5; 13/5; 13/5; 5/2; 45/17; 11/4; 27/11; 5/2; 11/4; 27/10; 14/5; 27/10; ; 13/5; 13/5; 14/5
META; english/championship/norwich-v-preston; 2017-11-24 02:21:16 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 1; 1; 1; 11/10; 21/20; 21/20; 21/20; 1; 24/23; 1; 1; 1; 1; 21/20; 21/20; 1; 1; 1; 27/25; 21/20; 42/41; 21/20; 11/10; 21/20; 1; ; 1; 1; 1
Draw; 23/10; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 5/2; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 28/11; 133/50; 45/17; 28/11; 5/2; 13/5; 49/20; 28/11; ; 12/5; 5/2; 27/10
Preston; 11/4; 5/2; 13/5; 12/5; 13/5; 13/5; 13/5; 13/5; 28/11; 13/5; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; 5/2; 45/17; 11/4; 27/11; 5/2; 11/4; 27/10; 14/5; 27/10; ; 13/5; 13/5; 14/5
META; english/championship/norwich-v-preston; 2017-11-24 10:21:16 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 1; 1; 1; 11/10; 21/20; 21/20; 21/20; 1; 24/23; 1; 1; 1; 1; 21/20; 21/20; 1; 1; 1; 53/50; 21/20; 42/41; 21/20; 11/10; 21/20; 1; ; 1; 1; 1
Draw; 13/5; 5/2; 5/2; 5/2; 13/5; 5/2; 5/2; 5/2; 13/5; 5/2; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 28/11; 27/10; 45/17; 28/11; 5/2; 13/5; 49/20; 13/5; ; 12/5; 5/2; 12/5
Preston; 3; 5/2; 13/5; 12/5; 13/5; 13/5; 13/5; 13/5; 28/11; 13/5; 11/4; 13/5; 27/10; 13/5; 13/5; 13/5; 5/2; 27/10; 139/50; 27/11; 5/2; 11/4; 27/10; 14/5; 27/10; ; 27/10; 13/5; 14/5
META; english/championship/norwich-v-preston; 2017-11-24 14:21:33 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 11/10; 1; 11/10; 21/20; 21/20; 11/10; 11/10; 1; 24/23; 11/10; 1; 11/10; 1; 11/10; 23/20; 11/10; 1; 11/10; 23/20; 30/29; 42/41; 11/10; 11/10; 21/20; 11/10; ; 11/10; 10/9; 10/9
Draw; 13/5; 13/5; 12/5; 5/2; 13/5; 13/5; 12/5; 5/2; 13/5; 12/5; 12/5; 23/10; 12/5; 49/20; 5/2; 5/2; 5/2; 5/2; 53/20; 11/4; 28/11; 5/2; 11/4; 51/20; 28/11; ; 12/5; 12/5; 13/5
Preston; 27/10; 5/2; 12/5; 5/2; 13/5; 11/4; 12/5; 13/5; 28/11; 12/5; 11/4; 5/2; 27/10; 5/2; 23/10; 5/2; 5/2; 27/11; 51/20; 12/5; 5/2; 5/2; 5/2; 13/5; 27/11; ; 12/5; 12/5; 13/5
META; english/championship/norwich-v-preston; 2017-11-24 18:23:13 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 11/10; 1; 11/10; 21/20; 21/20; 11/10; 11/10; 1; 24/23; 11/10; 1; 11/10; 1; 11/10; 23/20; 21/20; 1; 21/20; 28/25; 17/16; 42/41; 11/10; 23/20; 21/20; 11/10; ; 11/10; 10/9; 10/9
Draw; 13/5; 13/5; 12/5; 5/2; 13/5; 13/5; 5/2; 5/2; 13/5; 12/5; 12/5; 23/10; 12/5; 49/20; 5/2; 5/2; 5/2; 5/2; 53/20; 27/10; 28/11; 5/2; 27/10; 51/20; 28/11; ; 5/2; 5/2; 13/5
Preston; 27/10; 5/2; 12/5; 5/2; 13/5; 11/4; 5/2; 13/5; 28/11; 5/2; 11/4; 5/2; 27/10; 49/20; 23/10; 13/5; 5/2; 27/11; 53/20; 40/17; 5/2; 5/2; 5/2; 13/5; 5/2; ; 5/2; 5/2; 13/5
META; english/championship/norwich-v-preston; 2017-11-24 22:21:42 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 5/4; 1; 6/5; 23/20; 23/20; 6/5; 6/5; 11/10; 16/13; 6/5; 11/10; 23/20; 23/20; 6/5; 23/20; 11/10; 11/10; 6/5; 5/4; 7/6; 6/5; 6/5; 5/4; 6/5; 6/5; ; 6/5; 6/5; 5/4
Preston; 5/2; 5/2; 11/5; 23/10; 12/5; 5/2; 23/10; 12/5; 11/5; 11/5; 5/2; 9/4; 23/10; 9/4; 9/4; 23/10; 23/10; 9/4; 23/10; 11/5; 28/13; 23/10; 23/10; 23/10; 9/4; ; 23/10; 23/10; 23/10
Draw; 12/5; 13/5; 12/5; 12/5; 5/2; 13/5; 12/5; 12/5; 27/11; 12/5; 5/2; 5/2; 5/2; 49/20; 5/2; 5/2; 12/5; 27/11; 53/20; 13/5; 12/5; 12/5; 13/5; 5/2; 27/11; ; 12/5; 12/5; 5/2
META; english/championship/norwich-v-preston; 2017-11-25 02:21:12 GMT+2; 2017-11-25 15:00; Nothing; Xlenovo
Norwich; 6/5; 6/5; 15/13; 23/20; 23/20; 6/5; 6/5; 11/10; 16/13; 6/5; 11/10; 23/20; 6/5; 6/5; 23/20; 11/10; 11/10; 15/13; 63/50; 7/6; 6/5; 6/5; 5/4; 6/5; 15/13; ; 23/20; 23/20; 23/20
Preston; 5/2; 21/10; 9/4; 23/10; 12/5; 5/2; 23/10; 12/5; 11/5; 9/4; 5/2; 9/4; 11/5; 9/4; 9/4; 23/10; 23/10; 23/10; 23/10; 11/5; 28/13; 23/10; 23/10; 23/10; 23/10; ; 23/10; 23/10; 12/5
