META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-21 02:20:38 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Draw; 13/5; 14/5; ; 13/5; 11/4; 13/5; 14/5; 13/5; 27/10; 13/5; 13/5; 13/5; 14/5; 14/5; 13/5; 13/5; 5/2; 45/17; 13/5; 11/4; ; 45/17; 11/4; 13/5; 27/10; ; 12/5; ; 
Betis; 16/5; 14/5; ; 11/4; 3; 3; 29/10; 11/4; 29/10; 11/4; 27/10; 14/5; 11/4; 3; 3; 37/13; 29/10; 37/13; 11/4; 16/5; ; 37/13; 14/5; 14/5; 59/20; ; 5/2; ; 
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-25 02:19:25 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 17/20; 17/20; ; 19/20; 9/10; 19/20; 10/11; 5/6; 9/10; 10/11; 10/11; 10/11; 10/11; 10/11; 10/11; 11/13; 9/10; 9/10; 13/15; 24/25; 10/11; 9/10; 10/11; 9/10; 10/11; ; 4/5; 4/5; 
Draw; 13/5; 14/5; ; 13/5; 11/4; 13/5; 14/5; 13/5; 27/10; 13/5; 13/5; 11/4; 14/5; 11/4; 13/5; 13/5; 5/2; 45/17; 13/5; 139/50; 27/10; 45/17; 13/5; 13/5; 27/10; ; 12/5; 13/5; 
Betis; 3; 14/5; ; 11/4; 3; 3; 14/5; 11/4; 29/10; 27/10; 27/10; 11/4; 11/4; 3; 3; 37/13; 29/10; 37/13; 11/4; 63/20; 27/11; 37/13; 14/5; 14/5; 14/5; ; 13/5; 13/5; 
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-25 10:19:49 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 10/11; 10/11; ; 19/20; 10/11; 19/20; 10/11; 5/6; 9/10; 10/11; 10/11; 10/11; 10/11; 10/11; 10/11; 10/11; 9/10; 9/10; 13/15; 97/100; 11/12; 9/10; 10/11; 9/10; 10/11; ; 4/5; 5/6; 
Draw; 13/5; 14/5; ; 13/5; 11/4; 13/5; 14/5; 13/5; 27/10; 13/5; 13/5; 11/4; 14/5; 11/4; 13/5; 13/5; 5/2; 45/17; 13/5; 14/5; 27/10; 45/17; 13/5; 13/5; 27/10; ; 12/5; 13/5; 
Betis; 14/5; 13/5; ; 11/4; 3; 3; 14/5; 11/4; 29/10; 27/10; 27/10; 11/4; 11/4; 3; 3; 11/4; 29/10; 37/13; 14/5; 31/10; 27/11; 37/13; 14/5; 14/5; 14/5; ; 13/5; 11/4; 
META; spain/la-liga-primera/real-sociedad-v-betis; 2017-09-25 14:19:53 GMT+3; 2017-10-01 11:00; Nothing; Xlenovo
Real Sociedad; 10/11; 10/11; 10/11; 19/20; 10/11; 19/20; 9/10; 5/6; 9/10; 10/11; 10/11; ; ; 10/11; 10/11; 10/11; 9/10; 9/10; 13/15; 97/100; 9/10; 9/10; 10/11; 9/10; 10/11; ; 8/11; 5/6; 10/11
Draw; 13/5; 14/5; 27/10; 13/5; 11/4; 13/5; 14/5; 13/5; 27/10; 13/5; 11/4; ; ; 11/4; 13/5; 13/5; 5/2; 45/17; 45/17; 72/25; 27/10; 45/17; 13/5; 13/5; 27/10; ; 5/2; 5/2; 14/5
