META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-17 18:19:31 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 21/20; 6/5; ; ; 61/50; 23/20; 11/10; 1; 11/10; ; 11/10; 11/10; ; 6/5; 23/20; 11/10; 11/10; 15/13; 12/11; 11/10; 11/10; 23/20; 11/10; 11/10; ; ; ; 
Celta Vigo; 5/2; 11/5; ; ; 64/25; 12/5; 9/4; 9/4; 12/5; ; 12/5; 12/5; ; 11/5; 9/4; 9/4; 23/10; 11/5; 21/10; 12/5; 12/5; 9/4; 47/20; 40/17; ; ; ; 
Draw; 12/5; 12/5; ; ; 63/25; 5/2; 12/5; 23/10; 27/11; ; 5/2; 12/5; ; 49/20; 13/5; 9/4; 40/17; 12/5; 13/5; 27/11; 5/2; 13/5; 49/20; 12/5; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-20 18:19:14 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 21/20; 6/5; ; 5/4; 61/50; 23/20; 11/10; 1; 11/10; ; 11/10; 11/10; ; 6/5; 23/20; 11/10; 11/10; 15/13; 12/11; 11/10; 11/10; 23/20; 11/10; 11/10; ; ; ; 
Celta Vigo; 5/2; 11/5; ; 21/10; 64/25; 12/5; 9/4; 9/4; 12/5; ; 12/5; 12/5; ; 11/5; 9/4; 9/4; 23/10; 11/5; 21/10; 12/5; 12/5; 9/4; 47/20; 40/17; ; ; ; 
Draw; 12/5; 12/5; ; 12/5; 63/25; 5/2; 12/5; 23/10; 27/11; ; 5/2; 12/5; ; 49/20; 13/5; 9/4; 40/17; 12/5; 13/5; 27/11; 5/2; 13/5; 49/20; 12/5; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-20 22:19:05 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 21/20; 6/5; ; 5/4; 61/50; 23/20; 11/10; 1; 11/10; ; 11/10; 11/10; ; 6/5; 23/20; 11/10; 11/10; 15/13; 12/11; 11/10; 11/10; 23/20; 11/10; 11/10; ; ; ; 
Celta Vigo; 5/2; 11/5; ; 21/10; 64/25; 12/5; 23/10; 9/4; 12/5; ; 12/5; 12/5; ; 11/5; 9/4; 9/4; 23/10; 11/5; 21/10; 12/5; 12/5; 9/4; 47/20; 40/17; ; ; ; 
Draw; 12/5; 12/5; ; 12/5; 63/25; 5/2; 12/5; 23/10; 27/11; ; 5/2; 12/5; ; 49/20; 13/5; 9/4; 40/17; 12/5; 13/5; 27/11; 5/2; 13/5; 49/20; 12/5; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-21 02:19:10 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 6/5; 6/5; ; 5/4; 61/50; 6/5; 6/5; 11/10; 11/10; ; 6/5; 23/20; ; 27/20; 5/4; 11/10; 6/5; 15/13; 7/6; 11/10; 6/5; 5/4; 6/5; 6/5; ; ; ; 
Draw; 23/10; 12/5; ; 12/5; 63/25; 5/2; 12/5; 23/10; 27/11; ; 12/5; 5/2; ; 49/20; 12/5; 9/4; 12/5; 12/5; 28/11; 27/11; 12/5; 5/2; 49/20; 12/5; ; ; ; 
Celta Vigo; 23/10; 11/5; ; 21/10; 64/25; 12/5; 21/10; 11/5; 12/5; ; 11/5; 9/4; ; 41/20; 11/5; 21/10; 11/5; 11/5; 31/16; 12/5; 9/4; 85/40; 11/5; 11/5; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-21 10:19:02 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 6/5; 5/4; ; 5/4; 61/50; 6/5; 6/5; 11/10; 11/10; ; 6/5; 23/20; ; 27/20; 5/4; 11/10; 6/5; 15/13; 7/6; 11/10; 6/5; 5/4; 6/5; 6/5; ; ; ; 
Draw; 23/10; 12/5; ; 12/5; 63/25; 5/2; 12/5; 23/10; 27/11; ; 12/5; 5/2; ; 49/20; 12/5; 9/4; 12/5; 12/5; 28/11; 27/11; 12/5; 5/2; 49/20; 12/5; ; ; ; 
Celta Vigo; 23/10; 21/10; ; 21/10; 64/25; 12/5; 21/10; 11/5; 12/5; ; 11/5; 9/4; ; 41/20; 11/5; 21/10; 11/5; 11/5; 31/16; 12/5; 9/4; 85/40; 11/5; 11/5; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-21 14:19:05 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 6/5; 5/4; ; 5/4; 61/50; 6/5; 6/5; 11/10; 11/10; ; 6/5; 23/20; ; 27/20; 5/4; 11/10; 6/5; 15/13; 7/6; 11/10; 6/5; 5/4; 6/5; 6/5; ; ; ; 
Draw; 23/10; 12/5; ; 12/5; 63/25; 5/2; 12/5; 23/10; 27/11; ; 12/5; 5/2; ; 49/20; 12/5; 9/4; 12/5; 12/5; 5/2; 27/11; 12/5; 5/2; 49/20; 12/5; ; ; ; 
Celta Vigo; 23/10; 21/10; ; 21/10; 64/25; 12/5; 21/10; 11/5; 12/5; ; 11/5; 9/4; ; 41/20; 11/5; 21/10; 11/5; 11/5; 2; 12/5; 9/4; 85/40; 11/5; 11/5; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-21 18:19:04 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 6/5; 5/4; ; 5/4; 61/50; 6/5; 5/4; 11/10; 11/10; ; 6/5; 6/5; ; 27/20; 5/4; 6/5; 6/5; 15/13; 7/6; 11/10; 5/4; 5/4; 5/4; 6/5; ; ; ; 
Draw; 23/10; 12/5; ; 12/5; 63/25; 5/2; 12/5; 23/10; 27/11; ; 12/5; 12/5; ; 49/20; 12/5; 9/4; 40/17; 12/5; 5/2; 27/11; 12/5; 5/2; 49/20; 12/5; ; ; ; 
Celta Vigo; 23/10; 21/10; ; 21/10; 64/25; 12/5; 21/10; 11/5; 12/5; ; 11/5; 21/10; ; 41/20; 11/5; 21/10; 28/13; 11/5; 2; 12/5; 85/40; 85/40; 21/10; 11/5; ; ; ; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-21 22:19:01 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 6/5; 5/4; ; 5/4; 33/25; 6/5; 5/4; 11/10; 11/10; ; 6/5; 6/5; ; 27/20; 5/4; 6/5; 6/5; 15/13; 7/6; 11/10; 5/4; 5/4; 5/4; 5/4; ; ; 6/5; 
Celta Vigo; 23/10; 21/10; ; 21/10; 57/25; 12/5; 21/10; 11/5; 12/5; ; 11/5; 21/10; ; 41/20; 11/5; 21/10; 28/13; 11/5; 2; 12/5; 85/40; 85/40; 21/10; 28/13; ; ; 17/10; 
Draw; 23/10; 12/5; ; 12/5; 129/50; 5/2; 12/5; 23/10; 27/11; ; 12/5; 12/5; ; 49/20; 12/5; 9/4; 40/17; 12/5; 5/2; 27/11; 12/5; 5/2; 49/20; 12/5; ; ; 2; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-22 02:18:59 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 6/5; 5/4; ; 5/4; 33/25; 6/5; 5/4; 11/10; 11/10; ; 6/5; 6/5; ; 27/20; 5/4; 6/5; 6/5; 15/13; 7/6; 11/10; 5/4; 5/4; 5/4; 5/4; ; ; 6/5; 
Celta Vigo; 23/10; 21/10; ; 21/10; 57/25; 12/5; 21/10; 11/5; 12/5; ; 11/5; 21/10; ; 41/20; 11/5; 21/10; 28/13; 11/5; 2; 12/5; 85/40; 85/40; 21/10; 28/13; ; ; 17/10; 
Draw; 23/10; 12/5; ; 12/5; 129/50; 5/2; 12/5; 23/10; 27/11; ; 12/5; 12/5; ; 49/20; 12/5; 9/4; 40/17; 12/5; 5/2; 27/11; 12/5; 5/2; 49/20; 12/5; ; ; 2; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-22 10:18:59 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 6/5; 5/4; ; 5/4; 33/25; 6/5; 5/4; 11/10; 11/10; ; 6/5; 6/5; ; 27/20; 5/4; 6/5; 6/5; 15/13; 7/6; 11/10; 5/4; 5/4; 5/4; 5/4; ; ; 6/5; 
Celta Vigo; 23/10; 21/10; ; 21/10; 57/25; 12/5; 21/10; 11/5; 12/5; ; 11/5; 21/10; ; 41/20; 11/5; 21/10; 28/13; 11/5; 2; 12/5; 85/40; 85/40; 21/10; 28/13; ; ; 17/10; 
Draw; 23/10; 12/5; ; 12/5; 129/50; 5/2; 12/5; 23/10; 27/11; ; 12/5; 12/5; ; 49/20; 12/5; 9/4; 40/17; 12/5; 5/2; 27/11; 12/5; 5/2; 49/20; 12/5; ; ; 2; 
META; spain/la-liga-primera/girona-v-celta-vigo; 2018-02-22 14:19:19 GMT+2; 2018-02-27 20:30; Nothing; Xlenovo
Girona; 6/5; 5/4; ; 5/4; 33/25; ; 5/4; 11/10; 11/10; ; 6/5; 13/10; ; 27/20; 5/4; 6/5; 6/5; 15/13; 17/14; 11/10; 5/4; 5/4; 5/4; 5/4; ; ; 6/5; 
