META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-14 02:19:35 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; ; ; 15/13; 11/10; 15/13; 23/20; 6/5; 11/10; 15/13; ; ; 6/5; ; 6/5; 23/20; 11/10; 15/13; 15/13; 13/10; 10/9; 5/4; 11/10; 23/20; 11/10; 6/5; ; 21/20; ; 
Barcelona; ; ; 2; 2; 21/10; 11/5; 15/8; 21/10; 21/10; ; ; 2; ; 2; 21/10; 2; 21/10; 39/19; 52/25; 29/16; 19/10; 2; 2; 21/10; 2; ; 6/4; ; 
Draw; ; ; 11/4; 3; ; 14/5; 11/4; 11/4; 11/4; ; ; 13/5; ; ; ; 13/5; 13/5; 13/5; 73/25; 3; 13/5; 14/5; 3; 14/5; 45/17; ; 13/5; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-14 10:19:42 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; ; ; 15/13; 11/10; 15/13; 23/20; 6/5; 11/10; 15/13; 23/20; ; 23/20; ; ; 23/20; ; 15/13; 15/13; 13/10; 10/9; 5/4; 11/10; 23/20; 11/10; 15/13; ; 21/20; ; 
Barcelona; ; ; 2; 2; 21/10; 11/5; 15/8; 21/10; 21/10; 2; ; 19/10; ; ; 21/10; 19/10; 21/10; 39/19; 52/25; 29/16; 19/10; 2; 2; 21/10; 2; ; 13/8; ; 
Draw; ; ; 11/4; 3; ; 14/5; 11/4; 11/4; 11/4; 11/4; ; 14/5; ; ; ; 11/4; 13/5; 45/17; 73/25; 3; 13/5; 14/5; 3; 14/5; 45/17; ; 13/5; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-14 14:19:41 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; ; ; 15/13; 11/10; 15/13; 23/20; 6/5; 11/10; 15/13; 23/20; ; 6/5; ; 6/5; 23/20; ; 15/13; 15/13; 13/10; 10/9; 5/4; 11/10; 23/20; 11/10; 6/5; ; 21/20; ; 
Barcelona; ; ; 2; 2; 21/10; 11/5; 15/8; 21/10; 21/10; 2; ; 2; ; 2; 21/10; 19/10; 21/10; 39/19; 52/25; 29/16; 19/10; 2; 2; 21/10; 2; ; 13/8; ; 
Draw; ; ; 11/4; 3; ; 14/5; 11/4; 11/4; 11/4; 11/4; ; 13/5; ; 14/5; ; 13/5; 13/5; 13/5; 73/25; 3; 13/5; 14/5; 3; 14/5; 45/17; ; 13/5; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-14 18:19:42 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; 1; ; 1; 11/10; 21/20; 21/20; 1; 1; 15/13; 1; ; 1; ; 21/20; 1; 1; 21/20; 1; 13/10; 12/11; 5/4; 1; 21/20; 1; 1; ; 1; ; 
Barcelona; 5/2; ; 9/4; 2; 9/4; 23/10; 11/5; 9/4; 11/5; 11/5; ; 12/5; ; 11/5; 23/10; 21/10; 9/4; 9/4; 52/25; 29/16; 11/5; 23/10; 11/5; 23/10; 23/10; ; 6/4; ; 
Draw; ; ; 29/10; 3; ; 29/10; 14/5; 11/4; 45/17; 14/5; ; 14/5; ; 29/10; 3; 11/4; 13/5; 27/10; 73/25; 3; 13/5; 14/5; 3; 29/10; 11/4; ; 13/5; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-14 22:19:36 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; 1; ; 1; 11/10; 21/20; 21/20; 1; 1; 21/20; 1; ; 1; ; 21/20; 1; 1; 21/20; 1; 21/20; 12/11; 21/20; 1; 21/20; 1; 1; ; 1; ; 
Barcelona; 5/2; ; 9/4; 2; 9/4; 23/10; 11/5; 9/4; 40/17; 11/5; ; 12/5; ; 11/5; 23/10; 21/10; 9/4; 9/4; 63/25; 29/16; 40/17; 23/10; 11/5; 23/10; 23/10; ; 7/4; ; 
Draw; ; ; 29/10; 3; 27/10; 29/10; 14/5; 11/4; 14/5; 14/5; ; 14/5; ; 29/10; 3; 11/4; 27/10; 11/4; 31/10; 3; 11/4; 14/5; 3; 29/10; 11/4; ; 13/5; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-15 02:19:37 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; 1; ; 1; 11/10; 21/20; 21/20; 1; 1; 21/20; 1; ; 1; ; 21/20; 1; 1; 21/20; 1; 21/20; 12/11; 21/20; 1; 21/20; 1; 1; ; 5/6; ; 
Barcelona; 5/2; ; 9/4; 2; 9/4; 23/10; 11/5; 9/4; 40/17; 9/4; ; 23/10; ; 11/5; 23/10; 21/10; 9/4; 23/10; 63/25; 29/16; 40/17; 23/10; 11/5; 23/10; 23/10; ; 2; ; 
Draw; ; ; 14/5; 3; 27/10; 29/10; 14/5; 11/4; 14/5; 14/5; ; 14/5; ; 29/10; 3; 11/4; 27/10; 27/10; 31/10; 3; 11/4; 14/5; 3; 29/10; 11/4; ; 13/5; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-15 10:19:41 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; 1; ; 1; 11/10; 21/20; 21/20; 1; 1; 21/20; 1; ; 1; ; 21/20; 1; 1; 21/20; 1; 21/20; 12/11; 21/20; 1; 21/20; 1; 1; ; 5/6; ; 
Barcelona; 5/2; ; 9/4; 2; 9/4; 23/10; 9/4; 9/4; 40/17; 9/4; ; 23/10; ; 11/5; 23/10; 21/10; 9/4; 23/10; 63/25; 29/16; 40/17; 23/10; 11/5; 23/10; 23/10; ; 2; ; 
Draw; ; ; 14/5; 3; 27/10; 29/10; 14/5; 11/4; 14/5; 14/5; ; 14/5; ; 29/10; 3; 11/4; 27/10; 27/10; 31/10; 3; 11/4; 14/5; 3; 29/10; 11/4; ; 13/5; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-15 14:19:42 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; 19/20; ; 1; 11/10; 21/20; 21/20; 1; 1; 21/20; 1; 21/20; 1; ; 21/20; 1; 1; 21/20; 1; 21/20; 12/11; 21/20; 1; 21/20; 1; 1; ; 20/21; ; 
Barcelona; 13/5; ; 9/4; 2; 9/4; 23/10; 9/4; 9/4; 40/17; 9/4; 12/5; 23/10; ; 11/5; 23/10; 21/10; 9/4; 23/10; 63/25; 29/16; 40/17; 23/10; 11/5; 47/20; 23/10; ; 9/4; ; 
Draw; ; ; 14/5; 3; 27/10; 29/10; 14/5; 11/4; 14/5; 14/5; 3; 14/5; ; 29/10; 3; 11/4; 27/10; 11/4; 31/10; 3; 11/4; 14/5; 3; 29/10; 11/4; ; 13/5; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-15 18:19:43 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; 19/20; ; 1; 11/10; 21/20; 21/20; 1; 1; 21/20; 1; 21/20; 1; ; 21/20; 1; 1; 21/20; 1; 21/20; 12/11; 21/20; 1; 21/20; 1; 1; ; 20/21; ; 
Barcelona; 13/5; ; 9/4; 2; 9/4; 23/10; 9/4; 9/4; 40/17; 9/4; 12/5; 23/10; ; 11/5; 23/10; 9/4; 9/4; 23/10; 63/25; 29/16; 40/17; 23/10; 11/5; 47/20; 23/10; ; 9/4; ; 
Draw; ; ; 14/5; 3; 27/10; 29/10; 14/5; 11/4; 14/5; 14/5; 3; 14/5; ; 29/10; 3; 11/4; 27/10; 11/4; 31/10; 3; 11/4; 14/5; 3; 29/10; 11/4; ; 13/5; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-15 22:19:49 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; 19/20; ; 1; 11/10; 21/20; 21/20; 1; 1; 21/20; 1; 21/20; 1; ; 21/20; 1; 1; 21/20; 1; 21/20; 12/11; 21/20; 1; 21/20; 1; 1; ; 1; ; 
Barcelona; 13/5; ; 9/4; 2; 9/4; 23/10; 9/4; 9/4; 40/17; 9/4; 12/5; 23/10; ; 11/5; 23/10; 9/4; 9/4; 23/10; 63/25; 29/16; 40/17; 23/10; 11/5; 47/20; 23/10; ; 23/10; ; 
Draw; ; ; 14/5; 3; 27/10; 29/10; 14/5; 11/4; 14/5; 14/5; 3; 14/5; ; 29/10; 3; 11/4; 27/10; 11/4; 31/10; 3; 11/4; 14/5; 3; 29/10; 11/4; ; 27/10; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-16 02:19:36 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; 19/20; ; 1; 11/10; 21/20; 21/20; 1; 1; 21/20; 1; 21/20; 1; ; 21/20; 1; 1; 21/20; 1; 109/ 100; 12/11; 21/20; 1; 21/20; 1; 1; ; 1; ; 
Barcelona; 13/5; ; 11/5; 2; 9/4; 23/10; 11/5; 9/4; 40/17; 11/5; 12/5; 23/10; ; 11/5; 23/10; 9/4; 9/4; 9/4; 49/20; 29/16; 40/17; 23/10; 11/5; 47/20; 23/10; ; 23/10; ; 
Draw; ; ; 14/5; 3; 27/10; 29/10; 11/4; 11/4; 14/5; 14/5; 3; 14/5; ; 29/10; 3; 11/4; 27/10; 27/10; 61/20; 3; 11/4; 14/5; 3; 29/10; 11/4; ; 27/10; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-16 10:19:43 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; 19/20; ; 1; 11/10; 21/20; 21/20; 1; 1; 21/20; 1; 21/20; 1; ; 21/20; 1; 1; 21/20; 1; 109/ 100; 12/11; 21/20; 1; 21/20; 1; 1; ; 1; ; 
Barcelona; 13/5; ; 11/5; 2; 9/4; 23/10; 11/5; 9/4; 40/17; 11/5; 12/5; 23/10; ; 11/5; 23/10; 21/10; 9/4; 9/4; 121/ 50; 29/16; 40/17; 23/10; 11/5; 47/20; 23/10; ; 23/10; ; 
Draw; ; ; 29/10; 3; 27/10; 29/10; 14/5; 11/4; 14/5; 14/5; 3; 14/5; ; 29/10; 3; 14/5; 27/10; 11/4; 31/10; 3; 11/4; 3; 3; 29/10; 14/5; ; 27/10; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-16 14:20:07 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; 19/20; ; 1; 11/10; 21/20; 21/20; 1; 1; 21/20; 1; 21/20; 1; ; 21/20; 1; 1; 21/20; 1; 109/ 100; 12/11; 21/20; 1; 21/20; 19/20; 1; ; 1; ; 
Barcelona; 5/2; ; 11/5; 2; 9/4; 23/10; 11/5; 9/4; 40/17; 11/5; 23/10; 23/10; ; 11/5; 23/10; 9/4; 9/4; 9/4; 121/ 50; 29/16; 40/17; 9/4; 11/5; 23/10; 23/10; ; 9/4; ; 
Draw; 11/4; ; 29/10; 3; 27/10; 29/10; 14/5; 11/4; 14/5; 14/5; 3; 14/5; ; 29/10; 3; 14/5; 27/10; 11/4; 31/10; 3; 11/4; 3; 3; 3; 14/5; ; 27/10; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-16 18:19:41 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; 1; ; 1; 11/10; 21/20; 21/20; 21/20; 1; 21/20; 1; 21/20; 1; ; 21/20; 1; 1; 21/20; 1; 109/ 100; 12/11; 21/20; 1; 21/20; 19/20; 1; ; 1; ; 
Barcelona; 12/5; ; 11/5; 2; 9/4; 23/10; 11/5; 9/4; 40/17; 11/5; 23/10; 23/10; ; 11/5; 23/10; 9/4; 9/4; 23/10; 121/ 50; 29/16; 40/17; 9/4; 11/5; 23/10; 23/10; ; 9/4; ; 
Draw; 11/4; ; 29/10; 3; 27/10; 29/10; 14/5; 11/4; 14/5; 14/5; 3; 14/5; ; 29/10; 3; 14/5; 27/10; 14/5; 31/10; 3; 11/4; 3; 3; 3; 37/13; ; 27/10; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-16 22:19:08 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; 1; ; 1; 11/10; 21/20; 21/20; 1; 1; 21/20; 1; 21/20; 1; ; 21/20; 1; 1; 21/20; 1; 109/ 100; 30/29; 21/20; 1; 21/20; 19/20; 1; ; 21/20; ; 
Barcelona; 12/5; ; 9/4; 2; 9/4; 23/10; 11/5; 9/4; 40/17; 11/5; 23/10; 23/10; ; 9/4; 23/10; 9/4; 9/4; 23/10; 49/20; 27/14; 40/17; 9/4; 11/5; 23/10; 23/10; ; 9/4; ; 
Draw; 11/4; ; 14/5; 3; 27/10; 29/10; 14/5; 11/4; 14/5; 14/5; 3; 14/5; ; 29/10; 3; 14/5; 27/10; 14/5; 61/20; 58/19; 11/4; 3; 3; 3; 14/5; ; 27/10; ; 
META; spain/la-liga-primera/real-madrid-v-barcelona; 2017-12-17 02:19:04 GMT+2; 2017-12-23 12:00; Nothing; Xlenovo
Real Madrid; 1; ; 21/20; 11/10; 21/20; 11/10; 11/10; 11/10; 21/20; 21/20; 21/20; 11/10; ; 11/10; 21/20; 21/20; 21/20; 21/20; 29/25; 30/29; 21/20; 21/20; 21/20; 21/20; 11/10; ; 23/20; ; 
Barcelona; 12/5; ; 21/10; 2; 9/4; 9/4; 21/10; 21/10; 40/17; 21/10; 9/4; 21/10; ; 43/20; 11/5; 21/10; 9/4; 28/13; 56/25; 27/14; 40/17; 85/40; 11/5; 21/10; 28/13; ; 15/8; ; 
Draw; 11/4; ; 14/5; 3; 27/10; 29/10; 14/5; 11/4; 14/5; 14/5; 3; 14/5; ; 29/10; 3; 14/5; 27/10; 14/5; 31/10; 58/19; 11/4; 14/5; 3; 3; 14/5; ; 11/4; ; 
