META; spain/la-liga-primera/alaves-v-eibar; 2017-10-29 22:20:29 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; 11/8; ; 6/4; ; 7/5; ; ; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; ; 23/17; 16/11; 31/20; 11/8; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; ; 2; ; 11/5; ; ; 2; 2; 2; ; 19/10; ; 2; 19/10; ; 21/10; 37/19; 52/25; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; ; 2; ; 11/5; ; ; 21/10; 11/5; 2; ; 11/5; ; 21/10; 9/4; ; 21/10; 21/10; 47/20; 13/7; 11/5; 85/40; 21/10; 21/10; 21/10; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-08 10:19:44 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; 11/8; ; 6/4; ; 7/5; ; ; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; ; 23/17; 16/11; 31/20; 11/8; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; ; 2; ; 11/5; ; ; 2; 2; 2; ; 19/10; ; 2; 19/10; ; 21/10; 37/19; 52/25; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; ; 2; ; 11/5; ; ; 21/10; 11/5; 2; ; 11/5; ; 21/10; 9/4; ; 21/10; 21/10; 47/20; 13/7; 11/5; 85/40; 21/10; 21/10; 21/10; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-08 14:20:28 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; 11/8; ; 6/4; ; 7/5; ; ; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; ; 23/17; 16/11; 31/20; 11/8; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; ; 2; ; 11/5; ; ; 2; 2; 2; ; 19/10; ; 2; 19/10; ; 21/10; 37/19; 52/25; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; ; 2; ; 11/5; ; ; 21/10; 11/5; 2; ; 11/5; ; 21/10; 9/4; ; 21/10; 21/10; 47/20; 13/7; 11/5; 85/40; 21/10; 21/10; 21/10; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-08 18:20:00 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 7/5; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; ; 23/17; 16/11; 31/20; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; ; 2; 37/19; 52/25; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; 9/4; 21/10; ; 23/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; ; 11/5; 21/10; 47/20; 28/13; 11/5; 85/40; 21/10; 21/10; 21/10; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-08 22:19:58 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 7/5; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; ; 23/17; 16/11; 31/20; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; ; 2; 37/19; 52/25; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; 9/4; 21/10; ; 23/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; ; 11/5; 21/10; 47/20; 28/13; 11/5; 85/40; 21/10; 21/10; 21/10; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-09 02:19:39 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 7/5; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; ; 23/17; 16/11; 31/20; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; ; 2; 37/19; 52/25; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; 9/4; 21/10; ; 23/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; ; 11/5; 21/10; 47/20; 28/13; 11/5; 85/40; 21/10; 21/10; 21/10; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-09 10:19:48 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 7/5; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; ; 23/17; 7/5; 31/20; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; ; 2; 19/10; 52/25; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; 9/4; 21/10; ; 23/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; ; 11/5; 21/10; 47/20; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-09 14:19:45 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 7/5; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; ; 23/17; 16/11; 31/20; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; ; 2; 37/19; 52/25; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; 9/4; 21/10; ; 23/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; ; 11/5; 21/10; 47/20; 28/13; 11/5; 85/40; 21/10; 21/10; 21/10; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-09 18:19:43 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 7/5; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; ; 23/17; 16/11; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; ; 2; 37/19; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; 9/4; 21/10; ; 23/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; ; 11/5; 21/10; 121/ 50; 28/13; 11/5; 85/40; 21/10; 21/10; 21/10; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-09 22:19:43 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; ; 16/11; 16/11; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; ; 2; 37/19; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; 9/4; 21/10; ; 21/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; ; 2; 21/10; 121/ 50; 28/13; 11/5; 85/40; 21/10; 21/10; 21/10; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-10 02:19:39 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; ; 16/11; 16/11; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; ; 2; 37/19; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; 9/4; 21/10; ; 21/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; ; 2; 21/10; 121/ 50; 28/13; 11/5; 85/40; 21/10; 21/10; 21/10; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-10 10:19:40 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; ; 16/11; 16/11; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; ; 2; 37/19; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; 9/4; 21/10; ; 21/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; ; 2; 21/10; 121/ 50; 28/13; 11/5; 85/40; 21/10; 21/10; 21/10; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-10 14:19:47 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; ; 16/11; 16/11; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; ; 2; 37/19; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; 9/4; 21/10; ; 21/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; ; 2; 21/10; 121/ 50; 28/13; 11/5; 85/40; 21/10; 21/10; 21/10; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-10 19:32:16 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; ; 16/11; 16/11; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; ; 2; 37/19; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; 9/4; 21/10; ; 21/10; ; 21/10; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 21/10; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-10 22:19:47 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; ; 16/11; 16/11; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; ; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 19/10; ; ; ; 
Eibar; 2; 9/4; 21/10; ; 21/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 21/10; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-11 02:19:51 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; ; 16/11; 16/11; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; ; 2; 37/19; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; 9/4; 21/10; ; 21/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 21/10; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-11 10:19:47 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; ; 16/11; 16/11; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; ; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; 9/4; 21/10; ; 21/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 21/10; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-11 14:20:13 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; ; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; ; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; 9/4; 21/10; ; 21/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-11 18:19:53 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; ; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; ; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; 9/4; 21/10; ; 21/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-11 22:19:55 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; 7/5; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; 19/10; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; 9/4; 21/10; ; 21/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; 21/10; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-12 02:19:56 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; 7/5; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 6/4; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; 19/10; 2; 19/10; 99/50; 39/19; 2; 2; 2; 21/10; 37/19; ; ; ; 
Eibar; 2; 9/4; 21/10; ; 21/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; 21/10; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 85/40; 21/10; 28/13; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-12 10:19:53 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; 7/5; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; 19/10; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; 9/4; 21/10; ; 21/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; 21/10; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-12 14:19:48 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; 7/5; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; 19/10; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; 9/4; 21/10; ; 21/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; 21/10; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-12 18:19:45 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; 7/5; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; ; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; 19/10; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; ; ; 
Eibar; 2; 9/4; 21/10; ; 21/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; 21/10; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; ; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-12 22:19:43 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; 7/5; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 10/9; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; 19/10; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 7/5; ; 
Eibar; 2; 9/4; 21/10; ; 21/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; 21/10; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 13/8; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-13 02:19:38 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; 7/5; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 23/20; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; 19/10; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 13/8; ; 
Eibar; 2; 21/10; 21/10; ; 21/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; 21/10; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 13/8; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-13 10:19:43 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; 7/5; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 1; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; 19/10; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 7/5; ; 
Eibar; 2; 21/10; 21/10; ; 21/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; 21/10; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 6/4; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-13 14:19:52 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; ; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; 7/5; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 21/20; ; 
Draw; 11/5; 2; 2; ; 21/10; ; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; 19/10; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 13/8; ; 
Eibar; 2; 11/5; 21/10; ; 21/10; ; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; 21/10; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 13/8; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-13 18:19:38 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; 7/5; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 1/10; ; 
Draw; 11/5; 2; 2; ; 21/10; 21/10; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; 19/10; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 4/6; ; 
Eibar; 2; 11/5; 21/10; ; 21/10; 9/4; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; 21/10; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 4/6; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-13 22:19:39 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; 7/5; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 1/10; ; 
Draw; 11/5; 2; 2; ; 21/10; 21/10; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; 19/10; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 13/8; ; 
Eibar; 2; 11/5; 21/10; ; 21/10; 9/4; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; 21/10; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 4/6; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-14 02:19:31 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; 7/5; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 1/20; ; 
Draw; 11/5; 2; 2; ; 21/10; 21/10; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; 19/10; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 13/8; ; 
Eibar; 2; 11/5; 21/10; ; 21/10; 9/4; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; 21/10; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 4/6; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-14 10:19:43 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; 7/5; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 1/10; ; 
Draw; 11/5; 2; 2; ; 21/10; 21/10; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; 19/10; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 13/8; ; 
Eibar; 2; 21/10; 21/10; ; 21/10; 9/4; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; 21/10; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 4/6; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-14 14:19:43 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 6/4; 6/4; ; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 1/20; ; 
Draw; 11/5; 2; 2; ; 21/10; 21/10; 19/10; 2; 2; 2; ; 19/10; ; 2; 19/10; ; 2; 19/10; 99/50; 39/19; 2; 2; 85/40; 21/10; 37/19; ; 13/8; ; 
Eibar; 2; 11/5; 21/10; ; 21/10; 9/4; 2; 21/10; 11/5; 21/10; ; 11/5; ; 21/10; 9/4; ; 2; 21/10; 121/50; 28/13; 11/5; 85/40; 21/10; 21/10; 28/13; ; 4/6; ; 
META; spain/la-liga-primera/alaves-v-eibar; 2017-11-14 18:19:37 GMT+2; 2017-11-25 12:00; Nothing; Xlenovo
Alaves; 11/8; 7/5; 16/11; ; 31/20; 6/4; 6/4; 7/5; 7/5; 29/20; ; 6/4; ; 29/20; 6/4; ; 16/11; 7/5; 79/50; 19/13; 7/5; 7/5; 29/20; 7/5; 16/11; ; 4/9; ; 
